year,week,loc,state,country,loc_type,number,event
1927,47,NEBRASKA,NE,US,STATE,20,CASES
1927,48,NEBRASKA,NE,US,STATE,7,CASES
1927,49,NEBRASKA,NE,US,STATE,10,CASES
1927,52,NEBRASKA,NE,US,STATE,11,CASES
1928,1,NEBRASKA,NE,US,STATE,22,CASES
1928,2,NEBRASKA,NE,US,STATE,4,CASES
1928,3,NEBRASKA,NE,US,STATE,5,CASES
1928,4,NEBRASKA,NE,US,STATE,6,CASES
1928,5,NEBRASKA,NE,US,STATE,3,CASES
1928,6,NEBRASKA,NE,US,STATE,3,CASES
1928,7,NEBRASKA,NE,US,STATE,3,CASES
1928,8,NEBRASKA,NE,US,STATE,7,CASES
1928,9,NEBRASKA,NE,US,STATE,8,CASES
1928,10,NEBRASKA,NE,US,STATE,8,CASES
1928,11,NEBRASKA,NE,US,STATE,15,CASES
1928,12,NEBRASKA,NE,US,STATE,69,CASES
1928,13,NEBRASKA,NE,US,STATE,37,CASES
1928,14,NEBRASKA,NE,US,STATE,28,CASES
1928,15,NEBRASKA,NE,US,STATE,30,CASES
1928,16,NEBRASKA,NE,US,STATE,131,CASES
1928,17,NEBRASKA,NE,US,STATE,128,CASES
1928,18,NEBRASKA,NE,US,STATE,55,CASES
1928,19,NEBRASKA,NE,US,STATE,131,CASES
1928,20,NEBRASKA,NE,US,STATE,39,CASES
1928,21,NEBRASKA,NE,US,STATE,44,CASES
1928,22,NEBRASKA,NE,US,STATE,37,CASES
1928,23,NEBRASKA,NE,US,STATE,43,CASES
1928,24,NEBRASKA,NE,US,STATE,18,CASES
1928,25,NEBRASKA,NE,US,STATE,28,CASES
1928,26,NEBRASKA,NE,US,STATE,34,CASES
1928,27,NEBRASKA,NE,US,STATE,3,CASES
1928,28,NEBRASKA,NE,US,STATE,2,CASES
1928,29,NEBRASKA,NE,US,STATE,4,CASES
1928,30,NEBRASKA,NE,US,STATE,1,CASES
1928,31,NEBRASKA,NE,US,STATE,7,CASES
1928,33,NEBRASKA,NE,US,STATE,1,CASES
1928,34,NEBRASKA,NE,US,STATE,5,CASES
1928,35,NEBRASKA,NE,US,STATE,1,CASES
1928,37,NEBRASKA,NE,US,STATE,2,CASES
1928,38,NEBRASKA,NE,US,STATE,2,CASES
1928,39,NEBRASKA,NE,US,STATE,1,CASES
1928,41,NEBRASKA,NE,US,STATE,20,CASES
1928,43,NEBRASKA,NE,US,STATE,12,CASES
1928,44,NEBRASKA,NE,US,STATE,11,CASES
1928,45,NEBRASKA,NE,US,STATE,4,CASES
1928,46,NEBRASKA,NE,US,STATE,2,CASES
1928,47,NEBRASKA,NE,US,STATE,6,CASES
1928,49,NEBRASKA,NE,US,STATE,9,CASES
1928,50,NEBRASKA,NE,US,STATE,6,CASES
1928,51,NEBRASKA,NE,US,STATE,34,CASES
1928,52,NEBRASKA,NE,US,STATE,5,CASES
1929,1,NEBRASKA,NE,US,STATE,10,CASES
1929,2,NEBRASKA,NE,US,STATE,13,CASES
1929,3,NEBRASKA,NE,US,STATE,21,CASES
1929,4,NEBRASKA,NE,US,STATE,23,CASES
1929,5,NEBRASKA,NE,US,STATE,46,CASES
1929,6,NEBRASKA,NE,US,STATE,24,CASES
1929,7,NEBRASKA,NE,US,STATE,24,CASES
1929,8,NEBRASKA,NE,US,STATE,65,CASES
1929,9,NEBRASKA,NE,US,STATE,95,CASES
1929,10,NEBRASKA,NE,US,STATE,29,CASES
1929,11,NEBRASKA,NE,US,STATE,43,CASES
1929,12,NEBRASKA,NE,US,STATE,49,CASES
1929,13,NEBRASKA,NE,US,STATE,68,CASES
1929,14,NEBRASKA,NE,US,STATE,81,CASES
1929,15,NEBRASKA,NE,US,STATE,72,CASES
1929,16,NEBRASKA,NE,US,STATE,149,CASES
1929,17,NEBRASKA,NE,US,STATE,88,CASES
1929,18,NEBRASKA,NE,US,STATE,50,CASES
1929,19,NEBRASKA,NE,US,STATE,182,CASES
1929,20,NEBRASKA,NE,US,STATE,248,CASES
1929,21,NEBRASKA,NE,US,STATE,317,CASES
1929,22,NEBRASKA,NE,US,STATE,484,CASES
1929,23,NEBRASKA,NE,US,STATE,306,CASES
1929,24,NEBRASKA,NE,US,STATE,202,CASES
1929,25,NEBRASKA,NE,US,STATE,154,CASES
1929,26,NEBRASKA,NE,US,STATE,46,CASES
1929,27,NEBRASKA,NE,US,STATE,181,CASES
1929,28,NEBRASKA,NE,US,STATE,57,CASES
1929,29,NEBRASKA,NE,US,STATE,49,CASES
1929,30,NEBRASKA,NE,US,STATE,24,CASES
1929,31,NEBRASKA,NE,US,STATE,49,CASES
1929,32,NEBRASKA,NE,US,STATE,30,CASES
1929,33,NEBRASKA,NE,US,STATE,29,CASES
1929,34,NEBRASKA,NE,US,STATE,7,CASES
1929,35,NEBRASKA,NE,US,STATE,13,CASES
1929,37,NEBRASKA,NE,US,STATE,8,CASES
1929,38,NEBRASKA,NE,US,STATE,6,CASES
1929,39,NEBRASKA,NE,US,STATE,8,CASES
1929,40,NEBRASKA,NE,US,STATE,11,CASES
1929,41,NEBRASKA,NE,US,STATE,25,CASES
1929,42,NEBRASKA,NE,US,STATE,27,CASES
1929,43,NEBRASKA,NE,US,STATE,22,CASES
1929,44,NEBRASKA,NE,US,STATE,7,CASES
1929,45,NEBRASKA,NE,US,STATE,21,CASES
1929,46,NEBRASKA,NE,US,STATE,47,CASES
1929,47,NEBRASKA,NE,US,STATE,39,CASES
1929,48,NEBRASKA,NE,US,STATE,49,CASES
1929,49,NEBRASKA,NE,US,STATE,105,CASES
1929,50,NEBRASKA,NE,US,STATE,149,CASES
1929,51,NEBRASKA,NE,US,STATE,140,CASES
1929,52,NEBRASKA,NE,US,STATE,174,CASES
1930,1,NEBRASKA,NE,US,STATE,211,CASES
1930,2,NEBRASKA,NE,US,STATE,313,CASES
1930,3,NEBRASKA,NE,US,STATE,249,CASES
1930,4,NEBRASKA,NE,US,STATE,365,CASES
1930,5,NEBRASKA,NE,US,STATE,578,CASES
1930,6,NEBRASKA,NE,US,STATE,599,CASES
1930,7,NEBRASKA,NE,US,STATE,723,CASES
1930,8,NEBRASKA,NE,US,STATE,484,CASES
1930,9,NEBRASKA,NE,US,STATE,653,CASES
1930,10,NEBRASKA,NE,US,STATE,541,CASES
1930,11,NEBRASKA,NE,US,STATE,490,CASES
1930,12,NEBRASKA,NE,US,STATE,594,CASES
1930,13,NEBRASKA,NE,US,STATE,411,CASES
1930,14,NEBRASKA,NE,US,STATE,501,CASES
1930,15,NEBRASKA,NE,US,STATE,529,CASES
1930,16,NEBRASKA,NE,US,STATE,355,CASES
1930,17,NEBRASKA,NE,US,STATE,531,CASES
1930,18,NEBRASKA,NE,US,STATE,826,CASES
1930,19,NEBRASKA,NE,US,STATE,330,CASES
1930,20,NEBRASKA,NE,US,STATE,168,CASES
1930,21,NEBRASKA,NE,US,STATE,137,CASES
1930,22,NEBRASKA,NE,US,STATE,224,CASES
1930,23,NEBRASKA,NE,US,STATE,125,CASES
1930,24,NEBRASKA,NE,US,STATE,49,CASES
1930,25,NEBRASKA,NE,US,STATE,75,CASES
1930,26,NEBRASKA,NE,US,STATE,30,CASES
1930,27,NEBRASKA,NE,US,STATE,47,CASES
1930,28,NEBRASKA,NE,US,STATE,10,CASES
1930,29,NEBRASKA,NE,US,STATE,15,CASES
1930,30,NEBRASKA,NE,US,STATE,4,CASES
1930,31,NEBRASKA,NE,US,STATE,6,CASES
1930,32,NEBRASKA,NE,US,STATE,8,CASES
1930,33,NEBRASKA,NE,US,STATE,7,CASES
1930,34,NEBRASKA,NE,US,STATE,1,CASES
1930,35,NEBRASKA,NE,US,STATE,6,CASES
1930,36,NEBRASKA,NE,US,STATE,1,CASES
1930,37,NEBRASKA,NE,US,STATE,1,CASES
1930,38,NEBRASKA,NE,US,STATE,15,CASES
1930,39,NEBRASKA,NE,US,STATE,1,CASES
1930,41,NEBRASKA,NE,US,STATE,7,CASES
1930,42,NEBRASKA,NE,US,STATE,19,CASES
1930,43,NEBRASKA,NE,US,STATE,1,CASES
1930,44,NEBRASKA,NE,US,STATE,15,CASES
1930,45,NEBRASKA,NE,US,STATE,5,CASES
1930,46,NEBRASKA,NE,US,STATE,5,CASES
1930,47,NEBRASKA,NE,US,STATE,12,CASES
1930,48,NEBRASKA,NE,US,STATE,3,CASES
1930,49,NEBRASKA,NE,US,STATE,3,CASES
1930,50,NEBRASKA,NE,US,STATE,1,CASES
1930,52,NEBRASKA,NE,US,STATE,2,CASES
1930,53,NEBRASKA,NE,US,STATE,8,CASES
1931,1,NEBRASKA,NE,US,STATE,18,CASES
1931,2,NEBRASKA,NE,US,STATE,16,CASES
1931,3,NEBRASKA,NE,US,STATE,30,CASES
1931,4,NEBRASKA,NE,US,STATE,12,CASES
1931,5,NEBRASKA,NE,US,STATE,6,CASES
1931,6,NEBRASKA,NE,US,STATE,4,CASES
1931,7,NEBRASKA,NE,US,STATE,1,CASES
1931,8,NEBRASKA,NE,US,STATE,4,CASES
1931,9,NEBRASKA,NE,US,STATE,15,CASES
1931,10,NEBRASKA,NE,US,STATE,2,CASES
1931,11,NEBRASKA,NE,US,STATE,7,CASES
1931,12,NEBRASKA,NE,US,STATE,6,CASES
1931,13,NEBRASKA,NE,US,STATE,9,CASES
1931,14,NEBRASKA,NE,US,STATE,7,CASES
1931,15,NEBRASKA,NE,US,STATE,5,CASES
1931,16,NEBRASKA,NE,US,STATE,3,CASES
1931,17,NEBRASKA,NE,US,STATE,30,CASES
1931,18,NEBRASKA,NE,US,STATE,3,CASES
1931,19,NEBRASKA,NE,US,STATE,11,CASES
