year,week,loc,state,country,loc_type,number,event
1972,1,NEW HAMPSHIRE,NH,US,STATE,29,CASES
1972,3,NEW HAMPSHIRE,NH,US,STATE,12,CASES
1972,4,NEW HAMPSHIRE,NH,US,STATE,13,CASES
1972,5,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1972,6,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1972,7,NEW HAMPSHIRE,NH,US,STATE,48,CASES
1972,8,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1972,9,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1972,10,NEW HAMPSHIRE,NH,US,STATE,24,CASES
1972,11,NEW HAMPSHIRE,NH,US,STATE,31,CASES
1972,12,NEW HAMPSHIRE,NH,US,STATE,44,CASES
1972,13,NEW HAMPSHIRE,NH,US,STATE,60,CASES
1972,14,NEW HAMPSHIRE,NH,US,STATE,14,CASES
1972,15,NEW HAMPSHIRE,NH,US,STATE,81,CASES
1972,16,NEW HAMPSHIRE,NH,US,STATE,13,CASES
1972,18,NEW HAMPSHIRE,NH,US,STATE,52,CASES
1972,19,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1972,20,NEW HAMPSHIRE,NH,US,STATE,18,CASES
1972,21,NEW HAMPSHIRE,NH,US,STATE,15,CASES
1972,23,NEW HAMPSHIRE,NH,US,STATE,26,CASES
1972,24,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1972,25,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1972,26,NEW HAMPSHIRE,NH,US,STATE,16,CASES
1972,27,NEW HAMPSHIRE,NH,US,STATE,21,CASES
1972,28,NEW HAMPSHIRE,NH,US,STATE,12,CASES
1972,29,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1972,31,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1972,32,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1972,36,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1972,37,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1972,38,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1972,39,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1972,40,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1972,41,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1972,42,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1972,43,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1972,44,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1972,45,NEW HAMPSHIRE,NH,US,STATE,30,CASES
1972,46,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1972,47,NEW HAMPSHIRE,NH,US,STATE,163,CASES
1972,48,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1972,49,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1972,50,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1972,51,NEW HAMPSHIRE,NH,US,STATE,46,CASES
1973,1,NEW HAMPSHIRE,NH,US,STATE,54,CASES
1973,3,NEW HAMPSHIRE,NH,US,STATE,34,CASES
1973,4,NEW HAMPSHIRE,NH,US,STATE,17,CASES
1973,5,NEW HAMPSHIRE,NH,US,STATE,10,CASES
1973,6,NEW HAMPSHIRE,NH,US,STATE,47,CASES
1973,7,NEW HAMPSHIRE,NH,US,STATE,13,CASES
1973,8,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1973,9,NEW HAMPSHIRE,NH,US,STATE,24,CASES
1973,10,NEW HAMPSHIRE,NH,US,STATE,26,CASES
1973,11,NEW HAMPSHIRE,NH,US,STATE,17,CASES
1973,12,NEW HAMPSHIRE,NH,US,STATE,38,CASES
1973,13,NEW HAMPSHIRE,NH,US,STATE,33,CASES
1973,14,NEW HAMPSHIRE,NH,US,STATE,26,CASES
1973,15,NEW HAMPSHIRE,NH,US,STATE,35,CASES
1973,16,NEW HAMPSHIRE,NH,US,STATE,23,CASES
1973,17,NEW HAMPSHIRE,NH,US,STATE,32,CASES
1973,18,NEW HAMPSHIRE,NH,US,STATE,30,CASES
1973,19,NEW HAMPSHIRE,NH,US,STATE,20,CASES
1973,20,NEW HAMPSHIRE,NH,US,STATE,40,CASES
1973,21,NEW HAMPSHIRE,NH,US,STATE,20,CASES
1973,22,NEW HAMPSHIRE,NH,US,STATE,23,CASES
1973,23,NEW HAMPSHIRE,NH,US,STATE,24,CASES
1973,24,NEW HAMPSHIRE,NH,US,STATE,19,CASES
1973,25,NEW HAMPSHIRE,NH,US,STATE,10,CASES
1973,26,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1973,27,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1973,28,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1973,38,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1973,39,NEW HAMPSHIRE,NH,US,STATE,13,CASES
1973,40,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1973,43,NEW HAMPSHIRE,NH,US,STATE,26,CASES
1973,44,NEW HAMPSHIRE,NH,US,STATE,17,CASES
1973,45,NEW HAMPSHIRE,NH,US,STATE,18,CASES
1973,46,NEW HAMPSHIRE,NH,US,STATE,28,CASES
1973,47,NEW HAMPSHIRE,NH,US,STATE,15,CASES
1973,48,NEW HAMPSHIRE,NH,US,STATE,12,CASES
1973,49,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1973,50,NEW HAMPSHIRE,NH,US,STATE,21,CASES
1973,51,NEW HAMPSHIRE,NH,US,STATE,27,CASES
1973,52,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1974,1,NEW HAMPSHIRE,NH,US,STATE,26,CASES
1974,2,NEW HAMPSHIRE,NH,US,STATE,30,CASES
1974,3,NEW HAMPSHIRE,NH,US,STATE,61,CASES
1974,4,NEW HAMPSHIRE,NH,US,STATE,67,CASES
1974,5,NEW HAMPSHIRE,NH,US,STATE,69,CASES
1974,6,NEW HAMPSHIRE,NH,US,STATE,45,CASES
1974,7,NEW HAMPSHIRE,NH,US,STATE,23,CASES
1974,8,NEW HAMPSHIRE,NH,US,STATE,65,CASES
1974,9,NEW HAMPSHIRE,NH,US,STATE,37,CASES
1974,10,NEW HAMPSHIRE,NH,US,STATE,36,CASES
1974,11,NEW HAMPSHIRE,NH,US,STATE,35,CASES
1974,12,NEW HAMPSHIRE,NH,US,STATE,21,CASES
1974,13,NEW HAMPSHIRE,NH,US,STATE,13,CASES
1974,14,NEW HAMPSHIRE,NH,US,STATE,26,CASES
1974,15,NEW HAMPSHIRE,NH,US,STATE,28,CASES
1974,16,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1974,17,NEW HAMPSHIRE,NH,US,STATE,69,CASES
1974,18,NEW HAMPSHIRE,NH,US,STATE,22,CASES
1974,19,NEW HAMPSHIRE,NH,US,STATE,30,CASES
1974,20,NEW HAMPSHIRE,NH,US,STATE,16,CASES
1974,21,NEW HAMPSHIRE,NH,US,STATE,50,CASES
1974,22,NEW HAMPSHIRE,NH,US,STATE,32,CASES
1974,23,NEW HAMPSHIRE,NH,US,STATE,69,CASES
1974,24,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1974,25,NEW HAMPSHIRE,NH,US,STATE,10,CASES
1974,26,NEW HAMPSHIRE,NH,US,STATE,26,CASES
1974,27,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1974,28,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1974,29,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1974,31,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1974,32,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1974,34,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1974,36,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1974,37,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1974,40,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1974,42,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1974,48,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1974,49,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1974,51,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1975,1,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1975,2,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1975,3,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1975,4,NEW HAMPSHIRE,NH,US,STATE,16,CASES
1975,5,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1975,6,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1975,7,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1975,8,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1975,9,NEW HAMPSHIRE,NH,US,STATE,13,CASES
1975,10,NEW HAMPSHIRE,NH,US,STATE,24,CASES
1975,11,NEW HAMPSHIRE,NH,US,STATE,10,CASES
1975,12,NEW HAMPSHIRE,NH,US,STATE,14,CASES
