year,week,loc,state,country,loc_type,number,event
1927,52,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,4,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1928,5,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,6,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,7,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1928,9,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1928,10,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1928,12,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,14,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,15,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,16,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1928,17,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,18,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,19,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,20,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,21,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,24,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,28,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,30,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1928,31,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,32,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,34,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,35,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,37,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,38,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1928,39,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,42,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,43,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,45,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,46,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,47,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1928,48,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1928,49,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1928,50,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1928,51,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1928,52,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,1,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1929,3,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,6,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,7,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,8,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,9,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,11,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,12,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1929,13,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,14,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1929,15,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,17,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,19,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,21,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,23,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1929,24,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1929,25,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,27,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,28,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,33,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,34,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1929,36,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1929,37,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,38,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1929,40,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1929,41,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,42,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,43,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1929,44,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,45,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1929,46,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1929,47,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1929,48,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1929,50,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1929,51,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1929,52,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1930,1,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1930,3,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1930,4,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1930,6,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1930,7,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1930,8,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1930,9,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1930,10,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1930,11,NEW HAMPSHIRE,NH,US,STATE,4,CASES
