year,week,loc,state,country,loc_type,number,event
1927,52,NEW HAMPSHIRE,NH,US,STATE,32,CASES
1928,4,NEW HAMPSHIRE,NH,US,STATE,17,CASES
1928,6,NEW HAMPSHIRE,NH,US,STATE,20,CASES
1928,7,NEW HAMPSHIRE,NH,US,STATE,24,CASES
1928,9,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1928,10,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1928,13,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1928,31,NEW HAMPSHIRE,NH,US,STATE,10,CASES
1928,33,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1928,34,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1928,37,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1928,39,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1928,40,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1928,41,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1928,42,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1928,43,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1928,44,NEW HAMPSHIRE,NH,US,STATE,21,CASES
1928,46,NEW HAMPSHIRE,NH,US,STATE,13,CASES
1928,47,NEW HAMPSHIRE,NH,US,STATE,16,CASES
1928,48,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1928,49,NEW HAMPSHIRE,NH,US,STATE,17,CASES
1928,52,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1929,1,NEW HAMPSHIRE,NH,US,STATE,17,CASES
1929,2,NEW HAMPSHIRE,NH,US,STATE,75,CASES
1929,3,NEW HAMPSHIRE,NH,US,STATE,170,CASES
1929,4,NEW HAMPSHIRE,NH,US,STATE,74,CASES
1929,5,NEW HAMPSHIRE,NH,US,STATE,265,CASES
1929,6,NEW HAMPSHIRE,NH,US,STATE,123,CASES
1929,7,NEW HAMPSHIRE,NH,US,STATE,65,CASES
1929,8,NEW HAMPSHIRE,NH,US,STATE,40,CASES
1929,9,NEW HAMPSHIRE,NH,US,STATE,55,CASES
1929,10,NEW HAMPSHIRE,NH,US,STATE,24,CASES
1929,11,NEW HAMPSHIRE,NH,US,STATE,20,CASES
1929,12,NEW HAMPSHIRE,NH,US,STATE,14,CASES
1929,13,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1929,14,NEW HAMPSHIRE,NH,US,STATE,13,CASES
1929,15,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1929,17,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1929,40,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1929,42,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1929,43,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1929,46,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1929,48,NEW HAMPSHIRE,NH,US,STATE,5,CASES
