year,week,loc,state,country,loc_type,number,event
1968,2,NEW HAMPSHIRE,NH,US,STATE,10,CASES
1968,3,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1968,4,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1968,5,NEW HAMPSHIRE,NH,US,STATE,10,CASES
1968,6,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1968,7,NEW HAMPSHIRE,NH,US,STATE,19,CASES
1968,8,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1968,9,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1968,10,NEW HAMPSHIRE,NH,US,STATE,33,CASES
1968,11,NEW HAMPSHIRE,NH,US,STATE,17,CASES
1968,12,NEW HAMPSHIRE,NH,US,STATE,22,CASES
1968,13,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1968,14,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1968,15,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1968,16,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,17,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1968,18,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,19,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1968,20,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1968,21,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1968,22,NEW HAMPSHIRE,NH,US,STATE,15,CASES
1968,23,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,24,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1968,25,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,27,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,28,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,29,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,31,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,32,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,37,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,38,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,39,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1968,40,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1968,41,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,42,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1968,46,NEW HAMPSHIRE,NH,US,STATE,16,CASES
1968,47,NEW HAMPSHIRE,NH,US,STATE,19,CASES
1968,48,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,49,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,50,NEW HAMPSHIRE,NH,US,STATE,9,CASES
