year,week,loc,state,country,loc_type,number,event
1927,47,NEW JERSEY,NJ,US,STATE,63,CASES
1927,48,NEW JERSEY,NJ,US,STATE,62,CASES
1927,49,NEW JERSEY,NJ,US,STATE,89,CASES
1927,51,NEW JERSEY,NJ,US,STATE,54,CASES
1927,52,NEW JERSEY,NJ,US,STATE,115,CASES
1928,1,NEW JERSEY,NJ,US,STATE,141,CASES
1928,2,NEW JERSEY,NJ,US,STATE,188,CASES
1928,3,NEW JERSEY,NJ,US,STATE,265,CASES
1928,4,NEW JERSEY,NJ,US,STATE,269,CASES
1928,5,NEW JERSEY,NJ,US,STATE,367,CASES
1928,6,NEW JERSEY,NJ,US,STATE,423,CASES
1928,7,NEW JERSEY,NJ,US,STATE,451,CASES
1928,8,NEW JERSEY,NJ,US,STATE,790,CASES
1928,9,NEW JERSEY,NJ,US,STATE,774,CASES
1928,10,NEW JERSEY,NJ,US,STATE,996,CASES
1928,11,NEW JERSEY,NJ,US,STATE,1131,CASES
1928,12,NEW JERSEY,NJ,US,STATE,1307,CASES
1928,13,NEW JERSEY,NJ,US,STATE,1442,CASES
1928,14,NEW JERSEY,NJ,US,STATE,1354,CASES
1928,15,NEW JERSEY,NJ,US,STATE,1582,CASES
1928,16,NEW JERSEY,NJ,US,STATE,1574,CASES
1928,17,NEW JERSEY,NJ,US,STATE,1499,CASES
1928,18,NEW JERSEY,NJ,US,STATE,2004,CASES
1928,19,NEW JERSEY,NJ,US,STATE,2114,CASES
1928,20,NEW JERSEY,NJ,US,STATE,1952,CASES
1928,21,NEW JERSEY,NJ,US,STATE,1894,CASES
1928,22,NEW JERSEY,NJ,US,STATE,1796,CASES
1928,23,NEW JERSEY,NJ,US,STATE,1646,CASES
1928,24,NEW JERSEY,NJ,US,STATE,1314,CASES
1928,25,NEW JERSEY,NJ,US,STATE,989,CASES
1928,26,NEW JERSEY,NJ,US,STATE,795,CASES
1928,27,NEW JERSEY,NJ,US,STATE,515,CASES
1928,28,NEW JERSEY,NJ,US,STATE,432,CASES
1928,29,NEW JERSEY,NJ,US,STATE,226,CASES
1928,30,NEW JERSEY,NJ,US,STATE,193,CASES
1928,31,NEW JERSEY,NJ,US,STATE,98,CASES
1928,32,NEW JERSEY,NJ,US,STATE,66,CASES
1928,33,NEW JERSEY,NJ,US,STATE,43,CASES
1928,34,NEW JERSEY,NJ,US,STATE,19,CASES
1928,35,NEW JERSEY,NJ,US,STATE,32,CASES
1928,36,NEW JERSEY,NJ,US,STATE,10,CASES
1928,37,NEW JERSEY,NJ,US,STATE,14,CASES
1928,38,NEW JERSEY,NJ,US,STATE,18,CASES
1928,39,NEW JERSEY,NJ,US,STATE,12,CASES
1928,41,NEW JERSEY,NJ,US,STATE,30,CASES
1928,42,NEW JERSEY,NJ,US,STATE,46,CASES
1928,43,NEW JERSEY,NJ,US,STATE,62,CASES
1928,44,NEW JERSEY,NJ,US,STATE,68,CASES
1928,45,NEW JERSEY,NJ,US,STATE,65,CASES
1928,46,NEW JERSEY,NJ,US,STATE,78,CASES
1928,47,NEW JERSEY,NJ,US,STATE,130,CASES
1928,48,NEW JERSEY,NJ,US,STATE,60,CASES
1928,49,NEW JERSEY,NJ,US,STATE,87,CASES
1928,50,NEW JERSEY,NJ,US,STATE,97,CASES
1928,51,NEW JERSEY,NJ,US,STATE,88,CASES
1928,52,NEW JERSEY,NJ,US,STATE,79,CASES
1929,1,NEW JERSEY,NJ,US,STATE,146,CASES
1929,2,NEW JERSEY,NJ,US,STATE,189,CASES
1929,3,NEW JERSEY,NJ,US,STATE,157,CASES
1929,4,NEW JERSEY,NJ,US,STATE,184,CASES
1929,5,NEW JERSEY,NJ,US,STATE,144,CASES
1929,6,NEW JERSEY,NJ,US,STATE,254,CASES
1929,7,NEW JERSEY,NJ,US,STATE,226,CASES
1929,8,NEW JERSEY,NJ,US,STATE,194,CASES
1929,9,NEW JERSEY,NJ,US,STATE,329,CASES
1929,10,NEW JERSEY,NJ,US,STATE,294,CASES
1929,11,NEW JERSEY,NJ,US,STATE,279,CASES
1929,12,NEW JERSEY,NJ,US,STATE,246,CASES
1929,13,NEW JERSEY,NJ,US,STATE,273,CASES
1929,14,NEW JERSEY,NJ,US,STATE,343,CASES
1929,15,NEW JERSEY,NJ,US,STATE,286,CASES
1929,16,NEW JERSEY,NJ,US,STATE,280,CASES
1929,17,NEW JERSEY,NJ,US,STATE,332,CASES
1929,18,NEW JERSEY,NJ,US,STATE,337,CASES
1929,19,NEW JERSEY,NJ,US,STATE,288,CASES
1929,20,NEW JERSEY,NJ,US,STATE,295,CASES
1929,21,NEW JERSEY,NJ,US,STATE,306,CASES
1929,22,NEW JERSEY,NJ,US,STATE,239,CASES
1929,23,NEW JERSEY,NJ,US,STATE,282,CASES
1929,24,NEW JERSEY,NJ,US,STATE,211,CASES
1929,25,NEW JERSEY,NJ,US,STATE,173,CASES
1929,26,NEW JERSEY,NJ,US,STATE,104,CASES
1929,27,NEW JERSEY,NJ,US,STATE,101,CASES
1929,28,NEW JERSEY,NJ,US,STATE,75,CASES
1929,29,NEW JERSEY,NJ,US,STATE,58,CASES
1929,30,NEW JERSEY,NJ,US,STATE,28,CASES
1929,31,NEW JERSEY,NJ,US,STATE,29,CASES
1929,32,NEW JERSEY,NJ,US,STATE,25,CASES
1929,33,NEW JERSEY,NJ,US,STATE,19,CASES
1929,34,NEW JERSEY,NJ,US,STATE,15,CASES
1929,35,NEW JERSEY,NJ,US,STATE,7,CASES
1929,36,NEW JERSEY,NJ,US,STATE,9,CASES
1929,37,NEW JERSEY,NJ,US,STATE,18,CASES
1929,38,NEW JERSEY,NJ,US,STATE,8,CASES
1929,39,NEW JERSEY,NJ,US,STATE,7,CASES
1929,40,NEW JERSEY,NJ,US,STATE,8,CASES
1929,41,NEW JERSEY,NJ,US,STATE,8,CASES
1929,42,NEW JERSEY,NJ,US,STATE,11,CASES
1929,43,NEW JERSEY,NJ,US,STATE,15,CASES
1929,44,NEW JERSEY,NJ,US,STATE,28,CASES
1929,45,NEW JERSEY,NJ,US,STATE,16,CASES
1929,46,NEW JERSEY,NJ,US,STATE,39,CASES
1929,47,NEW JERSEY,NJ,US,STATE,36,CASES
1929,48,NEW JERSEY,NJ,US,STATE,31,CASES
1929,49,NEW JERSEY,NJ,US,STATE,72,CASES
1929,50,NEW JERSEY,NJ,US,STATE,65,CASES
1929,51,NEW JERSEY,NJ,US,STATE,78,CASES
1929,52,NEW JERSEY,NJ,US,STATE,56,CASES
1930,1,NEW JERSEY,NJ,US,STATE,105,CASES
1930,2,NEW JERSEY,NJ,US,STATE,219,CASES
1930,3,NEW JERSEY,NJ,US,STATE,154,CASES
1930,4,NEW JERSEY,NJ,US,STATE,221,CASES
1930,5,NEW JERSEY,NJ,US,STATE,274,CASES
1930,6,NEW JERSEY,NJ,US,STATE,323,CASES
