year,week,loc,state,country,loc_type,number,event
1972,1,NEW MEXICO,NM,US,STATE,6,CASES
1972,3,NEW MEXICO,NM,US,STATE,21,CASES
1972,4,NEW MEXICO,NM,US,STATE,38,CASES
1972,5,NEW MEXICO,NM,US,STATE,27,CASES
1972,6,NEW MEXICO,NM,US,STATE,31,CASES
1972,7,NEW MEXICO,NM,US,STATE,6,CASES
1972,8,NEW MEXICO,NM,US,STATE,98,CASES
1972,9,NEW MEXICO,NM,US,STATE,17,CASES
1972,10,NEW MEXICO,NM,US,STATE,26,CASES
1972,11,NEW MEXICO,NM,US,STATE,17,CASES
1972,12,NEW MEXICO,NM,US,STATE,51,CASES
1972,13,NEW MEXICO,NM,US,STATE,12,CASES
1972,14,NEW MEXICO,NM,US,STATE,15,CASES
1972,15,NEW MEXICO,NM,US,STATE,58,CASES
1972,16,NEW MEXICO,NM,US,STATE,31,CASES
1972,17,NEW MEXICO,NM,US,STATE,31,CASES
1972,18,NEW MEXICO,NM,US,STATE,27,CASES
1972,19,NEW MEXICO,NM,US,STATE,35,CASES
1972,20,NEW MEXICO,NM,US,STATE,46,CASES
1972,21,NEW MEXICO,NM,US,STATE,45,CASES
1972,23,NEW MEXICO,NM,US,STATE,55,CASES
1972,24,NEW MEXICO,NM,US,STATE,42,CASES
1972,25,NEW MEXICO,NM,US,STATE,26,CASES
1972,26,NEW MEXICO,NM,US,STATE,14,CASES
1972,27,NEW MEXICO,NM,US,STATE,19,CASES
1972,28,NEW MEXICO,NM,US,STATE,13,CASES
1972,29,NEW MEXICO,NM,US,STATE,18,CASES
1972,30,NEW MEXICO,NM,US,STATE,11,CASES
1972,31,NEW MEXICO,NM,US,STATE,2,CASES
1972,32,NEW MEXICO,NM,US,STATE,2,CASES
1972,33,NEW MEXICO,NM,US,STATE,6,CASES
1972,37,NEW MEXICO,NM,US,STATE,9,CASES
1972,38,NEW MEXICO,NM,US,STATE,7,CASES
1972,40,NEW MEXICO,NM,US,STATE,2,CASES
1972,41,NEW MEXICO,NM,US,STATE,1,CASES
1972,42,NEW MEXICO,NM,US,STATE,14,CASES
1972,43,NEW MEXICO,NM,US,STATE,2,CASES
1972,44,NEW MEXICO,NM,US,STATE,5,CASES
1972,45,NEW MEXICO,NM,US,STATE,4,CASES
1972,46,NEW MEXICO,NM,US,STATE,45,CASES
1972,47,NEW MEXICO,NM,US,STATE,3,CASES
