year,week,loc,state,country,loc_type,number,event
1937,43,NEW MEXICO,NM,US,STATE,28,CASES
1937,44,NEW MEXICO,NM,US,STATE,26,CASES
1937,45,NEW MEXICO,NM,US,STATE,58,CASES
1937,46,NEW MEXICO,NM,US,STATE,74,CASES
1937,47,NEW MEXICO,NM,US,STATE,51,CASES
1937,48,NEW MEXICO,NM,US,STATE,27,CASES
1937,49,NEW MEXICO,NM,US,STATE,29,CASES
1937,50,NEW MEXICO,NM,US,STATE,9,CASES
1937,51,NEW MEXICO,NM,US,STATE,20,CASES
1937,52,NEW MEXICO,NM,US,STATE,15,CASES
1938,1,NEW MEXICO,NM,US,STATE,19,CASES
1938,2,NEW MEXICO,NM,US,STATE,60,CASES
1938,3,NEW MEXICO,NM,US,STATE,32,CASES
1938,4,NEW MEXICO,NM,US,STATE,36,CASES
1938,5,NEW MEXICO,NM,US,STATE,35,CASES
1938,6,NEW MEXICO,NM,US,STATE,37,CASES
1938,7,NEW MEXICO,NM,US,STATE,17,CASES
1938,8,NEW MEXICO,NM,US,STATE,31,CASES
1938,9,NEW MEXICO,NM,US,STATE,36,CASES
1938,10,NEW MEXICO,NM,US,STATE,81,CASES
1938,11,NEW MEXICO,NM,US,STATE,51,CASES
1938,12,NEW MEXICO,NM,US,STATE,21,CASES
1938,13,NEW MEXICO,NM,US,STATE,31,CASES
1938,14,NEW MEXICO,NM,US,STATE,19,CASES
1938,15,NEW MEXICO,NM,US,STATE,20,CASES
1938,16,NEW MEXICO,NM,US,STATE,42,CASES
1938,17,NEW MEXICO,NM,US,STATE,15,CASES
1938,18,NEW MEXICO,NM,US,STATE,35,CASES
1938,19,NEW MEXICO,NM,US,STATE,19,CASES
1938,20,NEW MEXICO,NM,US,STATE,7,CASES
1938,21,NEW MEXICO,NM,US,STATE,19,CASES
1938,22,NEW MEXICO,NM,US,STATE,12,CASES
1938,23,NEW MEXICO,NM,US,STATE,6,CASES
1938,24,NEW MEXICO,NM,US,STATE,27,CASES
1938,25,NEW MEXICO,NM,US,STATE,284,CASES
1938,26,NEW MEXICO,NM,US,STATE,185,CASES
1938,27,NEW MEXICO,NM,US,STATE,358,CASES
1938,28,NEW MEXICO,NM,US,STATE,222,CASES
1938,29,NEW MEXICO,NM,US,STATE,161,CASES
1938,30,NEW MEXICO,NM,US,STATE,235,CASES
1938,31,NEW MEXICO,NM,US,STATE,161,CASES
1938,32,NEW MEXICO,NM,US,STATE,99,CASES
1938,33,NEW MEXICO,NM,US,STATE,358,CASES
1938,34,NEW MEXICO,NM,US,STATE,148,CASES
1938,35,NEW MEXICO,NM,US,STATE,371,CASES
1938,36,NEW MEXICO,NM,US,STATE,86,CASES
1938,37,NEW MEXICO,NM,US,STATE,185,CASES
1938,38,NEW MEXICO,NM,US,STATE,9,CASES
1938,39,NEW MEXICO,NM,US,STATE,24,CASES
1938,40,NEW MEXICO,NM,US,STATE,111,CASES
1938,41,NEW MEXICO,NM,US,STATE,7,CASES
1938,42,NEW MEXICO,NM,US,STATE,99,CASES
1938,43,NEW MEXICO,NM,US,STATE,20,CASES
1938,44,NEW MEXICO,NM,US,STATE,185,CASES
1938,45,NEW MEXICO,NM,US,STATE,19,CASES
1938,46,NEW MEXICO,NM,US,STATE,111,CASES
1938,47,NEW MEXICO,NM,US,STATE,25,CASES
1938,48,NEW MEXICO,NM,US,STATE,111,CASES
1938,49,NEW MEXICO,NM,US,STATE,383,CASES
1938,50,NEW MEXICO,NM,US,STATE,185,CASES
1938,51,NEW MEXICO,NM,US,STATE,30,CASES
1938,52,NEW MEXICO,NM,US,STATE,13,CASES
1939,1,NEW MEXICO,NM,US,STATE,49,CASES
1939,2,NEW MEXICO,NM,US,STATE,259,CASES
1939,3,NEW MEXICO,NM,US,STATE,507,CASES
1939,4,NEW MEXICO,NM,US,STATE,321,CASES
1939,5,NEW MEXICO,NM,US,STATE,9,CASES
1939,6,NEW MEXICO,NM,US,STATE,21,CASES
1939,7,NEW MEXICO,NM,US,STATE,23,CASES
1939,8,NEW MEXICO,NM,US,STATE,20,CASES
1939,9,NEW MEXICO,NM,US,STATE,45,CASES
1939,10,NEW MEXICO,NM,US,STATE,13,CASES
1939,11,NEW MEXICO,NM,US,STATE,12,CASES
1939,12,NEW MEXICO,NM,US,STATE,13,CASES
1939,13,NEW MEXICO,NM,US,STATE,12,CASES
1939,14,NEW MEXICO,NM,US,STATE,8,CASES
1939,15,NEW MEXICO,NM,US,STATE,9,CASES
1939,16,NEW MEXICO,NM,US,STATE,247,CASES
1939,17,NEW MEXICO,NM,US,STATE,519,CASES
1939,18,NEW MEXICO,NM,US,STATE,41,CASES
1939,19,NEW MEXICO,NM,US,STATE,568,CASES
1939,20,NEW MEXICO,NM,US,STATE,235,CASES
1939,21,NEW MEXICO,NM,US,STATE,40,CASES
1939,22,NEW MEXICO,NM,US,STATE,18,CASES
1939,23,NEW MEXICO,NM,US,STATE,9,CASES
1939,24,NEW MEXICO,NM,US,STATE,210,CASES
1939,25,NEW MEXICO,NM,US,STATE,33,CASES
1939,26,NEW MEXICO,NM,US,STATE,18,CASES
1939,27,NEW MEXICO,NM,US,STATE,161,CASES
1939,28,NEW MEXICO,NM,US,STATE,19,CASES
1939,29,NEW MEXICO,NM,US,STATE,19,CASES
1939,30,NEW MEXICO,NM,US,STATE,31,CASES
1939,31,NEW MEXICO,NM,US,STATE,15,CASES
1939,32,NEW MEXICO,NM,US,STATE,111,CASES
1939,33,NEW MEXICO,NM,US,STATE,5,CASES
1939,34,NEW MEXICO,NM,US,STATE,6,CASES
1939,35,NEW MEXICO,NM,US,STATE,10,CASES
1939,36,NEW MEXICO,NM,US,STATE,74,CASES
1939,37,NEW MEXICO,NM,US,STATE,46,CASES
1939,38,NEW MEXICO,NM,US,STATE,222,CASES
1939,39,NEW MEXICO,NM,US,STATE,494,CASES
1939,40,NEW MEXICO,NM,US,STATE,99,CASES
1939,41,NEW MEXICO,NM,US,STATE,247,CASES
1939,42,NEW MEXICO,NM,US,STATE,23,CASES
1939,43,NEW MEXICO,NM,US,STATE,99,CASES
1939,44,NEW MEXICO,NM,US,STATE,36,CASES
1939,45,NEW MEXICO,NM,US,STATE,27,CASES
1939,46,NEW MEXICO,NM,US,STATE,395,CASES
1939,47,NEW MEXICO,NM,US,STATE,3,CASES
1939,48,NEW MEXICO,NM,US,STATE,297,CASES
1939,49,NEW MEXICO,NM,US,STATE,445,CASES
1939,50,NEW MEXICO,NM,US,STATE,346,CASES
1939,51,NEW MEXICO,NM,US,STATE,42,CASES
1939,52,NEW MEXICO,NM,US,STATE,259,CASES
1940,2,NEW MEXICO,NM,US,STATE,14,CASES
1940,3,NEW MEXICO,NM,US,STATE,32,CASES
1940,4,NEW MEXICO,NM,US,STATE,62,CASES
1940,6,NEW MEXICO,NM,US,STATE,37,CASES
1940,7,NEW MEXICO,NM,US,STATE,60,CASES
1940,8,NEW MEXICO,NM,US,STATE,23,CASES
1940,9,NEW MEXICO,NM,US,STATE,71,CASES
1940,10,NEW MEXICO,NM,US,STATE,19,CASES
1940,11,NEW MEXICO,NM,US,STATE,53,CASES
1940,12,NEW MEXICO,NM,US,STATE,12,CASES
1940,13,NEW MEXICO,NM,US,STATE,31,CASES
1940,14,NEW MEXICO,NM,US,STATE,70,CASES
1940,15,NEW MEXICO,NM,US,STATE,45,CASES
1940,16,NEW MEXICO,NM,US,STATE,21,CASES
1940,17,NEW MEXICO,NM,US,STATE,144,CASES
1940,18,NEW MEXICO,NM,US,STATE,50,CASES
1940,19,NEW MEXICO,NM,US,STATE,62,CASES
1940,20,NEW MEXICO,NM,US,STATE,48,CASES
1940,21,NEW MEXICO,NM,US,STATE,67,CASES
1940,22,NEW MEXICO,NM,US,STATE,14,CASES
1940,23,NEW MEXICO,NM,US,STATE,45,CASES
1940,24,NEW MEXICO,NM,US,STATE,45,CASES
1940,25,NEW MEXICO,NM,US,STATE,17,CASES
1940,26,NEW MEXICO,NM,US,STATE,25,CASES
1940,27,NEW MEXICO,NM,US,STATE,22,CASES
1940,28,NEW MEXICO,NM,US,STATE,18,CASES
1940,29,NEW MEXICO,NM,US,STATE,38,CASES
1940,30,NEW MEXICO,NM,US,STATE,26,CASES
1940,31,NEW MEXICO,NM,US,STATE,34,CASES
1940,32,NEW MEXICO,NM,US,STATE,8,CASES
1940,33,NEW MEXICO,NM,US,STATE,45,CASES
1940,34,NEW MEXICO,NM,US,STATE,4,CASES
1940,35,NEW MEXICO,NM,US,STATE,7,CASES
1940,36,NEW MEXICO,NM,US,STATE,18,CASES
1940,37,NEW MEXICO,NM,US,STATE,6,CASES
1940,38,NEW MEXICO,NM,US,STATE,22,CASES
1940,39,NEW MEXICO,NM,US,STATE,18,CASES
1940,40,NEW MEXICO,NM,US,STATE,23,CASES
1940,41,NEW MEXICO,NM,US,STATE,4,CASES
1940,42,NEW MEXICO,NM,US,STATE,17,CASES
1940,43,NEW MEXICO,NM,US,STATE,19,CASES
1940,44,NEW MEXICO,NM,US,STATE,10,CASES
1940,45,NEW MEXICO,NM,US,STATE,7,CASES
1940,46,NEW MEXICO,NM,US,STATE,9,CASES
1940,47,NEW MEXICO,NM,US,STATE,20,CASES
1940,48,NEW MEXICO,NM,US,STATE,21,CASES
1940,49,NEW MEXICO,NM,US,STATE,16,CASES
1940,50,NEW MEXICO,NM,US,STATE,23,CASES
1940,51,NEW MEXICO,NM,US,STATE,15,CASES
1940,52,NEW MEXICO,NM,US,STATE,12,CASES
1941,1,NEW MEXICO,NM,US,STATE,15,CASES
1941,2,NEW MEXICO,NM,US,STATE,22,CASES
1941,3,NEW MEXICO,NM,US,STATE,12,CASES
1941,4,NEW MEXICO,NM,US,STATE,39,CASES
1941,5,NEW MEXICO,NM,US,STATE,21,CASES
1941,6,NEW MEXICO,NM,US,STATE,13,CASES
1941,7,NEW MEXICO,NM,US,STATE,14,CASES
1941,9,NEW MEXICO,NM,US,STATE,17,CASES
1941,10,NEW MEXICO,NM,US,STATE,24,CASES
1941,11,NEW MEXICO,NM,US,STATE,16,CASES
1941,12,NEW MEXICO,NM,US,STATE,15,CASES
1941,13,NEW MEXICO,NM,US,STATE,31,CASES
1941,14,NEW MEXICO,NM,US,STATE,26,CASES
1941,15,NEW MEXICO,NM,US,STATE,29,CASES
