year,week,loc,state,country,loc_type,number,event
1968,5,NEVADA,NV,US,STATE,31,CASES
1968,6,NEVADA,NV,US,STATE,8,CASES
1968,10,NEVADA,NV,US,STATE,10,CASES
1968,12,NEVADA,NV,US,STATE,7,CASES
1968,13,NEVADA,NV,US,STATE,14,CASES
1968,14,NEVADA,NV,US,STATE,80,CASES
1968,15,NEVADA,NV,US,STATE,18,CASES
1968,17,NEVADA,NV,US,STATE,10,CASES
1968,18,NEVADA,NV,US,STATE,4,CASES
1972,14,NEVADA,NV,US,STATE,19,CASES
1972,16,NEVADA,NV,US,STATE,4,CASES
1972,17,NEVADA,NV,US,STATE,17,CASES
1972,18,NEVADA,NV,US,STATE,3,CASES
1972,19,NEVADA,NV,US,STATE,2,CASES
1972,39,NEVADA,NV,US,STATE,2,CASES
1972,46,NEVADA,NV,US,STATE,1,CASES
1972,48,NEVADA,NV,US,STATE,1,CASES
1972,51,NEVADA,NV,US,STATE,1,CASES
1973,3,NEVADA,NV,US,STATE,2,CASES
1973,11,NEVADA,NV,US,STATE,5,CASES
1973,28,NEVADA,NV,US,STATE,1,CASES
1973,42,NEVADA,NV,US,STATE,1,CASES
1973,52,NEVADA,NV,US,STATE,5,CASES
1974,14,NEVADA,NV,US,STATE,2,CASES
1974,22,NEVADA,NV,US,STATE,1,CASES
1974,25,NEVADA,NV,US,STATE,1,CASES
1974,34,NEVADA,NV,US,STATE,1,CASES
1974,46,NEVADA,NV,US,STATE,1,CASES
1974,47,NEVADA,NV,US,STATE,7,CASES
1974,49,NEVADA,NV,US,STATE,2,CASES
1974,50,NEVADA,NV,US,STATE,2,CASES
1974,51,NEVADA,NV,US,STATE,1,CASES
1974,52,NEVADA,NV,US,STATE,5,CASES
1975,2,NEVADA,NV,US,STATE,15,CASES
1975,3,NEVADA,NV,US,STATE,5,CASES
1975,4,NEVADA,NV,US,STATE,3,CASES
1975,5,NEVADA,NV,US,STATE,3,CASES
1975,6,NEVADA,NV,US,STATE,1,CASES
1975,10,NEVADA,NV,US,STATE,3,CASES
1975,11,NEVADA,NV,US,STATE,4,CASES
1975,14,NEVADA,NV,US,STATE,2,CASES
1975,15,NEVADA,NV,US,STATE,7,CASES
1975,16,NEVADA,NV,US,STATE,6,CASES
1975,17,NEVADA,NV,US,STATE,2,CASES
1975,20,NEVADA,NV,US,STATE,11,CASES
1975,21,NEVADA,NV,US,STATE,4,CASES
1975,22,NEVADA,NV,US,STATE,5,CASES
1975,24,NEVADA,NV,US,STATE,3,CASES
1975,27,NEVADA,NV,US,STATE,1,CASES
1975,28,NEVADA,NV,US,STATE,2,CASES
1975,29,NEVADA,NV,US,STATE,3,CASES
1975,31,NEVADA,NV,US,STATE,2,CASES
1975,32,NEVADA,NV,US,STATE,2,CASES
1975,36,NEVADA,NV,US,STATE,1,CASES
1975,37,NEVADA,NV,US,STATE,1,CASES
1975,38,NEVADA,NV,US,STATE,2,CASES
