year,week,loc,state,country,loc_type,number,event
1927,47,NEW YORK,NY,US,STATE,133,CASES
1927,48,NEW YORK,NY,US,STATE,299,CASES
1927,49,NEW YORK,NY,US,STATE,289,CASES
1927,51,NEW YORK,NY,US,STATE,318,CASES
1927,52,NEW YORK,NY,US,STATE,636,CASES
1928,1,NEW YORK,NY,US,STATE,882,CASES
1928,2,NEW YORK,NY,US,STATE,1119,CASES
1928,3,NEW YORK,NY,US,STATE,991,CASES
1928,4,NEW YORK,NY,US,STATE,1081,CASES
1928,5,NEW YORK,NY,US,STATE,1234,CASES
1928,6,NEW YORK,NY,US,STATE,1461,CASES
1928,7,NEW YORK,NY,US,STATE,1723,CASES
1928,8,NEW YORK,NY,US,STATE,1659,CASES
1928,9,NEW YORK,NY,US,STATE,2108,CASES
1928,10,NEW YORK,NY,US,STATE,1910,CASES
1928,11,NEW YORK,NY,US,STATE,2373,CASES
1928,12,NEW YORK,NY,US,STATE,2548,CASES
1928,13,NEW YORK,NY,US,STATE,2711,CASES
1928,14,NEW YORK,NY,US,STATE,2829,CASES
1928,15,NEW YORK,NY,US,STATE,2723,CASES
1928,16,NEW YORK,NY,US,STATE,3197,CASES
1928,17,NEW YORK,NY,US,STATE,3045,CASES
1928,18,NEW YORK,NY,US,STATE,3967,CASES
1928,19,NEW YORK,NY,US,STATE,4021,CASES
1928,20,NEW YORK,NY,US,STATE,4129,CASES
1928,21,NEW YORK,NY,US,STATE,4024,CASES
1928,22,NEW YORK,NY,US,STATE,4133,CASES
1928,23,NEW YORK,NY,US,STATE,3833,CASES
1928,24,NEW YORK,NY,US,STATE,3062,CASES
1928,25,NEW YORK,NY,US,STATE,2509,CASES
1928,26,NEW YORK,NY,US,STATE,1647,CASES
1928,27,NEW YORK,NY,US,STATE,1407,CASES
1928,28,NEW YORK,NY,US,STATE,1045,CASES
1928,29,NEW YORK,NY,US,STATE,787,CASES
1928,30,NEW YORK,NY,US,STATE,410,CASES
1928,31,NEW YORK,NY,US,STATE,363,CASES
1928,32,NEW YORK,NY,US,STATE,289,CASES
1928,33,NEW YORK,NY,US,STATE,194,CASES
1928,35,NEW YORK,NY,US,STATE,88,CASES
1928,36,NEW YORK,NY,US,STATE,121,CASES
1928,37,NEW YORK,NY,US,STATE,65,CASES
1928,38,NEW YORK,NY,US,STATE,72,CASES
1928,39,NEW YORK,NY,US,STATE,88,CASES
1928,41,NEW YORK,NY,US,STATE,155,CASES
1928,42,NEW YORK,NY,US,STATE,191,CASES
1928,43,NEW YORK,NY,US,STATE,224,CASES
1928,44,NEW YORK,NY,US,STATE,330,CASES
1928,45,NEW YORK,NY,US,STATE,243,CASES
1928,46,NEW YORK,NY,US,STATE,367,CASES
1928,47,NEW YORK,NY,US,STATE,581,CASES
1928,48,NEW YORK,NY,US,STATE,421,CASES
1928,49,NEW YORK,NY,US,STATE,766,CASES
1928,50,NEW YORK,NY,US,STATE,782,CASES
1928,51,NEW YORK,NY,US,STATE,823,CASES
1928,52,NEW YORK,NY,US,STATE,615,CASES
1929,1,NEW YORK,NY,US,STATE,947,CASES
1929,2,NEW YORK,NY,US,STATE,946,CASES
1929,3,NEW YORK,NY,US,STATE,843,CASES
1929,4,NEW YORK,NY,US,STATE,735,CASES
1929,5,NEW YORK,NY,US,STATE,737,CASES
1929,6,NEW YORK,NY,US,STATE,984,CASES
1929,7,NEW YORK,NY,US,STATE,817,CASES
1929,8,NEW YORK,NY,US,STATE,834,CASES
1929,9,NEW YORK,NY,US,STATE,917,CASES
1929,10,NEW YORK,NY,US,STATE,1123,CASES
1929,11,NEW YORK,NY,US,STATE,1162,CASES
1929,12,NEW YORK,NY,US,STATE,1214,CASES
1929,13,NEW YORK,NY,US,STATE,1195,CASES
1929,14,NEW YORK,NY,US,STATE,1268,CASES
1929,15,NEW YORK,NY,US,STATE,1095,CASES
1929,16,NEW YORK,NY,US,STATE,1002,CASES
1929,17,NEW YORK,NY,US,STATE,1154,CASES
1929,18,NEW YORK,NY,US,STATE,1001,CASES
1929,19,NEW YORK,NY,US,STATE,1324,CASES
1929,20,NEW YORK,NY,US,STATE,1001,CASES
1929,21,NEW YORK,NY,US,STATE,1123,CASES
1929,22,NEW YORK,NY,US,STATE,748,CASES
1929,23,NEW YORK,NY,US,STATE,1048,CASES
1929,24,NEW YORK,NY,US,STATE,689,CASES
1929,25,NEW YORK,NY,US,STATE,723,CASES
1929,26,NEW YORK,NY,US,STATE,586,CASES
1929,27,NEW YORK,NY,US,STATE,458,CASES
1929,28,NEW YORK,NY,US,STATE,403,CASES
1929,29,NEW YORK,NY,US,STATE,875,CASES
1929,30,NEW YORK,NY,US,STATE,200,CASES
1929,31,NEW YORK,NY,US,STATE,162,CASES
1929,32,NEW YORK,NY,US,STATE,123,CASES
1929,33,NEW YORK,NY,US,STATE,79,CASES
1929,34,NEW YORK,NY,US,STATE,58,CASES
1929,35,NEW YORK,NY,US,STATE,59,CASES
1929,36,NEW YORK,NY,US,STATE,137,CASES
1929,37,NEW YORK,NY,US,STATE,69,CASES
1929,38,NEW YORK,NY,US,STATE,46,CASES
1929,39,NEW YORK,NY,US,STATE,83,CASES
1929,40,NEW YORK,NY,US,STATE,81,CASES
1929,41,NEW YORK,NY,US,STATE,66,CASES
1929,42,NEW YORK,NY,US,STATE,171,CASES
1929,43,NEW YORK,NY,US,STATE,120,CASES
1929,44,NEW YORK,NY,US,STATE,183,CASES
1929,45,NEW YORK,NY,US,STATE,181,CASES
1929,46,NEW YORK,NY,US,STATE,183,CASES
1929,47,NEW YORK,NY,US,STATE,154,CASES
1929,48,NEW YORK,NY,US,STATE,164,CASES
1929,49,NEW YORK,NY,US,STATE,273,CASES
1929,50,NEW YORK,NY,US,STATE,215,CASES
1929,51,NEW YORK,NY,US,STATE,368,CASES
1929,52,NEW YORK,NY,US,STATE,191,CASES
1930,1,NEW YORK,NY,US,STATE,314,CASES
1930,2,NEW YORK,NY,US,STATE,367,CASES
1930,3,NEW YORK,NY,US,STATE,379,CASES
1930,4,NEW YORK,NY,US,STATE,407,CASES
1930,5,NEW YORK,NY,US,STATE,536,CASES
1930,6,NEW YORK,NY,US,STATE,534,CASES
1930,7,NEW YORK,NY,US,STATE,557,CASES
1930,8,NEW YORK,NY,US,STATE,575,CASES
1930,9,NEW YORK,NY,US,STATE,762,CASES
1930,10,NEW YORK,NY,US,STATE,761,CASES
1930,11,NEW YORK,NY,US,STATE,648,CASES
1930,12,NEW YORK,NY,US,STATE,961,CASES
1930,13,NEW YORK,NY,US,STATE,1012,CASES
1930,14,NEW YORK,NY,US,STATE,1401,CASES
1930,15,NEW YORK,NY,US,STATE,1448,CASES
1930,16,NEW YORK,NY,US,STATE,1871,CASES
1930,17,NEW YORK,NY,US,STATE,1898,CASES
1930,18,NEW YORK,NY,US,STATE,2417,CASES
1930,19,NEW YORK,NY,US,STATE,2398,CASES
1930,20,NEW YORK,NY,US,STATE,2851,CASES
1930,21,NEW YORK,NY,US,STATE,2302,CASES
1930,22,NEW YORK,NY,US,STATE,1927,CASES
1930,23,NEW YORK,NY,US,STATE,2574,CASES
1930,24,NEW YORK,NY,US,STATE,2425,CASES
1930,25,NEW YORK,NY,US,STATE,2025,CASES
1930,26,NEW YORK,NY,US,STATE,1306,CASES
1930,27,NEW YORK,NY,US,STATE,824,CASES
1930,28,NEW YORK,NY,US,STATE,1075,CASES
1930,29,NEW YORK,NY,US,STATE,536,CASES
1930,30,NEW YORK,NY,US,STATE,360,CASES
1930,31,NEW YORK,NY,US,STATE,291,CASES
1930,32,NEW YORK,NY,US,STATE,230,CASES
1930,33,NEW YORK,NY,US,STATE,39,CASES
1930,34,NEW YORK,NY,US,STATE,70,CASES
