year,week,loc,state,country,loc_type,number,event
1927,47,NEW YORK,NY,US,STATE,273,CASES
1927,48,NEW YORK,NY,US,STATE,361,CASES
1927,49,NEW YORK,NY,US,STATE,382,CASES
1927,51,NEW YORK,NY,US,STATE,382,CASES
1927,52,NEW YORK,NY,US,STATE,526,CASES
1928,1,NEW YORK,NY,US,STATE,583,CASES
1928,2,NEW YORK,NY,US,STATE,626,CASES
1928,3,NEW YORK,NY,US,STATE,689,CASES
1928,4,NEW YORK,NY,US,STATE,723,CASES
1928,5,NEW YORK,NY,US,STATE,724,CASES
1928,6,NEW YORK,NY,US,STATE,828,CASES
1928,7,NEW YORK,NY,US,STATE,776,CASES
1928,8,NEW YORK,NY,US,STATE,808,CASES
1928,9,NEW YORK,NY,US,STATE,831,CASES
1928,10,NEW YORK,NY,US,STATE,864,CASES
1928,11,NEW YORK,NY,US,STATE,822,CASES
1928,12,NEW YORK,NY,US,STATE,943,CASES
1928,13,NEW YORK,NY,US,STATE,911,CASES
1928,14,NEW YORK,NY,US,STATE,873,CASES
1928,15,NEW YORK,NY,US,STATE,724,CASES
1928,16,NEW YORK,NY,US,STATE,621,CASES
1928,17,NEW YORK,NY,US,STATE,722,CASES
1928,18,NEW YORK,NY,US,STATE,638,CASES
1928,19,NEW YORK,NY,US,STATE,618,CASES
1928,20,NEW YORK,NY,US,STATE,601,CASES
1928,21,NEW YORK,NY,US,STATE,558,CASES
1928,22,NEW YORK,NY,US,STATE,432,CASES
1928,23,NEW YORK,NY,US,STATE,420,CASES
1928,24,NEW YORK,NY,US,STATE,335,CASES
1928,25,NEW YORK,NY,US,STATE,326,CASES
1928,26,NEW YORK,NY,US,STATE,214,CASES
1928,27,NEW YORK,NY,US,STATE,164,CASES
1928,28,NEW YORK,NY,US,STATE,106,CASES
1928,29,NEW YORK,NY,US,STATE,84,CASES
1928,30,NEW YORK,NY,US,STATE,59,CASES
1928,31,NEW YORK,NY,US,STATE,75,CASES
1928,32,NEW YORK,NY,US,STATE,54,CASES
1928,33,NEW YORK,NY,US,STATE,55,CASES
1928,35,NEW YORK,NY,US,STATE,23,CASES
1928,36,NEW YORK,NY,US,STATE,60,CASES
1928,37,NEW YORK,NY,US,STATE,89,CASES
1928,38,NEW YORK,NY,US,STATE,65,CASES
1928,39,NEW YORK,NY,US,STATE,91,CASES
1928,40,NEW YORK,NY,US,STATE,102,CASES
1928,41,NEW YORK,NY,US,STATE,132,CASES
1928,42,NEW YORK,NY,US,STATE,176,CASES
1928,43,NEW YORK,NY,US,STATE,150,CASES
1928,44,NEW YORK,NY,US,STATE,182,CASES
1928,45,NEW YORK,NY,US,STATE,148,CASES
1928,46,NEW YORK,NY,US,STATE,276,CASES
1928,47,NEW YORK,NY,US,STATE,290,CASES
1928,48,NEW YORK,NY,US,STATE,259,CASES
1928,49,NEW YORK,NY,US,STATE,369,CASES
1928,50,NEW YORK,NY,US,STATE,447,CASES
1928,51,NEW YORK,NY,US,STATE,386,CASES
1928,52,NEW YORK,NY,US,STATE,400,CASES
1929,1,NEW YORK,NY,US,STATE,410,CASES
1929,2,NEW YORK,NY,US,STATE,505,CASES
1929,3,NEW YORK,NY,US,STATE,464,CASES
1929,4,NEW YORK,NY,US,STATE,482,CASES
1929,5,NEW YORK,NY,US,STATE,450,CASES
1929,6,NEW YORK,NY,US,STATE,440,CASES
1929,7,NEW YORK,NY,US,STATE,496,CASES
1929,8,NEW YORK,NY,US,STATE,479,CASES
1929,9,NEW YORK,NY,US,STATE,546,CASES
1929,10,NEW YORK,NY,US,STATE,567,CASES
1929,11,NEW YORK,NY,US,STATE,618,CASES
1929,12,NEW YORK,NY,US,STATE,708,CASES
1929,13,NEW YORK,NY,US,STATE,626,CASES
1929,14,NEW YORK,NY,US,STATE,652,CASES
1929,15,NEW YORK,NY,US,STATE,483,CASES
1929,16,NEW YORK,NY,US,STATE,527,CASES
1929,17,NEW YORK,NY,US,STATE,522,CASES
1929,18,NEW YORK,NY,US,STATE,502,CASES
1929,19,NEW YORK,NY,US,STATE,499,CASES
1929,20,NEW YORK,NY,US,STATE,385,CASES
1929,21,NEW YORK,NY,US,STATE,438,CASES
1929,22,NEW YORK,NY,US,STATE,401,CASES
1929,23,NEW YORK,NY,US,STATE,309,CASES
1929,24,NEW YORK,NY,US,STATE,297,CASES
1929,25,NEW YORK,NY,US,STATE,236,CASES
1929,26,NEW YORK,NY,US,STATE,150,CASES
1929,27,NEW YORK,NY,US,STATE,109,CASES
1929,28,NEW YORK,NY,US,STATE,126,CASES
1929,29,NEW YORK,NY,US,STATE,81,CASES
1929,30,NEW YORK,NY,US,STATE,61,CASES
1929,31,NEW YORK,NY,US,STATE,54,CASES
1929,32,NEW YORK,NY,US,STATE,66,CASES
1929,33,NEW YORK,NY,US,STATE,51,CASES
1929,34,NEW YORK,NY,US,STATE,51,CASES
1929,35,NEW YORK,NY,US,STATE,46,CASES
1929,36,NEW YORK,NY,US,STATE,55,CASES
1929,37,NEW YORK,NY,US,STATE,72,CASES
1929,38,NEW YORK,NY,US,STATE,70,CASES
1929,39,NEW YORK,NY,US,STATE,70,CASES
1929,40,NEW YORK,NY,US,STATE,81,CASES
1929,41,NEW YORK,NY,US,STATE,70,CASES
1929,42,NEW YORK,NY,US,STATE,129,CASES
1929,43,NEW YORK,NY,US,STATE,169,CASES
1929,44,NEW YORK,NY,US,STATE,192,CASES
1929,45,NEW YORK,NY,US,STATE,199,CASES
1929,46,NEW YORK,NY,US,STATE,296,CASES
1929,47,NEW YORK,NY,US,STATE,289,CASES
1929,48,NEW YORK,NY,US,STATE,266,CASES
1929,49,NEW YORK,NY,US,STATE,325,CASES
1929,50,NEW YORK,NY,US,STATE,357,CASES
1929,51,NEW YORK,NY,US,STATE,336,CASES
1929,52,NEW YORK,NY,US,STATE,312,CASES
1930,1,NEW YORK,NY,US,STATE,385,CASES
1930,2,NEW YORK,NY,US,STATE,492,CASES
1930,3,NEW YORK,NY,US,STATE,423,CASES
1930,4,NEW YORK,NY,US,STATE,519,CASES
1930,5,NEW YORK,NY,US,STATE,489,CASES
1930,6,NEW YORK,NY,US,STATE,529,CASES
1930,7,NEW YORK,NY,US,STATE,478,CASES
1930,8,NEW YORK,NY,US,STATE,461,CASES
1930,9,NEW YORK,NY,US,STATE,678,CASES
1930,10,NEW YORK,NY,US,STATE,559,CASES
1930,11,NEW YORK,NY,US,STATE,650,CASES
1930,12,NEW YORK,NY,US,STATE,627,CASES
1930,13,NEW YORK,NY,US,STATE,7,CASES
1930,14,NEW YORK,NY,US,STATE,605,CASES
1930,15,NEW YORK,NY,US,STATE,589,CASES
1930,16,NEW YORK,NY,US,STATE,557,CASES
1930,17,NEW YORK,NY,US,STATE,504,CASES
1930,18,NEW YORK,NY,US,STATE,556,CASES
1930,19,NEW YORK,NY,US,STATE,582,CASES
1930,20,NEW YORK,NY,US,STATE,442,CASES
1930,21,NEW YORK,NY,US,STATE,433,CASES
1930,22,NEW YORK,NY,US,STATE,296,CASES
1930,23,NEW YORK,NY,US,STATE,402,CASES
1930,24,NEW YORK,NY,US,STATE,287,CASES
1930,25,NEW YORK,NY,US,STATE,228,CASES
1930,26,NEW YORK,NY,US,STATE,136,CASES
1930,27,NEW YORK,NY,US,STATE,91,CASES
1930,28,NEW YORK,NY,US,STATE,121,CASES
1930,29,NEW YORK,NY,US,STATE,81,CASES
1930,30,NEW YORK,NY,US,STATE,98,CASES
1930,31,NEW YORK,NY,US,STATE,70,CASES
1930,32,NEW YORK,NY,US,STATE,51,CASES
1930,33,NEW YORK,NY,US,STATE,49,CASES
1930,34,NEW YORK,NY,US,STATE,61,CASES
1930,35,NEW YORK,NY,US,STATE,42,CASES
1930,36,NEW YORK,NY,US,STATE,56,CASES
1930,37,NEW YORK,NY,US,STATE,72,CASES
1930,38,NEW YORK,NY,US,STATE,69,CASES
1930,39,NEW YORK,NY,US,STATE,71,CASES
1930,40,NEW YORK,NY,US,STATE,100,CASES
1930,41,NEW YORK,NY,US,STATE,111,CASES
1930,42,NEW YORK,NY,US,STATE,160,CASES
1930,43,NEW YORK,NY,US,STATE,179,CASES
1930,44,NEW YORK,NY,US,STATE,210,CASES
1930,45,NEW YORK,NY,US,STATE,281,CASES
1930,46,NEW YORK,NY,US,STATE,329,CASES
1930,47,NEW YORK,NY,US,STATE,409,CASES
1930,48,NEW YORK,NY,US,STATE,380,CASES
1930,49,NEW YORK,NY,US,STATE,468,CASES
1930,50,NEW YORK,NY,US,STATE,463,CASES
1930,51,NEW YORK,NY,US,STATE,464,CASES
1930,52,NEW YORK,NY,US,STATE,436,CASES
1930,53,NEW YORK,NY,US,STATE,494,CASES
