year,week,loc,state,country,loc_type,number,event
1927,47,OHIO,OH,US,STATE,7,CASES
1927,48,OHIO,OH,US,STATE,8,CASES
1927,49,OHIO,OH,US,STATE,10,CASES
1927,51,OHIO,OH,US,STATE,10,CASES
1927,52,OHIO,OH,US,STATE,8,CASES
1928,1,OHIO,OH,US,STATE,21,CASES
1928,3,OHIO,OH,US,STATE,42,CASES
1928,4,OHIO,OH,US,STATE,16,CASES
1928,5,OHIO,OH,US,STATE,15,CASES
1928,6,OHIO,OH,US,STATE,32,CASES
1928,7,OHIO,OH,US,STATE,19,CASES
1928,8,OHIO,OH,US,STATE,9,CASES
1928,9,OHIO,OH,US,STATE,41,CASES
1928,10,OHIO,OH,US,STATE,39,CASES
1928,11,OHIO,OH,US,STATE,102,CASES
1928,12,OHIO,OH,US,STATE,22,CASES
1928,13,OHIO,OH,US,STATE,88,CASES
1928,14,OHIO,OH,US,STATE,34,CASES
1928,15,OHIO,OH,US,STATE,84,CASES
1928,16,OHIO,OH,US,STATE,54,CASES
1928,17,OHIO,OH,US,STATE,114,CASES
1928,18,OHIO,OH,US,STATE,115,CASES
1928,19,OHIO,OH,US,STATE,229,CASES
1928,20,OHIO,OH,US,STATE,119,CASES
1928,21,OHIO,OH,US,STATE,204,CASES
1928,22,OHIO,OH,US,STATE,87,CASES
1928,23,OHIO,OH,US,STATE,38,CASES
1928,24,OHIO,OH,US,STATE,268,CASES
1928,25,OHIO,OH,US,STATE,23,CASES
1928,26,OHIO,OH,US,STATE,50,CASES
1928,27,OHIO,OH,US,STATE,24,CASES
1928,28,OHIO,OH,US,STATE,19,CASES
1928,29,OHIO,OH,US,STATE,3,CASES
1928,30,OHIO,OH,US,STATE,6,CASES
1928,31,OHIO,OH,US,STATE,7,CASES
1928,32,OHIO,OH,US,STATE,10,CASES
1928,33,OHIO,OH,US,STATE,20,CASES
1928,34,OHIO,OH,US,STATE,2,CASES
1928,35,OHIO,OH,US,STATE,7,CASES
1928,36,OHIO,OH,US,STATE,8,CASES
1928,37,OHIO,OH,US,STATE,11,CASES
1928,38,OHIO,OH,US,STATE,2,CASES
1928,39,OHIO,OH,US,STATE,6,CASES
1928,40,OHIO,OH,US,STATE,6,CASES
1928,41,OHIO,OH,US,STATE,24,CASES
1928,42,OHIO,OH,US,STATE,6,CASES
1928,43,OHIO,OH,US,STATE,10,CASES
1928,45,OHIO,OH,US,STATE,16,CASES
1928,46,OHIO,OH,US,STATE,18,CASES
1928,47,OHIO,OH,US,STATE,11,CASES
1928,48,OHIO,OH,US,STATE,22,CASES
1928,49,OHIO,OH,US,STATE,45,CASES
1928,50,OHIO,OH,US,STATE,718,CASES
1928,51,OHIO,OH,US,STATE,1872,CASES
1928,52,OHIO,OH,US,STATE,6957,CASES
1929,1,OHIO,OH,US,STATE,5010,CASES
1929,2,OHIO,OH,US,STATE,4778,CASES
1929,3,OHIO,OH,US,STATE,1138,CASES
1929,4,OHIO,OH,US,STATE,486,CASES
1929,5,OHIO,OH,US,STATE,621,CASES
1929,6,OHIO,OH,US,STATE,150,CASES
1929,7,OHIO,OH,US,STATE,367,CASES
1929,8,OHIO,OH,US,STATE,74,CASES
1929,9,OHIO,OH,US,STATE,187,CASES
1929,10,OHIO,OH,US,STATE,76,CASES
1929,11,OHIO,OH,US,STATE,114,CASES
1929,12,OHIO,OH,US,STATE,43,CASES
1929,13,OHIO,OH,US,STATE,73,CASES
1929,14,OHIO,OH,US,STATE,110,CASES
1929,15,OHIO,OH,US,STATE,65,CASES
1929,16,OHIO,OH,US,STATE,10,CASES
1929,17,OHIO,OH,US,STATE,34,CASES
1929,18,OHIO,OH,US,STATE,23,CASES
1929,19,OHIO,OH,US,STATE,36,CASES
1929,20,OHIO,OH,US,STATE,11,CASES
1929,21,OHIO,OH,US,STATE,4,CASES
1929,22,OHIO,OH,US,STATE,10,CASES
1929,23,OHIO,OH,US,STATE,12,CASES
1929,24,OHIO,OH,US,STATE,13,CASES
1929,25,OHIO,OH,US,STATE,8,CASES
1929,26,OHIO,OH,US,STATE,4,CASES
1929,27,OHIO,OH,US,STATE,9,CASES
1929,28,OHIO,OH,US,STATE,10,CASES
1929,29,OHIO,OH,US,STATE,3,CASES
1929,30,OHIO,OH,US,STATE,9,CASES
1929,31,OHIO,OH,US,STATE,2,CASES
1929,32,OHIO,OH,US,STATE,8,CASES
1929,35,OHIO,OH,US,STATE,14,CASES
1929,36,OHIO,OH,US,STATE,10,CASES
1929,37,OHIO,OH,US,STATE,14,CASES
1929,38,OHIO,OH,US,STATE,3,CASES
1929,39,OHIO,OH,US,STATE,11,CASES
1929,40,OHIO,OH,US,STATE,11,CASES
1929,41,OHIO,OH,US,STATE,23,CASES
1929,42,OHIO,OH,US,STATE,12,CASES
1929,43,OHIO,OH,US,STATE,16,CASES
1929,44,OHIO,OH,US,STATE,16,CASES
1929,45,OHIO,OH,US,STATE,8,CASES
1929,46,OHIO,OH,US,STATE,14,CASES
1929,47,OHIO,OH,US,STATE,10,CASES
1929,48,OHIO,OH,US,STATE,15,CASES
1929,49,OHIO,OH,US,STATE,8,CASES
1929,50,OHIO,OH,US,STATE,44,CASES
1929,51,OHIO,OH,US,STATE,18,CASES
1929,52,OHIO,OH,US,STATE,55,CASES
1930,1,OHIO,OH,US,STATE,24,CASES
1930,2,OHIO,OH,US,STATE,34,CASES
1930,3,OHIO,OH,US,STATE,11,CASES
1930,4,OHIO,OH,US,STATE,8,CASES
1930,5,OHIO,OH,US,STATE,43,CASES
1930,6,OHIO,OH,US,STATE,16,CASES
1930,7,OHIO,OH,US,STATE,36,CASES
1930,8,OHIO,OH,US,STATE,19,CASES
1930,9,OHIO,OH,US,STATE,65,CASES
1930,10,OHIO,OH,US,STATE,33,CASES
1930,11,OHIO,OH,US,STATE,61,CASES
1930,12,OHIO,OH,US,STATE,12,CASES
1930,13,OHIO,OH,US,STATE,38,CASES
1930,14,OHIO,OH,US,STATE,15,CASES
1930,15,OHIO,OH,US,STATE,47,CASES
1930,16,OHIO,OH,US,STATE,20,CASES
1930,17,OHIO,OH,US,STATE,10,CASES
1930,18,OHIO,OH,US,STATE,13,CASES
1930,19,OHIO,OH,US,STATE,11,CASES
1930,20,OHIO,OH,US,STATE,7,CASES
1930,21,OHIO,OH,US,STATE,14,CASES
1930,22,OHIO,OH,US,STATE,7,CASES
1930,23,OHIO,OH,US,STATE,3,CASES
1930,24,OHIO,OH,US,STATE,12,CASES
1930,25,OHIO,OH,US,STATE,3,CASES
1930,26,OHIO,OH,US,STATE,10,CASES
1930,27,OHIO,OH,US,STATE,3,CASES
1930,28,OHIO,OH,US,STATE,6,CASES
1930,29,OHIO,OH,US,STATE,2,CASES
1930,30,OHIO,OH,US,STATE,7,CASES
1930,31,OHIO,OH,US,STATE,3,CASES
1930,32,OHIO,OH,US,STATE,3,CASES
1930,33,OHIO,OH,US,STATE,7,CASES
1930,34,OHIO,OH,US,STATE,4,CASES
1930,35,OHIO,OH,US,STATE,9,CASES
1930,36,OHIO,OH,US,STATE,7,CASES
1930,37,OHIO,OH,US,STATE,14,CASES
1930,38,OHIO,OH,US,STATE,7,CASES
1930,39,OHIO,OH,US,STATE,11,CASES
1930,40,OHIO,OH,US,STATE,2,CASES
1930,41,OHIO,OH,US,STATE,8,CASES
1930,42,OHIO,OH,US,STATE,22,CASES
1930,43,OHIO,OH,US,STATE,10,CASES
1930,44,OHIO,OH,US,STATE,18,CASES
1930,45,OHIO,OH,US,STATE,1,CASES
1930,46,OHIO,OH,US,STATE,22,CASES
1930,47,OHIO,OH,US,STATE,3,CASES
1930,48,OHIO,OH,US,STATE,18,CASES
1930,49,OHIO,OH,US,STATE,4,CASES
1930,50,OHIO,OH,US,STATE,25,CASES
1930,51,OHIO,OH,US,STATE,9,CASES
1930,52,OHIO,OH,US,STATE,7,CASES
1930,53,OHIO,OH,US,STATE,26,CASES
1931,1,OHIO,OH,US,STATE,12,CASES
1931,2,OHIO,OH,US,STATE,34,CASES
1931,3,OHIO,OH,US,STATE,7,CASES
1931,4,OHIO,OH,US,STATE,72,CASES
1931,5,OHIO,OH,US,STATE,43,CASES
1931,6,OHIO,OH,US,STATE,509,CASES
1931,7,OHIO,OH,US,STATE,95,CASES
1931,8,OHIO,OH,US,STATE,826,CASES
1931,9,OHIO,OH,US,STATE,167,CASES
1931,10,OHIO,OH,US,STATE,872,CASES
1931,11,OHIO,OH,US,STATE,55,CASES
1931,12,OHIO,OH,US,STATE,177,CASES
1931,13,OHIO,OH,US,STATE,61,CASES
1931,14,OHIO,OH,US,STATE,115,CASES
1931,15,OHIO,OH,US,STATE,43,CASES
1931,16,OHIO,OH,US,STATE,24,CASES
1931,17,OHIO,OH,US,STATE,77,CASES
1931,18,OHIO,OH,US,STATE,24,CASES
1931,19,OHIO,OH,US,STATE,42,CASES
1931,20,OHIO,OH,US,STATE,10,CASES
1931,21,OHIO,OH,US,STATE,25,CASES
1931,22,OHIO,OH,US,STATE,14,CASES
1931,23,OHIO,OH,US,STATE,28,CASES
1931,24,OHIO,OH,US,STATE,5,CASES
1931,25,OHIO,OH,US,STATE,12,CASES
1931,26,OHIO,OH,US,STATE,1,CASES
1931,27,OHIO,OH,US,STATE,4,CASES
1931,28,OHIO,OH,US,STATE,8,CASES
1931,29,OHIO,OH,US,STATE,5,CASES
1931,30,OHIO,OH,US,STATE,3,CASES
1931,31,OHIO,OH,US,STATE,1,CASES
1931,32,OHIO,OH,US,STATE,10,CASES
1931,33,OHIO,OH,US,STATE,2,CASES
1931,34,OHIO,OH,US,STATE,12,CASES
1931,35,OHIO,OH,US,STATE,1,CASES
1931,36,OHIO,OH,US,STATE,15,CASES
1931,37,OHIO,OH,US,STATE,7,CASES
