year,week,loc,state,country,loc_type,number,event
1972,1,OKLAHOMA,OK,US,STATE,6,CASES
1972,3,OKLAHOMA,OK,US,STATE,8,CASES
1972,4,OKLAHOMA,OK,US,STATE,6,CASES
1972,5,OKLAHOMA,OK,US,STATE,1,CASES
1972,6,OKLAHOMA,OK,US,STATE,15,CASES
1972,7,OKLAHOMA,OK,US,STATE,8,CASES
1972,8,OKLAHOMA,OK,US,STATE,15,CASES
1972,9,OKLAHOMA,OK,US,STATE,2,CASES
1972,10,OKLAHOMA,OK,US,STATE,3,CASES
1972,11,OKLAHOMA,OK,US,STATE,3,CASES
1972,12,OKLAHOMA,OK,US,STATE,4,CASES
1972,14,OKLAHOMA,OK,US,STATE,3,CASES
1972,15,OKLAHOMA,OK,US,STATE,5,CASES
1972,16,OKLAHOMA,OK,US,STATE,10,CASES
1972,17,OKLAHOMA,OK,US,STATE,1,CASES
1972,18,OKLAHOMA,OK,US,STATE,5,CASES
1972,19,OKLAHOMA,OK,US,STATE,2,CASES
1972,20,OKLAHOMA,OK,US,STATE,4,CASES
1972,21,OKLAHOMA,OK,US,STATE,2,CASES
1972,23,OKLAHOMA,OK,US,STATE,3,CASES
1972,24,OKLAHOMA,OK,US,STATE,1,CASES
1972,25,OKLAHOMA,OK,US,STATE,1,CASES
1972,29,OKLAHOMA,OK,US,STATE,2,CASES
1972,31,OKLAHOMA,OK,US,STATE,3,CASES
1972,32,OKLAHOMA,OK,US,STATE,1,CASES
1972,33,OKLAHOMA,OK,US,STATE,3,CASES
1972,37,OKLAHOMA,OK,US,STATE,1,CASES
1972,40,OKLAHOMA,OK,US,STATE,1,CASES
1972,44,OKLAHOMA,OK,US,STATE,3,CASES
1972,45,OKLAHOMA,OK,US,STATE,3,CASES
1972,47,OKLAHOMA,OK,US,STATE,4,CASES
1972,48,OKLAHOMA,OK,US,STATE,1,CASES
1972,50,OKLAHOMA,OK,US,STATE,3,CASES
1972,51,OKLAHOMA,OK,US,STATE,1,CASES
1973,1,OKLAHOMA,OK,US,STATE,5,CASES
1973,3,OKLAHOMA,OK,US,STATE,6,CASES
1973,4,OKLAHOMA,OK,US,STATE,22,CASES
1973,5,OKLAHOMA,OK,US,STATE,7,CASES
1973,6,OKLAHOMA,OK,US,STATE,55,CASES
1973,7,OKLAHOMA,OK,US,STATE,60,CASES
1973,8,OKLAHOMA,OK,US,STATE,80,CASES
1973,9,OKLAHOMA,OK,US,STATE,135,CASES
1973,10,OKLAHOMA,OK,US,STATE,65,CASES
1973,11,OKLAHOMA,OK,US,STATE,93,CASES
1973,12,OKLAHOMA,OK,US,STATE,89,CASES
1973,13,OKLAHOMA,OK,US,STATE,93,CASES
1973,14,OKLAHOMA,OK,US,STATE,71,CASES
1973,15,OKLAHOMA,OK,US,STATE,51,CASES
1973,16,OKLAHOMA,OK,US,STATE,45,CASES
1973,17,OKLAHOMA,OK,US,STATE,56,CASES
1973,18,OKLAHOMA,OK,US,STATE,30,CASES
1973,19,OKLAHOMA,OK,US,STATE,62,CASES
1973,20,OKLAHOMA,OK,US,STATE,55,CASES
1973,21,OKLAHOMA,OK,US,STATE,31,CASES
1973,22,OKLAHOMA,OK,US,STATE,36,CASES
1973,23,OKLAHOMA,OK,US,STATE,28,CASES
1973,24,OKLAHOMA,OK,US,STATE,30,CASES
1973,25,OKLAHOMA,OK,US,STATE,18,CASES
1973,26,OKLAHOMA,OK,US,STATE,13,CASES
1973,27,OKLAHOMA,OK,US,STATE,11,CASES
1973,28,OKLAHOMA,OK,US,STATE,10,CASES
1973,29,OKLAHOMA,OK,US,STATE,5,CASES
1973,31,OKLAHOMA,OK,US,STATE,6,CASES
1973,32,OKLAHOMA,OK,US,STATE,1,CASES
1973,33,OKLAHOMA,OK,US,STATE,1,CASES
1973,34,OKLAHOMA,OK,US,STATE,1,CASES
1973,35,OKLAHOMA,OK,US,STATE,4,CASES
1973,37,OKLAHOMA,OK,US,STATE,1,CASES
1973,38,OKLAHOMA,OK,US,STATE,2,CASES
1973,39,OKLAHOMA,OK,US,STATE,2,CASES
1973,40,OKLAHOMA,OK,US,STATE,2,CASES
1973,41,OKLAHOMA,OK,US,STATE,1,CASES
1973,44,OKLAHOMA,OK,US,STATE,1,CASES
1973,45,OKLAHOMA,OK,US,STATE,9,CASES
1973,46,OKLAHOMA,OK,US,STATE,2,CASES
1973,47,OKLAHOMA,OK,US,STATE,3,CASES
1973,48,OKLAHOMA,OK,US,STATE,6,CASES
1973,49,OKLAHOMA,OK,US,STATE,3,CASES
1973,50,OKLAHOMA,OK,US,STATE,2,CASES
1973,51,OKLAHOMA,OK,US,STATE,3,CASES
1973,52,OKLAHOMA,OK,US,STATE,3,CASES
1974,1,OKLAHOMA,OK,US,STATE,15,CASES
1974,2,OKLAHOMA,OK,US,STATE,5,CASES
1974,3,OKLAHOMA,OK,US,STATE,19,CASES
1974,4,OKLAHOMA,OK,US,STATE,5,CASES
1974,5,OKLAHOMA,OK,US,STATE,26,CASES
1974,6,OKLAHOMA,OK,US,STATE,17,CASES
1974,7,OKLAHOMA,OK,US,STATE,28,CASES
1974,8,OKLAHOMA,OK,US,STATE,20,CASES
1974,9,OKLAHOMA,OK,US,STATE,7,CASES
1974,10,OKLAHOMA,OK,US,STATE,130,CASES
1974,11,OKLAHOMA,OK,US,STATE,11,CASES
1974,12,OKLAHOMA,OK,US,STATE,12,CASES
1974,13,OKLAHOMA,OK,US,STATE,119,CASES
1974,14,OKLAHOMA,OK,US,STATE,7,CASES
1974,15,OKLAHOMA,OK,US,STATE,31,CASES
1974,16,OKLAHOMA,OK,US,STATE,30,CASES
1974,17,OKLAHOMA,OK,US,STATE,44,CASES
1974,18,OKLAHOMA,OK,US,STATE,42,CASES
1974,19,OKLAHOMA,OK,US,STATE,65,CASES
1974,20,OKLAHOMA,OK,US,STATE,34,CASES
1974,21,OKLAHOMA,OK,US,STATE,26,CASES
1974,22,OKLAHOMA,OK,US,STATE,26,CASES
1974,23,OKLAHOMA,OK,US,STATE,20,CASES
1974,24,OKLAHOMA,OK,US,STATE,11,CASES
1974,25,OKLAHOMA,OK,US,STATE,28,CASES
1974,26,OKLAHOMA,OK,US,STATE,9,CASES
1974,29,OKLAHOMA,OK,US,STATE,5,CASES
1974,30,OKLAHOMA,OK,US,STATE,1,CASES
1974,31,OKLAHOMA,OK,US,STATE,1,CASES
1974,32,OKLAHOMA,OK,US,STATE,2,CASES
1974,33,OKLAHOMA,OK,US,STATE,2,CASES
1974,34,OKLAHOMA,OK,US,STATE,1,CASES
1974,35,OKLAHOMA,OK,US,STATE,1,CASES
1974,37,OKLAHOMA,OK,US,STATE,4,CASES
1974,39,OKLAHOMA,OK,US,STATE,4,CASES
1974,40,OKLAHOMA,OK,US,STATE,28,CASES
1974,41,OKLAHOMA,OK,US,STATE,1,CASES
1974,42,OKLAHOMA,OK,US,STATE,6,CASES
1974,43,OKLAHOMA,OK,US,STATE,26,CASES
1974,44,OKLAHOMA,OK,US,STATE,56,CASES
1974,46,OKLAHOMA,OK,US,STATE,30,CASES
1974,48,OKLAHOMA,OK,US,STATE,8,CASES
1974,49,OKLAHOMA,OK,US,STATE,58,CASES
1974,50,OKLAHOMA,OK,US,STATE,40,CASES
1974,51,OKLAHOMA,OK,US,STATE,60,CASES
1974,52,OKLAHOMA,OK,US,STATE,3,CASES
1975,1,OKLAHOMA,OK,US,STATE,25,CASES
1975,2,OKLAHOMA,OK,US,STATE,39,CASES
1975,3,OKLAHOMA,OK,US,STATE,39,CASES
1975,4,OKLAHOMA,OK,US,STATE,22,CASES
1975,5,OKLAHOMA,OK,US,STATE,62,CASES
1975,6,OKLAHOMA,OK,US,STATE,36,CASES
1975,8,OKLAHOMA,OK,US,STATE,86,CASES
1975,9,OKLAHOMA,OK,US,STATE,79,CASES
1975,10,OKLAHOMA,OK,US,STATE,53,CASES
