year,week,loc,state,country,loc_type,number,event
1937,43,OKLAHOMA,OK,US,STATE,28,CASES
1937,44,OKLAHOMA,OK,US,STATE,32,CASES
1937,45,OKLAHOMA,OK,US,STATE,340,CASES
1937,46,OKLAHOMA,OK,US,STATE,28,CASES
1937,47,OKLAHOMA,OK,US,STATE,28,CASES
1937,48,OKLAHOMA,OK,US,STATE,18,CASES
1937,49,OKLAHOMA,OK,US,STATE,22,CASES
1937,50,OKLAHOMA,OK,US,STATE,16,CASES
1937,51,OKLAHOMA,OK,US,STATE,20,CASES
1937,52,OKLAHOMA,OK,US,STATE,4,CASES
1938,1,OKLAHOMA,OK,US,STATE,14,CASES
1938,2,OKLAHOMA,OK,US,STATE,12,CASES
1938,3,OKLAHOMA,OK,US,STATE,40,CASES
1938,4,OKLAHOMA,OK,US,STATE,38,CASES
1938,5,OKLAHOMA,OK,US,STATE,33,CASES
1938,6,OKLAHOMA,OK,US,STATE,39,CASES
1938,7,OKLAHOMA,OK,US,STATE,29,CASES
1938,8,OKLAHOMA,OK,US,STATE,41,CASES
1938,9,OKLAHOMA,OK,US,STATE,41,CASES
1938,10,OKLAHOMA,OK,US,STATE,43,CASES
1938,11,OKLAHOMA,OK,US,STATE,64,CASES
1938,12,OKLAHOMA,OK,US,STATE,40,CASES
1938,13,OKLAHOMA,OK,US,STATE,47,CASES
1938,14,OKLAHOMA,OK,US,STATE,182,CASES
1938,15,OKLAHOMA,OK,US,STATE,90,CASES
1938,16,OKLAHOMA,OK,US,STATE,51,CASES
1938,17,OKLAHOMA,OK,US,STATE,99,CASES
1938,18,OKLAHOMA,OK,US,STATE,85,CASES
1938,19,OKLAHOMA,OK,US,STATE,36,CASES
1938,20,OKLAHOMA,OK,US,STATE,37,CASES
1938,21,OKLAHOMA,OK,US,STATE,21,CASES
1938,22,OKLAHOMA,OK,US,STATE,60,CASES
1938,23,OKLAHOMA,OK,US,STATE,78,CASES
1938,24,OKLAHOMA,OK,US,STATE,52,CASES
1938,25,OKLAHOMA,OK,US,STATE,104,CASES
1938,26,OKLAHOMA,OK,US,STATE,51,CASES
1938,27,OKLAHOMA,OK,US,STATE,18,CASES
1938,28,OKLAHOMA,OK,US,STATE,100,CASES
1938,29,OKLAHOMA,OK,US,STATE,39,CASES
1938,30,OKLAHOMA,OK,US,STATE,123,CASES
1938,31,OKLAHOMA,OK,US,STATE,37,CASES
1938,32,OKLAHOMA,OK,US,STATE,10,CASES
1938,33,OKLAHOMA,OK,US,STATE,25,CASES
1938,34,OKLAHOMA,OK,US,STATE,16,CASES
1938,35,OKLAHOMA,OK,US,STATE,2,CASES
1938,36,OKLAHOMA,OK,US,STATE,47,CASES
1938,37,OKLAHOMA,OK,US,STATE,14,CASES
1938,38,OKLAHOMA,OK,US,STATE,3,CASES
1938,39,OKLAHOMA,OK,US,STATE,7,CASES
1938,40,OKLAHOMA,OK,US,STATE,4,CASES
1938,41,OKLAHOMA,OK,US,STATE,2,CASES
1938,42,OKLAHOMA,OK,US,STATE,4,CASES
1938,43,OKLAHOMA,OK,US,STATE,12,CASES
1938,44,OKLAHOMA,OK,US,STATE,92,CASES
1938,45,OKLAHOMA,OK,US,STATE,5,CASES
1938,46,OKLAHOMA,OK,US,STATE,14,CASES
1938,47,OKLAHOMA,OK,US,STATE,0,CASES
1938,48,OKLAHOMA,OK,US,STATE,8,CASES
1938,49,OKLAHOMA,OK,US,STATE,27,CASES
1938,50,OKLAHOMA,OK,US,STATE,8,CASES
1938,51,OKLAHOMA,OK,US,STATE,5,CASES
1938,52,OKLAHOMA,OK,US,STATE,10,CASES
1939,1,OKLAHOMA,OK,US,STATE,26,CASES
1939,2,OKLAHOMA,OK,US,STATE,2,CASES
1939,3,OKLAHOMA,OK,US,STATE,8,CASES
1939,4,OKLAHOMA,OK,US,STATE,10,CASES
1939,5,OKLAHOMA,OK,US,STATE,1,CASES
1939,6,OKLAHOMA,OK,US,STATE,2,CASES
1939,7,OKLAHOMA,OK,US,STATE,1,CASES
1939,8,OKLAHOMA,OK,US,STATE,2,CASES
1939,9,OKLAHOMA,OK,US,STATE,6,CASES
1939,10,OKLAHOMA,OK,US,STATE,0,CASES
1939,11,OKLAHOMA,OK,US,STATE,1,CASES
1939,12,OKLAHOMA,OK,US,STATE,1,CASES
1939,13,OKLAHOMA,OK,US,STATE,4,CASES
1939,14,OKLAHOMA,OK,US,STATE,4,CASES
1939,15,OKLAHOMA,OK,US,STATE,1,CASES
1939,16,OKLAHOMA,OK,US,STATE,8,CASES
1939,17,OKLAHOMA,OK,US,STATE,0,CASES
1939,18,OKLAHOMA,OK,US,STATE,4,CASES
1939,19,OKLAHOMA,OK,US,STATE,28,CASES
1939,20,OKLAHOMA,OK,US,STATE,4,CASES
1939,21,OKLAHOMA,OK,US,STATE,23,CASES
1939,23,OKLAHOMA,OK,US,STATE,10,CASES
1939,24,OKLAHOMA,OK,US,STATE,8,CASES
1939,25,OKLAHOMA,OK,US,STATE,4,CASES
1939,26,OKLAHOMA,OK,US,STATE,4,CASES
1939,27,OKLAHOMA,OK,US,STATE,6,CASES
1939,28,OKLAHOMA,OK,US,STATE,4,CASES
1939,29,OKLAHOMA,OK,US,STATE,2,CASES
1939,30,OKLAHOMA,OK,US,STATE,3,CASES
1939,31,OKLAHOMA,OK,US,STATE,6,CASES
1939,32,OKLAHOMA,OK,US,STATE,2,CASES
1939,33,OKLAHOMA,OK,US,STATE,1,CASES
1939,34,OKLAHOMA,OK,US,STATE,6,CASES
