year,week,loc,state,country,loc_type,number,event
1927,47,OKLAHOMA,OK,US,STATE,36,CASES
1927,48,OKLAHOMA,OK,US,STATE,75,CASES
1927,49,OKLAHOMA,OK,US,STATE,80,CASES
1927,51,OKLAHOMA,OK,US,STATE,80,CASES
1927,52,OKLAHOMA,OK,US,STATE,102,CASES
1928,1,OKLAHOMA,OK,US,STATE,135,CASES
1928,2,OKLAHOMA,OK,US,STATE,187,CASES
1928,3,OKLAHOMA,OK,US,STATE,266,CASES
1928,4,OKLAHOMA,OK,US,STATE,194,CASES
1928,5,OKLAHOMA,OK,US,STATE,255,CASES
1928,6,OKLAHOMA,OK,US,STATE,221,CASES
1928,7,OKLAHOMA,OK,US,STATE,209,CASES
1928,8,OKLAHOMA,OK,US,STATE,420,CASES
1928,9,OKLAHOMA,OK,US,STATE,235,CASES
1928,10,OKLAHOMA,OK,US,STATE,283,CASES
1928,11,OKLAHOMA,OK,US,STATE,451,CASES
1928,12,OKLAHOMA,OK,US,STATE,489,CASES
1928,13,OKLAHOMA,OK,US,STATE,416,CASES
1928,14,OKLAHOMA,OK,US,STATE,579,CASES
1928,15,OKLAHOMA,OK,US,STATE,437,CASES
1928,16,OKLAHOMA,OK,US,STATE,640,CASES
1928,17,OKLAHOMA,OK,US,STATE,730,CASES
1928,18,OKLAHOMA,OK,US,STATE,468,CASES
1928,19,OKLAHOMA,OK,US,STATE,293,CASES
1928,20,OKLAHOMA,OK,US,STATE,180,CASES
1928,21,OKLAHOMA,OK,US,STATE,200,CASES
1928,22,OKLAHOMA,OK,US,STATE,89,CASES
1928,23,OKLAHOMA,OK,US,STATE,51,CASES
1928,24,OKLAHOMA,OK,US,STATE,24,CASES
1928,25,OKLAHOMA,OK,US,STATE,17,CASES
1928,26,OKLAHOMA,OK,US,STATE,35,CASES
1928,27,OKLAHOMA,OK,US,STATE,14,CASES
1928,28,OKLAHOMA,OK,US,STATE,38,CASES
1928,29,OKLAHOMA,OK,US,STATE,40,CASES
1928,30,OKLAHOMA,OK,US,STATE,29,CASES
1928,31,OKLAHOMA,OK,US,STATE,44,CASES
1928,32,OKLAHOMA,OK,US,STATE,20,CASES
1928,33,OKLAHOMA,OK,US,STATE,17,CASES
1928,34,OKLAHOMA,OK,US,STATE,22,CASES
1928,35,OKLAHOMA,OK,US,STATE,14,CASES
1928,36,OKLAHOMA,OK,US,STATE,47,CASES
1928,37,OKLAHOMA,OK,US,STATE,19,CASES
1928,38,OKLAHOMA,OK,US,STATE,23,CASES
1928,39,OKLAHOMA,OK,US,STATE,14,CASES
1928,40,OKLAHOMA,OK,US,STATE,8,CASES
1928,41,OKLAHOMA,OK,US,STATE,35,CASES
1928,42,OKLAHOMA,OK,US,STATE,33,CASES
