year,week,loc,state,country,loc_type,number,event
1972,3,OREGON,OR,US,STATE,1,CASES
1972,6,OREGON,OR,US,STATE,2,CASES
1972,9,OREGON,OR,US,STATE,1,CASES
1972,11,OREGON,OR,US,STATE,1,CASES
1972,12,OREGON,OR,US,STATE,2,CASES
1972,13,OREGON,OR,US,STATE,1,CASES
1972,16,OREGON,OR,US,STATE,4,CASES
1972,18,OREGON,OR,US,STATE,2,CASES
1972,20,OREGON,OR,US,STATE,1,CASES
1972,24,OREGON,OR,US,STATE,1,CASES
1972,25,OREGON,OR,US,STATE,1,CASES
1972,46,OREGON,OR,US,STATE,1,CASES
1972,51,OREGON,OR,US,STATE,1,CASES
1973,1,OREGON,OR,US,STATE,1,CASES
1973,3,OREGON,OR,US,STATE,3,CASES
1973,7,OREGON,OR,US,STATE,1,CASES
1973,9,OREGON,OR,US,STATE,8,CASES
1973,11,OREGON,OR,US,STATE,1,CASES
1973,13,OREGON,OR,US,STATE,1,CASES
1973,14,OREGON,OR,US,STATE,1,CASES
1973,16,OREGON,OR,US,STATE,2,CASES
1973,17,OREGON,OR,US,STATE,2,CASES
1973,19,OREGON,OR,US,STATE,2,CASES
1973,20,OREGON,OR,US,STATE,1,CASES
1973,21,OREGON,OR,US,STATE,2,CASES
1973,22,OREGON,OR,US,STATE,3,CASES
1973,25,OREGON,OR,US,STATE,1,CASES
1973,26,OREGON,OR,US,STATE,2,CASES
1973,27,OREGON,OR,US,STATE,3,CASES
1973,35,OREGON,OR,US,STATE,1,CASES
1973,36,OREGON,OR,US,STATE,1,CASES
1973,44,OREGON,OR,US,STATE,1,CASES
1973,48,OREGON,OR,US,STATE,2,CASES
1973,49,OREGON,OR,US,STATE,1,CASES
1973,50,OREGON,OR,US,STATE,4,CASES
1974,1,OREGON,OR,US,STATE,2,CASES
1974,2,OREGON,OR,US,STATE,3,CASES
1974,3,OREGON,OR,US,STATE,1,CASES
1974,4,OREGON,OR,US,STATE,1,CASES
1974,5,OREGON,OR,US,STATE,2,CASES
1974,6,OREGON,OR,US,STATE,1,CASES
1974,13,OREGON,OR,US,STATE,1,CASES
1974,14,OREGON,OR,US,STATE,1,CASES
1974,16,OREGON,OR,US,STATE,2,CASES
1974,17,OREGON,OR,US,STATE,1,CASES
1974,21,OREGON,OR,US,STATE,2,CASES
1974,22,OREGON,OR,US,STATE,1,CASES
1974,23,OREGON,OR,US,STATE,1,CASES
1974,24,OREGON,OR,US,STATE,1,CASES
1974,25,OREGON,OR,US,STATE,1,CASES
1974,26,OREGON,OR,US,STATE,2,CASES
1974,28,OREGON,OR,US,STATE,2,CASES
1974,29,OREGON,OR,US,STATE,1,CASES
1974,30,OREGON,OR,US,STATE,5,CASES
1974,31,OREGON,OR,US,STATE,2,CASES
1974,32,OREGON,OR,US,STATE,1,CASES
1974,33,OREGON,OR,US,STATE,3,CASES
1974,34,OREGON,OR,US,STATE,4,CASES
1974,35,OREGON,OR,US,STATE,2,CASES
1974,42,OREGON,OR,US,STATE,1,CASES
1974,43,OREGON,OR,US,STATE,2,CASES
1974,46,OREGON,OR,US,STATE,2,CASES
1974,48,OREGON,OR,US,STATE,2,CASES
1974,49,OREGON,OR,US,STATE,1,CASES
1974,52,OREGON,OR,US,STATE,1,CASES
1975,1,OREGON,OR,US,STATE,2,CASES
1975,2,OREGON,OR,US,STATE,2,CASES
1975,3,OREGON,OR,US,STATE,2,CASES
1975,7,OREGON,OR,US,STATE,2,CASES
1975,9,OREGON,OR,US,STATE,1,CASES
1975,11,OREGON,OR,US,STATE,1,CASES
1975,12,OREGON,OR,US,STATE,2,CASES
1975,14,OREGON,OR,US,STATE,2,CASES
1975,15,OREGON,OR,US,STATE,1,CASES
1975,16,OREGON,OR,US,STATE,2,CASES
1975,17,OREGON,OR,US,STATE,3,CASES
1975,18,OREGON,OR,US,STATE,3,CASES
1975,20,OREGON,OR,US,STATE,2,CASES
1975,21,OREGON,OR,US,STATE,2,CASES
1975,22,OREGON,OR,US,STATE,1,CASES
1975,23,OREGON,OR,US,STATE,1,CASES
1975,25,OREGON,OR,US,STATE,1,CASES
1975,26,OREGON,OR,US,STATE,1,CASES
1975,31,OREGON,OR,US,STATE,1,CASES
1975,32,OREGON,OR,US,STATE,1,CASES
1975,33,OREGON,OR,US,STATE,1,CASES
1975,34,OREGON,OR,US,STATE,1,CASES
1975,35,OREGON,OR,US,STATE,1,CASES
1975,37,OREGON,OR,US,STATE,1,CASES
1975,44,OREGON,OR,US,STATE,4,CASES
1975,47,OREGON,OR,US,STATE,2,CASES
1975,48,OREGON,OR,US,STATE,1,CASES
1975,50,OREGON,OR,US,STATE,2,CASES
1975,51,OREGON,OR,US,STATE,1,CASES
1976,2,OREGON,OR,US,STATE,2,CASES
1976,3,OREGON,OR,US,STATE,4,CASES
1976,4,OREGON,OR,US,STATE,1,CASES
1976,5,OREGON,OR,US,STATE,1,CASES
1976,6,OREGON,OR,US,STATE,1,CASES
1976,7,OREGON,OR,US,STATE,1,CASES
1976,9,OREGON,OR,US,STATE,1,CASES
1976,11,OREGON,OR,US,STATE,3,CASES
1976,12,OREGON,OR,US,STATE,1,CASES
1976,14,OREGON,OR,US,STATE,3,CASES
1976,15,OREGON,OR,US,STATE,3,CASES
1976,16,OREGON,OR,US,STATE,2,CASES
1976,17,OREGON,OR,US,STATE,1,CASES
1976,18,OREGON,OR,US,STATE,1,CASES
