year,week,loc,state,country,loc_type,number,event
1925,31,PENNSYLVANIA,PA,US,STATE,85,CASES
1935,36,PENNSYLVANIA,PA,US,STATE,30,CASES
1937,48,PENNSYLVANIA,PA,US,STATE,371,CASES
1937,49,PENNSYLVANIA,PA,US,STATE,323,CASES
1937,50,PENNSYLVANIA,PA,US,STATE,320,CASES
1937,51,PENNSYLVANIA,PA,US,STATE,245,CASES
1938,1,PENNSYLVANIA,PA,US,STATE,206,CASES
1938,2,PENNSYLVANIA,PA,US,STATE,362,CASES
1938,3,PENNSYLVANIA,PA,US,STATE,344,CASES
1938,4,PENNSYLVANIA,PA,US,STATE,284,CASES
1938,5,PENNSYLVANIA,PA,US,STATE,411,CASES
1938,6,PENNSYLVANIA,PA,US,STATE,261,CASES
1938,7,PENNSYLVANIA,PA,US,STATE,361,CASES
1938,8,PENNSYLVANIA,PA,US,STATE,295,CASES
1938,9,PENNSYLVANIA,PA,US,STATE,285,CASES
1938,10,PENNSYLVANIA,PA,US,STATE,309,CASES
1938,11,PENNSYLVANIA,PA,US,STATE,223,CASES
1938,12,PENNSYLVANIA,PA,US,STATE,281,CASES
1938,13,PENNSYLVANIA,PA,US,STATE,231,CASES
1938,14,PENNSYLVANIA,PA,US,STATE,296,CASES
1938,15,PENNSYLVANIA,PA,US,STATE,305,CASES
1938,16,PENNSYLVANIA,PA,US,STATE,256,CASES
1938,17,PENNSYLVANIA,PA,US,STATE,165,CASES
1938,18,PENNSYLVANIA,PA,US,STATE,319,CASES
1938,19,PENNSYLVANIA,PA,US,STATE,162,CASES
1938,20,PENNSYLVANIA,PA,US,STATE,254,CASES
1938,21,PENNSYLVANIA,PA,US,STATE,157,CASES
1938,22,PENNSYLVANIA,PA,US,STATE,184,CASES
1938,23,PENNSYLVANIA,PA,US,STATE,232,CASES
1938,24,PENNSYLVANIA,PA,US,STATE,225,CASES
1938,25,PENNSYLVANIA,PA,US,STATE,91,CASES
1938,26,PENNSYLVANIA,PA,US,STATE,170,CASES
1938,27,PENNSYLVANIA,PA,US,STATE,108,CASES
1938,28,PENNSYLVANIA,PA,US,STATE,171,CASES
1938,29,PENNSYLVANIA,PA,US,STATE,168,CASES
1938,30,PENNSYLVANIA,PA,US,STATE,91,CASES
1938,31,PENNSYLVANIA,PA,US,STATE,223,CASES
1938,32,PENNSYLVANIA,PA,US,STATE,130,CASES
1938,33,PENNSYLVANIA,PA,US,STATE,155,CASES
1938,34,PENNSYLVANIA,PA,US,STATE,109,CASES
1938,35,PENNSYLVANIA,PA,US,STATE,163,CASES
1938,36,PENNSYLVANIA,PA,US,STATE,129,CASES
1938,37,PENNSYLVANIA,PA,US,STATE,116,CASES
1938,38,PENNSYLVANIA,PA,US,STATE,261,CASES
1938,39,PENNSYLVANIA,PA,US,STATE,186,CASES
1938,40,PENNSYLVANIA,PA,US,STATE,111,CASES
1938,41,PENNSYLVANIA,PA,US,STATE,188,CASES
1938,42,PENNSYLVANIA,PA,US,STATE,110,CASES
1938,44,PENNSYLVANIA,PA,US,STATE,123,CASES
1938,45,PENNSYLVANIA,PA,US,STATE,208,CASES
1938,46,PENNSYLVANIA,PA,US,STATE,224,CASES
1938,47,PENNSYLVANIA,PA,US,STATE,193,CASES
1938,48,PENNSYLVANIA,PA,US,STATE,196,CASES
1938,49,PENNSYLVANIA,PA,US,STATE,215,CASES
1938,50,PENNSYLVANIA,PA,US,STATE,236,CASES
1938,51,PENNSYLVANIA,PA,US,STATE,396,CASES
1938,52,PENNSYLVANIA,PA,US,STATE,252,CASES
1939,1,PENNSYLVANIA,PA,US,STATE,109,CASES
1939,2,PENNSYLVANIA,PA,US,STATE,236,CASES
1939,3,PENNSYLVANIA,PA,US,STATE,323,CASES
1939,4,PENNSYLVANIA,PA,US,STATE,224,CASES
1939,5,PENNSYLVANIA,PA,US,STATE,630,CASES
1939,6,PENNSYLVANIA,PA,US,STATE,466,CASES
1939,7,PENNSYLVANIA,PA,US,STATE,394,CASES
1939,8,PENNSYLVANIA,PA,US,STATE,365,CASES
1939,9,PENNSYLVANIA,PA,US,STATE,282,CASES
1939,10,PENNSYLVANIA,PA,US,STATE,482,CASES
1939,11,PENNSYLVANIA,PA,US,STATE,361,CASES
1939,12,PENNSYLVANIA,PA,US,STATE,292,CASES
1939,13,PENNSYLVANIA,PA,US,STATE,349,CASES
1939,14,PENNSYLVANIA,PA,US,STATE,262,CASES
1939,15,PENNSYLVANIA,PA,US,STATE,308,CASES
1939,16,PENNSYLVANIA,PA,US,STATE,139,CASES
1939,17,PENNSYLVANIA,PA,US,STATE,180,CASES
1939,18,PENNSYLVANIA,PA,US,STATE,327,CASES
1939,19,PENNSYLVANIA,PA,US,STATE,156,CASES
1939,20,PENNSYLVANIA,PA,US,STATE,151,CASES
1939,21,PENNSYLVANIA,PA,US,STATE,232,CASES
1939,22,PENNSYLVANIA,PA,US,STATE,194,CASES
1939,23,PENNSYLVANIA,PA,US,STATE,303,CASES
1939,24,PENNSYLVANIA,PA,US,STATE,154,CASES
1939,25,PENNSYLVANIA,PA,US,STATE,536,CASES
1939,26,PENNSYLVANIA,PA,US,STATE,316,CASES
1939,27,PENNSYLVANIA,PA,US,STATE,235,CASES
1939,28,PENNSYLVANIA,PA,US,STATE,438,CASES
