year,week,loc,state,country,loc_type,number,event
1936,13,PENNSYLVANIA,PA,US,STATE,0,CASES
1936,39,PENNSYLVANIA,PA,US,STATE,110,CASES
1941,35,PENNSYLVANIA,PA,US,STATE,1,CASES
1941,37,PENNSYLVANIA,PA,US,STATE,1,CASES
1941,39,PENNSYLVANIA,PA,US,STATE,2,CASES
1941,41,PENNSYLVANIA,PA,US,STATE,1,CASES
1941,43,PENNSYLVANIA,PA,US,STATE,1,CASES
1941,44,PENNSYLVANIA,PA,US,STATE,1,CASES
1941,46,PENNSYLVANIA,PA,US,STATE,1,CASES
1942,18,PENNSYLVANIA,PA,US,STATE,2,CASES
1942,21,PENNSYLVANIA,PA,US,STATE,1,CASES
1942,24,PENNSYLVANIA,PA,US,STATE,3,CASES
1942,25,PENNSYLVANIA,PA,US,STATE,1,CASES
1942,28,PENNSYLVANIA,PA,US,STATE,1,CASES
1942,35,PENNSYLVANIA,PA,US,STATE,1,CASES
1942,36,PENNSYLVANIA,PA,US,STATE,1,CASES
1942,40,PENNSYLVANIA,PA,US,STATE,4,CASES
1942,42,PENNSYLVANIA,PA,US,STATE,1,CASES
1942,43,PENNSYLVANIA,PA,US,STATE,1,CASES
1942,44,PENNSYLVANIA,PA,US,STATE,3,CASES
1942,45,PENNSYLVANIA,PA,US,STATE,3,CASES
1942,47,PENNSYLVANIA,PA,US,STATE,4,CASES
1942,48,PENNSYLVANIA,PA,US,STATE,6,CASES
1942,49,PENNSYLVANIA,PA,US,STATE,5,CASES
1942,50,PENNSYLVANIA,PA,US,STATE,2,CASES
1942,51,PENNSYLVANIA,PA,US,STATE,3,CASES
1942,52,PENNSYLVANIA,PA,US,STATE,6,CASES
1943,1,PENNSYLVANIA,PA,US,STATE,7,CASES
1943,2,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,3,PENNSYLVANIA,PA,US,STATE,4,CASES
1943,4,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,5,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,6,PENNSYLVANIA,PA,US,STATE,3,CASES
1943,7,PENNSYLVANIA,PA,US,STATE,4,CASES
1943,8,PENNSYLVANIA,PA,US,STATE,5,CASES
1943,9,PENNSYLVANIA,PA,US,STATE,3,CASES
1943,10,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,11,PENNSYLVANIA,PA,US,STATE,3,CASES
1943,12,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,13,PENNSYLVANIA,PA,US,STATE,5,CASES
1943,14,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,15,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,16,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,17,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,18,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,19,PENNSYLVANIA,PA,US,STATE,3,CASES
1943,20,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,21,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,22,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,25,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,26,PENNSYLVANIA,PA,US,STATE,3,CASES
1943,30,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,34,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,38,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,39,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,41,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,42,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,43,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,44,PENNSYLVANIA,PA,US,STATE,3,CASES
1943,45,PENNSYLVANIA,PA,US,STATE,2,CASES
1943,46,PENNSYLVANIA,PA,US,STATE,3,CASES
1943,47,PENNSYLVANIA,PA,US,STATE,1,CASES
1943,48,PENNSYLVANIA,PA,US,STATE,5,CASES
1943,49,PENNSYLVANIA,PA,US,STATE,13,CASES
1943,50,PENNSYLVANIA,PA,US,STATE,44,CASES
1943,51,PENNSYLVANIA,PA,US,STATE,63,CASES
1943,52,PENNSYLVANIA,PA,US,STATE,57,CASES
1944,1,PENNSYLVANIA,PA,US,STATE,29,CASES
1944,2,PENNSYLVANIA,PA,US,STATE,28,CASES
1944,3,PENNSYLVANIA,PA,US,STATE,27,CASES
1944,4,PENNSYLVANIA,PA,US,STATE,20,CASES
1944,5,PENNSYLVANIA,PA,US,STATE,8,CASES
1944,6,PENNSYLVANIA,PA,US,STATE,12,CASES
1944,7,PENNSYLVANIA,PA,US,STATE,8,CASES
1944,8,PENNSYLVANIA,PA,US,STATE,16,CASES
1944,9,PENNSYLVANIA,PA,US,STATE,5,CASES
1944,10,PENNSYLVANIA,PA,US,STATE,3,CASES
