year,week,loc,state,country,loc_type,number,event
1925,31,PENNSYLVANIA,PA,US,STATE,17,CASES
1927,47,PENNSYLVANIA,PA,US,STATE,350,CASES
1927,48,PENNSYLVANIA,PA,US,STATE,575,CASES
1927,49,PENNSYLVANIA,PA,US,STATE,366,CASES
1927,51,PENNSYLVANIA,PA,US,STATE,289,CASES
1927,52,PENNSYLVANIA,PA,US,STATE,548,CASES
1928,1,PENNSYLVANIA,PA,US,STATE,445,CASES
1928,2,PENNSYLVANIA,PA,US,STATE,450,CASES
1928,3,PENNSYLVANIA,PA,US,STATE,587,CASES
1928,4,PENNSYLVANIA,PA,US,STATE,580,CASES
1928,5,PENNSYLVANIA,PA,US,STATE,731,CASES
1928,6,PENNSYLVANIA,PA,US,STATE,605,CASES
1928,7,PENNSYLVANIA,PA,US,STATE,603,CASES
1928,8,PENNSYLVANIA,PA,US,STATE,568,CASES
1928,9,PENNSYLVANIA,PA,US,STATE,785,CASES
1928,10,PENNSYLVANIA,PA,US,STATE,513,CASES
1928,11,PENNSYLVANIA,PA,US,STATE,559,CASES
1928,12,PENNSYLVANIA,PA,US,STATE,603,CASES
1928,13,PENNSYLVANIA,PA,US,STATE,587,CASES
1928,14,PENNSYLVANIA,PA,US,STATE,367,CASES
1928,15,PENNSYLVANIA,PA,US,STATE,578,CASES
1928,16,PENNSYLVANIA,PA,US,STATE,439,CASES
1928,17,PENNSYLVANIA,PA,US,STATE,439,CASES
1928,18,PENNSYLVANIA,PA,US,STATE,482,CASES
1928,19,PENNSYLVANIA,PA,US,STATE,412,CASES
1928,20,PENNSYLVANIA,PA,US,STATE,374,CASES
1928,21,PENNSYLVANIA,PA,US,STATE,443,CASES
1928,22,PENNSYLVANIA,PA,US,STATE,344,CASES
1928,23,PENNSYLVANIA,PA,US,STATE,225,CASES
1928,24,PENNSYLVANIA,PA,US,STATE,325,CASES
1928,25,PENNSYLVANIA,PA,US,STATE,248,CASES
1928,26,PENNSYLVANIA,PA,US,STATE,221,CASES
1928,27,PENNSYLVANIA,PA,US,STATE,135,CASES
1928,28,PENNSYLVANIA,PA,US,STATE,104,CASES
1928,29,PENNSYLVANIA,PA,US,STATE,112,CASES
1928,30,PENNSYLVANIA,PA,US,STATE,71,CASES
1928,31,PENNSYLVANIA,PA,US,STATE,103,CASES
1928,32,PENNSYLVANIA,PA,US,STATE,72,CASES
1928,33,PENNSYLVANIA,PA,US,STATE,39,CASES
1928,34,PENNSYLVANIA,PA,US,STATE,55,CASES
1928,35,PENNSYLVANIA,PA,US,STATE,64,CASES
1928,36,PENNSYLVANIA,PA,US,STATE,66,CASES
1928,37,PENNSYLVANIA,PA,US,STATE,77,CASES
1928,38,PENNSYLVANIA,PA,US,STATE,101,CASES
1928,39,PENNSYLVANIA,PA,US,STATE,116,CASES
1928,40,PENNSYLVANIA,PA,US,STATE,136,CASES
1928,41,PENNSYLVANIA,PA,US,STATE,173,CASES
1928,42,PENNSYLVANIA,PA,US,STATE,214,CASES
1928,43,PENNSYLVANIA,PA,US,STATE,164,CASES
1928,44,PENNSYLVANIA,PA,US,STATE,250,CASES
1928,45,PENNSYLVANIA,PA,US,STATE,147,CASES
1928,46,PENNSYLVANIA,PA,US,STATE,252,CASES
1928,47,PENNSYLVANIA,PA,US,STATE,404,CASES
1928,48,PENNSYLVANIA,PA,US,STATE,276,CASES
1928,49,PENNSYLVANIA,PA,US,STATE,286,CASES
1928,50,PENNSYLVANIA,PA,US,STATE,520,CASES
1928,51,PENNSYLVANIA,PA,US,STATE,234,CASES
1928,52,PENNSYLVANIA,PA,US,STATE,465,CASES
1929,2,PENNSYLVANIA,PA,US,STATE,261,CASES
1929,3,PENNSYLVANIA,PA,US,STATE,378,CASES
1929,4,PENNSYLVANIA,PA,US,STATE,420,CASES
1929,5,PENNSYLVANIA,PA,US,STATE,545,CASES
1929,6,PENNSYLVANIA,PA,US,STATE,444,CASES
1929,7,PENNSYLVANIA,PA,US,STATE,473,CASES
1929,8,PENNSYLVANIA,PA,US,STATE,332,CASES
1929,9,PENNSYLVANIA,PA,US,STATE,514,CASES
1929,10,PENNSYLVANIA,PA,US,STATE,508,CASES
1929,11,PENNSYLVANIA,PA,US,STATE,475,CASES
1929,12,PENNSYLVANIA,PA,US,STATE,531,CASES
1929,13,PENNSYLVANIA,PA,US,STATE,410,CASES
1929,14,PENNSYLVANIA,PA,US,STATE,570,CASES
1929,15,PENNSYLVANIA,PA,US,STATE,378,CASES
1929,16,PENNSYLVANIA,PA,US,STATE,416,CASES
1929,17,PENNSYLVANIA,PA,US,STATE,390,CASES
1929,18,PENNSYLVANIA,PA,US,STATE,504,CASES
1929,19,PENNSYLVANIA,PA,US,STATE,390,CASES
1929,20,PENNSYLVANIA,PA,US,STATE,379,CASES
1929,21,PENNSYLVANIA,PA,US,STATE,420,CASES
1929,22,PENNSYLVANIA,PA,US,STATE,318,CASES
1929,23,PENNSYLVANIA,PA,US,STATE,256,CASES
1929,24,PENNSYLVANIA,PA,US,STATE,242,CASES
1929,25,PENNSYLVANIA,PA,US,STATE,240,CASES
1929,26,PENNSYLVANIA,PA,US,STATE,190,CASES
1929,27,PENNSYLVANIA,PA,US,STATE,203,CASES
1929,28,PENNSYLVANIA,PA,US,STATE,112,CASES
1929,29,PENNSYLVANIA,PA,US,STATE,114,CASES
1929,30,PENNSYLVANIA,PA,US,STATE,105,CASES
1929,31,PENNSYLVANIA,PA,US,STATE,76,CASES
1929,32,PENNSYLVANIA,PA,US,STATE,76,CASES
1929,33,PENNSYLVANIA,PA,US,STATE,67,CASES
1929,34,PENNSYLVANIA,PA,US,STATE,66,CASES
1929,35,PENNSYLVANIA,PA,US,STATE,61,CASES
1929,36,PENNSYLVANIA,PA,US,STATE,77,CASES
1929,37,PENNSYLVANIA,PA,US,STATE,80,CASES
1929,38,PENNSYLVANIA,PA,US,STATE,75,CASES
1929,39,PENNSYLVANIA,PA,US,STATE,95,CASES
1929,40,PENNSYLVANIA,PA,US,STATE,166,CASES
1929,41,PENNSYLVANIA,PA,US,STATE,142,CASES
1929,42,PENNSYLVANIA,PA,US,STATE,214,CASES
1929,43,PENNSYLVANIA,PA,US,STATE,255,CASES
1929,44,PENNSYLVANIA,PA,US,STATE,250,CASES
1929,45,PENNSYLVANIA,PA,US,STATE,183,CASES
1929,46,PENNSYLVANIA,PA,US,STATE,273,CASES
1929,47,PENNSYLVANIA,PA,US,STATE,414,CASES
1929,48,PENNSYLVANIA,PA,US,STATE,347,CASES
1929,49,PENNSYLVANIA,PA,US,STATE,322,CASES
1929,50,PENNSYLVANIA,PA,US,STATE,354,CASES
1929,51,PENNSYLVANIA,PA,US,STATE,418,CASES
1930,1,PENNSYLVANIA,PA,US,STATE,773,CASES
1930,2,PENNSYLVANIA,PA,US,STATE,466,CASES
1930,3,PENNSYLVANIA,PA,US,STATE,478,CASES
1930,4,PENNSYLVANIA,PA,US,STATE,504,CASES
1930,5,PENNSYLVANIA,PA,US,STATE,540,CASES
1930,6,PENNSYLVANIA,PA,US,STATE,475,CASES
1930,7,PENNSYLVANIA,PA,US,STATE,487,CASES
1930,8,PENNSYLVANIA,PA,US,STATE,546,CASES
1930,9,PENNSYLVANIA,PA,US,STATE,521,CASES
1930,10,PENNSYLVANIA,PA,US,STATE,557,CASES
1930,11,PENNSYLVANIA,PA,US,STATE,501,CASES
1930,12,PENNSYLVANIA,PA,US,STATE,547,CASES
1930,13,PENNSYLVANIA,PA,US,STATE,432,CASES
1930,14,PENNSYLVANIA,PA,US,STATE,546,CASES
1930,15,PENNSYLVANIA,PA,US,STATE,519,CASES
1930,16,PENNSYLVANIA,PA,US,STATE,469,CASES
1930,17,PENNSYLVANIA,PA,US,STATE,406,CASES
1930,18,PENNSYLVANIA,PA,US,STATE,403,CASES
1930,19,PENNSYLVANIA,PA,US,STATE,517,CASES
1930,20,PENNSYLVANIA,PA,US,STATE,421,CASES
1930,21,PENNSYLVANIA,PA,US,STATE,308,CASES
1930,22,PENNSYLVANIA,PA,US,STATE,350,CASES
1930,23,PENNSYLVANIA,PA,US,STATE,210,CASES
1930,24,PENNSYLVANIA,PA,US,STATE,270,CASES
1930,25,PENNSYLVANIA,PA,US,STATE,253,CASES
1930,26,PENNSYLVANIA,PA,US,STATE,202,CASES
1930,27,PENNSYLVANIA,PA,US,STATE,197,CASES
1930,28,PENNSYLVANIA,PA,US,STATE,126,CASES
1930,29,PENNSYLVANIA,PA,US,STATE,103,CASES
1930,30,PENNSYLVANIA,PA,US,STATE,80,CASES
1930,31,PENNSYLVANIA,PA,US,STATE,78,CASES
1930,32,PENNSYLVANIA,PA,US,STATE,52,CASES
1930,33,PENNSYLVANIA,PA,US,STATE,62,CASES
1930,34,PENNSYLVANIA,PA,US,STATE,48,CASES
1930,35,PENNSYLVANIA,PA,US,STATE,53,CASES
1930,36,PENNSYLVANIA,PA,US,STATE,80,CASES
1930,37,PENNSYLVANIA,PA,US,STATE,83,CASES
1930,38,PENNSYLVANIA,PA,US,STATE,101,CASES
1930,39,PENNSYLVANIA,PA,US,STATE,138,CASES
1930,40,PENNSYLVANIA,PA,US,STATE,151,CASES
1930,41,PENNSYLVANIA,PA,US,STATE,141,CASES
1930,42,PENNSYLVANIA,PA,US,STATE,194,CASES
1930,43,PENNSYLVANIA,PA,US,STATE,319,CASES
1930,44,PENNSYLVANIA,PA,US,STATE,261,CASES
