year,week,loc,state,country,loc_type,number,event
1927,47,RHODE ISLAND,RI,US,STATE,5,CASES
1927,48,RHODE ISLAND,RI,US,STATE,2,CASES
1927,49,RHODE ISLAND,RI,US,STATE,10,CASES
1927,51,RHODE ISLAND,RI,US,STATE,10,CASES
1927,52,RHODE ISLAND,RI,US,STATE,3,CASES
1928,1,RHODE ISLAND,RI,US,STATE,8,CASES
1928,2,RHODE ISLAND,RI,US,STATE,5,CASES
1928,3,RHODE ISLAND,RI,US,STATE,18,CASES
1928,4,RHODE ISLAND,RI,US,STATE,1,CASES
1928,5,RHODE ISLAND,RI,US,STATE,7,CASES
1928,6,RHODE ISLAND,RI,US,STATE,5,CASES
1928,7,RHODE ISLAND,RI,US,STATE,26,CASES
1928,8,RHODE ISLAND,RI,US,STATE,63,CASES
1928,9,RHODE ISLAND,RI,US,STATE,29,CASES
1928,10,RHODE ISLAND,RI,US,STATE,69,CASES
1928,11,RHODE ISLAND,RI,US,STATE,80,CASES
1928,12,RHODE ISLAND,RI,US,STATE,91,CASES
1928,13,RHODE ISLAND,RI,US,STATE,204,CASES
1928,14,RHODE ISLAND,RI,US,STATE,242,CASES
1928,15,RHODE ISLAND,RI,US,STATE,236,CASES
1928,16,RHODE ISLAND,RI,US,STATE,299,CASES
1928,17,RHODE ISLAND,RI,US,STATE,361,CASES
1928,18,RHODE ISLAND,RI,US,STATE,296,CASES
1928,19,RHODE ISLAND,RI,US,STATE,221,CASES
1928,20,RHODE ISLAND,RI,US,STATE,247,CASES
1928,21,RHODE ISLAND,RI,US,STATE,234,CASES
1928,22,RHODE ISLAND,RI,US,STATE,217,CASES
1928,23,RHODE ISLAND,RI,US,STATE,196,CASES
1928,24,RHODE ISLAND,RI,US,STATE,210,CASES
1928,25,RHODE ISLAND,RI,US,STATE,195,CASES
1928,26,RHODE ISLAND,RI,US,STATE,194,CASES
1928,27,RHODE ISLAND,RI,US,STATE,165,CASES
1928,28,RHODE ISLAND,RI,US,STATE,141,CASES
1928,29,RHODE ISLAND,RI,US,STATE,110,CASES
1928,30,RHODE ISLAND,RI,US,STATE,199,CASES
1928,31,RHODE ISLAND,RI,US,STATE,176,CASES
1928,32,RHODE ISLAND,RI,US,STATE,57,CASES
1928,33,RHODE ISLAND,RI,US,STATE,14,CASES
1928,34,RHODE ISLAND,RI,US,STATE,16,CASES
1928,35,RHODE ISLAND,RI,US,STATE,25,CASES
1928,36,RHODE ISLAND,RI,US,STATE,9,CASES
1928,37,RHODE ISLAND,RI,US,STATE,2,CASES
1928,38,RHODE ISLAND,RI,US,STATE,5,CASES
1928,41,RHODE ISLAND,RI,US,STATE,4,CASES
1928,42,RHODE ISLAND,RI,US,STATE,11,CASES
1928,43,RHODE ISLAND,RI,US,STATE,22,CASES
1928,45,RHODE ISLAND,RI,US,STATE,17,CASES
1928,46,RHODE ISLAND,RI,US,STATE,58,CASES
1928,47,RHODE ISLAND,RI,US,STATE,33,CASES
1928,48,RHODE ISLAND,RI,US,STATE,27,CASES
1928,49,RHODE ISLAND,RI,US,STATE,28,CASES
1928,50,RHODE ISLAND,RI,US,STATE,32,CASES
1928,51,RHODE ISLAND,RI,US,STATE,49,CASES
1928,52,RHODE ISLAND,RI,US,STATE,28,CASES
1929,1,RHODE ISLAND,RI,US,STATE,48,CASES
1929,2,RHODE ISLAND,RI,US,STATE,72,CASES
1929,3,RHODE ISLAND,RI,US,STATE,51,CASES
1929,4,RHODE ISLAND,RI,US,STATE,43,CASES
1929,5,RHODE ISLAND,RI,US,STATE,61,CASES
1929,6,RHODE ISLAND,RI,US,STATE,54,CASES
1929,7,RHODE ISLAND,RI,US,STATE,74,CASES
1929,8,RHODE ISLAND,RI,US,STATE,57,CASES
1929,9,RHODE ISLAND,RI,US,STATE,77,CASES
1929,10,RHODE ISLAND,RI,US,STATE,70,CASES
1929,11,RHODE ISLAND,RI,US,STATE,53,CASES
1929,12,RHODE ISLAND,RI,US,STATE,90,CASES
1929,13,RHODE ISLAND,RI,US,STATE,52,CASES
1929,14,RHODE ISLAND,RI,US,STATE,87,CASES
1929,15,RHODE ISLAND,RI,US,STATE,97,CASES
1929,16,RHODE ISLAND,RI,US,STATE,82,CASES
1929,17,RHODE ISLAND,RI,US,STATE,115,CASES
1929,18,RHODE ISLAND,RI,US,STATE,100,CASES
1929,19,RHODE ISLAND,RI,US,STATE,93,CASES
1929,20,RHODE ISLAND,RI,US,STATE,62,CASES
1929,21,RHODE ISLAND,RI,US,STATE,79,CASES
1929,22,RHODE ISLAND,RI,US,STATE,49,CASES
1929,23,RHODE ISLAND,RI,US,STATE,68,CASES
1929,24,RHODE ISLAND,RI,US,STATE,28,CASES
1929,25,RHODE ISLAND,RI,US,STATE,42,CASES
1929,26,RHODE ISLAND,RI,US,STATE,26,CASES
1929,27,RHODE ISLAND,RI,US,STATE,24,CASES
1929,28,RHODE ISLAND,RI,US,STATE,44,CASES
1929,29,RHODE ISLAND,RI,US,STATE,13,CASES
1929,30,RHODE ISLAND,RI,US,STATE,9,CASES
1929,31,RHODE ISLAND,RI,US,STATE,10,CASES
1929,33,RHODE ISLAND,RI,US,STATE,5,CASES
1929,37,RHODE ISLAND,RI,US,STATE,2,CASES
1929,38,RHODE ISLAND,RI,US,STATE,1,CASES
1929,40,RHODE ISLAND,RI,US,STATE,2,CASES
1929,46,RHODE ISLAND,RI,US,STATE,3,CASES
1929,47,RHODE ISLAND,RI,US,STATE,1,CASES
1929,48,RHODE ISLAND,RI,US,STATE,2,CASES
1929,49,RHODE ISLAND,RI,US,STATE,3,CASES
1929,51,RHODE ISLAND,RI,US,STATE,1,CASES
1929,52,RHODE ISLAND,RI,US,STATE,1,CASES
1930,1,RHODE ISLAND,RI,US,STATE,1,CASES
1930,3,RHODE ISLAND,RI,US,STATE,2,CASES
1930,4,RHODE ISLAND,RI,US,STATE,2,CASES
1930,5,RHODE ISLAND,RI,US,STATE,2,CASES
1930,6,RHODE ISLAND,RI,US,STATE,2,CASES
1930,7,RHODE ISLAND,RI,US,STATE,3,CASES
1930,8,RHODE ISLAND,RI,US,STATE,3,CASES
1930,9,RHODE ISLAND,RI,US,STATE,1,CASES
1930,10,RHODE ISLAND,RI,US,STATE,4,CASES
1930,11,RHODE ISLAND,RI,US,STATE,1,CASES
1930,12,RHODE ISLAND,RI,US,STATE,2,CASES
1930,13,RHODE ISLAND,RI,US,STATE,7,CASES
1930,14,RHODE ISLAND,RI,US,STATE,2,CASES
1930,15,RHODE ISLAND,RI,US,STATE,4,CASES
1930,16,RHODE ISLAND,RI,US,STATE,3,CASES
1930,17,RHODE ISLAND,RI,US,STATE,5,CASES
1930,18,RHODE ISLAND,RI,US,STATE,7,CASES
1930,19,RHODE ISLAND,RI,US,STATE,6,CASES
1930,20,RHODE ISLAND,RI,US,STATE,2,CASES
1930,21,RHODE ISLAND,RI,US,STATE,29,CASES
1930,22,RHODE ISLAND,RI,US,STATE,15,CASES
1930,23,RHODE ISLAND,RI,US,STATE,38,CASES
1930,24,RHODE ISLAND,RI,US,STATE,29,CASES
1930,25,RHODE ISLAND,RI,US,STATE,5,CASES
1930,26,RHODE ISLAND,RI,US,STATE,25,CASES
1930,27,RHODE ISLAND,RI,US,STATE,17,CASES
1930,28,RHODE ISLAND,RI,US,STATE,11,CASES
1930,29,RHODE ISLAND,RI,US,STATE,7,CASES
1930,30,RHODE ISLAND,RI,US,STATE,10,CASES
1930,31,RHODE ISLAND,RI,US,STATE,2,CASES
1930,32,RHODE ISLAND,RI,US,STATE,6,CASES
1930,33,RHODE ISLAND,RI,US,STATE,2,CASES
1930,37,RHODE ISLAND,RI,US,STATE,1,CASES
1930,38,RHODE ISLAND,RI,US,STATE,3,CASES
1930,41,RHODE ISLAND,RI,US,STATE,1,CASES
1930,47,RHODE ISLAND,RI,US,STATE,1,CASES
1930,48,RHODE ISLAND,RI,US,STATE,3,CASES
1930,49,RHODE ISLAND,RI,US,STATE,2,CASES
1930,50,RHODE ISLAND,RI,US,STATE,2,CASES
1930,52,RHODE ISLAND,RI,US,STATE,1,CASES
1931,1,RHODE ISLAND,RI,US,STATE,1,CASES
1931,4,RHODE ISLAND,RI,US,STATE,1,CASES
1931,6,RHODE ISLAND,RI,US,STATE,1,CASES
1931,7,RHODE ISLAND,RI,US,STATE,1,CASES
1931,8,RHODE ISLAND,RI,US,STATE,1,CASES
1931,10,RHODE ISLAND,RI,US,STATE,12,CASES
1931,11,RHODE ISLAND,RI,US,STATE,8,CASES
1931,12,RHODE ISLAND,RI,US,STATE,32,CASES
1931,13,RHODE ISLAND,RI,US,STATE,31,CASES
1931,14,RHODE ISLAND,RI,US,STATE,40,CASES
1931,15,RHODE ISLAND,RI,US,STATE,40,CASES
1931,16,RHODE ISLAND,RI,US,STATE,35,CASES
1931,17,RHODE ISLAND,RI,US,STATE,32,CASES
1931,18,RHODE ISLAND,RI,US,STATE,99,CASES
