year,week,loc,state,country,loc_type,number,event
1968,1,RHODE ISLAND,RI,US,STATE,80,CASES
1968,2,RHODE ISLAND,RI,US,STATE,50,CASES
1968,3,RHODE ISLAND,RI,US,STATE,55,CASES
1968,4,RHODE ISLAND,RI,US,STATE,53,CASES
1968,5,RHODE ISLAND,RI,US,STATE,57,CASES
1968,7,RHODE ISLAND,RI,US,STATE,132,CASES
1968,8,RHODE ISLAND,RI,US,STATE,40,CASES
1968,9,RHODE ISLAND,RI,US,STATE,21,CASES
1968,11,RHODE ISLAND,RI,US,STATE,122,CASES
1968,12,RHODE ISLAND,RI,US,STATE,28,CASES
1968,13,RHODE ISLAND,RI,US,STATE,56,CASES
1968,14,RHODE ISLAND,RI,US,STATE,49,CASES
1968,15,RHODE ISLAND,RI,US,STATE,38,CASES
1968,16,RHODE ISLAND,RI,US,STATE,67,CASES
1968,17,RHODE ISLAND,RI,US,STATE,42,CASES
1968,18,RHODE ISLAND,RI,US,STATE,39,CASES
1968,19,RHODE ISLAND,RI,US,STATE,114,CASES
1968,20,RHODE ISLAND,RI,US,STATE,24,CASES
1968,21,RHODE ISLAND,RI,US,STATE,24,CASES
1968,22,RHODE ISLAND,RI,US,STATE,28,CASES
1968,23,RHODE ISLAND,RI,US,STATE,18,CASES
1968,24,RHODE ISLAND,RI,US,STATE,36,CASES
1968,25,RHODE ISLAND,RI,US,STATE,32,CASES
1968,26,RHODE ISLAND,RI,US,STATE,51,CASES
1968,27,RHODE ISLAND,RI,US,STATE,40,CASES
1968,28,RHODE ISLAND,RI,US,STATE,29,CASES
1968,29,RHODE ISLAND,RI,US,STATE,16,CASES
1968,30,RHODE ISLAND,RI,US,STATE,9,CASES
1968,31,RHODE ISLAND,RI,US,STATE,5,CASES
1968,32,RHODE ISLAND,RI,US,STATE,8,CASES
1968,33,RHODE ISLAND,RI,US,STATE,13,CASES
1968,34,RHODE ISLAND,RI,US,STATE,8,CASES
1968,35,RHODE ISLAND,RI,US,STATE,10,CASES
1968,36,RHODE ISLAND,RI,US,STATE,14,CASES
1968,37,RHODE ISLAND,RI,US,STATE,7,CASES
1968,38,RHODE ISLAND,RI,US,STATE,10,CASES
1968,39,RHODE ISLAND,RI,US,STATE,3,CASES
1968,40,RHODE ISLAND,RI,US,STATE,7,CASES
1968,41,RHODE ISLAND,RI,US,STATE,9,CASES
1968,42,RHODE ISLAND,RI,US,STATE,10,CASES
1968,43,RHODE ISLAND,RI,US,STATE,7,CASES
1968,44,RHODE ISLAND,RI,US,STATE,18,CASES
1968,45,RHODE ISLAND,RI,US,STATE,10,CASES
1968,46,RHODE ISLAND,RI,US,STATE,20,CASES
1968,47,RHODE ISLAND,RI,US,STATE,32,CASES
1968,48,RHODE ISLAND,RI,US,STATE,64,CASES
1968,49,RHODE ISLAND,RI,US,STATE,36,CASES
1968,50,RHODE ISLAND,RI,US,STATE,23,CASES
1968,52,RHODE ISLAND,RI,US,STATE,18,CASES
1969,1,RHODE ISLAND,RI,US,STATE,32,CASES
1969,2,RHODE ISLAND,RI,US,STATE,54,CASES
1969,3,RHODE ISLAND,RI,US,STATE,79,CASES
1969,4,RHODE ISLAND,RI,US,STATE,24,CASES
