year,week,loc,state,country,loc_type,number,event
1966,1,RHODE ISLAND,RI,US,STATE,6,CASES
1966,2,RHODE ISLAND,RI,US,STATE,3,CASES
1966,3,RHODE ISLAND,RI,US,STATE,19,CASES
1966,4,RHODE ISLAND,RI,US,STATE,3,CASES
1966,5,RHODE ISLAND,RI,US,STATE,13,CASES
1966,6,RHODE ISLAND,RI,US,STATE,9,CASES
1966,7,RHODE ISLAND,RI,US,STATE,3,CASES
1966,8,RHODE ISLAND,RI,US,STATE,1,CASES
1966,10,RHODE ISLAND,RI,US,STATE,4,CASES
1966,11,RHODE ISLAND,RI,US,STATE,3,CASES
1966,12,RHODE ISLAND,RI,US,STATE,4,CASES
1966,13,RHODE ISLAND,RI,US,STATE,10,CASES
1966,14,RHODE ISLAND,RI,US,STATE,44,CASES
1966,15,RHODE ISLAND,RI,US,STATE,21,CASES
1966,16,RHODE ISLAND,RI,US,STATE,7,CASES
1966,17,RHODE ISLAND,RI,US,STATE,10,CASES
1966,18,RHODE ISLAND,RI,US,STATE,6,CASES
1966,19,RHODE ISLAND,RI,US,STATE,20,CASES
1966,20,RHODE ISLAND,RI,US,STATE,14,CASES
1966,21,RHODE ISLAND,RI,US,STATE,3,CASES
1966,22,RHODE ISLAND,RI,US,STATE,15,CASES
1966,23,RHODE ISLAND,RI,US,STATE,9,CASES
1966,24,RHODE ISLAND,RI,US,STATE,1,CASES
1966,25,RHODE ISLAND,RI,US,STATE,4,CASES
1966,27,RHODE ISLAND,RI,US,STATE,7,CASES
1966,28,RHODE ISLAND,RI,US,STATE,3,CASES
1966,31,RHODE ISLAND,RI,US,STATE,2,CASES
1966,32,RHODE ISLAND,RI,US,STATE,4,CASES
1966,33,RHODE ISLAND,RI,US,STATE,3,CASES
1966,34,RHODE ISLAND,RI,US,STATE,8,CASES
1966,35,RHODE ISLAND,RI,US,STATE,3,CASES
1966,38,RHODE ISLAND,RI,US,STATE,1,CASES
1966,40,RHODE ISLAND,RI,US,STATE,1,CASES
1966,41,RHODE ISLAND,RI,US,STATE,2,CASES
1966,42,RHODE ISLAND,RI,US,STATE,1,CASES
1966,43,RHODE ISLAND,RI,US,STATE,1,CASES
1966,45,RHODE ISLAND,RI,US,STATE,2,CASES
1966,46,RHODE ISLAND,RI,US,STATE,1,CASES
1966,47,RHODE ISLAND,RI,US,STATE,1,CASES
1966,48,RHODE ISLAND,RI,US,STATE,3,CASES
1966,50,RHODE ISLAND,RI,US,STATE,2,CASES
1966,51,RHODE ISLAND,RI,US,STATE,1,CASES
1966,52,RHODE ISLAND,RI,US,STATE,2,CASES
1967,1,RHODE ISLAND,RI,US,STATE,4,CASES
1967,2,RHODE ISLAND,RI,US,STATE,5,CASES
1967,3,RHODE ISLAND,RI,US,STATE,2,CASES
1967,4,RHODE ISLAND,RI,US,STATE,3,CASES
1967,5,RHODE ISLAND,RI,US,STATE,11,CASES
1967,6,RHODE ISLAND,RI,US,STATE,4,CASES
1967,7,RHODE ISLAND,RI,US,STATE,3,CASES
1967,8,RHODE ISLAND,RI,US,STATE,3,CASES
1967,9,RHODE ISLAND,RI,US,STATE,5,CASES
1967,10,RHODE ISLAND,RI,US,STATE,2,CASES
1967,11,RHODE ISLAND,RI,US,STATE,4,CASES
1967,12,RHODE ISLAND,RI,US,STATE,2,CASES
1967,13,RHODE ISLAND,RI,US,STATE,9,CASES
1967,14,RHODE ISLAND,RI,US,STATE,13,CASES
1967,15,RHODE ISLAND,RI,US,STATE,18,CASES
