year,week,loc,state,country,loc_type,number,event
1937,43,SOUTH CAROLINA,SC,US,STATE,25,CASES
1937,44,SOUTH CAROLINA,SC,US,STATE,32,CASES
1937,45,SOUTH CAROLINA,SC,US,STATE,38,CASES
1937,46,SOUTH CAROLINA,SC,US,STATE,28,CASES
1937,47,SOUTH CAROLINA,SC,US,STATE,27,CASES
1937,48,SOUTH CAROLINA,SC,US,STATE,59,CASES
1937,49,SOUTH CAROLINA,SC,US,STATE,41,CASES
1937,50,SOUTH CAROLINA,SC,US,STATE,23,CASES
1937,51,SOUTH CAROLINA,SC,US,STATE,6,CASES
1938,1,SOUTH CAROLINA,SC,US,STATE,65,CASES
1938,2,SOUTH CAROLINA,SC,US,STATE,49,CASES
1938,3,SOUTH CAROLINA,SC,US,STATE,47,CASES
1938,4,SOUTH CAROLINA,SC,US,STATE,44,CASES
1938,5,SOUTH CAROLINA,SC,US,STATE,57,CASES
1938,6,SOUTH CAROLINA,SC,US,STATE,61,CASES
1938,7,SOUTH CAROLINA,SC,US,STATE,68,CASES
1938,8,SOUTH CAROLINA,SC,US,STATE,68,CASES
1938,9,SOUTH CAROLINA,SC,US,STATE,96,CASES
1938,10,SOUTH CAROLINA,SC,US,STATE,56,CASES
1938,11,SOUTH CAROLINA,SC,US,STATE,56,CASES
1938,12,SOUTH CAROLINA,SC,US,STATE,112,CASES
1938,13,SOUTH CAROLINA,SC,US,STATE,80,CASES
1938,14,SOUTH CAROLINA,SC,US,STATE,51,CASES
1938,15,SOUTH CAROLINA,SC,US,STATE,55,CASES
1938,16,SOUTH CAROLINA,SC,US,STATE,65,CASES
1938,17,SOUTH CAROLINA,SC,US,STATE,107,CASES
1938,18,SOUTH CAROLINA,SC,US,STATE,108,CASES
1938,19,SOUTH CAROLINA,SC,US,STATE,90,CASES
1938,20,SOUTH CAROLINA,SC,US,STATE,28,CASES
1938,21,SOUTH CAROLINA,SC,US,STATE,62,CASES
1938,22,SOUTH CAROLINA,SC,US,STATE,69,CASES
1938,23,SOUTH CAROLINA,SC,US,STATE,73,CASES
1938,24,SOUTH CAROLINA,SC,US,STATE,79,CASES
1938,25,SOUTH CAROLINA,SC,US,STATE,220,CASES
1938,26,SOUTH CAROLINA,SC,US,STATE,234,CASES
