year,week,loc,state,country,loc_type,number,event
1968,1,SOUTH CAROLINA,SC,US,STATE,4,CASES
1968,2,SOUTH CAROLINA,SC,US,STATE,4,CASES
1968,3,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,4,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,5,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,6,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,7,SOUTH CAROLINA,SC,US,STATE,7,CASES
1968,8,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,9,SOUTH CAROLINA,SC,US,STATE,7,CASES
1968,10,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,11,SOUTH CAROLINA,SC,US,STATE,16,CASES
1968,12,SOUTH CAROLINA,SC,US,STATE,2,CASES
1968,13,SOUTH CAROLINA,SC,US,STATE,9,CASES
1968,14,SOUTH CAROLINA,SC,US,STATE,16,CASES
1968,15,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,16,SOUTH CAROLINA,SC,US,STATE,4,CASES
1968,17,SOUTH CAROLINA,SC,US,STATE,7,CASES
1968,18,SOUTH CAROLINA,SC,US,STATE,8,CASES
1968,19,SOUTH CAROLINA,SC,US,STATE,18,CASES
1968,22,SOUTH CAROLINA,SC,US,STATE,6,CASES
1968,23,SOUTH CAROLINA,SC,US,STATE,2,CASES
1968,24,SOUTH CAROLINA,SC,US,STATE,5,CASES
1968,26,SOUTH CAROLINA,SC,US,STATE,2,CASES
1968,27,SOUTH CAROLINA,SC,US,STATE,2,CASES
1968,28,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,31,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,33,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,42,SOUTH CAROLINA,SC,US,STATE,11,CASES
1968,43,SOUTH CAROLINA,SC,US,STATE,4,CASES
1968,44,SOUTH CAROLINA,SC,US,STATE,4,CASES
1968,45,SOUTH CAROLINA,SC,US,STATE,19,CASES
1968,46,SOUTH CAROLINA,SC,US,STATE,12,CASES
1968,47,SOUTH CAROLINA,SC,US,STATE,24,CASES
1968,48,SOUTH CAROLINA,SC,US,STATE,13,CASES
1968,49,SOUTH CAROLINA,SC,US,STATE,17,CASES
1968,50,SOUTH CAROLINA,SC,US,STATE,12,CASES
1968,51,SOUTH CAROLINA,SC,US,STATE,24,CASES
1968,52,SOUTH CAROLINA,SC,US,STATE,8,CASES
1969,1,SOUTH CAROLINA,SC,US,STATE,22,CASES
1969,2,SOUTH CAROLINA,SC,US,STATE,11,CASES
1969,3,SOUTH CAROLINA,SC,US,STATE,30,CASES
1969,4,SOUTH CAROLINA,SC,US,STATE,13,CASES
1969,5,SOUTH CAROLINA,SC,US,STATE,30,CASES
1969,6,SOUTH CAROLINA,SC,US,STATE,16,CASES
1969,7,SOUTH CAROLINA,SC,US,STATE,4,CASES
1969,8,SOUTH CAROLINA,SC,US,STATE,25,CASES
1969,9,SOUTH CAROLINA,SC,US,STATE,14,CASES
1969,10,SOUTH CAROLINA,SC,US,STATE,8,CASES
1969,12,SOUTH CAROLINA,SC,US,STATE,20,CASES
1969,13,SOUTH CAROLINA,SC,US,STATE,24,CASES
1969,14,SOUTH CAROLINA,SC,US,STATE,29,CASES
1969,15,SOUTH CAROLINA,SC,US,STATE,7,CASES
1969,16,SOUTH CAROLINA,SC,US,STATE,10,CASES
1969,17,SOUTH CAROLINA,SC,US,STATE,9,CASES
1969,18,SOUTH CAROLINA,SC,US,STATE,4,CASES
1969,19,SOUTH CAROLINA,SC,US,STATE,8,CASES
1969,20,SOUTH CAROLINA,SC,US,STATE,5,CASES
1969,21,SOUTH CAROLINA,SC,US,STATE,12,CASES
1969,22,SOUTH CAROLINA,SC,US,STATE,7,CASES
1969,23,SOUTH CAROLINA,SC,US,STATE,12,CASES
1969,24,SOUTH CAROLINA,SC,US,STATE,17,CASES
