year,week,loc,state,country,loc_type,number,event
1927,47,SOUTH DAKOTA,SD,US,STATE,3,CASES
1927,48,SOUTH DAKOTA,SD,US,STATE,10,CASES
1927,49,SOUTH DAKOTA,SD,US,STATE,2,CASES
1927,51,SOUTH DAKOTA,SD,US,STATE,1,CASES
1927,52,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,4,SOUTH DAKOTA,SD,US,STATE,4,CASES
1928,5,SOUTH DAKOTA,SD,US,STATE,3,CASES
1928,6,SOUTH DAKOTA,SD,US,STATE,9,CASES
1928,7,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,11,SOUTH DAKOTA,SD,US,STATE,3,CASES
1928,15,SOUTH DAKOTA,SD,US,STATE,5,CASES
1928,16,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,18,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,19,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,20,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,21,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,22,SOUTH DAKOTA,SD,US,STATE,3,CASES
1928,24,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,26,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,28,SOUTH DAKOTA,SD,US,STATE,3,CASES
1928,31,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,33,SOUTH DAKOTA,SD,US,STATE,4,CASES
1928,37,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,38,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,40,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,42,SOUTH DAKOTA,SD,US,STATE,11,CASES
1928,43,SOUTH DAKOTA,SD,US,STATE,4,CASES
1928,45,SOUTH DAKOTA,SD,US,STATE,4,CASES
1928,46,SOUTH DAKOTA,SD,US,STATE,4,CASES
1928,47,SOUTH DAKOTA,SD,US,STATE,3,CASES
1928,48,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,49,SOUTH DAKOTA,SD,US,STATE,4,CASES
1928,52,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,1,SOUTH DAKOTA,SD,US,STATE,4,CASES
1929,3,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,4,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,5,SOUTH DAKOTA,SD,US,STATE,3,CASES
1929,7,SOUTH DAKOTA,SD,US,STATE,4,CASES
1929,8,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,9,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,10,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,11,SOUTH DAKOTA,SD,US,STATE,11,CASES
1929,12,SOUTH DAKOTA,SD,US,STATE,3,CASES
1929,13,SOUTH DAKOTA,SD,US,STATE,6,CASES
1929,14,SOUTH DAKOTA,SD,US,STATE,3,CASES
1929,15,SOUTH DAKOTA,SD,US,STATE,10,CASES
1929,17,SOUTH DAKOTA,SD,US,STATE,5,CASES
1929,18,SOUTH DAKOTA,SD,US,STATE,3,CASES
1929,19,SOUTH DAKOTA,SD,US,STATE,3,CASES
1929,20,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,21,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,22,SOUTH DAKOTA,SD,US,STATE,3,CASES
1929,25,SOUTH DAKOTA,SD,US,STATE,4,CASES
1929,28,SOUTH DAKOTA,SD,US,STATE,7,CASES
1929,29,SOUTH DAKOTA,SD,US,STATE,3,CASES
1929,31,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,32,SOUTH DAKOTA,SD,US,STATE,7,CASES
1929,34,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,35,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,36,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,37,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,38,SOUTH DAKOTA,SD,US,STATE,3,CASES
1929,39,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,40,SOUTH DAKOTA,SD,US,STATE,7,CASES
1929,41,SOUTH DAKOTA,SD,US,STATE,8,CASES
1929,42,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,43,SOUTH DAKOTA,SD,US,STATE,6,CASES
1929,45,SOUTH DAKOTA,SD,US,STATE,11,CASES
1929,46,SOUTH DAKOTA,SD,US,STATE,5,CASES
1929,47,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,48,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,49,SOUTH DAKOTA,SD,US,STATE,6,CASES
1929,52,SOUTH DAKOTA,SD,US,STATE,1,CASES
