year,week,loc,state,country,loc_type,number,event
1927,47,SOUTH DAKOTA,SD,US,STATE,9,CASES
1927,48,SOUTH DAKOTA,SD,US,STATE,33,CASES
1927,49,SOUTH DAKOTA,SD,US,STATE,21,CASES
1927,51,SOUTH DAKOTA,SD,US,STATE,13,CASES
1927,52,SOUTH DAKOTA,SD,US,STATE,10,CASES
1928,1,SOUTH DAKOTA,SD,US,STATE,39,CASES
1928,2,SOUTH DAKOTA,SD,US,STATE,45,CASES
1928,3,SOUTH DAKOTA,SD,US,STATE,14,CASES
1928,4,SOUTH DAKOTA,SD,US,STATE,15,CASES
1928,5,SOUTH DAKOTA,SD,US,STATE,27,CASES
1928,6,SOUTH DAKOTA,SD,US,STATE,14,CASES
1928,7,SOUTH DAKOTA,SD,US,STATE,21,CASES
1928,8,SOUTH DAKOTA,SD,US,STATE,28,CASES
1928,9,SOUTH DAKOTA,SD,US,STATE,39,CASES
1928,10,SOUTH DAKOTA,SD,US,STATE,20,CASES
1928,11,SOUTH DAKOTA,SD,US,STATE,14,CASES
1928,13,SOUTH DAKOTA,SD,US,STATE,39,CASES
1928,14,SOUTH DAKOTA,SD,US,STATE,56,CASES
1928,15,SOUTH DAKOTA,SD,US,STATE,45,CASES
1928,16,SOUTH DAKOTA,SD,US,STATE,36,CASES
1928,17,SOUTH DAKOTA,SD,US,STATE,11,CASES
1928,18,SOUTH DAKOTA,SD,US,STATE,45,CASES
1928,19,SOUTH DAKOTA,SD,US,STATE,29,CASES
1928,20,SOUTH DAKOTA,SD,US,STATE,21,CASES
1928,21,SOUTH DAKOTA,SD,US,STATE,12,CASES
1928,22,SOUTH DAKOTA,SD,US,STATE,210,CASES
1928,23,SOUTH DAKOTA,SD,US,STATE,66,CASES
1928,24,SOUTH DAKOTA,SD,US,STATE,5,CASES
1928,25,SOUTH DAKOTA,SD,US,STATE,6,CASES
1928,26,SOUTH DAKOTA,SD,US,STATE,9,CASES
1928,27,SOUTH DAKOTA,SD,US,STATE,72,CASES
1928,28,SOUTH DAKOTA,SD,US,STATE,9,CASES
1928,29,SOUTH DAKOTA,SD,US,STATE,8,CASES
1928,30,SOUTH DAKOTA,SD,US,STATE,3,CASES
1928,31,SOUTH DAKOTA,SD,US,STATE,20,CASES
1928,32,SOUTH DAKOTA,SD,US,STATE,13,CASES
1928,33,SOUTH DAKOTA,SD,US,STATE,9,CASES
1928,35,SOUTH DAKOTA,SD,US,STATE,10,CASES
1928,39,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,42,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,43,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,45,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,46,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,47,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,48,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,49,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,50,SOUTH DAKOTA,SD,US,STATE,35,CASES
1928,51,SOUTH DAKOTA,SD,US,STATE,10,CASES
1928,52,SOUTH DAKOTA,SD,US,STATE,26,CASES
1929,1,SOUTH DAKOTA,SD,US,STATE,41,CASES
1929,2,SOUTH DAKOTA,SD,US,STATE,31,CASES
1929,3,SOUTH DAKOTA,SD,US,STATE,17,CASES
1929,4,SOUTH DAKOTA,SD,US,STATE,64,CASES
1929,5,SOUTH DAKOTA,SD,US,STATE,53,CASES
1929,6,SOUTH DAKOTA,SD,US,STATE,29,CASES
1929,7,SOUTH DAKOTA,SD,US,STATE,47,CASES
1929,8,SOUTH DAKOTA,SD,US,STATE,68,CASES
1929,9,SOUTH DAKOTA,SD,US,STATE,92,CASES
1929,10,SOUTH DAKOTA,SD,US,STATE,81,CASES
1929,11,SOUTH DAKOTA,SD,US,STATE,46,CASES
1929,12,SOUTH DAKOTA,SD,US,STATE,16,CASES
1929,13,SOUTH DAKOTA,SD,US,STATE,35,CASES
1929,14,SOUTH DAKOTA,SD,US,STATE,38,CASES
1929,15,SOUTH DAKOTA,SD,US,STATE,17,CASES
