year,week,loc,state,country,loc_type,number,event
1937,43,TENNESSEE,TN,US,STATE,19,CASES
1937,44,TENNESSEE,TN,US,STATE,31,CASES
1937,45,TENNESSEE,TN,US,STATE,33,CASES
1937,46,TENNESSEE,TN,US,STATE,45,CASES
1937,47,TENNESSEE,TN,US,STATE,45,CASES
1937,48,TENNESSEE,TN,US,STATE,35,CASES
1937,49,TENNESSEE,TN,US,STATE,34,CASES
1937,50,TENNESSEE,TN,US,STATE,24,CASES
1937,51,TENNESSEE,TN,US,STATE,23,CASES
1937,52,TENNESSEE,TN,US,STATE,35,CASES
1938,1,TENNESSEE,TN,US,STATE,29,CASES
1938,2,TENNESSEE,TN,US,STATE,26,CASES
1938,3,TENNESSEE,TN,US,STATE,31,CASES
1938,4,TENNESSEE,TN,US,STATE,30,CASES
1938,5,TENNESSEE,TN,US,STATE,46,CASES
1938,6,TENNESSEE,TN,US,STATE,74,CASES
1938,7,TENNESSEE,TN,US,STATE,18,CASES
1938,8,TENNESSEE,TN,US,STATE,86,CASES
1938,9,TENNESSEE,TN,US,STATE,64,CASES
1938,10,TENNESSEE,TN,US,STATE,28,CASES
1938,11,TENNESSEE,TN,US,STATE,53,CASES
1938,12,TENNESSEE,TN,US,STATE,62,CASES
1938,13,TENNESSEE,TN,US,STATE,27,CASES
1938,14,TENNESSEE,TN,US,STATE,42,CASES
1938,15,TENNESSEE,TN,US,STATE,36,CASES
1938,16,TENNESSEE,TN,US,STATE,41,CASES
1938,17,TENNESSEE,TN,US,STATE,42,CASES
1938,18,TENNESSEE,TN,US,STATE,29,CASES
1938,19,TENNESSEE,TN,US,STATE,25,CASES
1938,20,TENNESSEE,TN,US,STATE,56,CASES
1938,21,TENNESSEE,TN,US,STATE,59,CASES
1938,22,TENNESSEE,TN,US,STATE,66,CASES
1938,23,TENNESSEE,TN,US,STATE,60,CASES
1938,24,TENNESSEE,TN,US,STATE,75,CASES
1938,25,TENNESSEE,TN,US,STATE,79,CASES
1938,26,TENNESSEE,TN,US,STATE,81,CASES
1938,27,TENNESSEE,TN,US,STATE,150,CASES
1938,28,TENNESSEE,TN,US,STATE,112,CASES
1938,29,TENNESSEE,TN,US,STATE,87,CASES
1938,30,TENNESSEE,TN,US,STATE,36,CASES
1938,31,TENNESSEE,TN,US,STATE,88,CASES
1938,32,TENNESSEE,TN,US,STATE,79,CASES
1938,33,TENNESSEE,TN,US,STATE,90,CASES
1938,34,TENNESSEE,TN,US,STATE,32,CASES
1938,35,TENNESSEE,TN,US,STATE,16,CASES
1938,36,TENNESSEE,TN,US,STATE,63,CASES
1938,37,TENNESSEE,TN,US,STATE,29,CASES
1938,38,TENNESSEE,TN,US,STATE,26,CASES
1938,39,TENNESSEE,TN,US,STATE,36,CASES
1938,40,TENNESSEE,TN,US,STATE,49,CASES
1938,41,TENNESSEE,TN,US,STATE,21,CASES
1938,42,TENNESSEE,TN,US,STATE,59,CASES
1938,43,TENNESSEE,TN,US,STATE,66,CASES
1938,44,TENNESSEE,TN,US,STATE,40,CASES
1938,45,TENNESSEE,TN,US,STATE,24,CASES
1938,46,TENNESSEE,TN,US,STATE,41,CASES
1938,47,TENNESSEE,TN,US,STATE,49,CASES
1938,48,TENNESSEE,TN,US,STATE,45,CASES
1938,49,TENNESSEE,TN,US,STATE,22,CASES
1938,50,TENNESSEE,TN,US,STATE,97,CASES
1938,51,TENNESSEE,TN,US,STATE,19,CASES
1938,52,TENNESSEE,TN,US,STATE,15,CASES
1939,1,TENNESSEE,TN,US,STATE,14,CASES
1939,2,TENNESSEE,TN,US,STATE,37,CASES
1939,3,TENNESSEE,TN,US,STATE,62,CASES
1939,4,TENNESSEE,TN,US,STATE,39,CASES
1939,5,TENNESSEE,TN,US,STATE,54,CASES
1939,6,TENNESSEE,TN,US,STATE,38,CASES
1939,7,TENNESSEE,TN,US,STATE,51,CASES
1939,8,TENNESSEE,TN,US,STATE,14,CASES
1939,9,TENNESSEE,TN,US,STATE,41,CASES
1939,10,TENNESSEE,TN,US,STATE,55,CASES
1939,11,TENNESSEE,TN,US,STATE,35,CASES
1939,12,TENNESSEE,TN,US,STATE,13,CASES
1939,13,TENNESSEE,TN,US,STATE,46,CASES
1939,14,TENNESSEE,TN,US,STATE,13,CASES
1939,15,TENNESSEE,TN,US,STATE,30,CASES
1939,16,TENNESSEE,TN,US,STATE,28,CASES
1939,17,TENNESSEE,TN,US,STATE,63,CASES
1939,18,TENNESSEE,TN,US,STATE,40,CASES
1939,19,TENNESSEE,TN,US,STATE,71,CASES
1939,20,TENNESSEE,TN,US,STATE,39,CASES
1939,21,TENNESSEE,TN,US,STATE,38,CASES
1939,22,TENNESSEE,TN,US,STATE,70,CASES
1939,23,TENNESSEE,TN,US,STATE,54,CASES
1939,24,TENNESSEE,TN,US,STATE,88,CASES
1939,25,TENNESSEE,TN,US,STATE,68,CASES
1939,26,TENNESSEE,TN,US,STATE,104,CASES
1939,27,TENNESSEE,TN,US,STATE,125,CASES
1939,28,TENNESSEE,TN,US,STATE,130,CASES
1939,29,TENNESSEE,TN,US,STATE,60,CASES
1939,30,TENNESSEE,TN,US,STATE,95,CASES
