year,week,loc,state,country,loc_type,number,event
1966,1,TENNESSEE,TN,US,STATE,23,CASES
1966,2,TENNESSEE,TN,US,STATE,40,CASES
1966,3,TENNESSEE,TN,US,STATE,45,CASES
1966,4,TENNESSEE,TN,US,STATE,76,CASES
1966,5,TENNESSEE,TN,US,STATE,55,CASES
1966,6,TENNESSEE,TN,US,STATE,47,CASES
1966,7,TENNESSEE,TN,US,STATE,84,CASES
1966,8,TENNESSEE,TN,US,STATE,39,CASES
1966,9,TENNESSEE,TN,US,STATE,61,CASES
1966,10,TENNESSEE,TN,US,STATE,65,CASES
1966,11,TENNESSEE,TN,US,STATE,82,CASES
1966,12,TENNESSEE,TN,US,STATE,77,CASES
1966,13,TENNESSEE,TN,US,STATE,79,CASES
1966,14,TENNESSEE,TN,US,STATE,65,CASES
1966,15,TENNESSEE,TN,US,STATE,109,CASES
1966,16,TENNESSEE,TN,US,STATE,120,CASES
1966,17,TENNESSEE,TN,US,STATE,146,CASES
1966,18,TENNESSEE,TN,US,STATE,172,CASES
1966,19,TENNESSEE,TN,US,STATE,165,CASES
1966,20,TENNESSEE,TN,US,STATE,183,CASES
1966,21,TENNESSEE,TN,US,STATE,134,CASES
1966,22,TENNESSEE,TN,US,STATE,93,CASES
1966,23,TENNESSEE,TN,US,STATE,99,CASES
1966,24,TENNESSEE,TN,US,STATE,76,CASES
1966,25,TENNESSEE,TN,US,STATE,67,CASES
1966,26,TENNESSEE,TN,US,STATE,38,CASES
1966,27,TENNESSEE,TN,US,STATE,77,CASES
1966,28,TENNESSEE,TN,US,STATE,50,CASES
1966,29,TENNESSEE,TN,US,STATE,17,CASES
1966,30,TENNESSEE,TN,US,STATE,12,CASES
1966,31,TENNESSEE,TN,US,STATE,19,CASES
1966,32,TENNESSEE,TN,US,STATE,24,CASES
1966,33,TENNESSEE,TN,US,STATE,10,CASES
1966,34,TENNESSEE,TN,US,STATE,8,CASES
1966,35,TENNESSEE,TN,US,STATE,17,CASES
1966,36,TENNESSEE,TN,US,STATE,6,CASES
1966,37,TENNESSEE,TN,US,STATE,1,CASES
1966,38,TENNESSEE,TN,US,STATE,8,CASES
1966,39,TENNESSEE,TN,US,STATE,2,CASES
1966,40,TENNESSEE,TN,US,STATE,5,CASES
1966,41,TENNESSEE,TN,US,STATE,3,CASES
1966,42,TENNESSEE,TN,US,STATE,1,CASES
1966,43,TENNESSEE,TN,US,STATE,16,CASES
1966,44,TENNESSEE,TN,US,STATE,18,CASES
1966,45,TENNESSEE,TN,US,STATE,3,CASES
1966,46,TENNESSEE,TN,US,STATE,7,CASES
1966,47,TENNESSEE,TN,US,STATE,9,CASES
1966,48,TENNESSEE,TN,US,STATE,4,CASES
1966,50,TENNESSEE,TN,US,STATE,9,CASES
1966,51,TENNESSEE,TN,US,STATE,2,CASES
1966,52,TENNESSEE,TN,US,STATE,15,CASES
1967,1,TENNESSEE,TN,US,STATE,8,CASES
1967,2,TENNESSEE,TN,US,STATE,9,CASES
1967,3,TENNESSEE,TN,US,STATE,6,CASES
1967,4,TENNESSEE,TN,US,STATE,19,CASES
1967,5,TENNESSEE,TN,US,STATE,30,CASES
1967,6,TENNESSEE,TN,US,STATE,13,CASES
1967,7,TENNESSEE,TN,US,STATE,34,CASES
1967,8,TENNESSEE,TN,US,STATE,18,CASES
1967,9,TENNESSEE,TN,US,STATE,24,CASES
1967,10,TENNESSEE,TN,US,STATE,39,CASES
