year,week,loc,state,country,loc_type,number,event
1972,1,TEXAS,TX,US,STATE,22,CASES
1972,4,TEXAS,TX,US,STATE,5,CASES
1972,5,TEXAS,TX,US,STATE,14,CASES
1972,6,TEXAS,TX,US,STATE,35,CASES
1972,7,TEXAS,TX,US,STATE,13,CASES
1972,8,TEXAS,TX,US,STATE,10,CASES
1972,9,TEXAS,TX,US,STATE,26,CASES
1972,10,TEXAS,TX,US,STATE,19,CASES
1972,11,TEXAS,TX,US,STATE,10,CASES
1972,12,TEXAS,TX,US,STATE,26,CASES
1972,13,TEXAS,TX,US,STATE,9,CASES
1972,14,TEXAS,TX,US,STATE,7,CASES
1972,15,TEXAS,TX,US,STATE,17,CASES
1972,16,TEXAS,TX,US,STATE,11,CASES
1972,17,TEXAS,TX,US,STATE,4,CASES
1972,18,TEXAS,TX,US,STATE,3,CASES
1972,19,TEXAS,TX,US,STATE,3,CASES
1972,20,TEXAS,TX,US,STATE,19,CASES
1972,21,TEXAS,TX,US,STATE,3,CASES
1972,23,TEXAS,TX,US,STATE,11,CASES
1972,24,TEXAS,TX,US,STATE,8,CASES
1972,26,TEXAS,TX,US,STATE,106,CASES
1972,27,TEXAS,TX,US,STATE,69,CASES
1972,28,TEXAS,TX,US,STATE,20,CASES
1972,29,TEXAS,TX,US,STATE,30,CASES
1972,30,TEXAS,TX,US,STATE,28,CASES
1972,31,TEXAS,TX,US,STATE,17,CASES
1972,32,TEXAS,TX,US,STATE,16,CASES
1972,33,TEXAS,TX,US,STATE,6,CASES
1972,36,TEXAS,TX,US,STATE,16,CASES
1972,37,TEXAS,TX,US,STATE,22,CASES
1972,38,TEXAS,TX,US,STATE,21,CASES
1972,39,TEXAS,TX,US,STATE,15,CASES
1972,40,TEXAS,TX,US,STATE,51,CASES
1972,41,TEXAS,TX,US,STATE,19,CASES
1972,42,TEXAS,TX,US,STATE,17,CASES
1972,43,TEXAS,TX,US,STATE,46,CASES
1972,44,TEXAS,TX,US,STATE,18,CASES
1972,45,TEXAS,TX,US,STATE,57,CASES
1972,46,TEXAS,TX,US,STATE,44,CASES
1972,47,TEXAS,TX,US,STATE,60,CASES
1972,48,TEXAS,TX,US,STATE,113,CASES
1972,49,TEXAS,TX,US,STATE,154,CASES
1972,50,TEXAS,TX,US,STATE,186,CASES
1973,1,TEXAS,TX,US,STATE,375,CASES
1973,3,TEXAS,TX,US,STATE,304,CASES
1973,4,TEXAS,TX,US,STATE,300,CASES
1973,5,TEXAS,TX,US,STATE,323,CASES
1973,6,TEXAS,TX,US,STATE,345,CASES
1973,7,TEXAS,TX,US,STATE,469,CASES
1973,8,TEXAS,TX,US,STATE,532,CASES
1973,9,TEXAS,TX,US,STATE,574,CASES
1973,10,TEXAS,TX,US,STATE,711,CASES
1973,11,TEXAS,TX,US,STATE,640,CASES
1973,12,TEXAS,TX,US,STATE,473,CASES
1973,13,TEXAS,TX,US,STATE,375,CASES
1973,14,TEXAS,TX,US,STATE,685,CASES
1973,15,TEXAS,TX,US,STATE,264,CASES
1973,16,TEXAS,TX,US,STATE,409,CASES
1973,17,TEXAS,TX,US,STATE,780,CASES
1973,18,TEXAS,TX,US,STATE,546,CASES
1973,19,TEXAS,TX,US,STATE,426,CASES
1973,20,TEXAS,TX,US,STATE,282,CASES
1973,21,TEXAS,TX,US,STATE,395,CASES
1973,22,TEXAS,TX,US,STATE,167,CASES
1973,23,TEXAS,TX,US,STATE,263,CASES
