year,week,loc,state,country,loc_type,number,event
1927,47,TEXAS,TX,US,STATE,23,CASES
1927,48,TEXAS,TX,US,STATE,17,CASES
1927,49,TEXAS,TX,US,STATE,34,CASES
1927,51,TEXAS,TX,US,STATE,55,CASES
1928,1,TEXAS,TX,US,STATE,67,CASES
1928,2,TEXAS,TX,US,STATE,36,CASES
1928,3,TEXAS,TX,US,STATE,35,CASES
1928,4,TEXAS,TX,US,STATE,21,CASES
1928,5,TEXAS,TX,US,STATE,89,CASES
1928,6,TEXAS,TX,US,STATE,195,CASES
1928,7,TEXAS,TX,US,STATE,118,CASES
1928,8,TEXAS,TX,US,STATE,133,CASES
1928,9,TEXAS,TX,US,STATE,671,CASES
1928,10,TEXAS,TX,US,STATE,439,CASES
1928,11,TEXAS,TX,US,STATE,125,CASES
1928,12,TEXAS,TX,US,STATE,491,CASES
1928,13,TEXAS,TX,US,STATE,121,CASES
1928,14,TEXAS,TX,US,STATE,561,CASES
1928,15,TEXAS,TX,US,STATE,267,CASES
1928,16,TEXAS,TX,US,STATE,282,CASES
1928,17,TEXAS,TX,US,STATE,103,CASES
1928,18,TEXAS,TX,US,STATE,354,CASES
1928,19,TEXAS,TX,US,STATE,194,CASES
1928,20,TEXAS,TX,US,STATE,103,CASES
1928,21,TEXAS,TX,US,STATE,116,CASES
1928,22,TEXAS,TX,US,STATE,246,CASES
1928,23,TEXAS,TX,US,STATE,237,CASES
1928,24,TEXAS,TX,US,STATE,51,CASES
1928,25,TEXAS,TX,US,STATE,86,CASES
1928,26,TEXAS,TX,US,STATE,104,CASES
1928,27,TEXAS,TX,US,STATE,45,CASES
1928,28,TEXAS,TX,US,STATE,55,CASES
1928,29,TEXAS,TX,US,STATE,23,CASES
1928,31,TEXAS,TX,US,STATE,6,CASES
1928,32,TEXAS,TX,US,STATE,6,CASES
1928,33,TEXAS,TX,US,STATE,3,CASES
1928,34,TEXAS,TX,US,STATE,3,CASES
1928,36,TEXAS,TX,US,STATE,1,CASES
1928,37,TEXAS,TX,US,STATE,1,CASES
1928,38,TEXAS,TX,US,STATE,3,CASES
1928,39,TEXAS,TX,US,STATE,6,CASES
1928,42,TEXAS,TX,US,STATE,20,CASES
1928,43,TEXAS,TX,US,STATE,5,CASES
1928,44,TEXAS,TX,US,STATE,2,CASES
1928,45,TEXAS,TX,US,STATE,5,CASES
1928,46,TEXAS,TX,US,STATE,15,CASES
1928,47,TEXAS,TX,US,STATE,2,CASES
1928,48,TEXAS,TX,US,STATE,31,CASES
1928,49,TEXAS,TX,US,STATE,4,CASES
1928,50,TEXAS,TX,US,STATE,14,CASES
1928,51,TEXAS,TX,US,STATE,15,CASES
1928,52,TEXAS,TX,US,STATE,5,CASES
1929,1,TEXAS,TX,US,STATE,43,CASES
1929,2,TEXAS,TX,US,STATE,89,CASES
1929,3,TEXAS,TX,US,STATE,20,CASES
1929,4,TEXAS,TX,US,STATE,145,CASES
1929,5,TEXAS,TX,US,STATE,72,CASES
1929,6,TEXAS,TX,US,STATE,47,CASES
1929,7,TEXAS,TX,US,STATE,51,CASES
1929,8,TEXAS,TX,US,STATE,86,CASES
1929,9,TEXAS,TX,US,STATE,75,CASES
1929,10,TEXAS,TX,US,STATE,577,CASES
1929,11,TEXAS,TX,US,STATE,43,CASES
1929,12,TEXAS,TX,US,STATE,150,CASES
1929,13,TEXAS,TX,US,STATE,119,CASES
1929,14,TEXAS,TX,US,STATE,207,CASES
1929,15,TEXAS,TX,US,STATE,333,CASES
1929,16,TEXAS,TX,US,STATE,100,CASES
1929,17,TEXAS,TX,US,STATE,128,CASES
1929,18,TEXAS,TX,US,STATE,176,CASES
1929,19,TEXAS,TX,US,STATE,246,CASES
1929,20,TEXAS,TX,US,STATE,156,CASES
1929,21,TEXAS,TX,US,STATE,281,CASES
1929,22,TEXAS,TX,US,STATE,172,CASES
1929,23,TEXAS,TX,US,STATE,140,CASES
1929,24,TEXAS,TX,US,STATE,126,CASES
1929,25,TEXAS,TX,US,STATE,91,CASES
1929,26,TEXAS,TX,US,STATE,68,CASES
1929,27,TEXAS,TX,US,STATE,61,CASES
1929,28,TEXAS,TX,US,STATE,34,CASES
1929,29,TEXAS,TX,US,STATE,12,CASES
1929,30,TEXAS,TX,US,STATE,4,CASES
1929,31,TEXAS,TX,US,STATE,10,CASES
1929,32,TEXAS,TX,US,STATE,6,CASES
1929,33,TEXAS,TX,US,STATE,5,CASES
1929,34,TEXAS,TX,US,STATE,8,CASES
1929,35,TEXAS,TX,US,STATE,2,CASES
1929,36,TEXAS,TX,US,STATE,3,CASES
1929,37,TEXAS,TX,US,STATE,6,CASES
1929,38,TEXAS,TX,US,STATE,1,CASES
1929,39,TEXAS,TX,US,STATE,1,CASES
1929,40,TEXAS,TX,US,STATE,2,CASES
1929,41,TEXAS,TX,US,STATE,2,CASES
1929,42,TEXAS,TX,US,STATE,1,CASES
1929,43,TEXAS,TX,US,STATE,4,CASES
1929,44,TEXAS,TX,US,STATE,5,CASES
1929,45,TEXAS,TX,US,STATE,107,CASES
1929,46,TEXAS,TX,US,STATE,2,CASES
1929,47,TEXAS,TX,US,STATE,4,CASES
1929,48,TEXAS,TX,US,STATE,2,CASES
1929,49,TEXAS,TX,US,STATE,2,CASES
1929,50,TEXAS,TX,US,STATE,21,CASES
1929,51,TEXAS,TX,US,STATE,10,CASES
1929,52,TEXAS,TX,US,STATE,51,CASES
1930,1,TEXAS,TX,US,STATE,8,CASES
1930,2,TEXAS,TX,US,STATE,6,CASES
1930,3,TEXAS,TX,US,STATE,79,CASES
1930,4,TEXAS,TX,US,STATE,94,CASES
1930,5,TEXAS,TX,US,STATE,114,CASES
1930,6,TEXAS,TX,US,STATE,105,CASES
1930,7,TEXAS,TX,US,STATE,120,CASES
1930,8,TEXAS,TX,US,STATE,143,CASES
1930,9,TEXAS,TX,US,STATE,151,CASES
1930,10,TEXAS,TX,US,STATE,192,CASES
