year,week,loc,state,country,loc_type,number,event
1972,1,UTAH,UT,US,STATE,5,CASES
1972,4,UTAH,UT,US,STATE,5,CASES
1972,5,UTAH,UT,US,STATE,4,CASES
1972,6,UTAH,UT,US,STATE,14,CASES
1972,7,UTAH,UT,US,STATE,5,CASES
1972,8,UTAH,UT,US,STATE,19,CASES
1972,9,UTAH,UT,US,STATE,9,CASES
1972,10,UTAH,UT,US,STATE,21,CASES
1972,11,UTAH,UT,US,STATE,13,CASES
1972,12,UTAH,UT,US,STATE,9,CASES
1972,14,UTAH,UT,US,STATE,6,CASES
1972,15,UTAH,UT,US,STATE,29,CASES
1972,18,UTAH,UT,US,STATE,33,CASES
1972,19,UTAH,UT,US,STATE,39,CASES
1972,20,UTAH,UT,US,STATE,20,CASES
1972,21,UTAH,UT,US,STATE,9,CASES
1972,23,UTAH,UT,US,STATE,5,CASES
1972,24,UTAH,UT,US,STATE,8,CASES
1972,29,UTAH,UT,US,STATE,5,CASES
1972,30,UTAH,UT,US,STATE,13,CASES
1972,32,UTAH,UT,US,STATE,13,CASES
1972,36,UTAH,UT,US,STATE,1,CASES
1972,38,UTAH,UT,US,STATE,1,CASES
1972,39,UTAH,UT,US,STATE,1,CASES
1972,40,UTAH,UT,US,STATE,12,CASES
1972,43,UTAH,UT,US,STATE,4,CASES
1972,44,UTAH,UT,US,STATE,7,CASES
1972,46,UTAH,UT,US,STATE,1,CASES
1972,47,UTAH,UT,US,STATE,4,CASES
1972,48,UTAH,UT,US,STATE,2,CASES
1972,49,UTAH,UT,US,STATE,14,CASES
1972,50,UTAH,UT,US,STATE,3,CASES
1972,51,UTAH,UT,US,STATE,4,CASES
1973,3,UTAH,UT,US,STATE,7,CASES
1973,6,UTAH,UT,US,STATE,2,CASES
1973,7,UTAH,UT,US,STATE,12,CASES
1973,8,UTAH,UT,US,STATE,5,CASES
1973,9,UTAH,UT,US,STATE,25,CASES
1973,11,UTAH,UT,US,STATE,8,CASES
1973,12,UTAH,UT,US,STATE,8,CASES
1973,14,UTAH,UT,US,STATE,1,CASES
1973,15,UTAH,UT,US,STATE,33,CASES
1973,16,UTAH,UT,US,STATE,4,CASES
1973,17,UTAH,UT,US,STATE,27,CASES
1973,19,UTAH,UT,US,STATE,39,CASES
1973,20,UTAH,UT,US,STATE,11,CASES
1973,21,UTAH,UT,US,STATE,7,CASES
1973,22,UTAH,UT,US,STATE,18,CASES
1973,23,UTAH,UT,US,STATE,6,CASES
1973,24,UTAH,UT,US,STATE,9,CASES
1973,25,UTAH,UT,US,STATE,18,CASES
1973,26,UTAH,UT,US,STATE,5,CASES
1973,28,UTAH,UT,US,STATE,18,CASES
1973,30,UTAH,UT,US,STATE,3,CASES
1973,34,UTAH,UT,US,STATE,2,CASES
1973,36,UTAH,UT,US,STATE,2,CASES
1973,41,UTAH,UT,US,STATE,3,CASES
1973,45,UTAH,UT,US,STATE,2,CASES
1973,47,UTAH,UT,US,STATE,1,CASES
1973,49,UTAH,UT,US,STATE,1,CASES
1973,50,UTAH,UT,US,STATE,2,CASES
1973,51,UTAH,UT,US,STATE,3,CASES
1974,3,UTAH,UT,US,STATE,1,CASES
1974,4,UTAH,UT,US,STATE,22,CASES
1974,5,UTAH,UT,US,STATE,3,CASES
1974,7,UTAH,UT,US,STATE,10,CASES
1974,9,UTAH,UT,US,STATE,31,CASES
1974,10,UTAH,UT,US,STATE,3,CASES
1974,11,UTAH,UT,US,STATE,1,CASES
1974,15,UTAH,UT,US,STATE,2,CASES
1974,16,UTAH,UT,US,STATE,2,CASES
1974,17,UTAH,UT,US,STATE,1,CASES
1974,22,UTAH,UT,US,STATE,35,CASES
1974,23,UTAH,UT,US,STATE,2,CASES
1974,25,UTAH,UT,US,STATE,1,CASES
1974,26,UTAH,UT,US,STATE,1,CASES
1974,27,UTAH,UT,US,STATE,7,CASES
1974,32,UTAH,UT,US,STATE,1,CASES
1974,34,UTAH,UT,US,STATE,2,CASES
1974,37,UTAH,UT,US,STATE,1,CASES
1974,39,UTAH,UT,US,STATE,3,CASES
1974,41,UTAH,UT,US,STATE,46,CASES
1974,48,UTAH,UT,US,STATE,64,CASES
1974,49,UTAH,UT,US,STATE,10,CASES
1974,50,UTAH,UT,US,STATE,4,CASES
1974,51,UTAH,UT,US,STATE,9,CASES
1974,52,UTAH,UT,US,STATE,2,CASES
1975,2,UTAH,UT,US,STATE,6,CASES
1975,3,UTAH,UT,US,STATE,8,CASES
1975,5,UTAH,UT,US,STATE,22,CASES
1975,7,UTAH,UT,US,STATE,3,CASES
1975,8,UTAH,UT,US,STATE,13,CASES
1975,9,UTAH,UT,US,STATE,20,CASES
1975,11,UTAH,UT,US,STATE,19,CASES
1975,12,UTAH,UT,US,STATE,3,CASES
1975,14,UTAH,UT,US,STATE,2,CASES
1975,15,UTAH,UT,US,STATE,2,CASES
1975,17,UTAH,UT,US,STATE,27,CASES
1975,19,UTAH,UT,US,STATE,33,CASES
1975,22,UTAH,UT,US,STATE,16,CASES
