year,week,loc,state,country,loc_type,number,event
1966,2,UTAH,UT,US,STATE,2,CASES
1966,3,UTAH,UT,US,STATE,2,CASES
1966,4,UTAH,UT,US,STATE,6,CASES
1966,6,UTAH,UT,US,STATE,2,CASES
1966,7,UTAH,UT,US,STATE,4,CASES
1966,8,UTAH,UT,US,STATE,2,CASES
1966,9,UTAH,UT,US,STATE,5,CASES
1966,10,UTAH,UT,US,STATE,6,CASES
1966,11,UTAH,UT,US,STATE,1,CASES
1966,12,UTAH,UT,US,STATE,3,CASES
1966,13,UTAH,UT,US,STATE,4,CASES
1966,14,UTAH,UT,US,STATE,1,CASES
1966,16,UTAH,UT,US,STATE,4,CASES
1966,17,UTAH,UT,US,STATE,1,CASES
1966,18,UTAH,UT,US,STATE,2,CASES
1966,19,UTAH,UT,US,STATE,7,CASES
1966,20,UTAH,UT,US,STATE,4,CASES
1966,21,UTAH,UT,US,STATE,3,CASES
1966,22,UTAH,UT,US,STATE,2,CASES
1966,23,UTAH,UT,US,STATE,1,CASES
1966,24,UTAH,UT,US,STATE,1,CASES
1966,25,UTAH,UT,US,STATE,2,CASES
1966,28,UTAH,UT,US,STATE,4,CASES
1966,36,UTAH,UT,US,STATE,1,CASES
1966,41,UTAH,UT,US,STATE,1,CASES
1966,42,UTAH,UT,US,STATE,1,CASES
1966,43,UTAH,UT,US,STATE,2,CASES
1966,47,UTAH,UT,US,STATE,5,CASES
1966,48,UTAH,UT,US,STATE,1,CASES
1966,51,UTAH,UT,US,STATE,1,CASES
1967,1,UTAH,UT,US,STATE,1,CASES
1967,3,UTAH,UT,US,STATE,1,CASES
1967,4,UTAH,UT,US,STATE,5,CASES
1967,5,UTAH,UT,US,STATE,7,CASES
1967,6,UTAH,UT,US,STATE,3,CASES
1967,7,UTAH,UT,US,STATE,3,CASES
1967,8,UTAH,UT,US,STATE,5,CASES
1967,9,UTAH,UT,US,STATE,4,CASES
1967,10,UTAH,UT,US,STATE,2,CASES
1967,12,UTAH,UT,US,STATE,2,CASES
1967,13,UTAH,UT,US,STATE,2,CASES
1967,14,UTAH,UT,US,STATE,13,CASES
1967,15,UTAH,UT,US,STATE,2,CASES
1967,16,UTAH,UT,US,STATE,1,CASES
1967,17,UTAH,UT,US,STATE,2,CASES
1967,19,UTAH,UT,US,STATE,1,CASES
1967,20,UTAH,UT,US,STATE,5,CASES
1967,22,UTAH,UT,US,STATE,3,CASES
1967,23,UTAH,UT,US,STATE,3,CASES
1967,26,UTAH,UT,US,STATE,3,CASES
1967,30,UTAH,UT,US,STATE,1,CASES
1967,31,UTAH,UT,US,STATE,1,CASES
1967,32,UTAH,UT,US,STATE,1,CASES
1967,36,UTAH,UT,US,STATE,2,CASES
1967,38,UTAH,UT,US,STATE,1,CASES
1967,40,UTAH,UT,US,STATE,1,CASES
1967,43,UTAH,UT,US,STATE,3,CASES
1967,44,UTAH,UT,US,STATE,2,CASES
1967,51,UTAH,UT,US,STATE,2,CASES
1968,3,UTAH,UT,US,STATE,1,CASES
1968,6,UTAH,UT,US,STATE,2,CASES
1968,7,UTAH,UT,US,STATE,2,CASES
1968,8,UTAH,UT,US,STATE,4,CASES
1968,9,UTAH,UT,US,STATE,17,CASES
1968,10,UTAH,UT,US,STATE,2,CASES
1968,12,UTAH,UT,US,STATE,2,CASES
1968,14,UTAH,UT,US,STATE,3,CASES
1968,17,UTAH,UT,US,STATE,2,CASES
1968,18,UTAH,UT,US,STATE,5,CASES
1968,19,UTAH,UT,US,STATE,1,CASES
1968,20,UTAH,UT,US,STATE,1,CASES
1968,21,UTAH,UT,US,STATE,3,CASES
1968,22,UTAH,UT,US,STATE,6,CASES
1968,24,UTAH,UT,US,STATE,3,CASES
1968,25,UTAH,UT,US,STATE,1,CASES
1968,26,UTAH,UT,US,STATE,4,CASES
1968,27,UTAH,UT,US,STATE,3,CASES
1968,29,UTAH,UT,US,STATE,2,CASES
1968,31,UTAH,UT,US,STATE,1,CASES
1968,33,UTAH,UT,US,STATE,1,CASES
1968,34,UTAH,UT,US,STATE,1,CASES
1968,35,UTAH,UT,US,STATE,4,CASES
1968,39,UTAH,UT,US,STATE,1,CASES
1968,40,UTAH,UT,US,STATE,1,CASES
1968,41,UTAH,UT,US,STATE,2,CASES
1968,42,UTAH,UT,US,STATE,1,CASES
1968,44,UTAH,UT,US,STATE,2,CASES
1968,45,UTAH,UT,US,STATE,1,CASES
1968,46,UTAH,UT,US,STATE,5,CASES
1968,47,UTAH,UT,US,STATE,4,CASES
1968,48,UTAH,UT,US,STATE,9,CASES
1968,49,UTAH,UT,US,STATE,2,CASES
1968,50,UTAH,UT,US,STATE,2,CASES
1968,51,UTAH,UT,US,STATE,3,CASES
1968,52,UTAH,UT,US,STATE,6,CASES
1969,1,UTAH,UT,US,STATE,4,CASES
1969,2,UTAH,UT,US,STATE,6,CASES
1969,4,UTAH,UT,US,STATE,5,CASES
1969,6,UTAH,UT,US,STATE,2,CASES
1969,7,UTAH,UT,US,STATE,1,CASES
1969,8,UTAH,UT,US,STATE,3,CASES
1969,10,UTAH,UT,US,STATE,5,CASES
1969,12,UTAH,UT,US,STATE,5,CASES
