year,week,loc,state,country,loc_type,number,event
1922,52,VIRGINIA,VA,US,STATE,1,CASES
1923,15,VIRGINIA,VA,US,STATE,1,CASES
1923,29,VIRGINIA,VA,US,STATE,1,CASES
1928,51,VIRGINIA,VA,US,STATE,40000,CASES
1936,10,VIRGINIA,VA,US,STATE,2046,CASES
1936,11,VIRGINIA,VA,US,STATE,2230,CASES
1936,12,VIRGINIA,VA,US,STATE,1331,CASES
1936,13,VIRGINIA,VA,US,STATE,1213,CASES
1936,14,VIRGINIA,VA,US,STATE,909,CASES
1936,15,VIRGINIA,VA,US,STATE,414,CASES
1936,16,VIRGINIA,VA,US,STATE,334,CASES
1936,17,VIRGINIA,VA,US,STATE,235,CASES
1936,18,VIRGINIA,VA,US,STATE,235,CASES
1936,19,VIRGINIA,VA,US,STATE,147,CASES
1936,20,VIRGINIA,VA,US,STATE,68,CASES
1936,21,VIRGINIA,VA,US,STATE,33,CASES
1936,22,VIRGINIA,VA,US,STATE,50,CASES
1936,23,VIRGINIA,VA,US,STATE,38,CASES
1936,39,VIRGINIA,VA,US,STATE,15,CASES
1938,38,VIRGINIA,VA,US,STATE,85,CASES
1938,39,VIRGINIA,VA,US,STATE,75,CASES
1938,40,VIRGINIA,VA,US,STATE,129,CASES
1938,41,VIRGINIA,VA,US,STATE,106,CASES
1938,42,VIRGINIA,VA,US,STATE,212,CASES
1938,43,VIRGINIA,VA,US,STATE,60,CASES
1938,44,VIRGINIA,VA,US,STATE,227,CASES
1938,45,VIRGINIA,VA,US,STATE,109,CASES
1938,46,VIRGINIA,VA,US,STATE,227,CASES
1938,47,VIRGINIA,VA,US,STATE,202,CASES
1938,48,VIRGINIA,VA,US,STATE,247,CASES
1938,49,VIRGINIA,VA,US,STATE,339,CASES
1938,50,VIRGINIA,VA,US,STATE,316,CASES
1938,51,VIRGINIA,VA,US,STATE,214,CASES
1938,52,VIRGINIA,VA,US,STATE,175,CASES
1939,1,VIRGINIA,VA,US,STATE,852,CASES
1939,2,VIRGINIA,VA,US,STATE,789,CASES
1939,3,VIRGINIA,VA,US,STATE,529,CASES
1939,4,VIRGINIA,VA,US,STATE,1156,CASES
1939,5,VIRGINIA,VA,US,STATE,1100,CASES
1939,6,VIRGINIA,VA,US,STATE,553,CASES
1939,7,VIRGINIA,VA,US,STATE,1338,CASES
1939,8,VIRGINIA,VA,US,STATE,1604,CASES
1939,9,VIRGINIA,VA,US,STATE,1509,CASES
1939,10,VIRGINIA,VA,US,STATE,1991,CASES
1939,11,VIRGINIA,VA,US,STATE,2443,CASES
1939,12,VIRGINIA,VA,US,STATE,1766,CASES
1939,13,VIRGINIA,VA,US,STATE,930,CASES
1939,14,VIRGINIA,VA,US,STATE,759,CASES
1939,15,VIRGINIA,VA,US,STATE,385,CASES
1939,16,VIRGINIA,VA,US,STATE,505,CASES
1939,17,VIRGINIA,VA,US,STATE,262,CASES
1939,18,VIRGINIA,VA,US,STATE,476,CASES
1939,19,VIRGINIA,VA,US,STATE,289,CASES
1939,20,VIRGINIA,VA,US,STATE,201,CASES
1939,21,VIRGINIA,VA,US,STATE,26,CASES
1939,22,VIRGINIA,VA,US,STATE,163,CASES
1939,23,VIRGINIA,VA,US,STATE,173,CASES
1939,24,VIRGINIA,VA,US,STATE,60,CASES
1939,25,VIRGINIA,VA,US,STATE,17,CASES
1939,26,VIRGINIA,VA,US,STATE,14,CASES
1939,27,VIRGINIA,VA,US,STATE,19,CASES
1939,28,VIRGINIA,VA,US,STATE,19,CASES
1939,29,VIRGINIA,VA,US,STATE,20,CASES
1939,30,VIRGINIA,VA,US,STATE,27,CASES
1939,31,VIRGINIA,VA,US,STATE,16,CASES
1939,32,VIRGINIA,VA,US,STATE,30,CASES
1939,33,VIRGINIA,VA,US,STATE,41,CASES
1939,34,VIRGINIA,VA,US,STATE,21,CASES
1939,35,VIRGINIA,VA,US,STATE,12,CASES
1939,36,VIRGINIA,VA,US,STATE,77,CASES
1939,37,VIRGINIA,VA,US,STATE,42,CASES
1939,38,VIRGINIA,VA,US,STATE,69,CASES
1939,39,VIRGINIA,VA,US,STATE,60,CASES
1939,40,VIRGINIA,VA,US,STATE,52,CASES
1939,41,VIRGINIA,VA,US,STATE,109,CASES
1939,42,VIRGINIA,VA,US,STATE,33,CASES
1939,43,VIRGINIA,VA,US,STATE,88,CASES
1939,44,VIRGINIA,VA,US,STATE,57,CASES
1939,45,VIRGINIA,VA,US,STATE,114,CASES
1939,46,VIRGINIA,VA,US,STATE,167,CASES
1939,47,VIRGINIA,VA,US,STATE,129,CASES
1939,48,VIRGINIA,VA,US,STATE,272,CASES
1939,49,VIRGINIA,VA,US,STATE,247,CASES
1939,50,VIRGINIA,VA,US,STATE,277,CASES
1939,51,VIRGINIA,VA,US,STATE,33,CASES
1939,52,VIRGINIA,VA,US,STATE,365,CASES
1940,1,VIRGINIA,VA,US,STATE,557,CASES
1940,2,VIRGINIA,VA,US,STATE,869,CASES
1940,3,VIRGINIA,VA,US,STATE,1128,CASES
1940,4,VIRGINIA,VA,US,STATE,2107,CASES
1940,5,VIRGINIA,VA,US,STATE,2450,CASES
1940,6,VIRGINIA,VA,US,STATE,2662,CASES
1940,7,VIRGINIA,VA,US,STATE,2395,CASES
1940,8,VIRGINIA,VA,US,STATE,2430,CASES
1940,9,VIRGINIA,VA,US,STATE,1696,CASES
1940,10,VIRGINIA,VA,US,STATE,1182,CASES
1940,11,VIRGINIA,VA,US,STATE,552,CASES
1940,12,VIRGINIA,VA,US,STATE,501,CASES
1940,13,VIRGINIA,VA,US,STATE,484,CASES
1940,14,VIRGINIA,VA,US,STATE,292,CASES
1940,15,VIRGINIA,VA,US,STATE,328,CASES
1940,16,VIRGINIA,VA,US,STATE,224,CASES
1940,17,VIRGINIA,VA,US,STATE,175,CASES
1940,18,VIRGINIA,VA,US,STATE,110,CASES
1940,19,VIRGINIA,VA,US,STATE,114,CASES
1940,20,VIRGINIA,VA,US,STATE,108,CASES
1940,21,VIRGINIA,VA,US,STATE,57,CASES
1940,22,VIRGINIA,VA,US,STATE,48,CASES
1940,23,VIRGINIA,VA,US,STATE,47,CASES
1940,24,VIRGINIA,VA,US,STATE,34,CASES
1940,25,VIRGINIA,VA,US,STATE,22,CASES
1940,26,VIRGINIA,VA,US,STATE,11,CASES
1940,27,VIRGINIA,VA,US,STATE,25,CASES
1940,28,VIRGINIA,VA,US,STATE,36,CASES
1940,29,VIRGINIA,VA,US,STATE,17,CASES
1940,30,VIRGINIA,VA,US,STATE,25,CASES
1940,31,VIRGINIA,VA,US,STATE,15,CASES
1940,32,VIRGINIA,VA,US,STATE,46,CASES
1940,33,VIRGINIA,VA,US,STATE,47,CASES
1940,34,VIRGINIA,VA,US,STATE,83,CASES
1940,35,VIRGINIA,VA,US,STATE,38,CASES
1940,36,VIRGINIA,VA,US,STATE,76,CASES
1940,37,VIRGINIA,VA,US,STATE,47,CASES
1940,38,VIRGINIA,VA,US,STATE,58,CASES
1940,39,VIRGINIA,VA,US,STATE,40,CASES
1940,40,VIRGINIA,VA,US,STATE,30,CASES
1940,41,VIRGINIA,VA,US,STATE,45,CASES
1940,42,VIRGINIA,VA,US,STATE,70,CASES
1940,43,VIRGINIA,VA,US,STATE,56,CASES
1940,44,VIRGINIA,VA,US,STATE,67,CASES
1940,45,VIRGINIA,VA,US,STATE,74,CASES
1940,46,VIRGINIA,VA,US,STATE,148,CASES
1940,47,VIRGINIA,VA,US,STATE,123,CASES
1940,48,VIRGINIA,VA,US,STATE,107,CASES
1940,49,VIRGINIA,VA,US,STATE,166,CASES
1940,50,VIRGINIA,VA,US,STATE,228,CASES
1940,51,VIRGINIA,VA,US,STATE,203,CASES
1940,52,VIRGINIA,VA,US,STATE,558,CASES
1941,1,VIRGINIA,VA,US,STATE,1752,CASES
1941,2,VIRGINIA,VA,US,STATE,4200,CASES
