year,week,loc,state,country,loc_type,number,event
1919,48,VERMONT,VT,US,STATE,5,CASES
1919,49,VERMONT,VT,US,STATE,1,CASES
1927,47,VERMONT,VT,US,STATE,0,CASES
1928,50,VERMONT,VT,US,STATE,1,CASES
1928,51,VERMONT,VT,US,STATE,3,CASES
1928,52,VERMONT,VT,US,STATE,292,CASES
1929,1,VERMONT,VT,US,STATE,289,CASES
1929,2,VERMONT,VT,US,STATE,373,CASES
1929,3,VERMONT,VT,US,STATE,347,CASES
1929,4,VERMONT,VT,US,STATE,53,CASES
1929,5,VERMONT,VT,US,STATE,318,CASES
1929,6,VERMONT,VT,US,STATE,111,CASES
1929,7,VERMONT,VT,US,STATE,19,CASES
1929,8,VERMONT,VT,US,STATE,17,CASES
1929,9,VERMONT,VT,US,STATE,2,CASES
1929,11,VERMONT,VT,US,STATE,8,CASES
1931,5,VERMONT,VT,US,STATE,6,CASES
1931,6,VERMONT,VT,US,STATE,1,CASES
1931,7,VERMONT,VT,US,STATE,4,CASES
1931,8,VERMONT,VT,US,STATE,1,CASES
1931,9,VERMONT,VT,US,STATE,3,CASES
1936,39,VERMONT,VT,US,STATE,4,CASES
1941,1,VERMONT,VT,US,STATE,99,CASES
1941,2,VERMONT,VT,US,STATE,76,CASES
1941,3,VERMONT,VT,US,STATE,81,CASES
1941,4,VERMONT,VT,US,STATE,23,CASES
1941,5,VERMONT,VT,US,STATE,128,CASES
1941,6,VERMONT,VT,US,STATE,26,CASES
1942,4,VERMONT,VT,US,STATE,128,CASES
1942,47,VERMONT,VT,US,STATE,2,CASES
1943,1,VERMONT,VT,US,STATE,24,CASES
1943,6,VERMONT,VT,US,STATE,1,CASES
1943,47,VERMONT,VT,US,STATE,2,CASES
1943,52,VERMONT,VT,US,STATE,189,CASES
1944,1,VERMONT,VT,US,STATE,100,CASES
1944,2,VERMONT,VT,US,STATE,28,CASES
1944,3,VERMONT,VT,US,STATE,221,CASES
1944,4,VERMONT,VT,US,STATE,19,CASES
1944,5,VERMONT,VT,US,STATE,51,CASES
1944,6,VERMONT,VT,US,STATE,32,CASES
1944,7,VERMONT,VT,US,STATE,14,CASES
1944,8,VERMONT,VT,US,STATE,8,CASES
1944,9,VERMONT,VT,US,STATE,16,CASES
1944,11,VERMONT,VT,US,STATE,2,CASES
1944,12,VERMONT,VT,US,STATE,1,CASES
1944,14,VERMONT,VT,US,STATE,3,CASES
1944,21,VERMONT,VT,US,STATE,0,CASES
1944,41,VERMONT,VT,US,STATE,7,CASES
1944,50,VERMONT,VT,US,STATE,4,CASES
1944,52,VERMONT,VT,US,STATE,7,CASES
1945,1,VERMONT,VT,US,STATE,1,CASES
1945,3,VERMONT,VT,US,STATE,221,CASES
1945,5,VERMONT,VT,US,STATE,2,CASES
1945,6,VERMONT,VT,US,STATE,2,CASES
1945,11,VERMONT,VT,US,STATE,1,CASES
1945,41,VERMONT,VT,US,STATE,7,CASES
1945,50,VERMONT,VT,US,STATE,150,CASES
1945,51,VERMONT,VT,US,STATE,65,CASES
1945,52,VERMONT,VT,US,STATE,44,CASES
1946,1,VERMONT,VT,US,STATE,32,CASES
1946,2,VERMONT,VT,US,STATE,83,CASES
1946,3,VERMONT,VT,US,STATE,77,CASES
1946,4,VERMONT,VT,US,STATE,53,CASES
1946,5,VERMONT,VT,US,STATE,32,CASES
1946,6,VERMONT,VT,US,STATE,6,CASES
1946,7,VERMONT,VT,US,STATE,17,CASES
1946,9,VERMONT,VT,US,STATE,10,CASES
1946,11,VERMONT,VT,US,STATE,9,CASES
1946,19,VERMONT,VT,US,STATE,2,CASES
1946,39,VERMONT,VT,US,STATE,1,CASES
1947,3,VERMONT,VT,US,STATE,42,CASES
1947,4,VERMONT,VT,US,STATE,15,CASES
1947,5,VERMONT,VT,US,STATE,38,CASES
1947,6,VERMONT,VT,US,STATE,12,CASES
1947,10,VERMONT,VT,US,STATE,25,CASES
1947,12,VERMONT,VT,US,STATE,11,CASES
1947,13,VERMONT,VT,US,STATE,107,CASES
1947,14,VERMONT,VT,US,STATE,38,CASES
1947,15,VERMONT,VT,US,STATE,15,CASES
1947,17,VERMONT,VT,US,STATE,4,CASES
1947,19,VERMONT,VT,US,STATE,7,CASES
1948,4,VERMONT,VT,US,STATE,2,CASES
1948,9,VERMONT,VT,US,STATE,4,CASES
1948,33,VERMONT,VT,US,STATE,19,CASES
1948,34,VERMONT,VT,US,STATE,7,CASES
1948,41,VERMONT,VT,US,STATE,2,CASES
1949,20,VERMONT,VT,US,STATE,3,CASES
1950,21,VERMONT,VT,US,STATE,15,CASES
1951,7,VERMONT,VT,US,STATE,17,CASES
1951,8,VERMONT,VT,US,STATE,60,CASES
1951,9,VERMONT,VT,US,STATE,54,CASES
1951,10,VERMONT,VT,US,STATE,91,CASES
1951,11,VERMONT,VT,US,STATE,67,CASES
1951,12,VERMONT,VT,US,STATE,41,CASES
1951,13,VERMONT,VT,US,STATE,10,CASES
1951,14,VERMONT,VT,US,STATE,15,CASES
