year,week,loc,state,country,loc_type,number,event
1968,1,VERMONT,VT,US,STATE,77,CASES
1968,2,VERMONT,VT,US,STATE,29,CASES
1968,3,VERMONT,VT,US,STATE,57,CASES
1968,4,VERMONT,VT,US,STATE,28,CASES
1968,5,VERMONT,VT,US,STATE,83,CASES
1968,6,VERMONT,VT,US,STATE,65,CASES
1968,7,VERMONT,VT,US,STATE,67,CASES
1968,8,VERMONT,VT,US,STATE,34,CASES
1968,9,VERMONT,VT,US,STATE,23,CASES
1968,10,VERMONT,VT,US,STATE,51,CASES
1968,11,VERMONT,VT,US,STATE,26,CASES
1968,12,VERMONT,VT,US,STATE,19,CASES
1968,14,VERMONT,VT,US,STATE,52,CASES
1968,15,VERMONT,VT,US,STATE,27,CASES
1968,16,VERMONT,VT,US,STATE,26,CASES
1968,17,VERMONT,VT,US,STATE,20,CASES
1968,18,VERMONT,VT,US,STATE,36,CASES
1968,19,VERMONT,VT,US,STATE,4,CASES
1968,20,VERMONT,VT,US,STATE,28,CASES
1968,21,VERMONT,VT,US,STATE,9,CASES
1968,22,VERMONT,VT,US,STATE,3,CASES
1968,23,VERMONT,VT,US,STATE,5,CASES
1968,24,VERMONT,VT,US,STATE,17,CASES
1968,25,VERMONT,VT,US,STATE,11,CASES
1968,26,VERMONT,VT,US,STATE,5,CASES
1968,27,VERMONT,VT,US,STATE,3,CASES
1968,30,VERMONT,VT,US,STATE,3,CASES
1968,31,VERMONT,VT,US,STATE,14,CASES
1968,32,VERMONT,VT,US,STATE,6,CASES
1968,33,VERMONT,VT,US,STATE,8,CASES
1968,34,VERMONT,VT,US,STATE,1,CASES
1968,35,VERMONT,VT,US,STATE,6,CASES
1968,36,VERMONT,VT,US,STATE,8,CASES
1968,37,VERMONT,VT,US,STATE,6,CASES
1968,38,VERMONT,VT,US,STATE,12,CASES
1968,39,VERMONT,VT,US,STATE,3,CASES
1968,40,VERMONT,VT,US,STATE,7,CASES
1968,41,VERMONT,VT,US,STATE,23,CASES
1968,42,VERMONT,VT,US,STATE,14,CASES
1968,43,VERMONT,VT,US,STATE,30,CASES
1968,44,VERMONT,VT,US,STATE,38,CASES
1968,45,VERMONT,VT,US,STATE,30,CASES
1968,46,VERMONT,VT,US,STATE,26,CASES
1968,47,VERMONT,VT,US,STATE,20,CASES
1968,48,VERMONT,VT,US,STATE,34,CASES
1968,49,VERMONT,VT,US,STATE,88,CASES
1968,50,VERMONT,VT,US,STATE,56,CASES
1968,51,VERMONT,VT,US,STATE,1,CASES
1968,52,VERMONT,VT,US,STATE,7,CASES
1969,1,VERMONT,VT,US,STATE,54,CASES
1969,2,VERMONT,VT,US,STATE,189,CASES
1969,3,VERMONT,VT,US,STATE,7,CASES
1969,4,VERMONT,VT,US,STATE,43,CASES
1969,5,VERMONT,VT,US,STATE,39,CASES
1969,6,VERMONT,VT,US,STATE,40,CASES
1969,7,VERMONT,VT,US,STATE,110,CASES
1969,8,VERMONT,VT,US,STATE,27,CASES
1969,9,VERMONT,VT,US,STATE,44,CASES
1969,10,VERMONT,VT,US,STATE,29,CASES
1969,12,VERMONT,VT,US,STATE,38,CASES
1969,13,VERMONT,VT,US,STATE,25,CASES
1969,14,VERMONT,VT,US,STATE,55,CASES
1969,15,VERMONT,VT,US,STATE,8,CASES
1969,16,VERMONT,VT,US,STATE,121,CASES
1969,17,VERMONT,VT,US,STATE,156,CASES
1969,18,VERMONT,VT,US,STATE,15,CASES
1969,19,VERMONT,VT,US,STATE,16,CASES
1969,20,VERMONT,VT,US,STATE,53,CASES
1969,21,VERMONT,VT,US,STATE,25,CASES
1969,22,VERMONT,VT,US,STATE,1,CASES
1969,23,VERMONT,VT,US,STATE,14,CASES
1969,24,VERMONT,VT,US,STATE,3,CASES
1969,25,VERMONT,VT,US,STATE,1,CASES
1969,26,VERMONT,VT,US,STATE,3,CASES
1969,27,VERMONT,VT,US,STATE,1,CASES
1969,28,VERMONT,VT,US,STATE,2,CASES
1969,30,VERMONT,VT,US,STATE,7,CASES
1969,32,VERMONT,VT,US,STATE,4,CASES
1969,33,VERMONT,VT,US,STATE,23,CASES
1969,35,VERMONT,VT,US,STATE,1,CASES
1969,36,VERMONT,VT,US,STATE,6,CASES
1969,37,VERMONT,VT,US,STATE,3,CASES
1969,38,VERMONT,VT,US,STATE,3,CASES
1969,39,VERMONT,VT,US,STATE,3,CASES
1969,40,VERMONT,VT,US,STATE,1,CASES
1969,41,VERMONT,VT,US,STATE,6,CASES
