year,week,loc,state,country,loc_type,number,event
1919,45,WASHINGTON,WA,US,STATE,8,CASES
1919,50,WASHINGTON,WA,US,STATE,1,CASES
1928,2,WASHINGTON,WA,US,STATE,1,CASES
1928,4,WASHINGTON,WA,US,STATE,2,CASES
1928,9,WASHINGTON,WA,US,STATE,1,CASES
1928,13,WASHINGTON,WA,US,STATE,2,CASES
1928,14,WASHINGTON,WA,US,STATE,1,CASES
1928,15,WASHINGTON,WA,US,STATE,1,CASES
1928,17,WASHINGTON,WA,US,STATE,1,CASES
1928,39,WASHINGTON,WA,US,STATE,2,CASES
1928,45,WASHINGTON,WA,US,STATE,4,CASES
1928,46,WASHINGTON,WA,US,STATE,3,CASES
1928,47,WASHINGTON,WA,US,STATE,28,CASES
1928,48,WASHINGTON,WA,US,STATE,8,CASES
1928,49,WASHINGTON,WA,US,STATE,22,CASES
1928,50,WASHINGTON,WA,US,STATE,407,CASES
1928,51,WASHINGTON,WA,US,STATE,766,CASES
1928,52,WASHINGTON,WA,US,STATE,590,CASES
1929,1,WASHINGTON,WA,US,STATE,1127,CASES
1929,2,WASHINGTON,WA,US,STATE,151,CASES
1929,3,WASHINGTON,WA,US,STATE,42,CASES
1929,4,WASHINGTON,WA,US,STATE,85,CASES
1929,5,WASHINGTON,WA,US,STATE,3,CASES
1929,6,WASHINGTON,WA,US,STATE,110,CASES
1929,7,WASHINGTON,WA,US,STATE,42,CASES
1929,8,WASHINGTON,WA,US,STATE,20,CASES
1929,9,WASHINGTON,WA,US,STATE,5,CASES
1929,10,WASHINGTON,WA,US,STATE,16,CASES
1929,11,WASHINGTON,WA,US,STATE,1,CASES
1929,13,WASHINGTON,WA,US,STATE,3,CASES
1929,14,WASHINGTON,WA,US,STATE,3,CASES
1929,15,WASHINGTON,WA,US,STATE,11,CASES
1929,16,WASHINGTON,WA,US,STATE,3,CASES
1929,19,WASHINGTON,WA,US,STATE,3,CASES
1929,27,WASHINGTON,WA,US,STATE,1,CASES
