year,week,loc,state,country,loc_type,number,event
1927,47,WASHINGTON,WA,US,STATE,77,CASES
1927,48,WASHINGTON,WA,US,STATE,214,CASES
1927,49,WASHINGTON,WA,US,STATE,166,CASES
1927,51,WASHINGTON,WA,US,STATE,138,CASES
1927,52,WASHINGTON,WA,US,STATE,146,CASES
1928,1,WASHINGTON,WA,US,STATE,230,CASES
1928,2,WASHINGTON,WA,US,STATE,269,CASES
1928,3,WASHINGTON,WA,US,STATE,243,CASES
1928,4,WASHINGTON,WA,US,STATE,198,CASES
1928,5,WASHINGTON,WA,US,STATE,292,CASES
1928,6,WASHINGTON,WA,US,STATE,275,CASES
1928,7,WASHINGTON,WA,US,STATE,278,CASES
1928,8,WASHINGTON,WA,US,STATE,279,CASES
1928,9,WASHINGTON,WA,US,STATE,363,CASES
1928,10,WASHINGTON,WA,US,STATE,308,CASES
1928,11,WASHINGTON,WA,US,STATE,273,CASES
1928,12,WASHINGTON,WA,US,STATE,278,CASES
1928,13,WASHINGTON,WA,US,STATE,193,CASES
1928,14,WASHINGTON,WA,US,STATE,151,CASES
1928,15,WASHINGTON,WA,US,STATE,183,CASES
1928,16,WASHINGTON,WA,US,STATE,119,CASES
1928,17,WASHINGTON,WA,US,STATE,165,CASES
1928,18,WASHINGTON,WA,US,STATE,126,CASES
1928,19,WASHINGTON,WA,US,STATE,130,CASES
1928,20,WASHINGTON,WA,US,STATE,88,CASES
1928,21,WASHINGTON,WA,US,STATE,78,CASES
1928,22,WASHINGTON,WA,US,STATE,67,CASES
1928,23,WASHINGTON,WA,US,STATE,62,CASES
1928,24,WASHINGTON,WA,US,STATE,37,CASES
1928,25,WASHINGTON,WA,US,STATE,65,CASES
1928,26,WASHINGTON,WA,US,STATE,48,CASES
1928,27,WASHINGTON,WA,US,STATE,24,CASES
1928,28,WASHINGTON,WA,US,STATE,18,CASES
1928,29,WASHINGTON,WA,US,STATE,7,CASES
1928,30,WASHINGTON,WA,US,STATE,9,CASES
1928,31,WASHINGTON,WA,US,STATE,16,CASES
1928,32,WASHINGTON,WA,US,STATE,9,CASES
1928,33,WASHINGTON,WA,US,STATE,7,CASES
1928,34,WASHINGTON,WA,US,STATE,17,CASES
1928,35,WASHINGTON,WA,US,STATE,11,CASES
1928,36,WASHINGTON,WA,US,STATE,11,CASES
1928,37,WASHINGTON,WA,US,STATE,15,CASES
1928,38,WASHINGTON,WA,US,STATE,10,CASES
