year,week,loc,state,country,loc_type,number,event
1968,1,WASHINGTON,WA,US,STATE,234,CASES
1968,2,WASHINGTON,WA,US,STATE,259,CASES
1968,3,WASHINGTON,WA,US,STATE,258,CASES
1968,4,WASHINGTON,WA,US,STATE,255,CASES
1968,5,WASHINGTON,WA,US,STATE,356,CASES
1968,6,WASHINGTON,WA,US,STATE,203,CASES
1968,7,WASHINGTON,WA,US,STATE,319,CASES
1968,8,WASHINGTON,WA,US,STATE,335,CASES
1968,10,WASHINGTON,WA,US,STATE,199,CASES
1968,11,WASHINGTON,WA,US,STATE,193,CASES
1968,12,WASHINGTON,WA,US,STATE,249,CASES
1968,13,WASHINGTON,WA,US,STATE,201,CASES
1968,14,WASHINGTON,WA,US,STATE,195,CASES
1968,15,WASHINGTON,WA,US,STATE,245,CASES
1968,16,WASHINGTON,WA,US,STATE,182,CASES
1968,17,WASHINGTON,WA,US,STATE,274,CASES
1968,18,WASHINGTON,WA,US,STATE,279,CASES
1968,19,WASHINGTON,WA,US,STATE,231,CASES
1968,20,WASHINGTON,WA,US,STATE,132,CASES
1968,21,WASHINGTON,WA,US,STATE,263,CASES
1968,22,WASHINGTON,WA,US,STATE,173,CASES
1968,23,WASHINGTON,WA,US,STATE,69,CASES
1968,24,WASHINGTON,WA,US,STATE,86,CASES
1968,25,WASHINGTON,WA,US,STATE,10,CASES
1968,26,WASHINGTON,WA,US,STATE,17,CASES
1968,27,WASHINGTON,WA,US,STATE,12,CASES
1968,28,WASHINGTON,WA,US,STATE,5,CASES
1968,29,WASHINGTON,WA,US,STATE,12,CASES
1968,30,WASHINGTON,WA,US,STATE,5,CASES
1968,31,WASHINGTON,WA,US,STATE,8,CASES
1968,32,WASHINGTON,WA,US,STATE,18,CASES
1968,33,WASHINGTON,WA,US,STATE,5,CASES
1968,35,WASHINGTON,WA,US,STATE,5,CASES
1968,36,WASHINGTON,WA,US,STATE,4,CASES
1968,37,WASHINGTON,WA,US,STATE,29,CASES
1968,39,WASHINGTON,WA,US,STATE,45,CASES
1968,40,WASHINGTON,WA,US,STATE,47,CASES
1968,41,WASHINGTON,WA,US,STATE,66,CASES
1968,42,WASHINGTON,WA,US,STATE,52,CASES
1968,43,WASHINGTON,WA,US,STATE,55,CASES
1968,45,WASHINGTON,WA,US,STATE,115,CASES
1968,46,WASHINGTON,WA,US,STATE,108,CASES
1968,47,WASHINGTON,WA,US,STATE,119,CASES
1968,48,WASHINGTON,WA,US,STATE,168,CASES
1968,49,WASHINGTON,WA,US,STATE,122,CASES
1968,50,WASHINGTON,WA,US,STATE,153,CASES
1968,51,WASHINGTON,WA,US,STATE,172,CASES
1968,52,WASHINGTON,WA,US,STATE,17,CASES
1969,1,WASHINGTON,WA,US,STATE,14,CASES
1969,3,WASHINGTON,WA,US,STATE,107,CASES
1969,4,WASHINGTON,WA,US,STATE,167,CASES
1969,5,WASHINGTON,WA,US,STATE,83,CASES
1969,6,WASHINGTON,WA,US,STATE,75,CASES
1969,7,WASHINGTON,WA,US,STATE,174,CASES
1969,8,WASHINGTON,WA,US,STATE,122,CASES
1969,10,WASHINGTON,WA,US,STATE,188,CASES
1969,12,WASHINGTON,WA,US,STATE,176,CASES
1969,13,WASHINGTON,WA,US,STATE,174,CASES
1969,14,WASHINGTON,WA,US,STATE,92,CASES
1969,15,WASHINGTON,WA,US,STATE,119,CASES
1969,16,WASHINGTON,WA,US,STATE,182,CASES
1969,17,WASHINGTON,WA,US,STATE,219,CASES
1969,18,WASHINGTON,WA,US,STATE,189,CASES
1969,19,WASHINGTON,WA,US,STATE,63,CASES
1969,20,WASHINGTON,WA,US,STATE,132,CASES
1969,21,WASHINGTON,WA,US,STATE,140,CASES
1969,22,WASHINGTON,WA,US,STATE,144,CASES
1969,23,WASHINGTON,WA,US,STATE,116,CASES
1969,24,WASHINGTON,WA,US,STATE,49,CASES
1969,25,WASHINGTON,WA,US,STATE,29,CASES
1969,26,WASHINGTON,WA,US,STATE,7,CASES
1969,27,WASHINGTON,WA,US,STATE,7,CASES
1969,28,WASHINGTON,WA,US,STATE,10,CASES
1969,29,WASHINGTON,WA,US,STATE,5,CASES
1969,30,WASHINGTON,WA,US,STATE,12,CASES
1969,31,WASHINGTON,WA,US,STATE,11,CASES
1969,32,WASHINGTON,WA,US,STATE,6,CASES
1969,33,WASHINGTON,WA,US,STATE,9,CASES
1969,34,WASHINGTON,WA,US,STATE,5,CASES
1969,35,WASHINGTON,WA,US,STATE,1,CASES
1969,36,WASHINGTON,WA,US,STATE,1,CASES
1969,37,WASHINGTON,WA,US,STATE,15,CASES
1969,38,WASHINGTON,WA,US,STATE,15,CASES
1969,39,WASHINGTON,WA,US,STATE,24,CASES
1969,40,WASHINGTON,WA,US,STATE,27,CASES
1969,41,WASHINGTON,WA,US,STATE,46,CASES
1969,42,WASHINGTON,WA,US,STATE,63,CASES
1969,43,WASHINGTON,WA,US,STATE,50,CASES
1969,45,WASHINGTON,WA,US,STATE,34,CASES
1969,46,WASHINGTON,WA,US,STATE,210,CASES
1969,47,WASHINGTON,WA,US,STATE,106,CASES
1969,48,WASHINGTON,WA,US,STATE,94,CASES
1969,49,WASHINGTON,WA,US,STATE,50,CASES
1969,50,WASHINGTON,WA,US,STATE,481,CASES
1969,51,WASHINGTON,WA,US,STATE,186,CASES
1969,52,WASHINGTON,WA,US,STATE,123,CASES
1970,1,WASHINGTON,WA,US,STATE,81,CASES
1970,2,WASHINGTON,WA,US,STATE,147,CASES
1970,3,WASHINGTON,WA,US,STATE,182,CASES
1970,4,WASHINGTON,WA,US,STATE,158,CASES
1970,5,WASHINGTON,WA,US,STATE,117,CASES
