year,week,loc,state,country,loc_type,number,event
1927,47,WASHINGTON,WA,US,STATE,39,CASES
1927,48,WASHINGTON,WA,US,STATE,50,CASES
1927,49,WASHINGTON,WA,US,STATE,42,CASES
1927,51,WASHINGTON,WA,US,STATE,50,CASES
1927,52,WASHINGTON,WA,US,STATE,26,CASES
1928,1,WASHINGTON,WA,US,STATE,55,CASES
1928,2,WASHINGTON,WA,US,STATE,54,CASES
1928,3,WASHINGTON,WA,US,STATE,64,CASES
1928,4,WASHINGTON,WA,US,STATE,66,CASES
1928,5,WASHINGTON,WA,US,STATE,74,CASES
1928,6,WASHINGTON,WA,US,STATE,48,CASES
1928,7,WASHINGTON,WA,US,STATE,52,CASES
1928,8,WASHINGTON,WA,US,STATE,56,CASES
1928,9,WASHINGTON,WA,US,STATE,49,CASES
1928,10,WASHINGTON,WA,US,STATE,62,CASES
1928,11,WASHINGTON,WA,US,STATE,42,CASES
1928,12,WASHINGTON,WA,US,STATE,37,CASES
1928,13,WASHINGTON,WA,US,STATE,48,CASES
1928,14,WASHINGTON,WA,US,STATE,48,CASES
1928,15,WASHINGTON,WA,US,STATE,27,CASES
1928,16,WASHINGTON,WA,US,STATE,37,CASES
1928,17,WASHINGTON,WA,US,STATE,38,CASES
1928,18,WASHINGTON,WA,US,STATE,43,CASES
1928,19,WASHINGTON,WA,US,STATE,44,CASES
1928,20,WASHINGTON,WA,US,STATE,27,CASES
1928,21,WASHINGTON,WA,US,STATE,18,CASES
1928,22,WASHINGTON,WA,US,STATE,22,CASES
1928,23,WASHINGTON,WA,US,STATE,29,CASES
1928,24,WASHINGTON,WA,US,STATE,32,CASES
1928,25,WASHINGTON,WA,US,STATE,23,CASES
1928,26,WASHINGTON,WA,US,STATE,8,CASES
1928,27,WASHINGTON,WA,US,STATE,11,CASES
1928,28,WASHINGTON,WA,US,STATE,10,CASES
1928,29,WASHINGTON,WA,US,STATE,14,CASES
1928,30,WASHINGTON,WA,US,STATE,7,CASES
1928,31,WASHINGTON,WA,US,STATE,13,CASES
1928,32,WASHINGTON,WA,US,STATE,5,CASES
1928,33,WASHINGTON,WA,US,STATE,6,CASES
1928,34,WASHINGTON,WA,US,STATE,2,CASES
1928,35,WASHINGTON,WA,US,STATE,7,CASES
1928,36,WASHINGTON,WA,US,STATE,11,CASES
1928,37,WASHINGTON,WA,US,STATE,27,CASES
1928,38,WASHINGTON,WA,US,STATE,17,CASES
1928,39,WASHINGTON,WA,US,STATE,20,CASES
1928,40,WASHINGTON,WA,US,STATE,23,CASES
1928,41,WASHINGTON,WA,US,STATE,31,CASES
1928,42,WASHINGTON,WA,US,STATE,20,CASES
1928,43,WASHINGTON,WA,US,STATE,22,CASES
1928,44,WASHINGTON,WA,US,STATE,27,CASES
1928,45,WASHINGTON,WA,US,STATE,35,CASES
1928,46,WASHINGTON,WA,US,STATE,49,CASES
1928,47,WASHINGTON,WA,US,STATE,50,CASES
1928,48,WASHINGTON,WA,US,STATE,44,CASES
1928,49,WASHINGTON,WA,US,STATE,57,CASES
1928,50,WASHINGTON,WA,US,STATE,24,CASES
1928,51,WASHINGTON,WA,US,STATE,43,CASES
1928,52,WASHINGTON,WA,US,STATE,28,CASES
1929,1,WASHINGTON,WA,US,STATE,18,CASES
1929,2,WASHINGTON,WA,US,STATE,33,CASES
1929,3,WASHINGTON,WA,US,STATE,38,CASES
1929,4,WASHINGTON,WA,US,STATE,30,CASES
1929,5,WASHINGTON,WA,US,STATE,26,CASES
1929,6,WASHINGTON,WA,US,STATE,41,CASES
1929,7,WASHINGTON,WA,US,STATE,48,CASES
1929,8,WASHINGTON,WA,US,STATE,26,CASES
1929,9,WASHINGTON,WA,US,STATE,32,CASES
1929,10,WASHINGTON,WA,US,STATE,32,CASES
1929,11,WASHINGTON,WA,US,STATE,29,CASES
1929,12,WASHINGTON,WA,US,STATE,20,CASES
1929,13,WASHINGTON,WA,US,STATE,30,CASES
1929,14,WASHINGTON,WA,US,STATE,38,CASES
1929,15,WASHINGTON,WA,US,STATE,34,CASES
1929,16,WASHINGTON,WA,US,STATE,42,CASES
1929,17,WASHINGTON,WA,US,STATE,28,CASES
1929,18,WASHINGTON,WA,US,STATE,38,CASES
1929,19,WASHINGTON,WA,US,STATE,23,CASES
1929,20,WASHINGTON,WA,US,STATE,22,CASES
1929,21,WASHINGTON,WA,US,STATE,42,CASES
1929,22,WASHINGTON,WA,US,STATE,21,CASES
1929,23,WASHINGTON,WA,US,STATE,21,CASES
1929,24,WASHINGTON,WA,US,STATE,11,CASES
1929,25,WASHINGTON,WA,US,STATE,17,CASES
1929,26,WASHINGTON,WA,US,STATE,15,CASES
1929,27,WASHINGTON,WA,US,STATE,12,CASES
1929,28,WASHINGTON,WA,US,STATE,10,CASES
1929,29,WASHINGTON,WA,US,STATE,6,CASES
1929,30,WASHINGTON,WA,US,STATE,4,CASES
1929,31,WASHINGTON,WA,US,STATE,4,CASES
1929,32,WASHINGTON,WA,US,STATE,5,CASES
1929,33,WASHINGTON,WA,US,STATE,12,CASES
1929,34,WASHINGTON,WA,US,STATE,5,CASES
1929,35,WASHINGTON,WA,US,STATE,13,CASES
1929,36,WASHINGTON,WA,US,STATE,17,CASES
1929,37,WASHINGTON,WA,US,STATE,23,CASES
1929,38,WASHINGTON,WA,US,STATE,21,CASES
1929,39,WASHINGTON,WA,US,STATE,24,CASES
1929,40,WASHINGTON,WA,US,STATE,35,CASES
1929,41,WASHINGTON,WA,US,STATE,20,CASES
1929,42,WASHINGTON,WA,US,STATE,40,CASES
1929,43,WASHINGTON,WA,US,STATE,42,CASES
1929,44,WASHINGTON,WA,US,STATE,46,CASES
1929,45,WASHINGTON,WA,US,STATE,43,CASES
1929,46,WASHINGTON,WA,US,STATE,38,CASES
1929,47,WASHINGTON,WA,US,STATE,65,CASES
1929,48,WASHINGTON,WA,US,STATE,40,CASES
1929,49,WASHINGTON,WA,US,STATE,45,CASES
1929,50,WASHINGTON,WA,US,STATE,37,CASES
1929,51,WASHINGTON,WA,US,STATE,63,CASES
1929,52,WASHINGTON,WA,US,STATE,50,CASES
1930,1,WASHINGTON,WA,US,STATE,60,CASES
1930,2,WASHINGTON,WA,US,STATE,75,CASES
1930,3,WASHINGTON,WA,US,STATE,54,CASES
1930,4,WASHINGTON,WA,US,STATE,87,CASES
1930,5,WASHINGTON,WA,US,STATE,66,CASES
1930,6,WASHINGTON,WA,US,STATE,86,CASES
1930,7,WASHINGTON,WA,US,STATE,73,CASES
1930,8,WASHINGTON,WA,US,STATE,50,CASES
1930,9,WASHINGTON,WA,US,STATE,79,CASES
1930,10,WASHINGTON,WA,US,STATE,70,CASES
1930,11,WASHINGTON,WA,US,STATE,80,CASES
1930,12,WASHINGTON,WA,US,STATE,61,CASES
1930,13,WASHINGTON,WA,US,STATE,40,CASES
1930,14,WASHINGTON,WA,US,STATE,51,CASES
1930,15,WASHINGTON,WA,US,STATE,51,CASES
1930,16,WASHINGTON,WA,US,STATE,26,CASES
1930,17,WASHINGTON,WA,US,STATE,31,CASES
1930,18,WASHINGTON,WA,US,STATE,24,CASES
1930,19,WASHINGTON,WA,US,STATE,33,CASES
1930,20,WASHINGTON,WA,US,STATE,36,CASES
1930,21,WASHINGTON,WA,US,STATE,37,CASES
1930,22,WASHINGTON,WA,US,STATE,17,CASES
1930,23,WASHINGTON,WA,US,STATE,15,CASES
1930,24,WASHINGTON,WA,US,STATE,26,CASES
1930,25,WASHINGTON,WA,US,STATE,14,CASES
1930,26,WASHINGTON,WA,US,STATE,13,CASES
1930,27,WASHINGTON,WA,US,STATE,11,CASES
1930,28,WASHINGTON,WA,US,STATE,25,CASES
1930,29,WASHINGTON,WA,US,STATE,5,CASES
1930,30,WASHINGTON,WA,US,STATE,13,CASES
1930,31,WASHINGTON,WA,US,STATE,13,CASES
1930,32,WASHINGTON,WA,US,STATE,13,CASES
1930,33,WASHINGTON,WA,US,STATE,14,CASES
1930,34,WASHINGTON,WA,US,STATE,3,CASES
1930,35,WASHINGTON,WA,US,STATE,9,CASES
1930,36,WASHINGTON,WA,US,STATE,20,CASES
1930,37,WASHINGTON,WA,US,STATE,29,CASES
1930,38,WASHINGTON,WA,US,STATE,29,CASES
