year,week,loc,state,country,loc_type,number,event
1966,1,WISCONSIN,WI,US,STATE,40,CASES
1966,2,WISCONSIN,WI,US,STATE,122,CASES
1966,3,WISCONSIN,WI,US,STATE,130,CASES
1966,4,WISCONSIN,WI,US,STATE,132,CASES
1966,5,WISCONSIN,WI,US,STATE,149,CASES
1966,6,WISCONSIN,WI,US,STATE,141,CASES
1966,7,WISCONSIN,WI,US,STATE,128,CASES
1966,8,WISCONSIN,WI,US,STATE,193,CASES
1966,9,WISCONSIN,WI,US,STATE,176,CASES
1966,10,WISCONSIN,WI,US,STATE,187,CASES
1966,11,WISCONSIN,WI,US,STATE,236,CASES
1966,12,WISCONSIN,WI,US,STATE,244,CASES
1966,13,WISCONSIN,WI,US,STATE,221,CASES
1966,14,WISCONSIN,WI,US,STATE,339,CASES
1966,15,WISCONSIN,WI,US,STATE,164,CASES
1966,17,WISCONSIN,WI,US,STATE,183,CASES
1966,18,WISCONSIN,WI,US,STATE,182,CASES
1966,20,WISCONSIN,WI,US,STATE,166,CASES
1966,21,WISCONSIN,WI,US,STATE,192,CASES
1966,22,WISCONSIN,WI,US,STATE,196,CASES
1966,23,WISCONSIN,WI,US,STATE,235,CASES
1966,24,WISCONSIN,WI,US,STATE,134,CASES
1966,25,WISCONSIN,WI,US,STATE,82,CASES
1966,26,WISCONSIN,WI,US,STATE,71,CASES
1966,27,WISCONSIN,WI,US,STATE,53,CASES
1966,28,WISCONSIN,WI,US,STATE,56,CASES
1966,29,WISCONSIN,WI,US,STATE,52,CASES
1966,30,WISCONSIN,WI,US,STATE,46,CASES
1966,31,WISCONSIN,WI,US,STATE,51,CASES
1966,32,WISCONSIN,WI,US,STATE,84,CASES
1966,33,WISCONSIN,WI,US,STATE,63,CASES
1966,34,WISCONSIN,WI,US,STATE,54,CASES
1966,35,WISCONSIN,WI,US,STATE,55,CASES
1966,36,WISCONSIN,WI,US,STATE,46,CASES
1966,37,WISCONSIN,WI,US,STATE,37,CASES
1966,38,WISCONSIN,WI,US,STATE,33,CASES
1966,39,WISCONSIN,WI,US,STATE,39,CASES
1966,40,WISCONSIN,WI,US,STATE,19,CASES
1966,41,WISCONSIN,WI,US,STATE,24,CASES
1966,42,WISCONSIN,WI,US,STATE,32,CASES
1966,43,WISCONSIN,WI,US,STATE,20,CASES
1966,44,WISCONSIN,WI,US,STATE,28,CASES
1966,45,WISCONSIN,WI,US,STATE,33,CASES
1966,46,WISCONSIN,WI,US,STATE,12,CASES
1966,47,WISCONSIN,WI,US,STATE,35,CASES
1966,48,WISCONSIN,WI,US,STATE,37,CASES
1966,50,WISCONSIN,WI,US,STATE,56,CASES
1966,51,WISCONSIN,WI,US,STATE,58,CASES
1966,52,WISCONSIN,WI,US,STATE,38,CASES
1967,1,WISCONSIN,WI,US,STATE,14,CASES
1967,2,WISCONSIN,WI,US,STATE,52,CASES
1967,3,WISCONSIN,WI,US,STATE,62,CASES
1967,5,WISCONSIN,WI,US,STATE,71,CASES
1967,6,WISCONSIN,WI,US,STATE,91,CASES
1967,7,WISCONSIN,WI,US,STATE,94,CASES
1967,8,WISCONSIN,WI,US,STATE,78,CASES
1967,9,WISCONSIN,WI,US,STATE,95,CASES
1967,10,WISCONSIN,WI,US,STATE,96,CASES
1967,11,WISCONSIN,WI,US,STATE,96,CASES
1967,12,WISCONSIN,WI,US,STATE,105,CASES
1967,13,WISCONSIN,WI,US,STATE,93,CASES
1967,14,WISCONSIN,WI,US,STATE,126,CASES
1967,15,WISCONSIN,WI,US,STATE,129,CASES
1967,16,WISCONSIN,WI,US,STATE,127,CASES
1967,17,WISCONSIN,WI,US,STATE,117,CASES
1967,19,WISCONSIN,WI,US,STATE,116,CASES
1967,20,WISCONSIN,WI,US,STATE,140,CASES
1967,21,WISCONSIN,WI,US,STATE,206,CASES
1967,22,WISCONSIN,WI,US,STATE,163,CASES
1967,23,WISCONSIN,WI,US,STATE,156,CASES
1967,24,WISCONSIN,WI,US,STATE,124,CASES
1967,25,WISCONSIN,WI,US,STATE,94,CASES
1967,26,WISCONSIN,WI,US,STATE,54,CASES
1967,27,WISCONSIN,WI,US,STATE,35,CASES
1967,28,WISCONSIN,WI,US,STATE,27,CASES
1967,29,WISCONSIN,WI,US,STATE,25,CASES
1967,31,WISCONSIN,WI,US,STATE,39,CASES
1967,32,WISCONSIN,WI,US,STATE,12,CASES
1967,33,WISCONSIN,WI,US,STATE,26,CASES
1967,34,WISCONSIN,WI,US,STATE,25,CASES
1967,35,WISCONSIN,WI,US,STATE,20,CASES
1967,38,WISCONSIN,WI,US,STATE,9,CASES
1967,39,WISCONSIN,WI,US,STATE,20,CASES
1967,40,WISCONSIN,WI,US,STATE,23,CASES
1967,41,WISCONSIN,WI,US,STATE,13,CASES
1967,42,WISCONSIN,WI,US,STATE,26,CASES
1967,43,WISCONSIN,WI,US,STATE,11,CASES
1967,44,WISCONSIN,WI,US,STATE,18,CASES
1967,45,WISCONSIN,WI,US,STATE,25,CASES
1967,46,WISCONSIN,WI,US,STATE,32,CASES
1967,47,WISCONSIN,WI,US,STATE,34,CASES
1967,48,WISCONSIN,WI,US,STATE,27,CASES
1967,49,WISCONSIN,WI,US,STATE,42,CASES
1967,50,WISCONSIN,WI,US,STATE,30,CASES
1967,51,WISCONSIN,WI,US,STATE,31,CASES
1967,52,WISCONSIN,WI,US,STATE,18,CASES
1968,1,WISCONSIN,WI,US,STATE,29,CASES
1968,2,WISCONSIN,WI,US,STATE,40,CASES
1968,3,WISCONSIN,WI,US,STATE,33,CASES
1968,4,WISCONSIN,WI,US,STATE,64,CASES
1968,5,WISCONSIN,WI,US,STATE,46,CASES
1968,6,WISCONSIN,WI,US,STATE,63,CASES
1968,7,WISCONSIN,WI,US,STATE,69,CASES
1968,8,WISCONSIN,WI,US,STATE,75,CASES
1968,9,WISCONSIN,WI,US,STATE,71,CASES
1968,10,WISCONSIN,WI,US,STATE,116,CASES
1968,11,WISCONSIN,WI,US,STATE,62,CASES
1968,12,WISCONSIN,WI,US,STATE,104,CASES
1968,13,WISCONSIN,WI,US,STATE,129,CASES
1968,14,WISCONSIN,WI,US,STATE,107,CASES
1968,15,WISCONSIN,WI,US,STATE,142,CASES
1968,16,WISCONSIN,WI,US,STATE,89,CASES
1968,17,WISCONSIN,WI,US,STATE,72,CASES
1968,18,WISCONSIN,WI,US,STATE,197,CASES
1968,19,WISCONSIN,WI,US,STATE,131,CASES
1968,20,WISCONSIN,WI,US,STATE,152,CASES
1968,21,WISCONSIN,WI,US,STATE,148,CASES
1968,22,WISCONSIN,WI,US,STATE,111,CASES
1968,23,WISCONSIN,WI,US,STATE,92,CASES
1968,24,WISCONSIN,WI,US,STATE,109,CASES
1968,25,WISCONSIN,WI,US,STATE,46,CASES
1968,26,WISCONSIN,WI,US,STATE,34,CASES
1968,27,WISCONSIN,WI,US,STATE,44,CASES
1968,28,WISCONSIN,WI,US,STATE,26,CASES
1968,29,WISCONSIN,WI,US,STATE,28,CASES
1968,30,WISCONSIN,WI,US,STATE,31,CASES
1968,31,WISCONSIN,WI,US,STATE,59,CASES
1968,32,WISCONSIN,WI,US,STATE,15,CASES
1968,33,WISCONSIN,WI,US,STATE,21,CASES
1968,34,WISCONSIN,WI,US,STATE,17,CASES
1968,35,WISCONSIN,WI,US,STATE,21,CASES
1968,36,WISCONSIN,WI,US,STATE,38,CASES
1968,37,WISCONSIN,WI,US,STATE,2,CASES
1968,38,WISCONSIN,WI,US,STATE,20,CASES
1968,39,WISCONSIN,WI,US,STATE,20,CASES
1968,40,WISCONSIN,WI,US,STATE,23,CASES
1968,41,WISCONSIN,WI,US,STATE,30,CASES
1968,42,WISCONSIN,WI,US,STATE,24,CASES
1968,43,WISCONSIN,WI,US,STATE,34,CASES
1968,44,WISCONSIN,WI,US,STATE,33,CASES
1968,45,WISCONSIN,WI,US,STATE,16,CASES
1968,46,WISCONSIN,WI,US,STATE,25,CASES
1968,47,WISCONSIN,WI,US,STATE,31,CASES
1968,48,WISCONSIN,WI,US,STATE,13,CASES
1968,49,WISCONSIN,WI,US,STATE,16,CASES
1968,50,WISCONSIN,WI,US,STATE,25,CASES
1968,51,WISCONSIN,WI,US,STATE,25,CASES
1968,52,WISCONSIN,WI,US,STATE,12,CASES
1969,1,WISCONSIN,WI,US,STATE,14,CASES
1969,2,WISCONSIN,WI,US,STATE,1,CASES
1969,3,WISCONSIN,WI,US,STATE,20,CASES
1969,4,WISCONSIN,WI,US,STATE,22,CASES
1969,5,WISCONSIN,WI,US,STATE,60,CASES
1969,6,WISCONSIN,WI,US,STATE,70,CASES
1969,7,WISCONSIN,WI,US,STATE,55,CASES
1969,8,WISCONSIN,WI,US,STATE,92,CASES
1969,9,WISCONSIN,WI,US,STATE,103,CASES
1969,10,WISCONSIN,WI,US,STATE,96,CASES
1969,12,WISCONSIN,WI,US,STATE,122,CASES
1969,13,WISCONSIN,WI,US,STATE,145,CASES
1969,14,WISCONSIN,WI,US,STATE,143,CASES
1969,15,WISCONSIN,WI,US,STATE,94,CASES
1969,16,WISCONSIN,WI,US,STATE,84,CASES
1969,17,WISCONSIN,WI,US,STATE,122,CASES
1969,18,WISCONSIN,WI,US,STATE,130,CASES
1969,19,WISCONSIN,WI,US,STATE,127,CASES
1969,20,WISCONSIN,WI,US,STATE,178,CASES
1969,21,WISCONSIN,WI,US,STATE,160,CASES
1969,22,WISCONSIN,WI,US,STATE,143,CASES
1969,23,WISCONSIN,WI,US,STATE,123,CASES
1969,24,WISCONSIN,WI,US,STATE,94,CASES
1969,25,WISCONSIN,WI,US,STATE,73,CASES
1969,26,WISCONSIN,WI,US,STATE,53,CASES
1969,27,WISCONSIN,WI,US,STATE,64,CASES
1969,28,WISCONSIN,WI,US,STATE,33,CASES
1969,29,WISCONSIN,WI,US,STATE,33,CASES
1969,30,WISCONSIN,WI,US,STATE,24,CASES
1969,31,WISCONSIN,WI,US,STATE,22,CASES
1969,32,WISCONSIN,WI,US,STATE,25,CASES
1969,33,WISCONSIN,WI,US,STATE,28,CASES
1969,34,WISCONSIN,WI,US,STATE,16,CASES
1969,35,WISCONSIN,WI,US,STATE,16,CASES
1969,36,WISCONSIN,WI,US,STATE,6,CASES
1969,37,WISCONSIN,WI,US,STATE,14,CASES
1969,38,WISCONSIN,WI,US,STATE,33,CASES
1969,39,WISCONSIN,WI,US,STATE,22,CASES
1969,40,WISCONSIN,WI,US,STATE,22,CASES
1969,41,WISCONSIN,WI,US,STATE,23,CASES
1969,42,WISCONSIN,WI,US,STATE,29,CASES
1969,43,WISCONSIN,WI,US,STATE,22,CASES
1969,44,WISCONSIN,WI,US,STATE,7,CASES
1969,45,WISCONSIN,WI,US,STATE,40,CASES
1969,46,WISCONSIN,WI,US,STATE,17,CASES
1969,47,WISCONSIN,WI,US,STATE,36,CASES
1969,48,WISCONSIN,WI,US,STATE,34,CASES
1969,49,WISCONSIN,WI,US,STATE,27,CASES
1969,50,WISCONSIN,WI,US,STATE,56,CASES
1969,51,WISCONSIN,WI,US,STATE,69,CASES
1969,52,WISCONSIN,WI,US,STATE,46,CASES
1970,1,WISCONSIN,WI,US,STATE,29,CASES
1970,2,WISCONSIN,WI,US,STATE,50,CASES
1970,3,WISCONSIN,WI,US,STATE,88,CASES
1970,4,WISCONSIN,WI,US,STATE,90,CASES
1970,5,WISCONSIN,WI,US,STATE,97,CASES
1970,6,WISCONSIN,WI,US,STATE,112,CASES
1970,7,WISCONSIN,WI,US,STATE,92,CASES
1970,8,WISCONSIN,WI,US,STATE,125,CASES
1970,9,WISCONSIN,WI,US,STATE,107,CASES
1970,10,WISCONSIN,WI,US,STATE,91,CASES
1970,11,WISCONSIN,WI,US,STATE,91,CASES
1970,12,WISCONSIN,WI,US,STATE,127,CASES
1970,13,WISCONSIN,WI,US,STATE,85,CASES
1970,14,WISCONSIN,WI,US,STATE,62,CASES
1970,15,WISCONSIN,WI,US,STATE,69,CASES
1970,16,WISCONSIN,WI,US,STATE,74,CASES
1970,17,WISCONSIN,WI,US,STATE,45,CASES
1970,18,WISCONSIN,WI,US,STATE,117,CASES
1970,19,WISCONSIN,WI,US,STATE,61,CASES
1970,20,WISCONSIN,WI,US,STATE,60,CASES
1970,21,WISCONSIN,WI,US,STATE,64,CASES
1970,22,WISCONSIN,WI,US,STATE,33,CASES
1970,23,WISCONSIN,WI,US,STATE,34,CASES
1970,24,WISCONSIN,WI,US,STATE,42,CASES
1970,25,WISCONSIN,WI,US,STATE,34,CASES
1970,26,WISCONSIN,WI,US,STATE,23,CASES
1970,27,WISCONSIN,WI,US,STATE,7,CASES
1970,28,WISCONSIN,WI,US,STATE,16,CASES
1970,29,WISCONSIN,WI,US,STATE,20,CASES
1970,30,WISCONSIN,WI,US,STATE,7,CASES
1970,31,WISCONSIN,WI,US,STATE,19,CASES
1970,32,WISCONSIN,WI,US,STATE,12,CASES
1970,33,WISCONSIN,WI,US,STATE,17,CASES
1970,34,WISCONSIN,WI,US,STATE,10,CASES
1970,35,WISCONSIN,WI,US,STATE,9,CASES
1970,36,WISCONSIN,WI,US,STATE,9,CASES
