year,week,loc,state,country,loc_type,number,event
1927,47,WISCONSIN,WI,US,STATE,114,CASES
1927,48,WISCONSIN,WI,US,STATE,165,CASES
1927,49,WISCONSIN,WI,US,STATE,140,CASES
1927,51,WISCONSIN,WI,US,STATE,144,CASES
1927,52,WISCONSIN,WI,US,STATE,155,CASES
1928,1,WISCONSIN,WI,US,STATE,172,CASES
1928,2,WISCONSIN,WI,US,STATE,164,CASES
1928,3,WISCONSIN,WI,US,STATE,208,CASES
1928,4,WISCONSIN,WI,US,STATE,187,CASES
1928,5,WISCONSIN,WI,US,STATE,217,CASES
1928,6,WISCONSIN,WI,US,STATE,196,CASES
1928,7,WISCONSIN,WI,US,STATE,192,CASES
1928,8,WISCONSIN,WI,US,STATE,185,CASES
1928,9,WISCONSIN,WI,US,STATE,204,CASES
1928,10,WISCONSIN,WI,US,STATE,245,CASES
1928,11,WISCONSIN,WI,US,STATE,235,CASES
1928,12,WISCONSIN,WI,US,STATE,209,CASES
1928,13,WISCONSIN,WI,US,STATE,187,CASES
1928,14,WISCONSIN,WI,US,STATE,185,CASES
1928,15,WISCONSIN,WI,US,STATE,183,CASES
1928,16,WISCONSIN,WI,US,STATE,162,CASES
1928,17,WISCONSIN,WI,US,STATE,122,CASES
1928,18,WISCONSIN,WI,US,STATE,179,CASES
1928,19,WISCONSIN,WI,US,STATE,272,CASES
1928,20,WISCONSIN,WI,US,STATE,200,CASES
1928,21,WISCONSIN,WI,US,STATE,218,CASES
1928,22,WISCONSIN,WI,US,STATE,170,CASES
1928,23,WISCONSIN,WI,US,STATE,168,CASES
1928,24,WISCONSIN,WI,US,STATE,126,CASES
1928,25,WISCONSIN,WI,US,STATE,110,CASES
1928,26,WISCONSIN,WI,US,STATE,61,CASES
1928,27,WISCONSIN,WI,US,STATE,78,CASES
1928,28,WISCONSIN,WI,US,STATE,54,CASES
1928,29,WISCONSIN,WI,US,STATE,60,CASES
1928,30,WISCONSIN,WI,US,STATE,45,CASES
1928,31,WISCONSIN,WI,US,STATE,72,CASES
1928,32,WISCONSIN,WI,US,STATE,41,CASES
1928,33,WISCONSIN,WI,US,STATE,29,CASES
1928,34,WISCONSIN,WI,US,STATE,26,CASES
1928,35,WISCONSIN,WI,US,STATE,23,CASES
1928,36,WISCONSIN,WI,US,STATE,44,CASES
1928,37,WISCONSIN,WI,US,STATE,56,CASES
1928,38,WISCONSIN,WI,US,STATE,41,CASES
1928,39,WISCONSIN,WI,US,STATE,53,CASES
1928,40,WISCONSIN,WI,US,STATE,77,CASES
1928,41,WISCONSIN,WI,US,STATE,99,CASES
1928,42,WISCONSIN,WI,US,STATE,100,CASES
1928,43,WISCONSIN,WI,US,STATE,88,CASES
1928,44,WISCONSIN,WI,US,STATE,111,CASES
1928,45,WISCONSIN,WI,US,STATE,120,CASES
1928,46,WISCONSIN,WI,US,STATE,158,CASES
1928,47,WISCONSIN,WI,US,STATE,148,CASES
1928,48,WISCONSIN,WI,US,STATE,114,CASES
1928,49,WISCONSIN,WI,US,STATE,140,CASES
1928,50,WISCONSIN,WI,US,STATE,146,CASES
1928,51,WISCONSIN,WI,US,STATE,183,CASES
1928,52,WISCONSIN,WI,US,STATE,137,CASES
1929,1,WISCONSIN,WI,US,STATE,143,CASES
1929,2,WISCONSIN,WI,US,STATE,123,CASES
1929,3,WISCONSIN,WI,US,STATE,167,CASES
1929,4,WISCONSIN,WI,US,STATE,144,CASES
1929,5,WISCONSIN,WI,US,STATE,185,CASES
1929,6,WISCONSIN,WI,US,STATE,141,CASES
1929,7,WISCONSIN,WI,US,STATE,136,CASES
1929,8,WISCONSIN,WI,US,STATE,152,CASES
1929,9,WISCONSIN,WI,US,STATE,184,CASES
1929,10,WISCONSIN,WI,US,STATE,213,CASES
1929,11,WISCONSIN,WI,US,STATE,203,CASES
1929,12,WISCONSIN,WI,US,STATE,263,CASES
1929,13,WISCONSIN,WI,US,STATE,187,CASES
1929,14,WISCONSIN,WI,US,STATE,192,CASES
1929,15,WISCONSIN,WI,US,STATE,130,CASES
1929,16,WISCONSIN,WI,US,STATE,137,CASES
1929,17,WISCONSIN,WI,US,STATE,190,CASES
1929,18,WISCONSIN,WI,US,STATE,154,CASES
1929,19,WISCONSIN,WI,US,STATE,129,CASES
1929,20,WISCONSIN,WI,US,STATE,153,CASES
1929,21,WISCONSIN,WI,US,STATE,153,CASES
1929,22,WISCONSIN,WI,US,STATE,144,CASES
1929,23,WISCONSIN,WI,US,STATE,166,CASES
1929,24,WISCONSIN,WI,US,STATE,132,CASES
1929,25,WISCONSIN,WI,US,STATE,78,CASES
1929,26,WISCONSIN,WI,US,STATE,90,CASES
1929,27,WISCONSIN,WI,US,STATE,61,CASES
1929,28,WISCONSIN,WI,US,STATE,52,CASES
1929,29,WISCONSIN,WI,US,STATE,64,CASES
1929,30,WISCONSIN,WI,US,STATE,44,CASES
1929,31,WISCONSIN,WI,US,STATE,26,CASES
1929,32,WISCONSIN,WI,US,STATE,18,CASES
1929,33,WISCONSIN,WI,US,STATE,29,CASES
1929,34,WISCONSIN,WI,US,STATE,33,CASES
1929,35,WISCONSIN,WI,US,STATE,34,CASES
1929,36,WISCONSIN,WI,US,STATE,26,CASES
1929,37,WISCONSIN,WI,US,STATE,34,CASES
1929,38,WISCONSIN,WI,US,STATE,38,CASES
1929,39,WISCONSIN,WI,US,STATE,44,CASES
1929,40,WISCONSIN,WI,US,STATE,61,CASES
1929,41,WISCONSIN,WI,US,STATE,30,CASES
1929,42,WISCONSIN,WI,US,STATE,61,CASES
1929,43,WISCONSIN,WI,US,STATE,62,CASES
1929,44,WISCONSIN,WI,US,STATE,88,CASES
1929,45,WISCONSIN,WI,US,STATE,77,CASES
1929,46,WISCONSIN,WI,US,STATE,92,CASES
1929,47,WISCONSIN,WI,US,STATE,88,CASES
1929,48,WISCONSIN,WI,US,STATE,87,CASES
1929,49,WISCONSIN,WI,US,STATE,139,CASES
1929,50,WISCONSIN,WI,US,STATE,130,CASES
1929,51,WISCONSIN,WI,US,STATE,102,CASES
1929,52,WISCONSIN,WI,US,STATE,92,CASES
1930,1,WISCONSIN,WI,US,STATE,72,CASES
1930,2,WISCONSIN,WI,US,STATE,138,CASES
1930,3,WISCONSIN,WI,US,STATE,116,CASES
1930,4,WISCONSIN,WI,US,STATE,186,CASES
1930,5,WISCONSIN,WI,US,STATE,132,CASES
1930,6,WISCONSIN,WI,US,STATE,144,CASES
1930,7,WISCONSIN,WI,US,STATE,140,CASES
1930,8,WISCONSIN,WI,US,STATE,145,CASES
1930,9,WISCONSIN,WI,US,STATE,227,CASES
1930,10,WISCONSIN,WI,US,STATE,208,CASES
1930,11,WISCONSIN,WI,US,STATE,180,CASES
1930,12,WISCONSIN,WI,US,STATE,170,CASES
1930,13,WISCONSIN,WI,US,STATE,118,CASES
1930,14,WISCONSIN,WI,US,STATE,167,CASES
1930,15,WISCONSIN,WI,US,STATE,185,CASES
1930,16,WISCONSIN,WI,US,STATE,240,CASES
1930,17,WISCONSIN,WI,US,STATE,187,CASES
1930,18,WISCONSIN,WI,US,STATE,175,CASES
1930,19,WISCONSIN,WI,US,STATE,165,CASES
1930,20,WISCONSIN,WI,US,STATE,165,CASES
1930,21,WISCONSIN,WI,US,STATE,196,CASES
1930,22,WISCONSIN,WI,US,STATE,122,CASES
1930,23,WISCONSIN,WI,US,STATE,84,CASES
1930,24,WISCONSIN,WI,US,STATE,126,CASES
1930,25,WISCONSIN,WI,US,STATE,90,CASES
1930,26,WISCONSIN,WI,US,STATE,65,CASES
1930,27,WISCONSIN,WI,US,STATE,43,CASES
1930,28,WISCONSIN,WI,US,STATE,40,CASES
1930,29,WISCONSIN,WI,US,STATE,42,CASES
1930,30,WISCONSIN,WI,US,STATE,36,CASES
1930,31,WISCONSIN,WI,US,STATE,21,CASES
1930,32,WISCONSIN,WI,US,STATE,19,CASES
1930,33,WISCONSIN,WI,US,STATE,24,CASES
1930,34,WISCONSIN,WI,US,STATE,26,CASES
1930,35,WISCONSIN,WI,US,STATE,27,CASES
1930,36,WISCONSIN,WI,US,STATE,20,CASES
1930,37,WISCONSIN,WI,US,STATE,22,CASES
1930,38,WISCONSIN,WI,US,STATE,32,CASES
1930,39,WISCONSIN,WI,US,STATE,41,CASES
1930,40,WISCONSIN,WI,US,STATE,54,CASES
1930,41,WISCONSIN,WI,US,STATE,62,CASES
1930,42,WISCONSIN,WI,US,STATE,89,CASES
1930,43,WISCONSIN,WI,US,STATE,59,CASES
1930,44,WISCONSIN,WI,US,STATE,90,CASES
1930,45,WISCONSIN,WI,US,STATE,86,CASES
1930,46,WISCONSIN,WI,US,STATE,93,CASES
1930,47,WISCONSIN,WI,US,STATE,172,CASES
1930,48,WISCONSIN,WI,US,STATE,90,CASES
1930,49,WISCONSIN,WI,US,STATE,83,CASES
1930,50,WISCONSIN,WI,US,STATE,121,CASES
1930,51,WISCONSIN,WI,US,STATE,146,CASES
1930,52,WISCONSIN,WI,US,STATE,122,CASES
1930,53,WISCONSIN,WI,US,STATE,102,CASES
1931,1,WISCONSIN,WI,US,STATE,122,CASES
1931,2,WISCONSIN,WI,US,STATE,138,CASES
