year,week,loc,state,country,loc_type,number,event
1937,43,WEST VIRGINIA,WV,US,STATE,26,CASES
1937,44,WEST VIRGINIA,WV,US,STATE,32,CASES
1937,45,WEST VIRGINIA,WV,US,STATE,33,CASES
1937,46,WEST VIRGINIA,WV,US,STATE,40,CASES
1937,47,WEST VIRGINIA,WV,US,STATE,60,CASES
1937,48,WEST VIRGINIA,WV,US,STATE,102,CASES
1937,49,WEST VIRGINIA,WV,US,STATE,77,CASES
1937,50,WEST VIRGINIA,WV,US,STATE,44,CASES
1937,51,WEST VIRGINIA,WV,US,STATE,40,CASES
1938,1,WEST VIRGINIA,WV,US,STATE,72,CASES
1938,2,WEST VIRGINIA,WV,US,STATE,108,CASES
1938,3,WEST VIRGINIA,WV,US,STATE,128,CASES
1938,4,WEST VIRGINIA,WV,US,STATE,143,CASES
1938,5,WEST VIRGINIA,WV,US,STATE,99,CASES
1938,6,WEST VIRGINIA,WV,US,STATE,62,CASES
1938,7,WEST VIRGINIA,WV,US,STATE,59,CASES
1938,8,WEST VIRGINIA,WV,US,STATE,88,CASES
1938,9,WEST VIRGINIA,WV,US,STATE,70,CASES
1938,10,WEST VIRGINIA,WV,US,STATE,54,CASES
1938,11,WEST VIRGINIA,WV,US,STATE,53,CASES
1938,12,WEST VIRGINIA,WV,US,STATE,59,CASES
1938,13,WEST VIRGINIA,WV,US,STATE,49,CASES
1938,14,WEST VIRGINIA,WV,US,STATE,63,CASES
1938,15,WEST VIRGINIA,WV,US,STATE,65,CASES
1938,16,WEST VIRGINIA,WV,US,STATE,86,CASES
1938,17,WEST VIRGINIA,WV,US,STATE,50,CASES
1938,18,WEST VIRGINIA,WV,US,STATE,59,CASES
1938,19,WEST VIRGINIA,WV,US,STATE,84,CASES
1938,20,WEST VIRGINIA,WV,US,STATE,32,CASES
1938,21,WEST VIRGINIA,WV,US,STATE,168,CASES
1938,22,WEST VIRGINIA,WV,US,STATE,104,CASES
1938,23,WEST VIRGINIA,WV,US,STATE,76,CASES
1938,24,WEST VIRGINIA,WV,US,STATE,118,CASES
1938,25,WEST VIRGINIA,WV,US,STATE,215,CASES
1938,26,WEST VIRGINIA,WV,US,STATE,215,CASES
1938,27,WEST VIRGINIA,WV,US,STATE,179,CASES
1938,28,WEST VIRGINIA,WV,US,STATE,199,CASES
1938,29,WEST VIRGINIA,WV,US,STATE,67,CASES
1938,30,WEST VIRGINIA,WV,US,STATE,78,CASES
1938,31,WEST VIRGINIA,WV,US,STATE,53,CASES
1938,32,WEST VIRGINIA,WV,US,STATE,98,CASES
1938,33,WEST VIRGINIA,WV,US,STATE,56,CASES
1938,34,WEST VIRGINIA,WV,US,STATE,36,CASES
1938,35,WEST VIRGINIA,WV,US,STATE,112,CASES
1938,36,WEST VIRGINIA,WV,US,STATE,75,CASES
1938,37,WEST VIRGINIA,WV,US,STATE,109,CASES
1938,38,WEST VIRGINIA,WV,US,STATE,39,CASES
1938,39,WEST VIRGINIA,WV,US,STATE,29,CASES
1938,40,WEST VIRGINIA,WV,US,STATE,56,CASES
1938,41,WEST VIRGINIA,WV,US,STATE,14,CASES
1938,42,WEST VIRGINIA,WV,US,STATE,20,CASES
1938,43,WEST VIRGINIA,WV,US,STATE,20,CASES
1938,44,WEST VIRGINIA,WV,US,STATE,67,CASES
1938,45,WEST VIRGINIA,WV,US,STATE,23,CASES
1938,46,WEST VIRGINIA,WV,US,STATE,101,CASES
1938,47,WEST VIRGINIA,WV,US,STATE,95,CASES
1938,48,WEST VIRGINIA,WV,US,STATE,117,CASES
1938,49,WEST VIRGINIA,WV,US,STATE,62,CASES
1938,50,WEST VIRGINIA,WV,US,STATE,67,CASES
1938,51,WEST VIRGINIA,WV,US,STATE,15,CASES
1938,52,WEST VIRGINIA,WV,US,STATE,36,CASES
1939,1,WEST VIRGINIA,WV,US,STATE,48,CASES
1939,2,WEST VIRGINIA,WV,US,STATE,97,CASES
1939,3,WEST VIRGINIA,WV,US,STATE,81,CASES
1939,4,WEST VIRGINIA,WV,US,STATE,78,CASES
1939,5,WEST VIRGINIA,WV,US,STATE,30,CASES
1939,6,WEST VIRGINIA,WV,US,STATE,25,CASES
1939,7,WEST VIRGINIA,WV,US,STATE,30,CASES
1939,8,WEST VIRGINIA,WV,US,STATE,22,CASES
1939,9,WEST VIRGINIA,WV,US,STATE,24,CASES
1939,10,WEST VIRGINIA,WV,US,STATE,50,CASES
1939,11,WEST VIRGINIA,WV,US,STATE,43,CASES
1939,12,WEST VIRGINIA,WV,US,STATE,26,CASES
1939,13,WEST VIRGINIA,WV,US,STATE,27,CASES
1939,14,WEST VIRGINIA,WV,US,STATE,34,CASES
1939,15,WEST VIRGINIA,WV,US,STATE,57,CASES
1939,16,WEST VIRGINIA,WV,US,STATE,24,CASES
1939,17,WEST VIRGINIA,WV,US,STATE,48,CASES
1939,18,WEST VIRGINIA,WV,US,STATE,20,CASES
1939,19,WEST VIRGINIA,WV,US,STATE,54,CASES
1939,20,WEST VIRGINIA,WV,US,STATE,56,CASES
1939,21,WEST VIRGINIA,WV,US,STATE,24,CASES
1939,22,WEST VIRGINIA,WV,US,STATE,33,CASES
1939,23,WEST VIRGINIA,WV,US,STATE,27,CASES
1939,24,WEST VIRGINIA,WV,US,STATE,43,CASES
1939,25,WEST VIRGINIA,WV,US,STATE,12,CASES
1939,26,WEST VIRGINIA,WV,US,STATE,21,CASES
1939,27,WEST VIRGINIA,WV,US,STATE,24,CASES
1939,28,WEST VIRGINIA,WV,US,STATE,8,CASES
1939,29,WEST VIRGINIA,WV,US,STATE,26,CASES
1939,30,WEST VIRGINIA,WV,US,STATE,13,CASES
1939,31,WEST VIRGINIA,WV,US,STATE,35,CASES
1939,32,WEST VIRGINIA,WV,US,STATE,22,CASES
1939,33,WEST VIRGINIA,WV,US,STATE,10,CASES
1939,34,WEST VIRGINIA,WV,US,STATE,7,CASES
1939,35,WEST VIRGINIA,WV,US,STATE,5,CASES
1939,36,WEST VIRGINIA,WV,US,STATE,16,CASES
1939,37,WEST VIRGINIA,WV,US,STATE,2,CASES
1939,38,WEST VIRGINIA,WV,US,STATE,19,CASES
1939,39,WEST VIRGINIA,WV,US,STATE,19,CASES
1939,40,WEST VIRGINIA,WV,US,STATE,32,CASES
1939,41,WEST VIRGINIA,WV,US,STATE,46,CASES
1939,42,WEST VIRGINIA,WV,US,STATE,35,CASES
1939,43,WEST VIRGINIA,WV,US,STATE,22,CASES
1939,44,WEST VIRGINIA,WV,US,STATE,22,CASES
1939,45,WEST VIRGINIA,WV,US,STATE,10,CASES
1939,46,WEST VIRGINIA,WV,US,STATE,30,CASES
1939,47,WEST VIRGINIA,WV,US,STATE,13,CASES
1939,48,WEST VIRGINIA,WV,US,STATE,13,CASES
1939,49,WEST VIRGINIA,WV,US,STATE,38,CASES
1939,50,WEST VIRGINIA,WV,US,STATE,32,CASES
1939,51,WEST VIRGINIA,WV,US,STATE,28,CASES
1939,52,WEST VIRGINIA,WV,US,STATE,35,CASES
1940,2,WEST VIRGINIA,WV,US,STATE,11,CASES
1940,3,WEST VIRGINIA,WV,US,STATE,18,CASES
1940,4,WEST VIRGINIA,WV,US,STATE,32,CASES
1940,6,WEST VIRGINIA,WV,US,STATE,6,CASES
1940,7,WEST VIRGINIA,WV,US,STATE,21,CASES
1940,8,WEST VIRGINIA,WV,US,STATE,43,CASES
1940,9,WEST VIRGINIA,WV,US,STATE,42,CASES
1940,10,WEST VIRGINIA,WV,US,STATE,32,CASES
1940,11,WEST VIRGINIA,WV,US,STATE,62,CASES
1940,12,WEST VIRGINIA,WV,US,STATE,27,CASES
1940,13,WEST VIRGINIA,WV,US,STATE,69,CASES
1940,14,WEST VIRGINIA,WV,US,STATE,124,CASES
1940,15,WEST VIRGINIA,WV,US,STATE,49,CASES
1940,16,WEST VIRGINIA,WV,US,STATE,38,CASES
1940,17,WEST VIRGINIA,WV,US,STATE,35,CASES
1940,18,WEST VIRGINIA,WV,US,STATE,33,CASES
1940,19,WEST VIRGINIA,WV,US,STATE,85,CASES
1940,20,WEST VIRGINIA,WV,US,STATE,50,CASES
1940,21,WEST VIRGINIA,WV,US,STATE,60,CASES
1940,22,WEST VIRGINIA,WV,US,STATE,83,CASES
1940,23,WEST VIRGINIA,WV,US,STATE,73,CASES
1940,24,WEST VIRGINIA,WV,US,STATE,31,CASES
1940,25,WEST VIRGINIA,WV,US,STATE,33,CASES
1940,26,WEST VIRGINIA,WV,US,STATE,100,CASES
1940,27,WEST VIRGINIA,WV,US,STATE,46,CASES
1940,28,WEST VIRGINIA,WV,US,STATE,91,CASES
1940,29,WEST VIRGINIA,WV,US,STATE,51,CASES
1940,30,WEST VIRGINIA,WV,US,STATE,63,CASES
1940,31,WEST VIRGINIA,WV,US,STATE,27,CASES
1940,32,WEST VIRGINIA,WV,US,STATE,50,CASES
1940,33,WEST VIRGINIA,WV,US,STATE,69,CASES
1940,34,WEST VIRGINIA,WV,US,STATE,62,CASES
1940,35,WEST VIRGINIA,WV,US,STATE,43,CASES
1940,36,WEST VIRGINIA,WV,US,STATE,38,CASES
1940,37,WEST VIRGINIA,WV,US,STATE,38,CASES
1940,38,WEST VIRGINIA,WV,US,STATE,36,CASES
1940,39,WEST VIRGINIA,WV,US,STATE,37,CASES
1940,40,WEST VIRGINIA,WV,US,STATE,21,CASES
1940,41,WEST VIRGINIA,WV,US,STATE,25,CASES
1940,42,WEST VIRGINIA,WV,US,STATE,25,CASES
