year,week,loc,state,country,loc_type,number,event
1937,43,WYOMING,WY,US,STATE,16,CASES
1937,44,WYOMING,WY,US,STATE,18,CASES
1937,45,WYOMING,WY,US,STATE,23,CASES
1937,46,WYOMING,WY,US,STATE,7,CASES
1937,47,WYOMING,WY,US,STATE,6,CASES
1937,48,WYOMING,WY,US,STATE,10,CASES
1937,49,WYOMING,WY,US,STATE,8,CASES
1937,50,WYOMING,WY,US,STATE,14,CASES
1937,51,WYOMING,WY,US,STATE,11,CASES
1937,52,WYOMING,WY,US,STATE,5,CASES
1938,1,WYOMING,WY,US,STATE,14,CASES
1938,2,WYOMING,WY,US,STATE,10,CASES
1938,3,WYOMING,WY,US,STATE,8,CASES
1938,4,WYOMING,WY,US,STATE,14,CASES
1938,5,WYOMING,WY,US,STATE,25,CASES
1938,6,WYOMING,WY,US,STATE,19,CASES
1938,7,WYOMING,WY,US,STATE,17,CASES
1938,8,WYOMING,WY,US,STATE,4,CASES
1938,9,WYOMING,WY,US,STATE,19,CASES
1938,10,WYOMING,WY,US,STATE,45,CASES
1938,11,WYOMING,WY,US,STATE,3,CASES
1938,12,WYOMING,WY,US,STATE,6,CASES
1938,13,WYOMING,WY,US,STATE,18,CASES
1938,14,WYOMING,WY,US,STATE,25,CASES
1938,15,WYOMING,WY,US,STATE,6,CASES
1938,16,WYOMING,WY,US,STATE,10,CASES
1938,17,WYOMING,WY,US,STATE,23,CASES
1938,18,WYOMING,WY,US,STATE,6,CASES
1938,19,WYOMING,WY,US,STATE,7,CASES
1938,20,WYOMING,WY,US,STATE,1,CASES
1938,21,WYOMING,WY,US,STATE,1,CASES
1938,22,WYOMING,WY,US,STATE,10,CASES
1938,23,WYOMING,WY,US,STATE,3,CASES
1938,24,WYOMING,WY,US,STATE,10,CASES
1938,25,WYOMING,WY,US,STATE,133,CASES
1938,26,WYOMING,WY,US,STATE,355,CASES
1938,27,WYOMING,WY,US,STATE,67,CASES
1938,28,WYOMING,WY,US,STATE,111,CASES
1938,29,WYOMING,WY,US,STATE,155,CASES
1938,30,WYOMING,WY,US,STATE,178,CASES
1938,31,WYOMING,WY,US,STATE,89,CASES
1938,32,WYOMING,WY,US,STATE,44,CASES
1938,33,WYOMING,WY,US,STATE,89,CASES
1938,34,WYOMING,WY,US,STATE,67,CASES
1938,35,WYOMING,WY,US,STATE,22,CASES
1938,36,WYOMING,WY,US,STATE,111,CASES
1938,37,WYOMING,WY,US,STATE,155,CASES
1938,38,WYOMING,WY,US,STATE,3,CASES
1938,39,WYOMING,WY,US,STATE,3,CASES
1938,40,WYOMING,WY,US,STATE,44,CASES
1938,41,WYOMING,WY,US,STATE,2,CASES
1938,42,WYOMING,WY,US,STATE,67,CASES
1938,43,WYOMING,WY,US,STATE,6,CASES
1938,44,WYOMING,WY,US,STATE,22,CASES
1938,45,WYOMING,WY,US,STATE,10,CASES
1938,46,WYOMING,WY,US,STATE,22,CASES
1938,47,WYOMING,WY,US,STATE,22,CASES
1938,48,WYOMING,WY,US,STATE,67,CASES
1938,49,WYOMING,WY,US,STATE,22,CASES
1938,50,WYOMING,WY,US,STATE,44,CASES
1938,51,WYOMING,WY,US,STATE,0,CASES
1938,52,WYOMING,WY,US,STATE,3,CASES
1939,1,WYOMING,WY,US,STATE,65,CASES
1939,2,WYOMING,WY,US,STATE,131,CASES
1939,3,WYOMING,WY,US,STATE,218,CASES
1939,4,WYOMING,WY,US,STATE,0,CASES
1939,5,WYOMING,WY,US,STATE,2,CASES
1939,6,WYOMING,WY,US,STATE,1,CASES
1939,7,WYOMING,WY,US,STATE,0,CASES
1939,8,WYOMING,WY,US,STATE,12,CASES
1939,9,WYOMING,WY,US,STATE,1,CASES
1939,10,WYOMING,WY,US,STATE,0,CASES
1939,11,WYOMING,WY,US,STATE,5,CASES
1939,12,WYOMING,WY,US,STATE,1,CASES
1939,13,WYOMING,WY,US,STATE,2,CASES
1939,14,WYOMING,WY,US,STATE,0,CASES
1939,15,WYOMING,WY,US,STATE,5,CASES
1939,16,WYOMING,WY,US,STATE,22,CASES
1939,17,WYOMING,WY,US,STATE,22,CASES
1939,18,WYOMING,WY,US,STATE,2,CASES
1939,19,WYOMING,WY,US,STATE,0,CASES
1939,20,WYOMING,WY,US,STATE,44,CASES
1939,21,WYOMING,WY,US,STATE,0,CASES
1939,22,WYOMING,WY,US,STATE,0,CASES
1939,23,WYOMING,WY,US,STATE,0,CASES
1939,24,WYOMING,WY,US,STATE,0,CASES
1939,25,WYOMING,WY,US,STATE,2,CASES
1939,26,WYOMING,WY,US,STATE,2,CASES
1939,27,WYOMING,WY,US,STATE,65,CASES
1939,28,WYOMING,WY,US,STATE,1,CASES
1939,29,WYOMING,WY,US,STATE,0,CASES
1939,30,WYOMING,WY,US,STATE,2,CASES
1939,31,WYOMING,WY,US,STATE,6,CASES
1939,32,WYOMING,WY,US,STATE,0,CASES
1939,33,WYOMING,WY,US,STATE,1,CASES
1939,34,WYOMING,WY,US,STATE,0,CASES
1939,35,WYOMING,WY,US,STATE,3,CASES
1939,36,WYOMING,WY,US,STATE,44,CASES
1939,37,WYOMING,WY,US,STATE,4,CASES
1939,38,WYOMING,WY,US,STATE,524,CASES
1939,39,WYOMING,WY,US,STATE,44,CASES
1939,40,WYOMING,WY,US,STATE,22,CASES
1939,41,WYOMING,WY,US,STATE,0,CASES
1939,42,WYOMING,WY,US,STATE,1,CASES
1939,43,WYOMING,WY,US,STATE,175,CASES
1939,44,WYOMING,WY,US,STATE,0,CASES
1939,45,WYOMING,WY,US,STATE,7,CASES
1939,46,WYOMING,WY,US,STATE,22,CASES
1939,47,WYOMING,WY,US,STATE,8,CASES
1939,48,WYOMING,WY,US,STATE,284,CASES
1939,49,WYOMING,WY,US,STATE,262,CASES
1939,50,WYOMING,WY,US,STATE,175,CASES
1939,51,WYOMING,WY,US,STATE,5,CASES
1939,52,WYOMING,WY,US,STATE,305,CASES
1940,2,WYOMING,WY,US,STATE,6,CASES
1940,3,WYOMING,WY,US,STATE,24,CASES
1940,4,WYOMING,WY,US,STATE,12,CASES
1940,6,WYOMING,WY,US,STATE,2,CASES
1940,7,WYOMING,WY,US,STATE,8,CASES
1940,8,WYOMING,WY,US,STATE,6,CASES
1940,9,WYOMING,WY,US,STATE,12,CASES
1940,10,WYOMING,WY,US,STATE,4,CASES
1940,11,WYOMING,WY,US,STATE,3,CASES
1940,12,WYOMING,WY,US,STATE,0,CASES
1940,13,WYOMING,WY,US,STATE,5,CASES
1940,14,WYOMING,WY,US,STATE,3,CASES
1940,15,WYOMING,WY,US,STATE,3,CASES
1940,16,WYOMING,WY,US,STATE,4,CASES
1940,17,WYOMING,WY,US,STATE,0,CASES
1940,18,WYOMING,WY,US,STATE,4,CASES
1940,19,WYOMING,WY,US,STATE,6,CASES
1940,20,WYOMING,WY,US,STATE,3,CASES
1940,21,WYOMING,WY,US,STATE,5,CASES
1940,22,WYOMING,WY,US,STATE,1,CASES
1940,23,WYOMING,WY,US,STATE,6,CASES
1940,24,WYOMING,WY,US,STATE,3,CASES
1940,25,WYOMING,WY,US,STATE,7,CASES
1940,26,WYOMING,WY,US,STATE,5,CASES
1940,27,WYOMING,WY,US,STATE,17,CASES
1940,28,WYOMING,WY,US,STATE,6,CASES
1940,29,WYOMING,WY,US,STATE,9,CASES
1940,30,WYOMING,WY,US,STATE,10,CASES
1940,31,WYOMING,WY,US,STATE,5,CASES
1940,32,WYOMING,WY,US,STATE,5,CASES
1940,33,WYOMING,WY,US,STATE,3,CASES
1940,34,WYOMING,WY,US,STATE,0,CASES
1940,35,WYOMING,WY,US,STATE,2,CASES
1940,36,WYOMING,WY,US,STATE,3,CASES
1940,37,WYOMING,WY,US,STATE,1,CASES
1940,38,WYOMING,WY,US,STATE,7,CASES
1940,39,WYOMING,WY,US,STATE,1,CASES
1940,40,WYOMING,WY,US,STATE,0,CASES
1940,41,WYOMING,WY,US,STATE,2,CASES
1940,42,WYOMING,WY,US,STATE,0,CASES
1940,43,WYOMING,WY,US,STATE,3,CASES
1940,44,WYOMING,WY,US,STATE,2,CASES
1940,45,WYOMING,WY,US,STATE,4,CASES
1940,46,WYOMING,WY,US,STATE,0,CASES
1940,47,WYOMING,WY,US,STATE,1,CASES
1940,48,WYOMING,WY,US,STATE,1,CASES
1940,49,WYOMING,WY,US,STATE,4,CASES
