year,week,loc,state,country,loc_type,number,event
1927,47,WYOMING,WY,US,STATE,3,CASES
1927,48,WYOMING,WY,US,STATE,2,CASES
1927,49,WYOMING,WY,US,STATE,1,CASES
1928,2,WYOMING,WY,US,STATE,1,CASES
1928,3,WYOMING,WY,US,STATE,1,CASES
1928,4,WYOMING,WY,US,STATE,3,CASES
1928,5,WYOMING,WY,US,STATE,1,CASES
1928,6,WYOMING,WY,US,STATE,2,CASES
1928,7,WYOMING,WY,US,STATE,2,CASES
1928,8,WYOMING,WY,US,STATE,3,CASES
1928,11,WYOMING,WY,US,STATE,1,CASES
1928,17,WYOMING,WY,US,STATE,1,CASES
1928,19,WYOMING,WY,US,STATE,1,CASES
1928,22,WYOMING,WY,US,STATE,1,CASES
1928,24,WYOMING,WY,US,STATE,5,CASES
1928,26,WYOMING,WY,US,STATE,3,CASES
1928,27,WYOMING,WY,US,STATE,1,CASES
1928,28,WYOMING,WY,US,STATE,2,CASES
1928,29,WYOMING,WY,US,STATE,5,CASES
1928,31,WYOMING,WY,US,STATE,1,CASES
1928,32,WYOMING,WY,US,STATE,8,CASES
1928,33,WYOMING,WY,US,STATE,5,CASES
1928,34,WYOMING,WY,US,STATE,2,CASES
1928,35,WYOMING,WY,US,STATE,4,CASES
1928,37,WYOMING,WY,US,STATE,7,CASES
1928,38,WYOMING,WY,US,STATE,10,CASES
1928,40,WYOMING,WY,US,STATE,2,CASES
1928,41,WYOMING,WY,US,STATE,3,CASES
1928,43,WYOMING,WY,US,STATE,2,CASES
1928,44,WYOMING,WY,US,STATE,11,CASES
1928,45,WYOMING,WY,US,STATE,3,CASES
1928,46,WYOMING,WY,US,STATE,7,CASES
1928,47,WYOMING,WY,US,STATE,4,CASES
1928,48,WYOMING,WY,US,STATE,3,CASES
1928,49,WYOMING,WY,US,STATE,5,CASES
1928,51,WYOMING,WY,US,STATE,1,CASES
1929,1,WYOMING,WY,US,STATE,1,CASES
1929,2,WYOMING,WY,US,STATE,4,CASES
1929,4,WYOMING,WY,US,STATE,1,CASES
1929,5,WYOMING,WY,US,STATE,1,CASES
1929,7,WYOMING,WY,US,STATE,4,CASES
1929,8,WYOMING,WY,US,STATE,1,CASES
1929,10,WYOMING,WY,US,STATE,1,CASES
1929,11,WYOMING,WY,US,STATE,3,CASES
1929,12,WYOMING,WY,US,STATE,2,CASES
1929,13,WYOMING,WY,US,STATE,3,CASES
1929,14,WYOMING,WY,US,STATE,1,CASES
1929,15,WYOMING,WY,US,STATE,3,CASES
1929,17,WYOMING,WY,US,STATE,1,CASES
1929,18,WYOMING,WY,US,STATE,3,CASES
1929,19,WYOMING,WY,US,STATE,3,CASES
1929,21,WYOMING,WY,US,STATE,1,CASES
1929,22,WYOMING,WY,US,STATE,1,CASES
1929,25,WYOMING,WY,US,STATE,1,CASES
1929,31,WYOMING,WY,US,STATE,3,CASES
1929,32,WYOMING,WY,US,STATE,1,CASES
1929,33,WYOMING,WY,US,STATE,1,CASES
1929,34,WYOMING,WY,US,STATE,1,CASES
1929,37,WYOMING,WY,US,STATE,1,CASES
1929,40,WYOMING,WY,US,STATE,2,CASES
1929,41,WYOMING,WY,US,STATE,1,CASES
1929,47,WYOMING,WY,US,STATE,2,CASES
1929,48,WYOMING,WY,US,STATE,7,CASES
1929,49,WYOMING,WY,US,STATE,4,CASES
1929,50,WYOMING,WY,US,STATE,6,CASES
1929,51,WYOMING,WY,US,STATE,2,CASES
1929,52,WYOMING,WY,US,STATE,5,CASES
1930,1,WYOMING,WY,US,STATE,3,CASES
1930,4,WYOMING,WY,US,STATE,3,CASES
1930,7,WYOMING,WY,US,STATE,1,CASES
1930,8,WYOMING,WY,US,STATE,2,CASES
1930,9,WYOMING,WY,US,STATE,4,CASES
1930,10,WYOMING,WY,US,STATE,3,CASES
1930,12,WYOMING,WY,US,STATE,1,CASES
1930,13,WYOMING,WY,US,STATE,1,CASES
1930,15,WYOMING,WY,US,STATE,1,CASES
1930,16,WYOMING,WY,US,STATE,1,CASES
1930,17,WYOMING,WY,US,STATE,1,CASES
1930,18,WYOMING,WY,US,STATE,1,CASES
1930,19,WYOMING,WY,US,STATE,1,CASES
1930,21,WYOMING,WY,US,STATE,2,CASES
1930,22,WYOMING,WY,US,STATE,6,CASES
1930,23,WYOMING,WY,US,STATE,1,CASES
1930,25,WYOMING,WY,US,STATE,3,CASES
1930,26,WYOMING,WY,US,STATE,1,CASES
1930,29,WYOMING,WY,US,STATE,1,CASES
1930,30,WYOMING,WY,US,STATE,1,CASES
1930,36,WYOMING,WY,US,STATE,1,CASES
1930,38,WYOMING,WY,US,STATE,1,CASES
1930,39,WYOMING,WY,US,STATE,1,CASES
1930,40,WYOMING,WY,US,STATE,1,CASES
1930,41,WYOMING,WY,US,STATE,1,CASES
1930,45,WYOMING,WY,US,STATE,2,CASES
1930,48,WYOMING,WY,US,STATE,1,CASES
1930,50,WYOMING,WY,US,STATE,1,CASES
1930,51,WYOMING,WY,US,STATE,2,CASES
1930,52,WYOMING,WY,US,STATE,1,CASES
1931,3,WYOMING,WY,US,STATE,1,CASES
1931,4,WYOMING,WY,US,STATE,1,CASES
1931,6,WYOMING,WY,US,STATE,2,CASES
1931,8,WYOMING,WY,US,STATE,1,CASES
1931,12,WYOMING,WY,US,STATE,1,CASES
1931,13,WYOMING,WY,US,STATE,1,CASES
1931,14,WYOMING,WY,US,STATE,1,CASES
1931,15,WYOMING,WY,US,STATE,1,CASES
1931,17,WYOMING,WY,US,STATE,1,CASES
1931,22,WYOMING,WY,US,STATE,5,CASES
1931,27,WYOMING,WY,US,STATE,1,CASES
1931,32,WYOMING,WY,US,STATE,1,CASES
1931,35,WYOMING,WY,US,STATE,1,CASES
1931,43,WYOMING,WY,US,STATE,2,CASES
1931,48,WYOMING,WY,US,STATE,2,CASES
1931,49,WYOMING,WY,US,STATE,7,CASES
1931,51,WYOMING,WY,US,STATE,2,CASES
1932,1,WYOMING,WY,US,STATE,1,CASES
1932,2,WYOMING,WY,US,STATE,1,CASES
1932,10,WYOMING,WY,US,STATE,2,CASES
1932,13,WYOMING,WY,US,STATE,1,CASES
