year,week,loc,state,country,loc_type,number,event
1927,49,WYOMING,WY,US,STATE,1,CASES
1928,8,WYOMING,WY,US,STATE,2,CASES
1928,14,WYOMING,WY,US,STATE,6,CASES
1928,15,WYOMING,WY,US,STATE,1,CASES
1928,16,WYOMING,WY,US,STATE,4,CASES
1928,21,WYOMING,WY,US,STATE,2,CASES
1928,23,WYOMING,WY,US,STATE,6,CASES
1928,25,WYOMING,WY,US,STATE,1,CASES
1928,26,WYOMING,WY,US,STATE,2,CASES
1928,47,WYOMING,WY,US,STATE,7,CASES
1928,48,WYOMING,WY,US,STATE,6,CASES
1928,49,WYOMING,WY,US,STATE,68,CASES
1928,50,WYOMING,WY,US,STATE,450,CASES
1928,51,WYOMING,WY,US,STATE,320,CASES
1928,52,WYOMING,WY,US,STATE,179,CASES
1929,1,WYOMING,WY,US,STATE,9,CASES
1929,2,WYOMING,WY,US,STATE,311,CASES
1929,3,WYOMING,WY,US,STATE,404,CASES
1929,4,WYOMING,WY,US,STATE,15,CASES
1929,5,WYOMING,WY,US,STATE,2,CASES
1929,6,WYOMING,WY,US,STATE,26,CASES
1929,8,WYOMING,WY,US,STATE,7,CASES
1929,9,WYOMING,WY,US,STATE,1,CASES
1929,10,WYOMING,WY,US,STATE,4,CASES
1929,12,WYOMING,WY,US,STATE,4,CASES
1929,15,WYOMING,WY,US,STATE,1,CASES
1929,16,WYOMING,WY,US,STATE,8,CASES
1929,18,WYOMING,WY,US,STATE,1,CASES
1929,39,WYOMING,WY,US,STATE,1,CASES
1929,43,WYOMING,WY,US,STATE,1,CASES
1929,49,WYOMING,WY,US,STATE,1,CASES
1930,3,WYOMING,WY,US,STATE,3,CASES
1930,4,WYOMING,WY,US,STATE,8,CASES
1930,5,WYOMING,WY,US,STATE,1,CASES
1930,6,WYOMING,WY,US,STATE,4,CASES
1930,11,WYOMING,WY,US,STATE,1,CASES
1930,13,WYOMING,WY,US,STATE,1,CASES
1930,16,WYOMING,WY,US,STATE,2,CASES
1930,28,WYOMING,WY,US,STATE,1,CASES
1930,44,WYOMING,WY,US,STATE,2,CASES
1930,50,WYOMING,WY,US,STATE,6,CASES
1930,51,WYOMING,WY,US,STATE,2,CASES
1930,53,WYOMING,WY,US,STATE,3,CASES
1931,4,WYOMING,WY,US,STATE,1,CASES
1931,7,WYOMING,WY,US,STATE,6,CASES
1931,10,WYOMING,WY,US,STATE,3,CASES
1931,11,WYOMING,WY,US,STATE,3,CASES
1931,16,WYOMING,WY,US,STATE,1,CASES
1931,21,WYOMING,WY,US,STATE,1,CASES
1931,42,WYOMING,WY,US,STATE,1,CASES
1932,1,WYOMING,WY,US,STATE,3,CASES
1932,4,WYOMING,WY,US,STATE,4,CASES
1932,5,WYOMING,WY,US,STATE,6,CASES
1932,6,WYOMING,WY,US,STATE,202,CASES
1932,10,WYOMING,WY,US,STATE,1,CASES
1932,13,WYOMING,WY,US,STATE,1,CASES
1932,15,WYOMING,WY,US,STATE,2,CASES
1932,20,WYOMING,WY,US,STATE,1,CASES
1932,35,WYOMING,WY,US,STATE,1,CASES
1932,41,WYOMING,WY,US,STATE,1,CASES
1932,43,WYOMING,WY,US,STATE,1,CASES
1932,48,WYOMING,WY,US,STATE,1,CASES
1932,49,WYOMING,WY,US,STATE,30,CASES
1932,50,WYOMING,WY,US,STATE,101,CASES
1932,51,WYOMING,WY,US,STATE,243,CASES
1932,52,WYOMING,WY,US,STATE,181,CASES
1933,1,WYOMING,WY,US,STATE,15,CASES
1933,5,WYOMING,WY,US,STATE,8,CASES
1933,7,WYOMING,WY,US,STATE,2,CASES
1933,9,WYOMING,WY,US,STATE,2,CASES
1933,10,WYOMING,WY,US,STATE,1,CASES
1933,34,WYOMING,WY,US,STATE,1,CASES
1933,35,WYOMING,WY,US,STATE,1,CASES
1933,39,WYOMING,WY,US,STATE,3,CASES
1935,24,WYOMING,WY,US,STATE,1,CASES
1935,49,WYOMING,WY,US,STATE,2,CASES
1935,52,WYOMING,WY,US,STATE,2,CASES
1936,13,WYOMING,WY,US,STATE,58,CASES
1936,17,WYOMING,WY,US,STATE,1,CASES
1936,53,WYOMING,WY,US,STATE,300,CASES
1937,4,WYOMING,WY,US,STATE,30,CASES
1937,5,WYOMING,WY,US,STATE,80,CASES
1937,7,WYOMING,WY,US,STATE,1,CASES
1937,8,WYOMING,WY,US,STATE,50,CASES
1938,7,WYOMING,WY,US,STATE,1,CASES
1938,13,WYOMING,WY,US,STATE,1,CASES
1938,42,WYOMING,WY,US,STATE,22,CASES
1939,9,WYOMING,WY,US,STATE,1,CASES
1939,10,WYOMING,WY,US,STATE,8,CASES
1939,12,WYOMING,WY,US,STATE,2,CASES
1939,13,WYOMING,WY,US,STATE,1,CASES
1939,30,WYOMING,WY,US,STATE,1,CASES
1939,35,WYOMING,WY,US,STATE,1,CASES
1939,43,WYOMING,WY,US,STATE,44,CASES
1939,44,WYOMING,WY,US,STATE,1,CASES
1939,48,WYOMING,WY,US,STATE,284,CASES
1939,49,WYOMING,WY,US,STATE,1134,CASES
1939,50,WYOMING,WY,US,STATE,11214,CASES
1939,51,WYOMING,WY,US,STATE,15,CASES
1939,52,WYOMING,WY,US,STATE,2509,CASES
1940,1,WYOMING,WY,US,STATE,21,CASES
1940,2,WYOMING,WY,US,STATE,24,CASES
1940,3,WYOMING,WY,US,STATE,3,CASES
1940,4,WYOMING,WY,US,STATE,2,CASES
1940,5,WYOMING,WY,US,STATE,4,CASES
1940,6,WYOMING,WY,US,STATE,4,CASES
1940,7,WYOMING,WY,US,STATE,5,CASES
1940,10,WYOMING,WY,US,STATE,10,CASES
1940,11,WYOMING,WY,US,STATE,5,CASES
1940,12,WYOMING,WY,US,STATE,2,CASES
1940,13,WYOMING,WY,US,STATE,1,CASES
1940,14,WYOMING,WY,US,STATE,1,CASES
1940,17,WYOMING,WY,US,STATE,1,CASES
1940,19,WYOMING,WY,US,STATE,1,CASES
1940,21,WYOMING,WY,US,STATE,3,CASES
1940,23,WYOMING,WY,US,STATE,1,CASES
1940,25,WYOMING,WY,US,STATE,2,CASES
1940,29,WYOMING,WY,US,STATE,1,CASES
1940,35,WYOMING,WY,US,STATE,1,CASES
1940,40,WYOMING,WY,US,STATE,2,CASES
1940,44,WYOMING,WY,US,STATE,1,CASES
1940,47,WYOMING,WY,US,STATE,1,CASES
1940,48,WYOMING,WY,US,STATE,4,CASES
1940,49,WYOMING,WY,US,STATE,8,CASES
1940,50,WYOMING,WY,US,STATE,4,CASES
1940,51,WYOMING,WY,US,STATE,1085,CASES
1940,52,WYOMING,WY,US,STATE,548,CASES
1941,1,WYOMING,WY,US,STATE,1651,CASES
1941,2,WYOMING,WY,US,STATE,1207,CASES
1941,3,WYOMING,WY,US,STATE,942,CASES
1941,4,WYOMING,WY,US,STATE,616,CASES
1941,5,WYOMING,WY,US,STATE,182,CASES
1941,6,WYOMING,WY,US,STATE,189,CASES
1941,7,WYOMING,WY,US,STATE,103,CASES
1941,9,WYOMING,WY,US,STATE,29,CASES
1941,10,WYOMING,WY,US,STATE,5,CASES
1941,12,WYOMING,WY,US,STATE,3,CASES
1941,20,WYOMING,WY,US,STATE,1,CASES
1941,21,WYOMING,WY,US,STATE,3,CASES
1941,24,WYOMING,WY,US,STATE,1,CASES
1941,30,WYOMING,WY,US,STATE,5,CASES
1941,31,WYOMING,WY,US,STATE,3,CASES
1941,35,WYOMING,WY,US,STATE,4,CASES
1941,36,WYOMING,WY,US,STATE,8,CASES
1941,37,WYOMING,WY,US,STATE,4,CASES
1941,38,WYOMING,WY,US,STATE,3,CASES
1941,39,WYOMING,WY,US,STATE,4,CASES
1941,41,WYOMING,WY,US,STATE,1,CASES
1941,42,WYOMING,WY,US,STATE,9,CASES
1941,43,WYOMING,WY,US,STATE,9,CASES
1941,44,WYOMING,WY,US,STATE,4,CASES
1941,45,WYOMING,WY,US,STATE,7,CASES
1941,46,WYOMING,WY,US,STATE,6,CASES
1941,47,WYOMING,WY,US,STATE,2,CASES
1941,48,WYOMING,WY,US,STATE,2,CASES
1941,49,WYOMING,WY,US,STATE,2,CASES
1941,50,WYOMING,WY,US,STATE,4,CASES
1941,51,WYOMING,WY,US,STATE,4,CASES
1941,52,WYOMING,WY,US,STATE,10,CASES
1941,53,WYOMING,WY,US,STATE,8,CASES
1942,1,WYOMING,WY,US,STATE,4,CASES
1942,2,WYOMING,WY,US,STATE,36,CASES
1942,3,WYOMING,WY,US,STATE,70,CASES
1942,4,WYOMING,WY,US,STATE,37,CASES
1942,5,WYOMING,WY,US,STATE,119,CASES
1942,6,WYOMING,WY,US,STATE,227,CASES
1942,7,WYOMING,WY,US,STATE,209,CASES
1942,8,WYOMING,WY,US,STATE,302,CASES
1942,9,WYOMING,WY,US,STATE,227,CASES
1942,10,WYOMING,WY,US,STATE,197,CASES
1942,11,WYOMING,WY,US,STATE,192,CASES
1942,12,WYOMING,WY,US,STATE,130,CASES
1942,13,WYOMING,WY,US,STATE,104,CASES
1942,14,WYOMING,WY,US,STATE,116,CASES
1942,15,WYOMING,WY,US,STATE,138,CASES
1942,16,WYOMING,WY,US,STATE,141,CASES
1942,17,WYOMING,WY,US,STATE,116,CASES
1942,18,WYOMING,WY,US,STATE,110,CASES
1942,19,WYOMING,WY,US,STATE,64,CASES
1942,20,WYOMING,WY,US,STATE,44,CASES
1942,21,WYOMING,WY,US,STATE,36,CASES
1942,23,WYOMING,WY,US,STATE,13,CASES
1942,24,WYOMING,WY,US,STATE,61,CASES
1942,25,WYOMING,WY,US,STATE,42,CASES
1942,26,WYOMING,WY,US,STATE,56,CASES
1942,27,WYOMING,WY,US,STATE,36,CASES
1942,28,WYOMING,WY,US,STATE,13,CASES
1942,29,WYOMING,WY,US,STATE,15,CASES
1942,30,WYOMING,WY,US,STATE,11,CASES
1942,31,WYOMING,WY,US,STATE,5,CASES
1942,32,WYOMING,WY,US,STATE,5,CASES
1942,33,WYOMING,WY,US,STATE,7,CASES
1942,34,WYOMING,WY,US,STATE,8,CASES
1942,35,WYOMING,WY,US,STATE,13,CASES
1942,36,WYOMING,WY,US,STATE,15,CASES
1942,37,WYOMING,WY,US,STATE,9,CASES
1942,38,WYOMING,WY,US,STATE,30,CASES
1942,39,WYOMING,WY,US,STATE,16,CASES
1942,40,WYOMING,WY,US,STATE,24,CASES
1942,41,WYOMING,WY,US,STATE,8,CASES
1942,42,WYOMING,WY,US,STATE,5,CASES
1942,43,WYOMING,WY,US,STATE,26,CASES
1942,44,WYOMING,WY,US,STATE,45,CASES
1942,45,WYOMING,WY,US,STATE,39,CASES
1942,46,WYOMING,WY,US,STATE,31,CASES
1942,47,WYOMING,WY,US,STATE,96,CASES
1942,48,WYOMING,WY,US,STATE,76,CASES
1942,49,WYOMING,WY,US,STATE,50,CASES
1942,50,WYOMING,WY,US,STATE,148,CASES
1942,51,WYOMING,WY,US,STATE,66,CASES
1942,52,WYOMING,WY,US,STATE,55,CASES
1943,1,WYOMING,WY,US,STATE,54,CASES
1943,2,WYOMING,WY,US,STATE,36,CASES
1943,3,WYOMING,WY,US,STATE,61,CASES
1943,4,WYOMING,WY,US,STATE,43,CASES
1943,5,WYOMING,WY,US,STATE,54,CASES
1943,6,WYOMING,WY,US,STATE,53,CASES
1943,7,WYOMING,WY,US,STATE,33,CASES
1943,8,WYOMING,WY,US,STATE,85,CASES
1943,9,WYOMING,WY,US,STATE,14,CASES
1943,10,WYOMING,WY,US,STATE,14,CASES
1943,11,WYOMING,WY,US,STATE,46,CASES
1943,12,WYOMING,WY,US,STATE,40,CASES
1943,13,WYOMING,WY,US,STATE,26,CASES
1943,14,WYOMING,WY,US,STATE,19,CASES
1943,15,WYOMING,WY,US,STATE,20,CASES
1943,16,WYOMING,WY,US,STATE,23,CASES
1943,17,WYOMING,WY,US,STATE,2,CASES
1943,18,WYOMING,WY,US,STATE,6,CASES
1943,19,WYOMING,WY,US,STATE,7,CASES
1943,20,WYOMING,WY,US,STATE,11,CASES
1943,21,WYOMING,WY,US,STATE,18,CASES
1943,22,WYOMING,WY,US,STATE,15,CASES
1943,23,WYOMING,WY,US,STATE,19,CASES
1943,24,WYOMING,WY,US,STATE,20,CASES
1943,25,WYOMING,WY,US,STATE,7,CASES
1943,26,WYOMING,WY,US,STATE,4,CASES
1943,27,WYOMING,WY,US,STATE,9,CASES
1943,28,WYOMING,WY,US,STATE,4,CASES
1943,29,WYOMING,WY,US,STATE,15,CASES
1943,30,WYOMING,WY,US,STATE,10,CASES
1943,31,WYOMING,WY,US,STATE,2,CASES
1943,32,WYOMING,WY,US,STATE,1,CASES
1943,33,WYOMING,WY,US,STATE,2,CASES
1943,37,WYOMING,WY,US,STATE,9,CASES
1943,38,WYOMING,WY,US,STATE,2,CASES
1943,40,WYOMING,WY,US,STATE,8,CASES
1943,41,WYOMING,WY,US,STATE,3,CASES
1943,42,WYOMING,WY,US,STATE,2,CASES
1943,43,WYOMING,WY,US,STATE,2,CASES
1943,44,WYOMING,WY,US,STATE,4,CASES
1943,45,WYOMING,WY,US,STATE,2,CASES
1943,46,WYOMING,WY,US,STATE,1,CASES
1943,47,WYOMING,WY,US,STATE,2,CASES
1943,48,WYOMING,WY,US,STATE,2,CASES
1943,49,WYOMING,WY,US,STATE,11,CASES
1943,50,WYOMING,WY,US,STATE,227,CASES
1943,51,WYOMING,WY,US,STATE,814,CASES
1943,52,WYOMING,WY,US,STATE,952,CASES
1944,1,WYOMING,WY,US,STATE,804,CASES
1944,2,WYOMING,WY,US,STATE,334,CASES
1944,3,WYOMING,WY,US,STATE,182,CASES
1944,4,WYOMING,WY,US,STATE,205,CASES
1944,5,WYOMING,WY,US,STATE,12,CASES
1944,6,WYOMING,WY,US,STATE,18,CASES
1944,7,WYOMING,WY,US,STATE,7,CASES
1944,8,WYOMING,WY,US,STATE,9,CASES
1944,9,WYOMING,WY,US,STATE,9,CASES
1944,10,WYOMING,WY,US,STATE,2,CASES
1944,11,WYOMING,WY,US,STATE,1,CASES
1944,12,WYOMING,WY,US,STATE,20,CASES
1944,13,WYOMING,WY,US,STATE,12,CASES
1944,14,WYOMING,WY,US,STATE,1,CASES
1944,17,WYOMING,WY,US,STATE,2,CASES
1944,18,WYOMING,WY,US,STATE,6,CASES
1944,19,WYOMING,WY,US,STATE,1,CASES
1944,21,WYOMING,WY,US,STATE,0,CASES
1944,33,WYOMING,WY,US,STATE,2,CASES
1944,38,WYOMING,WY,US,STATE,3,CASES
1944,39,WYOMING,WY,US,STATE,1,CASES
1944,41,WYOMING,WY,US,STATE,2,CASES
1944,42,WYOMING,WY,US,STATE,6,CASES
1944,45,WYOMING,WY,US,STATE,23,CASES
1944,46,WYOMING,WY,US,STATE,1,CASES
1944,47,WYOMING,WY,US,STATE,18,CASES
1944,48,WYOMING,WY,US,STATE,10,CASES
1944,49,WYOMING,WY,US,STATE,11,CASES
1944,50,WYOMING,WY,US,STATE,27,CASES
1944,51,WYOMING,WY,US,STATE,15,CASES
1944,52,WYOMING,WY,US,STATE,18,CASES
1945,2,WYOMING,WY,US,STATE,28,CASES
1945,3,WYOMING,WY,US,STATE,182,CASES
1945,5,WYOMING,WY,US,STATE,19,CASES
1945,10,WYOMING,WY,US,STATE,25,CASES
1945,11,WYOMING,WY,US,STATE,6,CASES
1945,13,WYOMING,WY,US,STATE,12,CASES
1945,31,WYOMING,WY,US,STATE,1,CASES
1945,37,WYOMING,WY,US,STATE,1,CASES
1945,41,WYOMING,WY,US,STATE,1,CASES
1945,45,WYOMING,WY,US,STATE,1,CASES
1945,46,WYOMING,WY,US,STATE,8,CASES
1945,47,WYOMING,WY,US,STATE,45,CASES
1945,48,WYOMING,WY,US,STATE,52,CASES
1945,49,WYOMING,WY,US,STATE,72,CASES
1945,50,WYOMING,WY,US,STATE,66,CASES
1945,52,WYOMING,WY,US,STATE,3,CASES
1946,1,WYOMING,WY,US,STATE,6,CASES
1946,4,WYOMING,WY,US,STATE,1,CASES
1946,6,WYOMING,WY,US,STATE,4,CASES
1946,7,WYOMING,WY,US,STATE,2,CASES
1946,8,WYOMING,WY,US,STATE,1,CASES
1946,10,WYOMING,WY,US,STATE,1,CASES
1946,11,WYOMING,WY,US,STATE,2,CASES
1946,12,WYOMING,WY,US,STATE,1,CASES
1946,32,WYOMING,WY,US,STATE,1,CASES
1946,39,WYOMING,WY,US,STATE,1,CASES
1946,40,WYOMING,WY,US,STATE,9,CASES
1946,44,WYOMING,WY,US,STATE,1,CASES
1946,45,WYOMING,WY,US,STATE,1,CASES
1946,46,WYOMING,WY,US,STATE,15,CASES
1946,47,WYOMING,WY,US,STATE,5,CASES
1946,52,WYOMING,WY,US,STATE,27,CASES
1947,2,WYOMING,WY,US,STATE,12,CASES
1947,3,WYOMING,WY,US,STATE,6,CASES
1947,4,WYOMING,WY,US,STATE,6,CASES
1947,5,WYOMING,WY,US,STATE,3,CASES
1947,7,WYOMING,WY,US,STATE,6,CASES
1947,8,WYOMING,WY,US,STATE,12,CASES
1947,9,WYOMING,WY,US,STATE,31,CASES
1947,10,WYOMING,WY,US,STATE,33,CASES
1947,11,WYOMING,WY,US,STATE,20,CASES
1947,12,WYOMING,WY,US,STATE,25,CASES
1947,13,WYOMING,WY,US,STATE,53,CASES
1947,14,WYOMING,WY,US,STATE,16,CASES
1947,18,WYOMING,WY,US,STATE,1,CASES
1947,19,WYOMING,WY,US,STATE,1,CASES
1947,21,WYOMING,WY,US,STATE,11,CASES
1947,22,WYOMING,WY,US,STATE,2,CASES
1947,24,WYOMING,WY,US,STATE,3,CASES
1947,25,WYOMING,WY,US,STATE,1,CASES
1947,26,WYOMING,WY,US,STATE,1,CASES
1947,28,WYOMING,WY,US,STATE,4,CASES
1947,30,WYOMING,WY,US,STATE,1,CASES
1948,9,WYOMING,WY,US,STATE,31,CASES
1948,15,WYOMING,WY,US,STATE,1,CASES
1948,18,WYOMING,WY,US,STATE,1,CASES
1948,22,WYOMING,WY,US,STATE,2,CASES
1948,24,WYOMING,WY,US,STATE,1,CASES
1948,33,WYOMING,WY,US,STATE,2,CASES
1948,34,WYOMING,WY,US,STATE,6,CASES
1948,39,WYOMING,WY,US,STATE,1,CASES
1948,42,WYOMING,WY,US,STATE,1,CASES
1948,43,WYOMING,WY,US,STATE,1,CASES
1948,44,WYOMING,WY,US,STATE,1,CASES
1948,45,WYOMING,WY,US,STATE,6,CASES
1948,46,WYOMING,WY,US,STATE,2,CASES
1948,47,WYOMING,WY,US,STATE,3,CASES
1948,50,WYOMING,WY,US,STATE,14,CASES
1949,2,WYOMING,WY,US,STATE,1,CASES
1949,21,WYOMING,WY,US,STATE,1,CASES
1950,7,WYOMING,WY,US,STATE,20,CASES
1950,8,WYOMING,WY,US,STATE,28,CASES
1950,9,WYOMING,WY,US,STATE,257,CASES
1950,10,WYOMING,WY,US,STATE,2,CASES
1950,12,WYOMING,WY,US,STATE,71,CASES
1950,14,WYOMING,WY,US,STATE,2,CASES
