"Weekly Polio Cases, 1928-1969"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1928,1,0,-,0,0,9,4,0,0,-,0,1,-,0,2,1,2,0,0,0,0,1,6,2,0,0,1,1,1,-,-,3,0,9,0,-,1,0,6,0,0,1,0,1,3,0,0,-,4,1,1,0
1928,2,0,-,0,0,8,2,0,0,-,0,0,-,0,1,1,-,4,0,1,1,1,6,2,1,0,2,0,1,-,-,1,0,6,1,3,-,1,4,3,0,1,0,1,2,0,0,-,6,4,1,0
1928,3,1,-,0,0,6,0,1,0,-,0,-,-,0,2,1,-,0,0,0,0,0,3,1,0,0,1,1,0,-,-,0,0,4,0,0,4,0,10,2,0,6,0,0,0,0,0,-,2,2,1,0
1928,4,0,-,1,2,4,2,1,0,0,0,0,-,0,4,4,0,0,0,0,0,0,1,1,0,0,2,0,0,-,0,1,0,7,0,1,0,2,5,2,0,4,0,1,3,0,0,-,1,2,0,0
1928,5,0,-,1,0,17,0,2,0,0,0,0,-,0,3,0,1,0,0,0,3,2,1,2,0,0,0,0,2,-,0,1,2,8,0,0,2,0,3,0,0,3,1,0,3,0,0,-,2,1,1,0
1928,6,0,-,0,0,12,1,0,0,0,0,0,-,-,2,0,0,0,0,0,0,0,2,3,0,0,0,0,1,-,0,0,0,3,0,0,3,1,2,4,0,1,2,1,0,1,0,1,1,0,4,0
1928,7,2,-,0,0,7,0,0,0,0,0,0,-,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,-,1,1,1,2,1,1,3,1,3,1,0,0,0,0,0,2,0,-,0,0,2,0
1928,8,3,-,0,0,6,0,0,0,-,2,0,-,0,1,0,1,0,0,1,0,0,2,1,1,1,0,0,0,-,-,0,2,4,0,0,2,4,1,1,0,1,1,0,0,0,0,-,1,0,1,0
1928,9,0,-,0,0,8,0,1,0,0,0,0,-,1,1,0,0,0,0,2,0,2,6,0,0,2,0,0,1,-,1,0,0,4,1,1,1,1,3,2,0,2,0,0,0,0,0,1,4,1,0,0
1928,10,0,-,0,0,6,1,0,0,-,1,0,-,0,3,1,0,1,0,0,2,0,1,0,0,0,1,-,2,-,0,0,0,5,0,1,0,1,2,0,0,1,0,0,0,0,0,-,1,1,0,0
1928,11,1,-,0,1,3,0,0,0,-,0,0,-,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,-,0,1,-,0,0,1,2,0,2,1,0,1,3,0,0,0,0,-,3,1,0,0
1928,12,1,-,0,0,2,0,0,0,1,0,0,-,0,2,0,0,1,3,0,0,0,1,1,0,0,2,0,0,-,0,1,0,9,0,0,2,1,1,3,0,0,-,0,0,0,0,-,0,1,2,0
1928,13,0,-,1,0,3,0,0,0,-,0,0,-,1,0,0,0,2,0,0,1,0,0,0,1,1,2,0,0,-,0,0,0,5,0,0,4,0,3,0,0,1,1,2,0,0,0,-,1,0,1,1
1928,14,0,-,0,0,4,1,0,0,0,0,0,-,0,1,0,0,0,0,0,0,0,4,0,2,2,1,0,-,-,0,3,1,1,0,0,2,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
1928,15,2,-,0,0,5,0,0,0,-,1,0,-,0,1,0,0,0,0,0,0,0,0,0,1,-,0,0,0,-,0,0,1,1,0,2,4,1,0,1,0,0,0,0,0,0,0,-,0,0,3,0
1928,16,2,-,0,0,1,0,0,0,0,0,0,-,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,-,0,1,0,1,2,0,1,2,1,2,0,0,0,0,0,0,0,0,2,0,1,0
1928,17,0,-,0,0,6,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-,0,0,0,0,1,0,1,0,0,2,0,1,1,1,0,1,0,-,2,0,0,0
1928,18,0,-,0,0,11,0,0,0,-,1,0,-,0,1,0,-,0,0,0,0,0,2,0,1,0,0,0,0,-,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,-,0,0,1,0
1928,19,3,-,0,0,7,0,0,0,2,0,0,-,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,-,0,0,0,4,1,0,1,0,1,3,0,1,0,0,0,0,1,-,0,0,3,0
1928,20,1,-,0,0,2,0,0,0,0,0,0,-,0,1,0,-,1,0,0,0,0,1,1,0,0,0,0,0,-,0,3,0,6,0,0,2,0,0,1,0,0,1,1,0,0,0,-,0,0,1,0
1928,21,0,-,2,1,3,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,-,0,1,0,2,1,0,1,0,1,1,0,6,0,0,1,0,0,-,2,1,0,0
