year,week,loc,state,country,loc_type,number,event
1950,22,ALASKA,AK,US,STATE,2,CASES
1950,23,ALASKA,AK,US,STATE,2,CASES
1950,25,ALASKA,AK,US,STATE,30,CASES
1950,28,ALASKA,AK,US,STATE,3,CASES
1950,30,ALASKA,AK,US,STATE,9,CASES
1950,31,ALASKA,AK,US,STATE,1,CASES
1950,34,ALASKA,AK,US,STATE,4,CASES
1950,42,ALASKA,AK,US,STATE,2,CASES
1950,45,ALASKA,AK,US,STATE,4,CASES
1950,46,ALASKA,AK,US,STATE,1,CASES
1950,47,ALASKA,AK,US,STATE,11,CASES
1950,48,ALASKA,AK,US,STATE,6,CASES
1950,50,ALASKA,AK,US,STATE,7,CASES
1950,51,ALASKA,AK,US,STATE,2,CASES
1950,52,ALASKA,AK,US,STATE,2,CASES
1951,1,ALASKA,AK,US,STATE,1,CASES
1951,2,ALASKA,AK,US,STATE,3,CASES
1951,3,ALASKA,AK,US,STATE,6,CASES
1951,4,ALASKA,AK,US,STATE,4,CASES
1951,6,ALASKA,AK,US,STATE,2,CASES
1951,7,ALASKA,AK,US,STATE,9,CASES
1951,11,ALASKA,AK,US,STATE,6,CASES
1951,12,ALASKA,AK,US,STATE,1,CASES
1951,13,ALASKA,AK,US,STATE,1,CASES
1951,16,ALASKA,AK,US,STATE,2,CASES
1951,18,ALASKA,AK,US,STATE,2,CASES
1951,19,ALASKA,AK,US,STATE,1,CASES
1951,30,ALASKA,AK,US,STATE,1,CASES
1951,31,ALASKA,AK,US,STATE,5,CASES
1951,34,ALASKA,AK,US,STATE,3,CASES
1951,38,ALASKA,AK,US,STATE,1,CASES
1951,39,ALASKA,AK,US,STATE,21,CASES
1951,42,ALASKA,AK,US,STATE,8,CASES
1951,44,ALASKA,AK,US,STATE,1,CASES
1955,29,ALASKA,AK,US,STATE,1,CASES
1955,33,ALASKA,AK,US,STATE,19,CASES
1955,34,ALASKA,AK,US,STATE,2,CASES
1955,36,ALASKA,AK,US,STATE,21,CASES
1955,38,ALASKA,AK,US,STATE,1,CASES
1955,43,ALASKA,AK,US,STATE,3,CASES
1955,44,ALASKA,AK,US,STATE,1,CASES
1955,45,ALASKA,AK,US,STATE,5,CASES
1955,46,ALASKA,AK,US,STATE,2,CASES
1975,15,ALASKA,AK,US,STATE,2,CASES
1975,47,ALASKA,AK,US,STATE,1,CASES
1975,48,ALASKA,AK,US,STATE,1,CASES
1977,33,ALASKA,AK,US,STATE,3,CASES
1977,36,ALASKA,AK,US,STATE,1,CASES
1977,37,ALASKA,AK,US,STATE,1,CASES
1978,4,ALASKA,AK,US,STATE,2,CASES
1978,9,ALASKA,AK,US,STATE,1,CASES
1978,12,ALASKA,AK,US,STATE,2,CASES
1978,24,ALASKA,AK,US,STATE,1,CASES
1978,33,ALASKA,AK,US,STATE,3,CASES
1978,36,ALASKA,AK,US,STATE,2,CASES
1978,37,ALASKA,AK,US,STATE,2,CASES
1978,39,ALASKA,AK,US,STATE,2,CASES
1978,48,ALASKA,AK,US,STATE,1,CASES
1978,50,ALASKA,AK,US,STATE,1,CASES
1978,51,ALASKA,AK,US,STATE,2,CASES
1979,9,ALASKA,AK,US,STATE,1,CASES
1979,16,ALASKA,AK,US,STATE,3,CASES
1979,27,ALASKA,AK,US,STATE,1,CASES
1979,39,ALASKA,AK,US,STATE,1,CASES
1979,40,ALASKA,AK,US,STATE,1,CASES
1979,48,ALASKA,AK,US,STATE,3,CASES
1980,5,ALASKA,AK,US,STATE,1,CASES
1980,23,ALASKA,AK,US,STATE,1,CASES
1980,25,ALASKA,AK,US,STATE,1,CASES
1980,31,ALASKA,AK,US,STATE,1,CASES
1980,41,ALASKA,AK,US,STATE,1,CASES
1983,22,ALASKA,AK,US,STATE,1,CASES
1983,36,ALASKA,AK,US,STATE,4,CASES
1985,4,ALASKA,AK,US,STATE,1,CASES
1985,11,ALASKA,AK,US,STATE,1,CASES
1985,20,ALASKA,AK,US,STATE,1,CASES
1985,22,ALASKA,AK,US,STATE,1,CASES
1985,26,ALASKA,AK,US,STATE,2,CASES
1985,28,ALASKA,AK,US,STATE,12,CASES
1985,33,ALASKA,AK,US,STATE,1,CASES
1985,34,ALASKA,AK,US,STATE,1,CASES
1985,43,ALASKA,AK,US,STATE,1,CASES
1986,5,ALASKA,AK,US,STATE,1,CASES
1986,24,ALASKA,AK,US,STATE,1,CASES
1986,45,ALASKA,AK,US,STATE,1,CASES
1986,47,ALASKA,AK,US,STATE,1,CASES
1986,48,ALASKA,AK,US,STATE,1,CASES
1987,5,ALASKA,AK,US,STATE,1,CASES
1987,6,ALASKA,AK,US,STATE,1,CASES
1987,23,ALASKA,AK,US,STATE,1,CASES
1987,30,ALASKA,AK,US,STATE,1,CASES
1987,31,ALASKA,AK,US,STATE,2,CASES
1987,33,ALASKA,AK,US,STATE,3,CASES
1988,6,ALASKA,AK,US,STATE,1,CASES
1988,10,ALASKA,AK,US,STATE,1,CASES
1988,13,ALASKA,AK,US,STATE,1,CASES
1988,23,ALASKA,AK,US,STATE,1,CASES
1988,26,ALASKA,AK,US,STATE,1,CASES
1988,32,ALASKA,AK,US,STATE,1,CASES
1988,39,ALASKA,AK,US,STATE,1,CASES
1990,27,ALASKA,AK,US,STATE,1,CASES
1990,42,ALASKA,AK,US,STATE,2,CASES
1990,50,ALASKA,AK,US,STATE,6,CASES
1991,19,ALASKA,AK,US,STATE,1,CASES
1991,28,ALASKA,AK,US,STATE,1,CASES
1992,32,ALASKA,AK,US,STATE,1,CASES
1992,39,ALASKA,AK,US,STATE,1,CASES
1993,21,ALASKA,AK,US,STATE,1,CASES
1993,34,ALASKA,AK,US,STATE,1,CASES
1994,38,ALASKA,AK,US,STATE,1,CASES
1997,7,ALASKA,AK,US,STATE,1,CASES
1997,33,ALASKA,AK,US,STATE,9,CASES
1998,30,ALASKA,AK,US,STATE,1,CASES
1998,32,ALASKA,AK,US,STATE,2,CASES
1998,34,ALASKA,AK,US,STATE,4,CASES
1998,48,ALASKA,AK,US,STATE,1,CASES
1999,5,ALASKA,AK,US,STATE,1,CASES
1999,31,ALASKA,AK,US,STATE,1,CASES
2000,13,ALASKA,AK,US,STATE,1,CASES
2000,22,ALASKA,AK,US,STATE,1,CASES
2000,29,ALASKA,AK,US,STATE,1,CASES
2000,30,ALASKA,AK,US,STATE,1,CASES
2000,31,ALASKA,AK,US,STATE,5,CASES
2000,45,ALASKA,AK,US,STATE,1,CASES
2001,23,ALASKA,AK,US,STATE,1,CASES
2001,31,ALASKA,AK,US,STATE,1,CASES
2001,46,ALASKA,AK,US,STATE,2,CASES
2001,47,ALASKA,AK,US,STATE,1,CASES
2008,2,ALASKA,AK,US,STATE,3,CASES
2008,5,ALASKA,AK,US,STATE,1,CASES
