year,week,loc,state,country,loc_type,number,event
1954,1,ALASKA,AK,US,STATE,14,CASES
1954,2,ALASKA,AK,US,STATE,30,CASES
1954,3,ALASKA,AK,US,STATE,40,CASES
1954,4,ALASKA,AK,US,STATE,16,CASES
1954,5,ALASKA,AK,US,STATE,56,CASES
1954,6,ALASKA,AK,US,STATE,25,CASES
1954,7,ALASKA,AK,US,STATE,30,CASES
1954,8,ALASKA,AK,US,STATE,19,CASES
1954,9,ALASKA,AK,US,STATE,7,CASES
1954,10,ALASKA,AK,US,STATE,10,CASES
1954,11,ALASKA,AK,US,STATE,37,CASES
1954,12,ALASKA,AK,US,STATE,27,CASES
1954,13,ALASKA,AK,US,STATE,11,CASES
1954,14,ALASKA,AK,US,STATE,40,CASES
1954,15,ALASKA,AK,US,STATE,63,CASES
1954,16,ALASKA,AK,US,STATE,17,CASES
1954,17,ALASKA,AK,US,STATE,104,CASES
1954,18,ALASKA,AK,US,STATE,90,CASES
1954,19,ALASKA,AK,US,STATE,125,CASES
1954,20,ALASKA,AK,US,STATE,45,CASES
1954,21,ALASKA,AK,US,STATE,66,CASES
1954,22,ALASKA,AK,US,STATE,142,CASES
1954,23,ALASKA,AK,US,STATE,47,CASES
1954,24,ALASKA,AK,US,STATE,65,CASES
1954,25,ALASKA,AK,US,STATE,7,CASES
1954,26,ALASKA,AK,US,STATE,3,CASES
1954,27,ALASKA,AK,US,STATE,10,CASES
1954,28,ALASKA,AK,US,STATE,35,CASES
1954,29,ALASKA,AK,US,STATE,7,CASES
1954,30,ALASKA,AK,US,STATE,180,CASES
1954,31,ALASKA,AK,US,STATE,20,CASES
1954,32,ALASKA,AK,US,STATE,40,CASES
1954,33,ALASKA,AK,US,STATE,3,CASES
1954,34,ALASKA,AK,US,STATE,2,CASES
1954,35,ALASKA,AK,US,STATE,10,CASES
1954,36,ALASKA,AK,US,STATE,16,CASES
1954,37,ALASKA,AK,US,STATE,1,CASES
1954,38,ALASKA,AK,US,STATE,1,CASES
1954,39,ALASKA,AK,US,STATE,1,CASES
1954,41,ALASKA,AK,US,STATE,1,CASES
1954,42,ALASKA,AK,US,STATE,1,CASES
1954,44,ALASKA,AK,US,STATE,1,CASES
1954,45,ALASKA,AK,US,STATE,4,CASES
1954,46,ALASKA,AK,US,STATE,2,CASES
1954,47,ALASKA,AK,US,STATE,5,CASES
1954,48,ALASKA,AK,US,STATE,4,CASES
1954,49,ALASKA,AK,US,STATE,3,CASES
1954,50,ALASKA,AK,US,STATE,2,CASES
1954,51,ALASKA,AK,US,STATE,2,CASES
1955,1,ALASKA,AK,US,STATE,2,CASES
1955,2,ALASKA,AK,US,STATE,4,CASES
1955,4,ALASKA,AK,US,STATE,1,CASES
1955,5,ALASKA,AK,US,STATE,2,CASES
1955,6,ALASKA,AK,US,STATE,4,CASES
1955,8,ALASKA,AK,US,STATE,3,CASES
1955,9,ALASKA,AK,US,STATE,2,CASES
1955,10,ALASKA,AK,US,STATE,14,CASES
1955,11,ALASKA,AK,US,STATE,1,CASES
1955,12,ALASKA,AK,US,STATE,1,CASES
1955,14,ALASKA,AK,US,STATE,16,CASES
1955,15,ALASKA,AK,US,STATE,20,CASES
1955,16,ALASKA,AK,US,STATE,15,CASES
1955,17,ALASKA,AK,US,STATE,2,CASES
1955,18,ALASKA,AK,US,STATE,7,CASES
1955,19,ALASKA,AK,US,STATE,5,CASES
1955,20,ALASKA,AK,US,STATE,13,CASES
1955,21,ALASKA,AK,US,STATE,16,CASES
1955,22,ALASKA,AK,US,STATE,5,CASES
1955,23,ALASKA,AK,US,STATE,30,CASES
1955,24,ALASKA,AK,US,STATE,16,CASES
1955,25,ALASKA,AK,US,STATE,26,CASES
1955,26,ALASKA,AK,US,STATE,33,CASES
1955,27,ALASKA,AK,US,STATE,21,CASES
1955,28,ALASKA,AK,US,STATE,5,CASES
1955,29,ALASKA,AK,US,STATE,8,CASES
1955,30,ALASKA,AK,US,STATE,3,CASES
1955,31,ALASKA,AK,US,STATE,2,CASES
1955,32,ALASKA,AK,US,STATE,2,CASES
1955,33,ALASKA,AK,US,STATE,1,CASES
1955,34,ALASKA,AK,US,STATE,1,CASES
1955,36,ALASKA,AK,US,STATE,2,CASES
1955,37,ALASKA,AK,US,STATE,2,CASES
1955,38,ALASKA,AK,US,STATE,2,CASES
1955,40,ALASKA,AK,US,STATE,10,CASES
1955,42,ALASKA,AK,US,STATE,2,CASES
1955,43,ALASKA,AK,US,STATE,8,CASES
1955,44,ALASKA,AK,US,STATE,14,CASES
1955,45,ALASKA,AK,US,STATE,20,CASES
1955,46,ALASKA,AK,US,STATE,31,CASES
1955,47,ALASKA,AK,US,STATE,11,CASES
1955,48,ALASKA,AK,US,STATE,35,CASES
1955,49,ALASKA,AK,US,STATE,38,CASES
1955,51,ALASKA,AK,US,STATE,1,CASES
1955,52,ALASKA,AK,US,STATE,106,CASES
1956,1,ALASKA,AK,US,STATE,119,CASES
