year,week,loc,state,country,loc_type,number,event
1968,1,ALABAMA,AL,US,STATE,39,CASES
1968,2,ALABAMA,AL,US,STATE,14,CASES
1968,3,ALABAMA,AL,US,STATE,14,CASES
1968,4,ALABAMA,AL,US,STATE,29,CASES
1968,5,ALABAMA,AL,US,STATE,69,CASES
1968,6,ALABAMA,AL,US,STATE,9,CASES
1968,7,ALABAMA,AL,US,STATE,24,CASES
1968,8,ALABAMA,AL,US,STATE,47,CASES
1968,9,ALABAMA,AL,US,STATE,30,CASES
1968,10,ALABAMA,AL,US,STATE,16,CASES
1968,11,ALABAMA,AL,US,STATE,22,CASES
1968,12,ALABAMA,AL,US,STATE,9,CASES
1968,13,ALABAMA,AL,US,STATE,19,CASES
1968,14,ALABAMA,AL,US,STATE,9,CASES
1968,15,ALABAMA,AL,US,STATE,14,CASES
1968,16,ALABAMA,AL,US,STATE,6,CASES
1968,17,ALABAMA,AL,US,STATE,17,CASES
1968,18,ALABAMA,AL,US,STATE,20,CASES
1968,19,ALABAMA,AL,US,STATE,15,CASES
1968,20,ALABAMA,AL,US,STATE,10,CASES
1968,21,ALABAMA,AL,US,STATE,4,CASES
1968,22,ALABAMA,AL,US,STATE,2,CASES
1968,23,ALABAMA,AL,US,STATE,18,CASES
1968,24,ALABAMA,AL,US,STATE,14,CASES
1968,25,ALABAMA,AL,US,STATE,9,CASES
1968,26,ALABAMA,AL,US,STATE,7,CASES
1968,27,ALABAMA,AL,US,STATE,4,CASES
1968,28,ALABAMA,AL,US,STATE,8,CASES
1968,29,ALABAMA,AL,US,STATE,11,CASES
1968,30,ALABAMA,AL,US,STATE,5,CASES
1968,31,ALABAMA,AL,US,STATE,4,CASES
1968,32,ALABAMA,AL,US,STATE,5,CASES
1968,33,ALABAMA,AL,US,STATE,3,CASES
1968,34,ALABAMA,AL,US,STATE,2,CASES
1968,37,ALABAMA,AL,US,STATE,5,CASES
1968,38,ALABAMA,AL,US,STATE,1,CASES
1968,39,ALABAMA,AL,US,STATE,2,CASES
1968,40,ALABAMA,AL,US,STATE,2,CASES
1968,41,ALABAMA,AL,US,STATE,1,CASES
1968,42,ALABAMA,AL,US,STATE,3,CASES
1968,43,ALABAMA,AL,US,STATE,1,CASES
1968,49,ALABAMA,AL,US,STATE,1,CASES
1968,50,ALABAMA,AL,US,STATE,2,CASES
1968,51,ALABAMA,AL,US,STATE,2,CASES
1969,1,ALABAMA,AL,US,STATE,3,CASES
1969,2,ALABAMA,AL,US,STATE,12,CASES
1969,3,ALABAMA,AL,US,STATE,6,CASES
1969,4,ALABAMA,AL,US,STATE,14,CASES
1969,5,ALABAMA,AL,US,STATE,28,CASES
1969,6,ALABAMA,AL,US,STATE,3,CASES
1969,7,ALABAMA,AL,US,STATE,4,CASES
1969,8,ALABAMA,AL,US,STATE,4,CASES
1969,10,ALABAMA,AL,US,STATE,2,CASES
1969,12,ALABAMA,AL,US,STATE,26,CASES
1969,13,ALABAMA,AL,US,STATE,3,CASES
1969,15,ALABAMA,AL,US,STATE,27,CASES
1969,19,ALABAMA,AL,US,STATE,2,CASES
1969,21,ALABAMA,AL,US,STATE,3,CASES
1969,22,ALABAMA,AL,US,STATE,1,CASES
1969,24,ALABAMA,AL,US,STATE,4,CASES
1969,26,ALABAMA,AL,US,STATE,1,CASES
1969,29,ALABAMA,AL,US,STATE,3,CASES
1969,30,ALABAMA,AL,US,STATE,1,CASES
1969,31,ALABAMA,AL,US,STATE,1,CASES
1969,32,ALABAMA,AL,US,STATE,1,CASES
1969,33,ALABAMA,AL,US,STATE,11,CASES
1969,35,ALABAMA,AL,US,STATE,2,CASES
1969,36,ALABAMA,AL,US,STATE,1,CASES
1969,38,ALABAMA,AL,US,STATE,2,CASES
1969,39,ALABAMA,AL,US,STATE,6,CASES
1969,40,ALABAMA,AL,US,STATE,2,CASES
1969,42,ALABAMA,AL,US,STATE,5,CASES
1969,43,ALABAMA,AL,US,STATE,4,CASES
1969,44,ALABAMA,AL,US,STATE,5,CASES
1969,46,ALABAMA,AL,US,STATE,12,CASES
1969,47,ALABAMA,AL,US,STATE,3,CASES
1969,48,ALABAMA,AL,US,STATE,6,CASES
1969,49,ALABAMA,AL,US,STATE,7,CASES
1969,50,ALABAMA,AL,US,STATE,5,CASES
1969,51,ALABAMA,AL,US,STATE,7,CASES
1969,52,ALABAMA,AL,US,STATE,4,CASES
1970,1,ALABAMA,AL,US,STATE,5,CASES
1970,2,ALABAMA,AL,US,STATE,10,CASES
1970,3,ALABAMA,AL,US,STATE,9,CASES
1970,4,ALABAMA,AL,US,STATE,6,CASES
1970,5,ALABAMA,AL,US,STATE,16,CASES
1970,6,ALABAMA,AL,US,STATE,4,CASES
1970,7,ALABAMA,AL,US,STATE,13,CASES
1970,8,ALABAMA,AL,US,STATE,6,CASES
1970,9,ALABAMA,AL,US,STATE,12,CASES
1970,10,ALABAMA,AL,US,STATE,5,CASES
1970,11,ALABAMA,AL,US,STATE,7,CASES
1970,12,ALABAMA,AL,US,STATE,10,CASES
1970,13,ALABAMA,AL,US,STATE,4,CASES
1970,15,ALABAMA,AL,US,STATE,25,CASES
1970,16,ALABAMA,AL,US,STATE,14,CASES
1970,17,ALABAMA,AL,US,STATE,12,CASES
1970,18,ALABAMA,AL,US,STATE,6,CASES
1970,19,ALABAMA,AL,US,STATE,5,CASES
1970,20,ALABAMA,AL,US,STATE,3,CASES
1970,21,ALABAMA,AL,US,STATE,8,CASES
1970,22,ALABAMA,AL,US,STATE,10,CASES
1970,24,ALABAMA,AL,US,STATE,2,CASES
1970,25,ALABAMA,AL,US,STATE,29,CASES
1970,27,ALABAMA,AL,US,STATE,6,CASES
1970,28,ALABAMA,AL,US,STATE,2,CASES
1970,29,ALABAMA,AL,US,STATE,1,CASES
1970,30,ALABAMA,AL,US,STATE,1,CASES
1970,31,ALABAMA,AL,US,STATE,7,CASES
1970,32,ALABAMA,AL,US,STATE,10,CASES
1970,33,ALABAMA,AL,US,STATE,5,CASES
1970,34,ALABAMA,AL,US,STATE,3,CASES
1970,35,ALABAMA,AL,US,STATE,1,CASES
1970,36,ALABAMA,AL,US,STATE,4,CASES
1970,37,ALABAMA,AL,US,STATE,1,CASES
1970,38,ALABAMA,AL,US,STATE,1,CASES
1970,39,ALABAMA,AL,US,STATE,3,CASES
1970,40,ALABAMA,AL,US,STATE,2,CASES
1970,41,ALABAMA,AL,US,STATE,11,CASES
1970,42,ALABAMA,AL,US,STATE,4,CASES
1970,43,ALABAMA,AL,US,STATE,9,CASES
1970,45,ALABAMA,AL,US,STATE,7,CASES
1970,46,ALABAMA,AL,US,STATE,14,CASES
1970,47,ALABAMA,AL,US,STATE,11,CASES
1970,48,ALABAMA,AL,US,STATE,26,CASES
1970,49,ALABAMA,AL,US,STATE,20,CASES
1970,50,ALABAMA,AL,US,STATE,19,CASES
1970,52,ALABAMA,AL,US,STATE,3,CASES
1971,1,ALABAMA,AL,US,STATE,29,CASES
1971,2,ALABAMA,AL,US,STATE,6,CASES
1971,3,ALABAMA,AL,US,STATE,46,CASES
1971,4,ALABAMA,AL,US,STATE,26,CASES
1971,5,ALABAMA,AL,US,STATE,142,CASES
1971,6,ALABAMA,AL,US,STATE,41,CASES
1971,7,ALABAMA,AL,US,STATE,11,CASES
1971,9,ALABAMA,AL,US,STATE,42,CASES
1971,10,ALABAMA,AL,US,STATE,48,CASES
1971,11,ALABAMA,AL,US,STATE,26,CASES
1971,12,ALABAMA,AL,US,STATE,40,CASES
1971,13,ALABAMA,AL,US,STATE,6,CASES
1971,14,ALABAMA,AL,US,STATE,9,CASES
1971,15,ALABAMA,AL,US,STATE,33,CASES
1971,16,ALABAMA,AL,US,STATE,17,CASES
1971,17,ALABAMA,AL,US,STATE,60,CASES
1971,18,ALABAMA,AL,US,STATE,20,CASES
1971,19,ALABAMA,AL,US,STATE,52,CASES
1971,20,ALABAMA,AL,US,STATE,56,CASES
1971,21,ALABAMA,AL,US,STATE,27,CASES
1971,22,ALABAMA,AL,US,STATE,30,CASES
1971,23,ALABAMA,AL,US,STATE,10,CASES
1971,24,ALABAMA,AL,US,STATE,10,CASES
1971,25,ALABAMA,AL,US,STATE,20,CASES
1971,26,ALABAMA,AL,US,STATE,12,CASES
1971,27,ALABAMA,AL,US,STATE,2,CASES
1971,28,ALABAMA,AL,US,STATE,8,CASES
1971,29,ALABAMA,AL,US,STATE,4,CASES
1971,30,ALABAMA,AL,US,STATE,16,CASES
1971,31,ALABAMA,AL,US,STATE,10,CASES
1971,32,ALABAMA,AL,US,STATE,2,CASES
1971,33,ALABAMA,AL,US,STATE,2,CASES
1971,34,ALABAMA,AL,US,STATE,2,CASES
1971,37,ALABAMA,AL,US,STATE,5,CASES
1971,40,ALABAMA,AL,US,STATE,12,CASES
1971,41,ALABAMA,AL,US,STATE,13,CASES
1971,42,ALABAMA,AL,US,STATE,8,CASES
1971,43,ALABAMA,AL,US,STATE,3,CASES
1971,44,ALABAMA,AL,US,STATE,16,CASES
1971,45,ALABAMA,AL,US,STATE,20,CASES
1971,47,ALABAMA,AL,US,STATE,39,CASES
1971,48,ALABAMA,AL,US,STATE,9,CASES
1971,49,ALABAMA,AL,US,STATE,13,CASES
1971,50,ALABAMA,AL,US,STATE,13,CASES
1971,51,ALABAMA,AL,US,STATE,1,CASES
1972,1,ALABAMA,AL,US,STATE,18,CASES
1972,3,ALABAMA,AL,US,STATE,50,CASES
1972,4,ALABAMA,AL,US,STATE,34,CASES
1972,5,ALABAMA,AL,US,STATE,21,CASES
1972,6,ALABAMA,AL,US,STATE,18,CASES
1972,7,ALABAMA,AL,US,STATE,1,CASES
1972,8,ALABAMA,AL,US,STATE,29,CASES
1972,9,ALABAMA,AL,US,STATE,19,CASES
1972,10,ALABAMA,AL,US,STATE,9,CASES
1972,12,ALABAMA,AL,US,STATE,32,CASES
1972,13,ALABAMA,AL,US,STATE,15,CASES
1972,14,ALABAMA,AL,US,STATE,17,CASES
1972,15,ALABAMA,AL,US,STATE,3,CASES
1972,16,ALABAMA,AL,US,STATE,34,CASES
1972,17,ALABAMA,AL,US,STATE,41,CASES
1972,18,ALABAMA,AL,US,STATE,10,CASES
1972,19,ALABAMA,AL,US,STATE,30,CASES
1972,20,ALABAMA,AL,US,STATE,19,CASES
