year,week,loc,state,country,loc_type,number,event
1972,3,ARKANSAS,AR,US,STATE,2,CASES
1972,6,ARKANSAS,AR,US,STATE,1,CASES
1972,8,ARKANSAS,AR,US,STATE,2,CASES
1972,10,ARKANSAS,AR,US,STATE,4,CASES
1972,12,ARKANSAS,AR,US,STATE,12,CASES
1972,15,ARKANSAS,AR,US,STATE,2,CASES
1972,16,ARKANSAS,AR,US,STATE,2,CASES
1972,17,ARKANSAS,AR,US,STATE,1,CASES
1972,18,ARKANSAS,AR,US,STATE,2,CASES
1972,19,ARKANSAS,AR,US,STATE,11,CASES
1972,20,ARKANSAS,AR,US,STATE,11,CASES
1972,21,ARKANSAS,AR,US,STATE,3,CASES
1972,23,ARKANSAS,AR,US,STATE,3,CASES
1972,27,ARKANSAS,AR,US,STATE,1,CASES
1972,41,ARKANSAS,AR,US,STATE,1,CASES
1972,43,ARKANSAS,AR,US,STATE,1,CASES
1972,44,ARKANSAS,AR,US,STATE,1,CASES
1972,48,ARKANSAS,AR,US,STATE,1,CASES
1973,3,ARKANSAS,AR,US,STATE,6,CASES
1973,4,ARKANSAS,AR,US,STATE,1,CASES
1973,5,ARKANSAS,AR,US,STATE,5,CASES
1973,6,ARKANSAS,AR,US,STATE,6,CASES
1973,7,ARKANSAS,AR,US,STATE,6,CASES
1973,8,ARKANSAS,AR,US,STATE,14,CASES
1973,9,ARKANSAS,AR,US,STATE,14,CASES
1973,11,ARKANSAS,AR,US,STATE,5,CASES
1973,12,ARKANSAS,AR,US,STATE,3,CASES
1973,13,ARKANSAS,AR,US,STATE,83,CASES
1973,14,ARKANSAS,AR,US,STATE,6,CASES
1973,15,ARKANSAS,AR,US,STATE,9,CASES
1973,16,ARKANSAS,AR,US,STATE,12,CASES
1973,17,ARKANSAS,AR,US,STATE,6,CASES
1973,18,ARKANSAS,AR,US,STATE,9,CASES
1973,19,ARKANSAS,AR,US,STATE,41,CASES
1973,20,ARKANSAS,AR,US,STATE,16,CASES
1973,21,ARKANSAS,AR,US,STATE,13,CASES
1973,22,ARKANSAS,AR,US,STATE,4,CASES
1973,23,ARKANSAS,AR,US,STATE,16,CASES
1973,24,ARKANSAS,AR,US,STATE,5,CASES
1973,25,ARKANSAS,AR,US,STATE,13,CASES
1973,26,ARKANSAS,AR,US,STATE,4,CASES
1973,27,ARKANSAS,AR,US,STATE,5,CASES
1973,28,ARKANSAS,AR,US,STATE,3,CASES
1973,29,ARKANSAS,AR,US,STATE,1,CASES
1973,30,ARKANSAS,AR,US,STATE,1,CASES
1973,34,ARKANSAS,AR,US,STATE,3,CASES
1973,38,ARKANSAS,AR,US,STATE,2,CASES
1973,45,ARKANSAS,AR,US,STATE,3,CASES
1973,46,ARKANSAS,AR,US,STATE,3,CASES
1973,47,ARKANSAS,AR,US,STATE,2,CASES
1973,50,ARKANSAS,AR,US,STATE,3,CASES
1974,1,ARKANSAS,AR,US,STATE,2,CASES
1974,2,ARKANSAS,AR,US,STATE,2,CASES
1974,3,ARKANSAS,AR,US,STATE,5,CASES
1974,4,ARKANSAS,AR,US,STATE,3,CASES
1974,5,ARKANSAS,AR,US,STATE,160,CASES
1974,6,ARKANSAS,AR,US,STATE,2,CASES
1974,7,ARKANSAS,AR,US,STATE,21,CASES
1974,8,ARKANSAS,AR,US,STATE,6,CASES
1974,9,ARKANSAS,AR,US,STATE,1,CASES
1974,10,ARKANSAS,AR,US,STATE,98,CASES
1974,11,ARKANSAS,AR,US,STATE,11,CASES
1974,12,ARKANSAS,AR,US,STATE,19,CASES
1974,13,ARKANSAS,AR,US,STATE,6,CASES
1974,14,ARKANSAS,AR,US,STATE,4,CASES
1974,15,ARKANSAS,AR,US,STATE,11,CASES
1974,16,ARKANSAS,AR,US,STATE,130,CASES
1974,17,ARKANSAS,AR,US,STATE,6,CASES
1974,18,ARKANSAS,AR,US,STATE,24,CASES
1974,19,ARKANSAS,AR,US,STATE,8,CASES
1974,20,ARKANSAS,AR,US,STATE,38,CASES
1974,21,ARKANSAS,AR,US,STATE,14,CASES
1974,22,ARKANSAS,AR,US,STATE,6,CASES
1974,23,ARKANSAS,AR,US,STATE,221,CASES
1974,24,ARKANSAS,AR,US,STATE,5,CASES
1974,25,ARKANSAS,AR,US,STATE,1,CASES
1974,26,ARKANSAS,AR,US,STATE,3,CASES
1974,28,ARKANSAS,AR,US,STATE,3,CASES
1974,30,ARKANSAS,AR,US,STATE,8,CASES
1974,31,ARKANSAS,AR,US,STATE,4,CASES
1974,32,ARKANSAS,AR,US,STATE,8,CASES
1974,33,ARKANSAS,AR,US,STATE,6,CASES
1974,34,ARKANSAS,AR,US,STATE,2,CASES
1974,37,ARKANSAS,AR,US,STATE,1,CASES
1974,39,ARKANSAS,AR,US,STATE,1,CASES
1974,40,ARKANSAS,AR,US,STATE,1,CASES
1974,41,ARKANSAS,AR,US,STATE,13,CASES
1974,42,ARKANSAS,AR,US,STATE,1,CASES
1974,44,ARKANSAS,AR,US,STATE,8,CASES
1974,46,ARKANSAS,AR,US,STATE,6,CASES
1974,50,ARKANSAS,AR,US,STATE,1,CASES
1974,51,ARKANSAS,AR,US,STATE,151,CASES
1975,1,ARKANSAS,AR,US,STATE,1,CASES
1975,2,ARKANSAS,AR,US,STATE,71,CASES
1975,3,ARKANSAS,AR,US,STATE,1,CASES
1975,4,ARKANSAS,AR,US,STATE,2,CASES
1975,5,ARKANSAS,AR,US,STATE,79,CASES
1975,6,ARKANSAS,AR,US,STATE,4,CASES
1975,7,ARKANSAS,AR,US,STATE,1,CASES
1975,8,ARKANSAS,AR,US,STATE,25,CASES
1975,9,ARKANSAS,AR,US,STATE,10,CASES
1975,10,ARKANSAS,AR,US,STATE,118,CASES
1975,11,ARKANSAS,AR,US,STATE,3,CASES
1975,14,ARKANSAS,AR,US,STATE,1,CASES
1975,15,ARKANSAS,AR,US,STATE,1,CASES
1975,16,ARKANSAS,AR,US,STATE,2,CASES
1975,17,ARKANSAS,AR,US,STATE,16,CASES
1975,18,ARKANSAS,AR,US,STATE,7,CASES
1975,20,ARKANSAS,AR,US,STATE,3,CASES
1975,22,ARKANSAS,AR,US,STATE,4,CASES
1975,25,ARKANSAS,AR,US,STATE,1,CASES
1975,50,ARKANSAS,AR,US,STATE,2,CASES
1976,7,ARKANSAS,AR,US,STATE,1,CASES
1976,9,ARKANSAS,AR,US,STATE,31,CASES
1976,11,ARKANSAS,AR,US,STATE,36,CASES
1976,14,ARKANSAS,AR,US,STATE,1,CASES
1976,15,ARKANSAS,AR,US,STATE,1,CASES
1976,16,ARKANSAS,AR,US,STATE,2,CASES
1976,19,ARKANSAS,AR,US,STATE,21,CASES
1976,20,ARKANSAS,AR,US,STATE,21,CASES
1976,21,ARKANSAS,AR,US,STATE,1,CASES
1976,22,ARKANSAS,AR,US,STATE,1,CASES
1976,23,ARKANSAS,AR,US,STATE,2,CASES
1976,24,ARKANSAS,AR,US,STATE,5,CASES
1976,33,ARKANSAS,AR,US,STATE,2,CASES
1976,34,ARKANSAS,AR,US,STATE,1,CASES
1976,36,ARKANSAS,AR,US,STATE,1,CASES
1976,39,ARKANSAS,AR,US,STATE,4,CASES
1976,44,ARKANSAS,AR,US,STATE,1,CASES
1976,46,ARKANSAS,AR,US,STATE,3,CASES
1977,3,ARKANSAS,AR,US,STATE,1,CASES
1977,4,ARKANSAS,AR,US,STATE,56,CASES
1977,5,ARKANSAS,AR,US,STATE,2,CASES
1977,6,ARKANSAS,AR,US,STATE,7,CASES
1977,8,ARKANSAS,AR,US,STATE,7,CASES
1977,10,ARKANSAS,AR,US,STATE,3,CASES
1977,12,ARKANSAS,AR,US,STATE,24,CASES
1977,13,ARKANSAS,AR,US,STATE,2,CASES
1977,14,ARKANSAS,AR,US,STATE,1,CASES
1977,15,ARKANSAS,AR,US,STATE,3,CASES
1977,16,ARKANSAS,AR,US,STATE,8,CASES
1977,17,ARKANSAS,AR,US,STATE,8,CASES
1977,18,ARKANSAS,AR,US,STATE,2,CASES
1977,19,ARKANSAS,AR,US,STATE,1,CASES
1977,21,ARKANSAS,AR,US,STATE,4,CASES
1977,22,ARKANSAS,AR,US,STATE,1,CASES
1977,23,ARKANSAS,AR,US,STATE,3,CASES
1977,27,ARKANSAS,AR,US,STATE,7,CASES
1977,28,ARKANSAS,AR,US,STATE,2,CASES
1977,29,ARKANSAS,AR,US,STATE,1,CASES
1977,30,ARKANSAS,AR,US,STATE,2,CASES
1977,31,ARKANSAS,AR,US,STATE,1,CASES
1977,32,ARKANSAS,AR,US,STATE,7,CASES
1977,34,ARKANSAS,AR,US,STATE,1,CASES
1977,37,ARKANSAS,AR,US,STATE,2,CASES
1977,38,ARKANSAS,AR,US,STATE,2,CASES
1977,40,ARKANSAS,AR,US,STATE,2,CASES
1977,41,ARKANSAS,AR,US,STATE,1,CASES
1977,42,ARKANSAS,AR,US,STATE,1,CASES
1977,43,ARKANSAS,AR,US,STATE,5,CASES
1977,44,ARKANSAS,AR,US,STATE,1,CASES
1977,45,ARKANSAS,AR,US,STATE,45,CASES
1977,46,ARKANSAS,AR,US,STATE,4,CASES
1977,47,ARKANSAS,AR,US,STATE,4,CASES
1977,48,ARKANSAS,AR,US,STATE,6,CASES
1977,49,ARKANSAS,AR,US,STATE,5,CASES
1977,50,ARKANSAS,AR,US,STATE,62,CASES
1977,51,ARKANSAS,AR,US,STATE,1,CASES
1977,52,ARKANSAS,AR,US,STATE,3,CASES
1978,1,ARKANSAS,AR,US,STATE,24,CASES
1978,2,ARKANSAS,AR,US,STATE,1,CASES
1978,3,ARKANSAS,AR,US,STATE,10,CASES
1978,4,ARKANSAS,AR,US,STATE,3,CASES
1978,6,ARKANSAS,AR,US,STATE,2,CASES
1978,7,ARKANSAS,AR,US,STATE,5,CASES
1978,8,ARKANSAS,AR,US,STATE,2,CASES
1978,9,ARKANSAS,AR,US,STATE,4,CASES
1978,10,ARKANSAS,AR,US,STATE,16,CASES
1978,11,ARKANSAS,AR,US,STATE,1,CASES
1978,12,ARKANSAS,AR,US,STATE,3,CASES
1978,14,ARKANSAS,AR,US,STATE,8,CASES
1978,15,ARKANSAS,AR,US,STATE,1,CASES
1978,16,ARKANSAS,AR,US,STATE,5,CASES
1978,17,ARKANSAS,AR,US,STATE,39,CASES
1978,18,ARKANSAS,AR,US,STATE,129,CASES
1978,19,ARKANSAS,AR,US,STATE,2,CASES
1978,20,ARKANSAS,AR,US,STATE,7,CASES
1978,21,ARKANSAS,AR,US,STATE,6,CASES
1978,22,ARKANSAS,AR,US,STATE,5,CASES
1978,24,ARKANSAS,AR,US,STATE,3,CASES
1978,26,ARKANSAS,AR,US,STATE,2,CASES
1978,28,ARKANSAS,AR,US,STATE,1,CASES
1978,29,ARKANSAS,AR,US,STATE,2,CASES
1978,31,ARKANSAS,AR,US,STATE,4,CASES
1978,47,ARKANSAS,AR,US,STATE,1,CASES
1978,49,ARKANSAS,AR,US,STATE,1,CASES
1979,3,ARKANSAS,AR,US,STATE,6,CASES
1979,4,ARKANSAS,AR,US,STATE,1,CASES
1979,5,ARKANSAS,AR,US,STATE,2,CASES
1979,6,ARKANSAS,AR,US,STATE,1,CASES
1979,8,ARKANSAS,AR,US,STATE,13,CASES
1979,9,ARKANSAS,AR,US,STATE,2,CASES
1979,10,ARKANSAS,AR,US,STATE,18,CASES
1979,11,ARKANSAS,AR,US,STATE,2,CASES
1979,12,ARKANSAS,AR,US,STATE,10,CASES
1979,13,ARKANSAS,AR,US,STATE,4,CASES
1979,14,ARKANSAS,AR,US,STATE,12,CASES
1979,15,ARKANSAS,AR,US,STATE,44,CASES
1979,16,ARKANSAS,AR,US,STATE,5,CASES
1979,17,ARKANSAS,AR,US,STATE,5,CASES
1979,19,ARKANSAS,AR,US,STATE,7,CASES
1979,20,ARKANSAS,AR,US,STATE,3,CASES
1979,21,ARKANSAS,AR,US,STATE,8,CASES
1979,22,ARKANSAS,AR,US,STATE,1,CASES
1979,23,ARKANSAS,AR,US,STATE,4,CASES
1979,24,ARKANSAS,AR,US,STATE,5,CASES
1979,25,ARKANSAS,AR,US,STATE,1,CASES
1979,26,ARKANSAS,AR,US,STATE,1,CASES
1979,27,ARKANSAS,AR,US,STATE,5,CASES
1979,36,ARKANSAS,AR,US,STATE,1,CASES
1979,45,ARKANSAS,AR,US,STATE,1,CASES
1979,48,ARKANSAS,AR,US,STATE,7,CASES
1979,49,ARKANSAS,AR,US,STATE,4,CASES
1979,50,ARKANSAS,AR,US,STATE,2,CASES
1980,3,ARKANSAS,AR,US,STATE,1,CASES
1980,4,ARKANSAS,AR,US,STATE,4,CASES
1980,5,ARKANSAS,AR,US,STATE,2,CASES
1980,7,ARKANSAS,AR,US,STATE,1,CASES
1980,8,ARKANSAS,AR,US,STATE,2,CASES
1980,10,ARKANSAS,AR,US,STATE,7,CASES
1980,12,ARKANSAS,AR,US,STATE,3,CASES
1980,14,ARKANSAS,AR,US,STATE,8,CASES
1980,15,ARKANSAS,AR,US,STATE,8,CASES
1980,16,ARKANSAS,AR,US,STATE,8,CASES
1980,17,ARKANSAS,AR,US,STATE,13,CASES
1980,18,ARKANSAS,AR,US,STATE,5,CASES
1980,19,ARKANSAS,AR,US,STATE,4,CASES
1980,20,ARKANSAS,AR,US,STATE,7,CASES
1980,21,ARKANSAS,AR,US,STATE,9,CASES
1980,22,ARKANSAS,AR,US,STATE,6,CASES
1980,23,ARKANSAS,AR,US,STATE,3,CASES
1980,24,ARKANSAS,AR,US,STATE,1,CASES
1980,25,ARKANSAS,AR,US,STATE,8,CASES
1980,27,ARKANSAS,AR,US,STATE,4,CASES
1980,28,ARKANSAS,AR,US,STATE,3,CASES
1980,29,ARKANSAS,AR,US,STATE,1,CASES
1980,32,ARKANSAS,AR,US,STATE,1,CASES
1980,33,ARKANSAS,AR,US,STATE,1,CASES
1980,35,ARKANSAS,AR,US,STATE,1,CASES
1980,39,ARKANSAS,AR,US,STATE,2,CASES
1980,47,ARKANSAS,AR,US,STATE,2,CASES
1980,51,ARKANSAS,AR,US,STATE,1,CASES
1981,1,ARKANSAS,AR,US,STATE,6,CASES
1981,2,ARKANSAS,AR,US,STATE,1,CASES
1981,3,ARKANSAS,AR,US,STATE,33,CASES
1981,4,ARKANSAS,AR,US,STATE,2,CASES
