year,week,loc,state,country,loc_type,number,event
1927,47,ARKANSAS,AR,US,STATE,6,CASES
1927,48,ARKANSAS,AR,US,STATE,63,CASES
1927,49,ARKANSAS,AR,US,STATE,22,CASES
1927,51,ARKANSAS,AR,US,STATE,16,CASES
1927,52,ARKANSAS,AR,US,STATE,27,CASES
1928,1,ARKANSAS,AR,US,STATE,76,CASES
1928,2,ARKANSAS,AR,US,STATE,183,CASES
1928,3,ARKANSAS,AR,US,STATE,206,CASES
1928,4,ARKANSAS,AR,US,STATE,254,CASES
1928,5,ARKANSAS,AR,US,STATE,384,CASES
1928,6,ARKANSAS,AR,US,STATE,491,CASES
1928,7,ARKANSAS,AR,US,STATE,605,CASES
1928,8,ARKANSAS,AR,US,STATE,673,CASES
1928,9,ARKANSAS,AR,US,STATE,626,CASES
1928,10,ARKANSAS,AR,US,STATE,539,CASES
1928,11,ARKANSAS,AR,US,STATE,385,CASES
1928,12,ARKANSAS,AR,US,STATE,506,CASES
1928,13,ARKANSAS,AR,US,STATE,556,CASES
1928,14,ARKANSAS,AR,US,STATE,244,CASES
1928,15,ARKANSAS,AR,US,STATE,426,CASES
1928,16,ARKANSAS,AR,US,STATE,247,CASES
1928,17,ARKANSAS,AR,US,STATE,393,CASES
1928,18,ARKANSAS,AR,US,STATE,449,CASES
1928,19,ARKANSAS,AR,US,STATE,351,CASES
1928,20,ARKANSAS,AR,US,STATE,306,CASES
1928,21,ARKANSAS,AR,US,STATE,178,CASES
1928,22,ARKANSAS,AR,US,STATE,167,CASES
1928,23,ARKANSAS,AR,US,STATE,181,CASES
1928,24,ARKANSAS,AR,US,STATE,102,CASES
1928,25,ARKANSAS,AR,US,STATE,34,CASES
1928,26,ARKANSAS,AR,US,STATE,61,CASES
1928,27,ARKANSAS,AR,US,STATE,17,CASES
1928,28,ARKANSAS,AR,US,STATE,10,CASES
1928,29,ARKANSAS,AR,US,STATE,39,CASES
1928,30,ARKANSAS,AR,US,STATE,17,CASES
1928,31,ARKANSAS,AR,US,STATE,5,CASES
1928,32,ARKANSAS,AR,US,STATE,4,CASES
1928,33,ARKANSAS,AR,US,STATE,1,CASES
1928,34,ARKANSAS,AR,US,STATE,5,CASES
1928,36,ARKANSAS,AR,US,STATE,10,CASES
1928,37,ARKANSAS,AR,US,STATE,2,CASES
1928,38,ARKANSAS,AR,US,STATE,2,CASES
1928,39,ARKANSAS,AR,US,STATE,9,CASES
1928,41,ARKANSAS,AR,US,STATE,2,CASES
1928,42,ARKANSAS,AR,US,STATE,1,CASES
1928,44,ARKANSAS,AR,US,STATE,1,CASES
1928,45,ARKANSAS,AR,US,STATE,2,CASES
1928,46,ARKANSAS,AR,US,STATE,1,CASES
1928,47,ARKANSAS,AR,US,STATE,6,CASES
1928,48,ARKANSAS,AR,US,STATE,38,CASES
1928,49,ARKANSAS,AR,US,STATE,5,CASES
1928,50,ARKANSAS,AR,US,STATE,16,CASES
1928,51,ARKANSAS,AR,US,STATE,76,CASES
1929,1,ARKANSAS,AR,US,STATE,22,CASES
1929,2,ARKANSAS,AR,US,STATE,12,CASES
1929,3,ARKANSAS,AR,US,STATE,29,CASES
1929,4,ARKANSAS,AR,US,STATE,30,CASES
1929,5,ARKANSAS,AR,US,STATE,18,CASES
1929,6,ARKANSAS,AR,US,STATE,7,CASES
1929,7,ARKANSAS,AR,US,STATE,88,CASES
1929,8,ARKANSAS,AR,US,STATE,57,CASES
1929,9,ARKANSAS,AR,US,STATE,132,CASES
1929,10,ARKANSAS,AR,US,STATE,96,CASES
1929,11,ARKANSAS,AR,US,STATE,199,CASES
1929,12,ARKANSAS,AR,US,STATE,56,CASES
1929,13,ARKANSAS,AR,US,STATE,95,CASES
1929,14,ARKANSAS,AR,US,STATE,135,CASES
1929,15,ARKANSAS,AR,US,STATE,25,CASES
1929,16,ARKANSAS,AR,US,STATE,69,CASES
1929,17,ARKANSAS,AR,US,STATE,27,CASES
1929,18,ARKANSAS,AR,US,STATE,18,CASES
1929,19,ARKANSAS,AR,US,STATE,10,CASES
1929,20,ARKANSAS,AR,US,STATE,16,CASES
1929,21,ARKANSAS,AR,US,STATE,12,CASES
1929,22,ARKANSAS,AR,US,STATE,4,CASES
1929,23,ARKANSAS,AR,US,STATE,9,CASES
1929,24,ARKANSAS,AR,US,STATE,2,CASES
1929,25,ARKANSAS,AR,US,STATE,1,CASES
1929,26,ARKANSAS,AR,US,STATE,5,CASES
1929,27,ARKANSAS,AR,US,STATE,10,CASES
1929,28,ARKANSAS,AR,US,STATE,6,CASES
1929,29,ARKANSAS,AR,US,STATE,2,CASES
1929,30,ARKANSAS,AR,US,STATE,18,CASES
1929,32,ARKANSAS,AR,US,STATE,1,CASES
1929,33,ARKANSAS,AR,US,STATE,1,CASES
1929,34,ARKANSAS,AR,US,STATE,1,CASES
1929,37,ARKANSAS,AR,US,STATE,1,CASES
1929,38,ARKANSAS,AR,US,STATE,4,CASES
1929,39,ARKANSAS,AR,US,STATE,4,CASES
1929,40,ARKANSAS,AR,US,STATE,2,CASES
1929,42,ARKANSAS,AR,US,STATE,1,CASES
1929,43,ARKANSAS,AR,US,STATE,1,CASES
1929,44,ARKANSAS,AR,US,STATE,1,CASES
1929,45,ARKANSAS,AR,US,STATE,1,CASES
1929,47,ARKANSAS,AR,US,STATE,3,CASES
1929,48,ARKANSAS,AR,US,STATE,1,CASES
1929,50,ARKANSAS,AR,US,STATE,2,CASES
1929,51,ARKANSAS,AR,US,STATE,4,CASES
1929,52,ARKANSAS,AR,US,STATE,7,CASES
1930,1,ARKANSAS,AR,US,STATE,196,CASES
1930,2,ARKANSAS,AR,US,STATE,2,CASES
1930,3,ARKANSAS,AR,US,STATE,9,CASES
1930,4,ARKANSAS,AR,US,STATE,3,CASES
1930,5,ARKANSAS,AR,US,STATE,7,CASES
1930,6,ARKANSAS,AR,US,STATE,6,CASES
1930,7,ARKANSAS,AR,US,STATE,5,CASES
1930,8,ARKANSAS,AR,US,STATE,9,CASES
1930,9,ARKANSAS,AR,US,STATE,15,CASES
1930,10,ARKANSAS,AR,US,STATE,8,CASES
1930,11,ARKANSAS,AR,US,STATE,23,CASES
1930,12,ARKANSAS,AR,US,STATE,17,CASES
1930,13,ARKANSAS,AR,US,STATE,25,CASES
1930,14,ARKANSAS,AR,US,STATE,25,CASES
1930,15,ARKANSAS,AR,US,STATE,61,CASES
1930,16,ARKANSAS,AR,US,STATE,72,CASES
1930,17,ARKANSAS,AR,US,STATE,68,CASES
1930,18,ARKANSAS,AR,US,STATE,119,CASES
1930,19,ARKANSAS,AR,US,STATE,63,CASES
1930,20,ARKANSAS,AR,US,STATE,52,CASES
1930,21,ARKANSAS,AR,US,STATE,69,CASES
1930,22,ARKANSAS,AR,US,STATE,23,CASES
1930,23,ARKANSAS,AR,US,STATE,31,CASES
