year,week,loc,state,country,loc_type,number,event
1966,6,ARKANSAS,AR,US,STATE,1,CASES
1966,14,ARKANSAS,AR,US,STATE,1,CASES
1966,18,ARKANSAS,AR,US,STATE,1,CASES
1966,23,ARKANSAS,AR,US,STATE,1,CASES
1966,26,ARKANSAS,AR,US,STATE,1,CASES
1966,40,ARKANSAS,AR,US,STATE,1,CASES
1966,48,ARKANSAS,AR,US,STATE,4,CASES
1967,1,ARKANSAS,AR,US,STATE,3,CASES
1967,2,ARKANSAS,AR,US,STATE,1,CASES
1967,6,ARKANSAS,AR,US,STATE,5,CASES
1967,9,ARKANSAS,AR,US,STATE,3,CASES
1967,11,ARKANSAS,AR,US,STATE,2,CASES
1967,12,ARKANSAS,AR,US,STATE,1,CASES
1967,45,ARKANSAS,AR,US,STATE,1,CASES
1967,48,ARKANSAS,AR,US,STATE,1,CASES
1968,14,ARKANSAS,AR,US,STATE,2,CASES
1968,27,ARKANSAS,AR,US,STATE,1,CASES
1968,29,ARKANSAS,AR,US,STATE,1,CASES
1969,16,ARKANSAS,AR,US,STATE,2,CASES
1969,17,ARKANSAS,AR,US,STATE,1,CASES
1969,25,ARKANSAS,AR,US,STATE,196,CASES
1970,10,ARKANSAS,AR,US,STATE,4,CASES
1970,15,ARKANSAS,AR,US,STATE,20,CASES
1970,17,ARKANSAS,AR,US,STATE,4,CASES
1970,18,ARKANSAS,AR,US,STATE,2,CASES
1970,20,ARKANSAS,AR,US,STATE,1,CASES
1970,23,ARKANSAS,AR,US,STATE,1,CASES
1970,26,ARKANSAS,AR,US,STATE,1,CASES
1970,29,ARKANSAS,AR,US,STATE,1,CASES
1970,42,ARKANSAS,AR,US,STATE,1,CASES
1970,49,ARKANSAS,AR,US,STATE,1,CASES
1970,52,ARKANSAS,AR,US,STATE,2,CASES
1971,2,ARKANSAS,AR,US,STATE,4,CASES
1971,5,ARKANSAS,AR,US,STATE,1,CASES
1971,7,ARKANSAS,AR,US,STATE,2,CASES
1971,8,ARKANSAS,AR,US,STATE,2,CASES
1971,9,ARKANSAS,AR,US,STATE,2,CASES
1971,10,ARKANSAS,AR,US,STATE,188,CASES
1971,11,ARKANSAS,AR,US,STATE,1,CASES
1971,12,ARKANSAS,AR,US,STATE,24,CASES
1971,13,ARKANSAS,AR,US,STATE,19,CASES
1971,14,ARKANSAS,AR,US,STATE,4,CASES
