year,week,loc,state,country,loc_type,number,event
1966,1,ARIZONA,AZ,US,STATE,29,CASES
1966,2,ARIZONA,AZ,US,STATE,53,CASES
1966,3,ARIZONA,AZ,US,STATE,35,CASES
1966,4,ARIZONA,AZ,US,STATE,37,CASES
1966,5,ARIZONA,AZ,US,STATE,162,CASES
1966,6,ARIZONA,AZ,US,STATE,127,CASES
1966,7,ARIZONA,AZ,US,STATE,101,CASES
1966,8,ARIZONA,AZ,US,STATE,83,CASES
1966,9,ARIZONA,AZ,US,STATE,114,CASES
1966,10,ARIZONA,AZ,US,STATE,161,CASES
1966,11,ARIZONA,AZ,US,STATE,150,CASES
1966,12,ARIZONA,AZ,US,STATE,135,CASES
1966,13,ARIZONA,AZ,US,STATE,82,CASES
1966,14,ARIZONA,AZ,US,STATE,118,CASES
1966,15,ARIZONA,AZ,US,STATE,130,CASES
1966,16,ARIZONA,AZ,US,STATE,91,CASES
1966,17,ARIZONA,AZ,US,STATE,75,CASES
1966,18,ARIZONA,AZ,US,STATE,147,CASES
1966,19,ARIZONA,AZ,US,STATE,79,CASES
1966,20,ARIZONA,AZ,US,STATE,105,CASES
1966,21,ARIZONA,AZ,US,STATE,50,CASES
1966,22,ARIZONA,AZ,US,STATE,62,CASES
1966,23,ARIZONA,AZ,US,STATE,87,CASES
1966,24,ARIZONA,AZ,US,STATE,62,CASES
1966,25,ARIZONA,AZ,US,STATE,16,CASES
1966,26,ARIZONA,AZ,US,STATE,36,CASES
1966,27,ARIZONA,AZ,US,STATE,17,CASES
1966,28,ARIZONA,AZ,US,STATE,20,CASES
1966,29,ARIZONA,AZ,US,STATE,22,CASES
1966,30,ARIZONA,AZ,US,STATE,15,CASES
1966,31,ARIZONA,AZ,US,STATE,18,CASES
1966,32,ARIZONA,AZ,US,STATE,13,CASES
1966,33,ARIZONA,AZ,US,STATE,9,CASES
1966,34,ARIZONA,AZ,US,STATE,4,CASES
1966,35,ARIZONA,AZ,US,STATE,6,CASES
1966,37,ARIZONA,AZ,US,STATE,4,CASES
1966,38,ARIZONA,AZ,US,STATE,4,CASES
1966,39,ARIZONA,AZ,US,STATE,5,CASES
1966,40,ARIZONA,AZ,US,STATE,2,CASES
1966,41,ARIZONA,AZ,US,STATE,9,CASES
1966,42,ARIZONA,AZ,US,STATE,6,CASES
1966,43,ARIZONA,AZ,US,STATE,10,CASES
1966,44,ARIZONA,AZ,US,STATE,5,CASES
1966,45,ARIZONA,AZ,US,STATE,26,CASES
1966,46,ARIZONA,AZ,US,STATE,3,CASES
1966,47,ARIZONA,AZ,US,STATE,5,CASES
1966,48,ARIZONA,AZ,US,STATE,9,CASES
1966,50,ARIZONA,AZ,US,STATE,18,CASES
1966,51,ARIZONA,AZ,US,STATE,2,CASES
1966,52,ARIZONA,AZ,US,STATE,15,CASES
1967,1,ARIZONA,AZ,US,STATE,6,CASES
1967,2,ARIZONA,AZ,US,STATE,14,CASES
1967,3,ARIZONA,AZ,US,STATE,17,CASES
1967,5,ARIZONA,AZ,US,STATE,22,CASES
1967,8,ARIZONA,AZ,US,STATE,18,CASES
1967,9,ARIZONA,AZ,US,STATE,8,CASES
1967,10,ARIZONA,AZ,US,STATE,86,CASES
1967,12,ARIZONA,AZ,US,STATE,44,CASES
1967,13,ARIZONA,AZ,US,STATE,26,CASES
1967,14,ARIZONA,AZ,US,STATE,28,CASES
1967,15,ARIZONA,AZ,US,STATE,24,CASES
1967,16,ARIZONA,AZ,US,STATE,59,CASES
1967,17,ARIZONA,AZ,US,STATE,69,CASES
1967,19,ARIZONA,AZ,US,STATE,67,CASES
1967,20,ARIZONA,AZ,US,STATE,38,CASES
1967,21,ARIZONA,AZ,US,STATE,58,CASES
1967,22,ARIZONA,AZ,US,STATE,44,CASES
1967,23,ARIZONA,AZ,US,STATE,57,CASES
1967,24,ARIZONA,AZ,US,STATE,44,CASES
1967,25,ARIZONA,AZ,US,STATE,50,CASES
1967,26,ARIZONA,AZ,US,STATE,33,CASES
1967,27,ARIZONA,AZ,US,STATE,33,CASES
1967,29,ARIZONA,AZ,US,STATE,18,CASES
1967,30,ARIZONA,AZ,US,STATE,8,CASES
1967,31,ARIZONA,AZ,US,STATE,3,CASES
1967,32,ARIZONA,AZ,US,STATE,2,CASES
1967,33,ARIZONA,AZ,US,STATE,2,CASES
1967,34,ARIZONA,AZ,US,STATE,1,CASES
1967,35,ARIZONA,AZ,US,STATE,6,CASES
1967,36,ARIZONA,AZ,US,STATE,4,CASES
1967,40,ARIZONA,AZ,US,STATE,5,CASES
1967,41,ARIZONA,AZ,US,STATE,4,CASES
1967,42,ARIZONA,AZ,US,STATE,5,CASES
1967,43,ARIZONA,AZ,US,STATE,4,CASES
1967,44,ARIZONA,AZ,US,STATE,13,CASES
1967,45,ARIZONA,AZ,US,STATE,6,CASES
1967,46,ARIZONA,AZ,US,STATE,6,CASES
1967,47,ARIZONA,AZ,US,STATE,3,CASES
1967,48,ARIZONA,AZ,US,STATE,3,CASES
1967,49,ARIZONA,AZ,US,STATE,15,CASES
1967,50,ARIZONA,AZ,US,STATE,15,CASES
1967,51,ARIZONA,AZ,US,STATE,1,CASES
1967,52,ARIZONA,AZ,US,STATE,7,CASES
1968,1,ARIZONA,AZ,US,STATE,1,CASES
1968,2,ARIZONA,AZ,US,STATE,10,CASES
1968,3,ARIZONA,AZ,US,STATE,13,CASES
1968,4,ARIZONA,AZ,US,STATE,2,CASES
1968,5,ARIZONA,AZ,US,STATE,4,CASES
1968,6,ARIZONA,AZ,US,STATE,10,CASES
1968,7,ARIZONA,AZ,US,STATE,31,CASES
1968,8,ARIZONA,AZ,US,STATE,6,CASES
1968,9,ARIZONA,AZ,US,STATE,45,CASES
1968,11,ARIZONA,AZ,US,STATE,31,CASES
1968,12,ARIZONA,AZ,US,STATE,18,CASES
1968,13,ARIZONA,AZ,US,STATE,21,CASES
1968,14,ARIZONA,AZ,US,STATE,17,CASES
1968,15,ARIZONA,AZ,US,STATE,24,CASES
1968,16,ARIZONA,AZ,US,STATE,12,CASES
1968,17,ARIZONA,AZ,US,STATE,16,CASES
1968,18,ARIZONA,AZ,US,STATE,27,CASES
1968,19,ARIZONA,AZ,US,STATE,23,CASES
1968,20,ARIZONA,AZ,US,STATE,40,CASES
1968,21,ARIZONA,AZ,US,STATE,29,CASES
1968,22,ARIZONA,AZ,US,STATE,23,CASES
1968,23,ARIZONA,AZ,US,STATE,23,CASES
1968,24,ARIZONA,AZ,US,STATE,26,CASES
1968,25,ARIZONA,AZ,US,STATE,16,CASES
1968,26,ARIZONA,AZ,US,STATE,13,CASES
1968,27,ARIZONA,AZ,US,STATE,10,CASES
1968,28,ARIZONA,AZ,US,STATE,20,CASES
1968,29,ARIZONA,AZ,US,STATE,14,CASES
1968,30,ARIZONA,AZ,US,STATE,10,CASES
1968,31,ARIZONA,AZ,US,STATE,7,CASES
1968,32,ARIZONA,AZ,US,STATE,14,CASES
1968,33,ARIZONA,AZ,US,STATE,8,CASES
1968,34,ARIZONA,AZ,US,STATE,8,CASES
1968,35,ARIZONA,AZ,US,STATE,8,CASES
1968,36,ARIZONA,AZ,US,STATE,9,CASES
1968,37,ARIZONA,AZ,US,STATE,21,CASES
1968,38,ARIZONA,AZ,US,STATE,1,CASES
1968,39,ARIZONA,AZ,US,STATE,7,CASES
1968,40,ARIZONA,AZ,US,STATE,12,CASES
1968,41,ARIZONA,AZ,US,STATE,7,CASES
1968,42,ARIZONA,AZ,US,STATE,3,CASES
1968,43,ARIZONA,AZ,US,STATE,12,CASES
1968,45,ARIZONA,AZ,US,STATE,7,CASES
1968,46,ARIZONA,AZ,US,STATE,12,CASES
1968,47,ARIZONA,AZ,US,STATE,5,CASES
1968,48,ARIZONA,AZ,US,STATE,3,CASES
1968,49,ARIZONA,AZ,US,STATE,8,CASES
1968,50,ARIZONA,AZ,US,STATE,4,CASES
1968,51,ARIZONA,AZ,US,STATE,4,CASES
1968,52,ARIZONA,AZ,US,STATE,5,CASES
1969,1,ARIZONA,AZ,US,STATE,7,CASES
1969,2,ARIZONA,AZ,US,STATE,19,CASES
1969,3,ARIZONA,AZ,US,STATE,9,CASES
1969,4,ARIZONA,AZ,US,STATE,21,CASES
1969,5,ARIZONA,AZ,US,STATE,18,CASES
1969,6,ARIZONA,AZ,US,STATE,24,CASES
1969,7,ARIZONA,AZ,US,STATE,29,CASES
1969,8,ARIZONA,AZ,US,STATE,28,CASES
1969,9,ARIZONA,AZ,US,STATE,9,CASES
1969,10,ARIZONA,AZ,US,STATE,8,CASES
1969,12,ARIZONA,AZ,US,STATE,9,CASES
1969,13,ARIZONA,AZ,US,STATE,11,CASES
1969,14,ARIZONA,AZ,US,STATE,29,CASES
1969,15,ARIZONA,AZ,US,STATE,23,CASES
1969,16,ARIZONA,AZ,US,STATE,47,CASES
1969,17,ARIZONA,AZ,US,STATE,32,CASES
1969,18,ARIZONA,AZ,US,STATE,30,CASES
1969,19,ARIZONA,AZ,US,STATE,30,CASES
1969,20,ARIZONA,AZ,US,STATE,25,CASES
1969,21,ARIZONA,AZ,US,STATE,31,CASES
1969,22,ARIZONA,AZ,US,STATE,37,CASES
1969,23,ARIZONA,AZ,US,STATE,30,CASES
1969,24,ARIZONA,AZ,US,STATE,30,CASES
1969,25,ARIZONA,AZ,US,STATE,10,CASES
1969,26,ARIZONA,AZ,US,STATE,12,CASES
1969,27,ARIZONA,AZ,US,STATE,15,CASES
1969,28,ARIZONA,AZ,US,STATE,15,CASES
1969,29,ARIZONA,AZ,US,STATE,27,CASES
1969,30,ARIZONA,AZ,US,STATE,27,CASES
1969,31,ARIZONA,AZ,US,STATE,4,CASES
1969,32,ARIZONA,AZ,US,STATE,11,CASES
1969,33,ARIZONA,AZ,US,STATE,20,CASES
1969,34,ARIZONA,AZ,US,STATE,4,CASES
1969,35,ARIZONA,AZ,US,STATE,1,CASES
