year,week,loc,state,country,loc_type,number,event
1927,47,CALIFORNIA,CA,US,STATE,37,CASES
1927,48,CALIFORNIA,CA,US,STATE,36,CASES
1927,49,CALIFORNIA,CA,US,STATE,53,CASES
1927,51,CALIFORNIA,CA,US,STATE,17,CASES
1927,52,CALIFORNIA,CA,US,STATE,31,CASES
1928,1,CALIFORNIA,CA,US,STATE,74,CASES
1928,2,CALIFORNIA,CA,US,STATE,96,CASES
1928,3,CALIFORNIA,CA,US,STATE,70,CASES
1928,4,CALIFORNIA,CA,US,STATE,100,CASES
1928,5,CALIFORNIA,CA,US,STATE,127,CASES
1928,6,CALIFORNIA,CA,US,STATE,149,CASES
1928,7,CALIFORNIA,CA,US,STATE,146,CASES
1928,8,CALIFORNIA,CA,US,STATE,151,CASES
1928,9,CALIFORNIA,CA,US,STATE,205,CASES
1928,10,CALIFORNIA,CA,US,STATE,284,CASES
1928,11,CALIFORNIA,CA,US,STATE,187,CASES
1928,12,CALIFORNIA,CA,US,STATE,234,CASES
1928,13,CALIFORNIA,CA,US,STATE,184,CASES
1928,14,CALIFORNIA,CA,US,STATE,125,CASES
1928,15,CALIFORNIA,CA,US,STATE,118,CASES
1928,16,CALIFORNIA,CA,US,STATE,159,CASES
1928,17,CALIFORNIA,CA,US,STATE,111,CASES
1928,18,CALIFORNIA,CA,US,STATE,120,CASES
1928,19,CALIFORNIA,CA,US,STATE,109,CASES
1928,20,CALIFORNIA,CA,US,STATE,120,CASES
1928,21,CALIFORNIA,CA,US,STATE,89,CASES
1928,22,CALIFORNIA,CA,US,STATE,90,CASES
1928,23,CALIFORNIA,CA,US,STATE,71,CASES
1928,24,CALIFORNIA,CA,US,STATE,49,CASES
1928,25,CALIFORNIA,CA,US,STATE,38,CASES
1928,26,CALIFORNIA,CA,US,STATE,38,CASES
1928,27,CALIFORNIA,CA,US,STATE,23,CASES
1928,28,CALIFORNIA,CA,US,STATE,20,CASES
1928,29,CALIFORNIA,CA,US,STATE,22,CASES
1928,30,CALIFORNIA,CA,US,STATE,19,CASES
1928,31,CALIFORNIA,CA,US,STATE,20,CASES
1928,32,CALIFORNIA,CA,US,STATE,11,CASES
1928,33,CALIFORNIA,CA,US,STATE,4,CASES
1928,34,CALIFORNIA,CA,US,STATE,11,CASES
1928,35,CALIFORNIA,CA,US,STATE,19,CASES
1928,36,CALIFORNIA,CA,US,STATE,12,CASES
1928,37,CALIFORNIA,CA,US,STATE,20,CASES
1928,38,CALIFORNIA,CA,US,STATE,13,CASES
1928,39,CALIFORNIA,CA,US,STATE,33,CASES
1928,41,CALIFORNIA,CA,US,STATE,11,CASES
1928,42,CALIFORNIA,CA,US,STATE,27,CASES
1928,43,CALIFORNIA,CA,US,STATE,14,CASES
1928,44,CALIFORNIA,CA,US,STATE,15,CASES
1928,45,CALIFORNIA,CA,US,STATE,16,CASES
1928,46,CALIFORNIA,CA,US,STATE,11,CASES
1928,47,CALIFORNIA,CA,US,STATE,20,CASES
1928,48,CALIFORNIA,CA,US,STATE,25,CASES
1928,49,CALIFORNIA,CA,US,STATE,21,CASES
1928,50,CALIFORNIA,CA,US,STATE,14,CASES
1928,51,CALIFORNIA,CA,US,STATE,18,CASES
1928,52,CALIFORNIA,CA,US,STATE,17,CASES
1929,1,CALIFORNIA,CA,US,STATE,22,CASES
1929,2,CALIFORNIA,CA,US,STATE,26,CASES
1929,3,CALIFORNIA,CA,US,STATE,32,CASES
1929,4,CALIFORNIA,CA,US,STATE,29,CASES
1929,5,CALIFORNIA,CA,US,STATE,87,CASES
1929,6,CALIFORNIA,CA,US,STATE,49,CASES
1929,7,CALIFORNIA,CA,US,STATE,58,CASES
1929,8,CALIFORNIA,CA,US,STATE,47,CASES
1929,9,CALIFORNIA,CA,US,STATE,40,CASES
1929,10,CALIFORNIA,CA,US,STATE,58,CASES
1929,11,CALIFORNIA,CA,US,STATE,59,CASES
1929,12,CALIFORNIA,CA,US,STATE,57,CASES
1929,13,CALIFORNIA,CA,US,STATE,61,CASES
1929,14,CALIFORNIA,CA,US,STATE,49,CASES
1929,15,CALIFORNIA,CA,US,STATE,54,CASES
1929,16,CALIFORNIA,CA,US,STATE,109,CASES
1929,17,CALIFORNIA,CA,US,STATE,88,CASES
1929,18,CALIFORNIA,CA,US,STATE,101,CASES
1929,19,CALIFORNIA,CA,US,STATE,121,CASES
1929,20,CALIFORNIA,CA,US,STATE,124,CASES
1929,21,CALIFORNIA,CA,US,STATE,129,CASES
1929,22,CALIFORNIA,CA,US,STATE,133,CASES
1929,23,CALIFORNIA,CA,US,STATE,112,CASES
1929,24,CALIFORNIA,CA,US,STATE,111,CASES
1929,25,CALIFORNIA,CA,US,STATE,152,CASES
1929,26,CALIFORNIA,CA,US,STATE,96,CASES
1929,27,CALIFORNIA,CA,US,STATE,73,CASES
1929,28,CALIFORNIA,CA,US,STATE,76,CASES
1929,29,CALIFORNIA,CA,US,STATE,39,CASES
1929,30,CALIFORNIA,CA,US,STATE,43,CASES
1929,31,CALIFORNIA,CA,US,STATE,34,CASES
1929,32,CALIFORNIA,CA,US,STATE,17,CASES
1929,33,CALIFORNIA,CA,US,STATE,28,CASES
1929,34,CALIFORNIA,CA,US,STATE,23,CASES
1929,35,CALIFORNIA,CA,US,STATE,23,CASES
1929,36,CALIFORNIA,CA,US,STATE,28,CASES
1929,37,CALIFORNIA,CA,US,STATE,25,CASES
1929,38,CALIFORNIA,CA,US,STATE,32,CASES
1929,39,CALIFORNIA,CA,US,STATE,23,CASES
1929,40,CALIFORNIA,CA,US,STATE,43,CASES
1929,41,CALIFORNIA,CA,US,STATE,41,CASES
1929,42,CALIFORNIA,CA,US,STATE,52,CASES
1929,43,CALIFORNIA,CA,US,STATE,40,CASES
1929,44,CALIFORNIA,CA,US,STATE,59,CASES
1929,45,CALIFORNIA,CA,US,STATE,65,CASES
1929,46,CALIFORNIA,CA,US,STATE,72,CASES
1929,47,CALIFORNIA,CA,US,STATE,134,CASES
1929,48,CALIFORNIA,CA,US,STATE,132,CASES
1929,49,CALIFORNIA,CA,US,STATE,184,CASES
1929,50,CALIFORNIA,CA,US,STATE,315,CASES
1929,51,CALIFORNIA,CA,US,STATE,216,CASES
1929,52,CALIFORNIA,CA,US,STATE,203,CASES
1930,1,CALIFORNIA,CA,US,STATE,178,CASES
1930,2,CALIFORNIA,CA,US,STATE,442,CASES
1930,3,CALIFORNIA,CA,US,STATE,490,CASES
1930,4,CALIFORNIA,CA,US,STATE,628,CASES
1930,5,CALIFORNIA,CA,US,STATE,864,CASES
1930,6,CALIFORNIA,CA,US,STATE,943,CASES
1930,7,CALIFORNIA,CA,US,STATE,954,CASES
1930,8,CALIFORNIA,CA,US,STATE,1151,CASES
1930,9,CALIFORNIA,CA,US,STATE,1433,CASES
1930,10,CALIFORNIA,CA,US,STATE,1514,CASES
1930,11,CALIFORNIA,CA,US,STATE,1805,CASES
1930,12,CALIFORNIA,CA,US,STATE,1901,CASES
1930,13,CALIFORNIA,CA,US,STATE,2173,CASES
1930,14,CALIFORNIA,CA,US,STATE,2216,CASES
1930,15,CALIFORNIA,CA,US,STATE,2524,CASES
1930,16,CALIFORNIA,CA,US,STATE,1766,CASES
1930,17,CALIFORNIA,CA,US,STATE,2399,CASES
1930,18,CALIFORNIA,CA,US,STATE,2053,CASES
1930,19,CALIFORNIA,CA,US,STATE,2114,CASES
1930,20,CALIFORNIA,CA,US,STATE,2033,CASES
1930,21,CALIFORNIA,CA,US,STATE,2221,CASES
1930,22,CALIFORNIA,CA,US,STATE,1977,CASES
1930,23,CALIFORNIA,CA,US,STATE,1934,CASES
1930,24,CALIFORNIA,CA,US,STATE,1470,CASES
1930,25,CALIFORNIA,CA,US,STATE,1186,CASES
1930,26,CALIFORNIA,CA,US,STATE,924,CASES
1930,27,CALIFORNIA,CA,US,STATE,665,CASES
1930,28,CALIFORNIA,CA,US,STATE,552,CASES
1930,29,CALIFORNIA,CA,US,STATE,326,CASES
1930,30,CALIFORNIA,CA,US,STATE,181,CASES
1930,31,CALIFORNIA,CA,US,STATE,158,CASES
1930,32,CALIFORNIA,CA,US,STATE,84,CASES
1930,33,CALIFORNIA,CA,US,STATE,85,CASES
1930,34,CALIFORNIA,CA,US,STATE,59,CASES
1930,35,CALIFORNIA,CA,US,STATE,44,CASES
1930,36,CALIFORNIA,CA,US,STATE,40,CASES
1930,37,CALIFORNIA,CA,US,STATE,47,CASES
1930,38,CALIFORNIA,CA,US,STATE,41,CASES
1930,39,CALIFORNIA,CA,US,STATE,56,CASES
1930,40,CALIFORNIA,CA,US,STATE,67,CASES
1930,41,CALIFORNIA,CA,US,STATE,62,CASES
1930,42,CALIFORNIA,CA,US,STATE,123,CASES
1930,43,CALIFORNIA,CA,US,STATE,86,CASES
1930,44,CALIFORNIA,CA,US,STATE,131,CASES
1930,45,CALIFORNIA,CA,US,STATE,109,CASES
1930,46,CALIFORNIA,CA,US,STATE,94,CASES
1930,47,CALIFORNIA,CA,US,STATE,117,CASES
1930,48,CALIFORNIA,CA,US,STATE,188,CASES
1930,49,CALIFORNIA,CA,US,STATE,255,CASES
1930,50,CALIFORNIA,CA,US,STATE,221,CASES
1930,51,CALIFORNIA,CA,US,STATE,223,CASES
1930,52,CALIFORNIA,CA,US,STATE,109,CASES
1930,53,CALIFORNIA,CA,US,STATE,169,CASES
1931,1,CALIFORNIA,CA,US,STATE,272,CASES
1931,2,CALIFORNIA,CA,US,STATE,363,CASES
1931,3,CALIFORNIA,CA,US,STATE,546,CASES
1931,4,CALIFORNIA,CA,US,STATE,509,CASES
