year,week,loc,state,country,loc_type,number,event
1972,3,COLORADO,CO,US,STATE,2,CASES
1972,4,COLORADO,CO,US,STATE,35,CASES
1972,5,COLORADO,CO,US,STATE,27,CASES
1972,6,COLORADO,CO,US,STATE,51,CASES
1972,7,COLORADO,CO,US,STATE,21,CASES
1972,8,COLORADO,CO,US,STATE,32,CASES
1972,9,COLORADO,CO,US,STATE,10,CASES
1972,10,COLORADO,CO,US,STATE,41,CASES
1972,11,COLORADO,CO,US,STATE,21,CASES
1972,12,COLORADO,CO,US,STATE,68,CASES
1972,13,COLORADO,CO,US,STATE,25,CASES
1972,14,COLORADO,CO,US,STATE,29,CASES
1972,15,COLORADO,CO,US,STATE,60,CASES
1972,16,COLORADO,CO,US,STATE,21,CASES
1972,17,COLORADO,CO,US,STATE,32,CASES
1972,18,COLORADO,CO,US,STATE,38,CASES
1972,19,COLORADO,CO,US,STATE,42,CASES
1972,20,COLORADO,CO,US,STATE,28,CASES
1972,21,COLORADO,CO,US,STATE,66,CASES
1972,23,COLORADO,CO,US,STATE,17,CASES
1972,24,COLORADO,CO,US,STATE,34,CASES
1972,25,COLORADO,CO,US,STATE,14,CASES
1972,27,COLORADO,CO,US,STATE,8,CASES
1972,29,COLORADO,CO,US,STATE,31,CASES
1972,30,COLORADO,CO,US,STATE,7,CASES
1972,32,COLORADO,CO,US,STATE,4,CASES
1972,33,COLORADO,CO,US,STATE,3,CASES
1972,36,COLORADO,CO,US,STATE,5,CASES
1972,37,COLORADO,CO,US,STATE,6,CASES
1972,38,COLORADO,CO,US,STATE,5,CASES
1972,39,COLORADO,CO,US,STATE,8,CASES
1972,40,COLORADO,CO,US,STATE,18,CASES
1972,41,COLORADO,CO,US,STATE,13,CASES
1972,42,COLORADO,CO,US,STATE,5,CASES
1972,43,COLORADO,CO,US,STATE,34,CASES
1972,44,COLORADO,CO,US,STATE,22,CASES
1972,45,COLORADO,CO,US,STATE,19,CASES
1972,46,COLORADO,CO,US,STATE,61,CASES
1972,47,COLORADO,CO,US,STATE,19,CASES
1972,48,COLORADO,CO,US,STATE,42,CASES
1972,49,COLORADO,CO,US,STATE,26,CASES
1972,50,COLORADO,CO,US,STATE,22,CASES
1972,51,COLORADO,CO,US,STATE,58,CASES
1973,1,COLORADO,CO,US,STATE,57,CASES
1973,3,COLORADO,CO,US,STATE,50,CASES
1973,4,COLORADO,CO,US,STATE,38,CASES
1973,5,COLORADO,CO,US,STATE,20,CASES
