year,week,loc,state,country,loc_type,number,event
1937,35,COLORADO,CO,US,STATE,0,CASES
1937,43,COLORADO,CO,US,STATE,4,CASES
1937,44,COLORADO,CO,US,STATE,12,CASES
1937,45,COLORADO,CO,US,STATE,3,CASES
1937,46,COLORADO,CO,US,STATE,7,CASES
1937,47,COLORADO,CO,US,STATE,9,CASES
1937,48,COLORADO,CO,US,STATE,7,CASES
1937,49,COLORADO,CO,US,STATE,9,CASES
1937,50,COLORADO,CO,US,STATE,11,CASES
1937,51,COLORADO,CO,US,STATE,8,CASES
1937,52,COLORADO,CO,US,STATE,4,CASES
1938,1,COLORADO,CO,US,STATE,10,CASES
1938,2,COLORADO,CO,US,STATE,5,CASES
1938,3,COLORADO,CO,US,STATE,7,CASES
1938,4,COLORADO,CO,US,STATE,12,CASES
1938,5,COLORADO,CO,US,STATE,13,CASES
1938,6,COLORADO,CO,US,STATE,12,CASES
1938,7,COLORADO,CO,US,STATE,8,CASES
1938,8,COLORADO,CO,US,STATE,15,CASES
1938,9,COLORADO,CO,US,STATE,8,CASES
1938,10,COLORADO,CO,US,STATE,9,CASES
1938,11,COLORADO,CO,US,STATE,13,CASES
1938,12,COLORADO,CO,US,STATE,24,CASES
1938,13,COLORADO,CO,US,STATE,27,CASES
1938,14,COLORADO,CO,US,STATE,12,CASES
1938,15,COLORADO,CO,US,STATE,35,CASES
1938,16,COLORADO,CO,US,STATE,46,CASES
1938,17,COLORADO,CO,US,STATE,47,CASES
1938,18,COLORADO,CO,US,STATE,40,CASES
1938,19,COLORADO,CO,US,STATE,40,CASES
1938,20,COLORADO,CO,US,STATE,38,CASES
1938,21,COLORADO,CO,US,STATE,28,CASES
1938,22,COLORADO,CO,US,STATE,21,CASES
1938,23,COLORADO,CO,US,STATE,32,CASES
1938,24,COLORADO,CO,US,STATE,29,CASES
1938,25,COLORADO,CO,US,STATE,112,CASES
1938,26,COLORADO,CO,US,STATE,156,CASES
1938,27,COLORADO,CO,US,STATE,131,CASES
1938,28,COLORADO,CO,US,STATE,243,CASES
1938,29,COLORADO,CO,US,STATE,234,CASES
1938,30,COLORADO,CO,US,STATE,263,CASES
1938,31,COLORADO,CO,US,STATE,219,CASES
