year,week,loc,state,country,loc_type,number,event
1937,43,CONNECTICUT,CT,US,STATE,15,CASES
1937,44,CONNECTICUT,CT,US,STATE,29,CASES
1937,45,CONNECTICUT,CT,US,STATE,16,CASES
1937,46,CONNECTICUT,CT,US,STATE,60,CASES
1937,47,CONNECTICUT,CT,US,STATE,31,CASES
1937,48,CONNECTICUT,CT,US,STATE,37,CASES
1937,49,CONNECTICUT,CT,US,STATE,78,CASES
1937,50,CONNECTICUT,CT,US,STATE,43,CASES
1937,51,CONNECTICUT,CT,US,STATE,20,CASES
1938,1,CONNECTICUT,CT,US,STATE,49,CASES
1938,2,CONNECTICUT,CT,US,STATE,39,CASES
1938,3,CONNECTICUT,CT,US,STATE,42,CASES
1938,4,CONNECTICUT,CT,US,STATE,39,CASES
1938,5,CONNECTICUT,CT,US,STATE,67,CASES
1938,6,CONNECTICUT,CT,US,STATE,48,CASES
1938,7,CONNECTICUT,CT,US,STATE,45,CASES
1938,8,CONNECTICUT,CT,US,STATE,49,CASES
1938,9,CONNECTICUT,CT,US,STATE,46,CASES
1938,10,CONNECTICUT,CT,US,STATE,76,CASES
1938,11,CONNECTICUT,CT,US,STATE,61,CASES
1938,12,CONNECTICUT,CT,US,STATE,75,CASES
1938,13,CONNECTICUT,CT,US,STATE,49,CASES
1938,14,CONNECTICUT,CT,US,STATE,64,CASES
1938,15,CONNECTICUT,CT,US,STATE,46,CASES
1938,16,CONNECTICUT,CT,US,STATE,57,CASES
1938,17,CONNECTICUT,CT,US,STATE,69,CASES
1938,18,CONNECTICUT,CT,US,STATE,91,CASES
1938,19,CONNECTICUT,CT,US,STATE,155,CASES
1938,20,CONNECTICUT,CT,US,STATE,97,CASES
1938,21,CONNECTICUT,CT,US,STATE,143,CASES
1938,22,CONNECTICUT,CT,US,STATE,76,CASES
1938,23,CONNECTICUT,CT,US,STATE,123,CASES
1938,24,CONNECTICUT,CT,US,STATE,84,CASES
1938,25,CONNECTICUT,CT,US,STATE,288,CASES
1938,26,CONNECTICUT,CT,US,STATE,302,CASES
1938,27,CONNECTICUT,CT,US,STATE,237,CASES
1938,28,CONNECTICUT,CT,US,STATE,192,CASES
1938,29,CONNECTICUT,CT,US,STATE,219,CASES
1938,30,CONNECTICUT,CT,US,STATE,216,CASES
1938,31,CONNECTICUT,CT,US,STATE,174,CASES
1938,32,CONNECTICUT,CT,US,STATE,222,CASES
1938,33,CONNECTICUT,CT,US,STATE,126,CASES
1938,34,CONNECTICUT,CT,US,STATE,201,CASES
1938,35,CONNECTICUT,CT,US,STATE,84,CASES
1938,36,CONNECTICUT,CT,US,STATE,156,CASES
1938,37,CONNECTICUT,CT,US,STATE,150,CASES
1938,38,CONNECTICUT,CT,US,STATE,54,CASES
1938,39,CONNECTICUT,CT,US,STATE,37,CASES
1938,40,CONNECTICUT,CT,US,STATE,132,CASES
1938,41,CONNECTICUT,CT,US,STATE,41,CASES
1938,42,CONNECTICUT,CT,US,STATE,288,CASES
1938,43,CONNECTICUT,CT,US,STATE,15,CASES
1938,44,CONNECTICUT,CT,US,STATE,147,CASES
1938,45,CONNECTICUT,CT,US,STATE,74,CASES
1938,46,CONNECTICUT,CT,US,STATE,195,CASES
1938,47,CONNECTICUT,CT,US,STATE,234,CASES
1938,48,CONNECTICUT,CT,US,STATE,231,CASES
1938,49,CONNECTICUT,CT,US,STATE,317,CASES
1938,50,CONNECTICUT,CT,US,STATE,258,CASES
1938,51,CONNECTICUT,CT,US,STATE,54,CASES
1938,52,CONNECTICUT,CT,US,STATE,43,CASES
1939,1,CONNECTICUT,CT,US,STATE,279,CASES
1939,2,CONNECTICUT,CT,US,STATE,336,CASES
1939,3,CONNECTICUT,CT,US,STATE,276,CASES
1939,4,CONNECTICUT,CT,US,STATE,424,CASES
1939,5,CONNECTICUT,CT,US,STATE,84,CASES
1939,6,CONNECTICUT,CT,US,STATE,76,CASES
1939,7,CONNECTICUT,CT,US,STATE,91,CASES
1939,8,CONNECTICUT,CT,US,STATE,65,CASES
1939,9,CONNECTICUT,CT,US,STATE,77,CASES
1939,10,CONNECTICUT,CT,US,STATE,89,CASES
1939,11,CONNECTICUT,CT,US,STATE,116,CASES
1939,12,CONNECTICUT,CT,US,STATE,106,CASES
1939,13,CONNECTICUT,CT,US,STATE,83,CASES
1939,14,CONNECTICUT,CT,US,STATE,85,CASES
1939,15,CONNECTICUT,CT,US,STATE,111,CASES
1939,16,CONNECTICUT,CT,US,STATE,217,CASES
1939,17,CONNECTICUT,CT,US,STATE,208,CASES
1939,18,CONNECTICUT,CT,US,STATE,46,CASES
1939,19,CONNECTICUT,CT,US,STATE,297,CASES
1939,20,CONNECTICUT,CT,US,STATE,122,CASES
1939,21,CONNECTICUT,CT,US,STATE,81,CASES
1939,22,CONNECTICUT,CT,US,STATE,45,CASES
1939,23,CONNECTICUT,CT,US,STATE,101,CASES
1939,24,CONNECTICUT,CT,US,STATE,202,CASES
1939,25,CONNECTICUT,CT,US,STATE,54,CASES
1939,26,CONNECTICUT,CT,US,STATE,73,CASES
1939,27,CONNECTICUT,CT,US,STATE,113,CASES
1939,28,CONNECTICUT,CT,US,STATE,53,CASES
1939,29,CONNECTICUT,CT,US,STATE,51,CASES
1939,30,CONNECTICUT,CT,US,STATE,62,CASES
1939,31,CONNECTICUT,CT,US,STATE,58,CASES
1939,32,CONNECTICUT,CT,US,STATE,169,CASES
1939,33,CONNECTICUT,CT,US,STATE,48,CASES
1939,34,CONNECTICUT,CT,US,STATE,75,CASES
1939,35,CONNECTICUT,CT,US,STATE,66,CASES
1939,36,CONNECTICUT,CT,US,STATE,187,CASES
1939,37,CONNECTICUT,CT,US,STATE,69,CASES
1939,38,CONNECTICUT,CT,US,STATE,190,CASES
1939,39,CONNECTICUT,CT,US,STATE,163,CASES
1939,40,CONNECTICUT,CT,US,STATE,71,CASES
1939,41,CONNECTICUT,CT,US,STATE,205,CASES
1939,42,CONNECTICUT,CT,US,STATE,55,CASES
1939,43,CONNECTICUT,CT,US,STATE,160,CASES
1939,44,CONNECTICUT,CT,US,STATE,73,CASES
1939,45,CONNECTICUT,CT,US,STATE,72,CASES
1939,46,CONNECTICUT,CT,US,STATE,214,CASES
1939,47,CONNECTICUT,CT,US,STATE,77,CASES
1939,48,CONNECTICUT,CT,US,STATE,202,CASES
1939,49,CONNECTICUT,CT,US,STATE,291,CASES
1939,50,CONNECTICUT,CT,US,STATE,267,CASES
1939,51,CONNECTICUT,CT,US,STATE,67,CASES
1939,52,CONNECTICUT,CT,US,STATE,131,CASES
1940,2,CONNECTICUT,CT,US,STATE,87,CASES
1940,3,CONNECTICUT,CT,US,STATE,72,CASES
1940,4,CONNECTICUT,CT,US,STATE,78,CASES
1940,6,CONNECTICUT,CT,US,STATE,64,CASES
1940,7,CONNECTICUT,CT,US,STATE,45,CASES
1940,8,CONNECTICUT,CT,US,STATE,27,CASES
1940,9,CONNECTICUT,CT,US,STATE,63,CASES
1940,10,CONNECTICUT,CT,US,STATE,20,CASES
1940,11,CONNECTICUT,CT,US,STATE,29,CASES
1940,12,CONNECTICUT,CT,US,STATE,23,CASES
1940,13,CONNECTICUT,CT,US,STATE,25,CASES
1940,14,CONNECTICUT,CT,US,STATE,26,CASES
1940,15,CONNECTICUT,CT,US,STATE,24,CASES
1940,16,CONNECTICUT,CT,US,STATE,25,CASES
1940,17,CONNECTICUT,CT,US,STATE,32,CASES
1940,18,CONNECTICUT,CT,US,STATE,11,CASES
1940,19,CONNECTICUT,CT,US,STATE,27,CASES
1940,20,CONNECTICUT,CT,US,STATE,33,CASES
1940,21,CONNECTICUT,CT,US,STATE,37,CASES
1940,22,CONNECTICUT,CT,US,STATE,33,CASES
1940,23,CONNECTICUT,CT,US,STATE,49,CASES
1940,24,CONNECTICUT,CT,US,STATE,44,CASES
1940,25,CONNECTICUT,CT,US,STATE,54,CASES
1940,26,CONNECTICUT,CT,US,STATE,29,CASES
1940,27,CONNECTICUT,CT,US,STATE,26,CASES
1940,28,CONNECTICUT,CT,US,STATE,63,CASES
1940,29,CONNECTICUT,CT,US,STATE,45,CASES
1940,30,CONNECTICUT,CT,US,STATE,63,CASES
1940,31,CONNECTICUT,CT,US,STATE,46,CASES
1940,32,CONNECTICUT,CT,US,STATE,25,CASES
1940,33,CONNECTICUT,CT,US,STATE,32,CASES
1940,34,CONNECTICUT,CT,US,STATE,38,CASES
1940,35,CONNECTICUT,CT,US,STATE,20,CASES
1940,36,CONNECTICUT,CT,US,STATE,44,CASES
1940,37,CONNECTICUT,CT,US,STATE,25,CASES
1940,38,CONNECTICUT,CT,US,STATE,47,CASES
1940,39,CONNECTICUT,CT,US,STATE,49,CASES
1940,40,CONNECTICUT,CT,US,STATE,64,CASES
1940,41,CONNECTICUT,CT,US,STATE,65,CASES
1940,42,CONNECTICUT,CT,US,STATE,88,CASES
1940,43,CONNECTICUT,CT,US,STATE,81,CASES
1940,44,CONNECTICUT,CT,US,STATE,86,CASES
1940,45,CONNECTICUT,CT,US,STATE,94,CASES
1940,46,CONNECTICUT,CT,US,STATE,80,CASES
1940,47,CONNECTICUT,CT,US,STATE,115,CASES
1940,48,CONNECTICUT,CT,US,STATE,91,CASES
1940,49,CONNECTICUT,CT,US,STATE,61,CASES
1940,50,CONNECTICUT,CT,US,STATE,127,CASES
1940,51,CONNECTICUT,CT,US,STATE,81,CASES
1940,52,CONNECTICUT,CT,US,STATE,35,CASES
1941,1,CONNECTICUT,CT,US,STATE,71,CASES
1941,2,CONNECTICUT,CT,US,STATE,108,CASES
1941,3,CONNECTICUT,CT,US,STATE,75,CASES
1941,4,CONNECTICUT,CT,US,STATE,89,CASES
1941,5,CONNECTICUT,CT,US,STATE,59,CASES
1941,6,CONNECTICUT,CT,US,STATE,52,CASES
1941,7,CONNECTICUT,CT,US,STATE,56,CASES
1941,9,CONNECTICUT,CT,US,STATE,45,CASES
1941,10,CONNECTICUT,CT,US,STATE,68,CASES
1941,11,CONNECTICUT,CT,US,STATE,66,CASES
1941,12,CONNECTICUT,CT,US,STATE,59,CASES
1941,13,CONNECTICUT,CT,US,STATE,67,CASES
1941,14,CONNECTICUT,CT,US,STATE,72,CASES
1941,15,CONNECTICUT,CT,US,STATE,40,CASES
1941,16,CONNECTICUT,CT,US,STATE,44,CASES
1941,17,CONNECTICUT,CT,US,STATE,73,CASES
1941,18,CONNECTICUT,CT,US,STATE,73,CASES
1941,19,CONNECTICUT,CT,US,STATE,51,CASES
1941,20,CONNECTICUT,CT,US,STATE,93,CASES
1941,21,CONNECTICUT,CT,US,STATE,66,CASES
1941,22,CONNECTICUT,CT,US,STATE,47,CASES
1941,23,CONNECTICUT,CT,US,STATE,58,CASES
1941,24,CONNECTICUT,CT,US,STATE,81,CASES
1941,25,CONNECTICUT,CT,US,STATE,49,CASES
1941,26,CONNECTICUT,CT,US,STATE,47,CASES
1941,27,CONNECTICUT,CT,US,STATE,42,CASES
1941,28,CONNECTICUT,CT,US,STATE,21,CASES
1941,29,CONNECTICUT,CT,US,STATE,38,CASES
1941,30,CONNECTICUT,CT,US,STATE,57,CASES
1941,31,CONNECTICUT,CT,US,STATE,49,CASES
1941,32,CONNECTICUT,CT,US,STATE,49,CASES
1941,33,CONNECTICUT,CT,US,STATE,20,CASES
1941,34,CONNECTICUT,CT,US,STATE,44,CASES
1941,35,CONNECTICUT,CT,US,STATE,38,CASES
1941,36,CONNECTICUT,CT,US,STATE,26,CASES
1941,37,CONNECTICUT,CT,US,STATE,41,CASES
1941,38,CONNECTICUT,CT,US,STATE,34,CASES
1941,39,CONNECTICUT,CT,US,STATE,31,CASES
1941,40,CONNECTICUT,CT,US,STATE,47,CASES
1941,41,CONNECTICUT,CT,US,STATE,37,CASES
1941,42,CONNECTICUT,CT,US,STATE,33,CASES
1941,43,CONNECTICUT,CT,US,STATE,49,CASES
1941,44,CONNECTICUT,CT,US,STATE,84,CASES
1941,45,CONNECTICUT,CT,US,STATE,66,CASES
1941,46,CONNECTICUT,CT,US,STATE,54,CASES
1941,47,CONNECTICUT,CT,US,STATE,73,CASES
1941,48,CONNECTICUT,CT,US,STATE,64,CASES
1941,49,CONNECTICUT,CT,US,STATE,58,CASES
1941,50,CONNECTICUT,CT,US,STATE,44,CASES
1941,51,CONNECTICUT,CT,US,STATE,43,CASES
1941,52,CONNECTICUT,CT,US,STATE,38,CASES
1941,53,CONNECTICUT,CT,US,STATE,47,CASES
1942,1,CONNECTICUT,CT,US,STATE,78,CASES
1942,2,CONNECTICUT,CT,US,STATE,150,CASES
1942,3,CONNECTICUT,CT,US,STATE,135,CASES
1942,4,CONNECTICUT,CT,US,STATE,132,CASES
1942,5,CONNECTICUT,CT,US,STATE,122,CASES
1942,6,CONNECTICUT,CT,US,STATE,113,CASES
1942,7,CONNECTICUT,CT,US,STATE,82,CASES
1942,8,CONNECTICUT,CT,US,STATE,60,CASES
1942,9,CONNECTICUT,CT,US,STATE,122,CASES
1942,10,CONNECTICUT,CT,US,STATE,82,CASES
1942,11,CONNECTICUT,CT,US,STATE,86,CASES
1942,12,CONNECTICUT,CT,US,STATE,72,CASES
1942,14,CONNECTICUT,CT,US,STATE,89,CASES
