year,week,loc,state,country,loc_type,number,event
1927,47,CONNECTICUT,CT,US,STATE,36,CASES
1927,48,CONNECTICUT,CT,US,STATE,29,CASES
1927,49,CONNECTICUT,CT,US,STATE,47,CASES
1927,51,CONNECTICUT,CT,US,STATE,35,CASES
1927,52,CONNECTICUT,CT,US,STATE,55,CASES
1928,1,CONNECTICUT,CT,US,STATE,71,CASES
1928,2,CONNECTICUT,CT,US,STATE,142,CASES
1928,3,CONNECTICUT,CT,US,STATE,139,CASES
1928,4,CONNECTICUT,CT,US,STATE,164,CASES
1928,5,CONNECTICUT,CT,US,STATE,265,CASES
1928,6,CONNECTICUT,CT,US,STATE,280,CASES
1928,7,CONNECTICUT,CT,US,STATE,318,CASES
1928,8,CONNECTICUT,CT,US,STATE,358,CASES
1928,9,CONNECTICUT,CT,US,STATE,358,CASES
1928,10,CONNECTICUT,CT,US,STATE,377,CASES
1928,11,CONNECTICUT,CT,US,STATE,398,CASES
1928,12,CONNECTICUT,CT,US,STATE,301,CASES
1928,13,CONNECTICUT,CT,US,STATE,317,CASES
1928,14,CONNECTICUT,CT,US,STATE,371,CASES
1928,15,CONNECTICUT,CT,US,STATE,369,CASES
1928,16,CONNECTICUT,CT,US,STATE,363,CASES
1928,17,CONNECTICUT,CT,US,STATE,354,CASES
1928,18,CONNECTICUT,CT,US,STATE,379,CASES
1928,19,CONNECTICUT,CT,US,STATE,381,CASES
1928,20,CONNECTICUT,CT,US,STATE,279,CASES
1928,21,CONNECTICUT,CT,US,STATE,354,CASES
1928,22,CONNECTICUT,CT,US,STATE,351,CASES
1928,23,CONNECTICUT,CT,US,STATE,340,CASES
1928,24,CONNECTICUT,CT,US,STATE,289,CASES
1928,25,CONNECTICUT,CT,US,STATE,293,CASES
1928,26,CONNECTICUT,CT,US,STATE,247,CASES
1928,27,CONNECTICUT,CT,US,STATE,294,CASES
1928,28,CONNECTICUT,CT,US,STATE,192,CASES
1928,29,CONNECTICUT,CT,US,STATE,148,CASES
1928,30,CONNECTICUT,CT,US,STATE,109,CASES
1928,31,CONNECTICUT,CT,US,STATE,67,CASES
1928,32,CONNECTICUT,CT,US,STATE,39,CASES
1928,33,CONNECTICUT,CT,US,STATE,19,CASES
1928,34,CONNECTICUT,CT,US,STATE,11,CASES
1928,35,CONNECTICUT,CT,US,STATE,13,CASES
1928,36,CONNECTICUT,CT,US,STATE,13,CASES
1928,37,CONNECTICUT,CT,US,STATE,12,CASES
1928,38,CONNECTICUT,CT,US,STATE,4,CASES
1928,39,CONNECTICUT,CT,US,STATE,11,CASES
1928,41,CONNECTICUT,CT,US,STATE,27,CASES
1928,42,CONNECTICUT,CT,US,STATE,35,CASES
1928,43,CONNECTICUT,CT,US,STATE,48,CASES
1928,44,CONNECTICUT,CT,US,STATE,42,CASES
1928,45,CONNECTICUT,CT,US,STATE,25,CASES
1928,46,CONNECTICUT,CT,US,STATE,115,CASES
1928,47,CONNECTICUT,CT,US,STATE,93,CASES
1928,48,CONNECTICUT,CT,US,STATE,80,CASES
