year,week,loc,state,country,loc_type,number,event
1909,13,DISTRICT OF COLUMBIA,DC,US,STATE,12,CASES
1928,4,DISTRICT OF COLUMBIA,DC,US,STATE,20,CASES
1928,5,DISTRICT OF COLUMBIA,DC,US,STATE,22,CASES
1928,6,DISTRICT OF COLUMBIA,DC,US,STATE,36,CASES
1928,7,DISTRICT OF COLUMBIA,DC,US,STATE,61,CASES
1928,9,DISTRICT OF COLUMBIA,DC,US,STATE,113,CASES
1928,12,DISTRICT OF COLUMBIA,DC,US,STATE,182,CASES
1928,14,DISTRICT OF COLUMBIA,DC,US,STATE,234,CASES
1928,16,DISTRICT OF COLUMBIA,DC,US,STATE,190,CASES
1928,17,DISTRICT OF COLUMBIA,DC,US,STATE,168,CASES
1928,19,DISTRICT OF COLUMBIA,DC,US,STATE,181,CASES
1928,20,DISTRICT OF COLUMBIA,DC,US,STATE,234,CASES
1928,21,DISTRICT OF COLUMBIA,DC,US,STATE,191,CASES
1928,22,DISTRICT OF COLUMBIA,DC,US,STATE,215,CASES
1928,23,DISTRICT OF COLUMBIA,DC,US,STATE,192,CASES
1928,24,DISTRICT OF COLUMBIA,DC,US,STATE,124,CASES
1928,25,DISTRICT OF COLUMBIA,DC,US,STATE,130,CASES
1928,26,DISTRICT OF COLUMBIA,DC,US,STATE,95,CASES
1928,27,DISTRICT OF COLUMBIA,DC,US,STATE,83,CASES
1928,28,DISTRICT OF COLUMBIA,DC,US,STATE,26,CASES
1928,31,DISTRICT OF COLUMBIA,DC,US,STATE,19,CASES
1928,32,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1928,33,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
1928,34,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1928,37,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1928,38,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1928,39,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1928,41,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1928,42,DISTRICT OF COLUMBIA,DC,US,STATE,5,CASES
1928,44,DISTRICT OF COLUMBIA,DC,US,STATE,2,CASES
1928,45,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1928,47,DISTRICT OF COLUMBIA,DC,US,STATE,5,CASES
