year,week,loc,state,country,loc_type,number,event
1968,1,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1968,2,DISTRICT OF COLUMBIA,DC,US,STATE,15,CASES
1968,4,DISTRICT OF COLUMBIA,DC,US,STATE,9,CASES
1968,5,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1968,6,DISTRICT OF COLUMBIA,DC,US,STATE,8,CASES
1968,7,DISTRICT OF COLUMBIA,DC,US,STATE,13,CASES
1968,8,DISTRICT OF COLUMBIA,DC,US,STATE,9,CASES
1968,9,DISTRICT OF COLUMBIA,DC,US,STATE,9,CASES
1968,10,DISTRICT OF COLUMBIA,DC,US,STATE,20,CASES
1968,11,DISTRICT OF COLUMBIA,DC,US,STATE,5,CASES
1968,13,DISTRICT OF COLUMBIA,DC,US,STATE,14,CASES
1968,14,DISTRICT OF COLUMBIA,DC,US,STATE,13,CASES
1968,15,DISTRICT OF COLUMBIA,DC,US,STATE,2,CASES
1968,17,DISTRICT OF COLUMBIA,DC,US,STATE,16,CASES
1968,19,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1968,20,DISTRICT OF COLUMBIA,DC,US,STATE,11,CASES
1968,21,DISTRICT OF COLUMBIA,DC,US,STATE,12,CASES
1968,23,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1968,24,DISTRICT OF COLUMBIA,DC,US,STATE,6,CASES
1968,25,DISTRICT OF COLUMBIA,DC,US,STATE,10,CASES
1968,26,DISTRICT OF COLUMBIA,DC,US,STATE,8,CASES
1968,28,DISTRICT OF COLUMBIA,DC,US,STATE,9,CASES
1968,30,DISTRICT OF COLUMBIA,DC,US,STATE,8,CASES
1968,31,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1968,34,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1968,35,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1968,39,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1968,40,DISTRICT OF COLUMBIA,DC,US,STATE,8,CASES
1968,42,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1968,43,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1968,45,DISTRICT OF COLUMBIA,DC,US,STATE,6,CASES
1968,48,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1968,49,DISTRICT OF COLUMBIA,DC,US,STATE,6,CASES
1969,4,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,6,DISTRICT OF COLUMBIA,DC,US,STATE,6,CASES
1969,10,DISTRICT OF COLUMBIA,DC,US,STATE,6,CASES
1969,15,DISTRICT OF COLUMBIA,DC,US,STATE,9,CASES
1969,17,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,19,DISTRICT OF COLUMBIA,DC,US,STATE,11,CASES
1969,22,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,23,DISTRICT OF COLUMBIA,DC,US,STATE,11,CASES
1969,24,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,28,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
1969,30,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
1969,37,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,39,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,40,DISTRICT OF COLUMBIA,DC,US,STATE,2,CASES
1969,42,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,43,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,44,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1969,45,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,47,DISTRICT OF COLUMBIA,DC,US,STATE,3,CASES
1969,48,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1969,49,DISTRICT OF COLUMBIA,DC,US,STATE,6,CASES
1969,50,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1969,51,DISTRICT OF COLUMBIA,DC,US,STATE,6,CASES
1969,52,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
