year,week,loc,state,country,loc_type,number,event
1909,13,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1928,4,DISTRICT OF COLUMBIA,DC,US,STATE,39,CASES
1928,5,DISTRICT OF COLUMBIA,DC,US,STATE,36,CASES
1928,6,DISTRICT OF COLUMBIA,DC,US,STATE,42,CASES
1928,7,DISTRICT OF COLUMBIA,DC,US,STATE,54,CASES
1928,9,DISTRICT OF COLUMBIA,DC,US,STATE,45,CASES
1928,12,DISTRICT OF COLUMBIA,DC,US,STATE,44,CASES
1928,14,DISTRICT OF COLUMBIA,DC,US,STATE,40,CASES
1928,16,DISTRICT OF COLUMBIA,DC,US,STATE,30,CASES
1928,17,DISTRICT OF COLUMBIA,DC,US,STATE,51,CASES
1928,19,DISTRICT OF COLUMBIA,DC,US,STATE,47,CASES
1928,20,DISTRICT OF COLUMBIA,DC,US,STATE,43,CASES
1928,21,DISTRICT OF COLUMBIA,DC,US,STATE,46,CASES
1928,22,DISTRICT OF COLUMBIA,DC,US,STATE,45,CASES
1928,23,DISTRICT OF COLUMBIA,DC,US,STATE,44,CASES
1928,24,DISTRICT OF COLUMBIA,DC,US,STATE,27,CASES
1928,25,DISTRICT OF COLUMBIA,DC,US,STATE,22,CASES
1928,26,DISTRICT OF COLUMBIA,DC,US,STATE,21,CASES
1928,27,DISTRICT OF COLUMBIA,DC,US,STATE,20,CASES
1928,28,DISTRICT OF COLUMBIA,DC,US,STATE,10,CASES
1928,31,DISTRICT OF COLUMBIA,DC,US,STATE,5,CASES
1928,32,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1928,33,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1928,34,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1928,35,DISTRICT OF COLUMBIA,DC,US,STATE,1,CASES
1928,36,DISTRICT OF COLUMBIA,DC,US,STATE,2,CASES
1928,37,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1928,38,DISTRICT OF COLUMBIA,DC,US,STATE,4,CASES
1928,39,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
1928,40,DISTRICT OF COLUMBIA,DC,US,STATE,10,CASES
1928,41,DISTRICT OF COLUMBIA,DC,US,STATE,12,CASES
1928,42,DISTRICT OF COLUMBIA,DC,US,STATE,12,CASES
1928,43,DISTRICT OF COLUMBIA,DC,US,STATE,14,CASES
1928,44,DISTRICT OF COLUMBIA,DC,US,STATE,12,CASES
1928,45,DISTRICT OF COLUMBIA,DC,US,STATE,13,CASES
1928,46,DISTRICT OF COLUMBIA,DC,US,STATE,11,CASES
1928,47,DISTRICT OF COLUMBIA,DC,US,STATE,14,CASES
1928,48,DISTRICT OF COLUMBIA,DC,US,STATE,10,CASES
1928,49,DISTRICT OF COLUMBIA,DC,US,STATE,12,CASES
1928,50,DISTRICT OF COLUMBIA,DC,US,STATE,14,CASES
1928,51,DISTRICT OF COLUMBIA,DC,US,STATE,20,CASES
1928,52,DISTRICT OF COLUMBIA,DC,US,STATE,7,CASES
1929,1,DISTRICT OF COLUMBIA,DC,US,STATE,19,CASES
1929,2,DISTRICT OF COLUMBIA,DC,US,STATE,15,CASES
1929,3,DISTRICT OF COLUMBIA,DC,US,STATE,22,CASES
1929,4,DISTRICT OF COLUMBIA,DC,US,STATE,10,CASES
