year,week,loc,state,country,loc_type,number,event
1972,1,DELAWARE,DE,US,STATE,9,CASES
1972,3,DELAWARE,DE,US,STATE,11,CASES
1972,4,DELAWARE,DE,US,STATE,13,CASES
1972,5,DELAWARE,DE,US,STATE,8,CASES
1972,6,DELAWARE,DE,US,STATE,4,CASES
1972,7,DELAWARE,DE,US,STATE,7,CASES
1972,8,DELAWARE,DE,US,STATE,9,CASES
1972,9,DELAWARE,DE,US,STATE,20,CASES
1972,10,DELAWARE,DE,US,STATE,2,CASES
1972,11,DELAWARE,DE,US,STATE,11,CASES
1972,12,DELAWARE,DE,US,STATE,10,CASES
1972,13,DELAWARE,DE,US,STATE,2,CASES
1972,14,DELAWARE,DE,US,STATE,7,CASES
1972,15,DELAWARE,DE,US,STATE,4,CASES
1972,16,DELAWARE,DE,US,STATE,17,CASES
1972,17,DELAWARE,DE,US,STATE,12,CASES
1972,18,DELAWARE,DE,US,STATE,7,CASES
1972,19,DELAWARE,DE,US,STATE,3,CASES
1972,20,DELAWARE,DE,US,STATE,13,CASES
1972,21,DELAWARE,DE,US,STATE,6,CASES
1972,23,DELAWARE,DE,US,STATE,7,CASES
1972,24,DELAWARE,DE,US,STATE,9,CASES
1972,25,DELAWARE,DE,US,STATE,2,CASES
1972,26,DELAWARE,DE,US,STATE,3,CASES
1972,27,DELAWARE,DE,US,STATE,5,CASES
1972,28,DELAWARE,DE,US,STATE,1,CASES
1972,29,DELAWARE,DE,US,STATE,2,CASES
1972,31,DELAWARE,DE,US,STATE,6,CASES
1972,36,DELAWARE,DE,US,STATE,2,CASES
1972,39,DELAWARE,DE,US,STATE,1,CASES
1972,41,DELAWARE,DE,US,STATE,3,CASES
1972,42,DELAWARE,DE,US,STATE,1,CASES
1972,43,DELAWARE,DE,US,STATE,7,CASES
1972,44,DELAWARE,DE,US,STATE,3,CASES
1972,45,DELAWARE,DE,US,STATE,5,CASES
1972,46,DELAWARE,DE,US,STATE,3,CASES
1972,47,DELAWARE,DE,US,STATE,9,CASES
1972,48,DELAWARE,DE,US,STATE,3,CASES
1972,49,DELAWARE,DE,US,STATE,2,CASES
1972,50,DELAWARE,DE,US,STATE,14,CASES
1972,51,DELAWARE,DE,US,STATE,11,CASES
1973,1,DELAWARE,DE,US,STATE,6,CASES
1973,3,DELAWARE,DE,US,STATE,3,CASES
1973,4,DELAWARE,DE,US,STATE,16,CASES
1973,5,DELAWARE,DE,US,STATE,27,CASES
1973,6,DELAWARE,DE,US,STATE,3,CASES
1973,7,DELAWARE,DE,US,STATE,8,CASES
1973,8,DELAWARE,DE,US,STATE,18,CASES
1973,9,DELAWARE,DE,US,STATE,32,CASES
1973,10,DELAWARE,DE,US,STATE,9,CASES
1973,11,DELAWARE,DE,US,STATE,16,CASES
1973,12,DELAWARE,DE,US,STATE,3,CASES
1973,13,DELAWARE,DE,US,STATE,23,CASES
1973,14,DELAWARE,DE,US,STATE,16,CASES
1973,15,DELAWARE,DE,US,STATE,24,CASES
1973,16,DELAWARE,DE,US,STATE,34,CASES
1973,17,DELAWARE,DE,US,STATE,22,CASES
1973,18,DELAWARE,DE,US,STATE,33,CASES
1973,20,DELAWARE,DE,US,STATE,40,CASES
1973,21,DELAWARE,DE,US,STATE,10,CASES
1973,22,DELAWARE,DE,US,STATE,15,CASES
1973,23,DELAWARE,DE,US,STATE,19,CASES
1973,24,DELAWARE,DE,US,STATE,13,CASES
1973,25,DELAWARE,DE,US,STATE,4,CASES
1973,26,DELAWARE,DE,US,STATE,6,CASES
1973,28,DELAWARE,DE,US,STATE,5,CASES
1973,29,DELAWARE,DE,US,STATE,3,CASES
1973,30,DELAWARE,DE,US,STATE,2,CASES
1973,32,DELAWARE,DE,US,STATE,1,CASES
1973,34,DELAWARE,DE,US,STATE,1,CASES
1973,35,DELAWARE,DE,US,STATE,1,CASES
1973,37,DELAWARE,DE,US,STATE,1,CASES
1973,40,DELAWARE,DE,US,STATE,1,CASES
1973,41,DELAWARE,DE,US,STATE,1,CASES
1973,42,DELAWARE,DE,US,STATE,3,CASES
1973,44,DELAWARE,DE,US,STATE,1,CASES
1973,45,DELAWARE,DE,US,STATE,2,CASES
1973,46,DELAWARE,DE,US,STATE,2,CASES
1973,47,DELAWARE,DE,US,STATE,6,CASES
1973,48,DELAWARE,DE,US,STATE,2,CASES
1973,50,DELAWARE,DE,US,STATE,5,CASES
1974,1,DELAWARE,DE,US,STATE,1,CASES
1974,2,DELAWARE,DE,US,STATE,5,CASES
1974,3,DELAWARE,DE,US,STATE,5,CASES
1974,4,DELAWARE,DE,US,STATE,10,CASES
1974,5,DELAWARE,DE,US,STATE,3,CASES
1974,6,DELAWARE,DE,US,STATE,6,CASES
1974,7,DELAWARE,DE,US,STATE,9,CASES
1974,8,DELAWARE,DE,US,STATE,12,CASES
1974,9,DELAWARE,DE,US,STATE,4,CASES
1974,10,DELAWARE,DE,US,STATE,5,CASES
1974,11,DELAWARE,DE,US,STATE,6,CASES
1974,12,DELAWARE,DE,US,STATE,16,CASES
1974,13,DELAWARE,DE,US,STATE,9,CASES
1974,14,DELAWARE,DE,US,STATE,5,CASES
1974,15,DELAWARE,DE,US,STATE,6,CASES
1974,16,DELAWARE,DE,US,STATE,13,CASES
1974,17,DELAWARE,DE,US,STATE,5,CASES
1974,18,DELAWARE,DE,US,STATE,4,CASES
1974,19,DELAWARE,DE,US,STATE,1,CASES
1974,20,DELAWARE,DE,US,STATE,8,CASES
1974,21,DELAWARE,DE,US,STATE,6,CASES
1974,22,DELAWARE,DE,US,STATE,1,CASES
1974,23,DELAWARE,DE,US,STATE,8,CASES
1974,25,DELAWARE,DE,US,STATE,3,CASES
1974,26,DELAWARE,DE,US,STATE,2,CASES
1974,27,DELAWARE,DE,US,STATE,1,CASES
1974,29,DELAWARE,DE,US,STATE,2,CASES
1974,30,DELAWARE,DE,US,STATE,1,CASES
1974,32,DELAWARE,DE,US,STATE,2,CASES
1974,37,DELAWARE,DE,US,STATE,1,CASES
1974,39,DELAWARE,DE,US,STATE,1,CASES
1974,40,DELAWARE,DE,US,STATE,1,CASES
1974,41,DELAWARE,DE,US,STATE,5,CASES
1974,42,DELAWARE,DE,US,STATE,3,CASES
1974,43,DELAWARE,DE,US,STATE,1,CASES
1974,44,DELAWARE,DE,US,STATE,1,CASES
1974,46,DELAWARE,DE,US,STATE,4,CASES
1974,49,DELAWARE,DE,US,STATE,2,CASES
1974,50,DELAWARE,DE,US,STATE,4,CASES
1974,51,DELAWARE,DE,US,STATE,5,CASES
1974,52,DELAWARE,DE,US,STATE,3,CASES
1975,1,DELAWARE,DE,US,STATE,6,CASES
1975,2,DELAWARE,DE,US,STATE,1,CASES
1975,3,DELAWARE,DE,US,STATE,7,CASES
1975,4,DELAWARE,DE,US,STATE,3,CASES
1975,5,DELAWARE,DE,US,STATE,13,CASES
1975,6,DELAWARE,DE,US,STATE,5,CASES
1975,7,DELAWARE,DE,US,STATE,3,CASES
1975,8,DELAWARE,DE,US,STATE,11,CASES
1975,9,DELAWARE,DE,US,STATE,4,CASES
1975,10,DELAWARE,DE,US,STATE,6,CASES
1975,11,DELAWARE,DE,US,STATE,15,CASES
1975,12,DELAWARE,DE,US,STATE,8,CASES
1975,13,DELAWARE,DE,US,STATE,7,CASES
1975,14,DELAWARE,DE,US,STATE,5,CASES
1975,15,DELAWARE,DE,US,STATE,6,CASES
1975,16,DELAWARE,DE,US,STATE,5,CASES
1975,17,DELAWARE,DE,US,STATE,15,CASES
1975,18,DELAWARE,DE,US,STATE,10,CASES
1975,19,DELAWARE,DE,US,STATE,15,CASES
1975,20,DELAWARE,DE,US,STATE,13,CASES
1975,21,DELAWARE,DE,US,STATE,12,CASES
1975,22,DELAWARE,DE,US,STATE,3,CASES
1975,23,DELAWARE,DE,US,STATE,28,CASES
1975,24,DELAWARE,DE,US,STATE,1,CASES
1975,25,DELAWARE,DE,US,STATE,8,CASES
1975,26,DELAWARE,DE,US,STATE,4,CASES
1975,28,DELAWARE,DE,US,STATE,10,CASES
1975,29,DELAWARE,DE,US,STATE,1,CASES
1975,30,DELAWARE,DE,US,STATE,4,CASES
1975,31,DELAWARE,DE,US,STATE,2,CASES
1975,38,DELAWARE,DE,US,STATE,2,CASES
1975,39,DELAWARE,DE,US,STATE,1,CASES
1975,43,DELAWARE,DE,US,STATE,1,CASES
1975,46,DELAWARE,DE,US,STATE,3,CASES
1975,47,DELAWARE,DE,US,STATE,1,CASES
1975,50,DELAWARE,DE,US,STATE,3,CASES
1975,51,DELAWARE,DE,US,STATE,1,CASES
1976,1,DELAWARE,DE,US,STATE,1,CASES
1976,3,DELAWARE,DE,US,STATE,1,CASES
1976,4,DELAWARE,DE,US,STATE,9,CASES
1976,5,DELAWARE,DE,US,STATE,3,CASES
1976,6,DELAWARE,DE,US,STATE,1,CASES
1976,7,DELAWARE,DE,US,STATE,2,CASES
1976,8,DELAWARE,DE,US,STATE,4,CASES
1976,9,DELAWARE,DE,US,STATE,3,CASES
1976,10,DELAWARE,DE,US,STATE,8,CASES
1976,11,DELAWARE,DE,US,STATE,7,CASES
1976,12,DELAWARE,DE,US,STATE,6,CASES
1976,13,DELAWARE,DE,US,STATE,17,CASES
1976,14,DELAWARE,DE,US,STATE,6,CASES
1976,15,DELAWARE,DE,US,STATE,7,CASES
1976,16,DELAWARE,DE,US,STATE,5,CASES
1976,17,DELAWARE,DE,US,STATE,11,CASES
1976,18,DELAWARE,DE,US,STATE,6,CASES
1976,19,DELAWARE,DE,US,STATE,7,CASES
1976,20,DELAWARE,DE,US,STATE,12,CASES
1976,21,DELAWARE,DE,US,STATE,4,CASES
1976,22,DELAWARE,DE,US,STATE,12,CASES
1976,23,DELAWARE,DE,US,STATE,12,CASES
1976,24,DELAWARE,DE,US,STATE,16,CASES
1976,25,DELAWARE,DE,US,STATE,6,CASES
1976,26,DELAWARE,DE,US,STATE,11,CASES
1976,27,DELAWARE,DE,US,STATE,6,CASES
1976,28,DELAWARE,DE,US,STATE,3,CASES
1976,29,DELAWARE,DE,US,STATE,2,CASES
1976,30,DELAWARE,DE,US,STATE,6,CASES
1976,31,DELAWARE,DE,US,STATE,2,CASES
1976,33,DELAWARE,DE,US,STATE,5,CASES
1976,35,DELAWARE,DE,US,STATE,1,CASES
1976,37,DELAWARE,DE,US,STATE,1,CASES
1976,38,DELAWARE,DE,US,STATE,1,CASES
1976,40,DELAWARE,DE,US,STATE,1,CASES
1976,44,DELAWARE,DE,US,STATE,1,CASES
1976,46,DELAWARE,DE,US,STATE,3,CASES
1976,47,DELAWARE,DE,US,STATE,2,CASES
1976,48,DELAWARE,DE,US,STATE,6,CASES
1976,50,DELAWARE,DE,US,STATE,5,CASES
