year,week,loc,state,country,loc_type,number,event
1919,49,DELAWARE,DE,US,STATE,1,CASES
1919,50,DELAWARE,DE,US,STATE,2,CASES
1919,51,DELAWARE,DE,US,STATE,4,CASES
1919,52,DELAWARE,DE,US,STATE,4,CASES
1919,53,DELAWARE,DE,US,STATE,1,CASES
1920,1,DELAWARE,DE,US,STATE,1,CASES
1927,47,DELAWARE,DE,US,STATE,2,CASES
1927,49,DELAWARE,DE,US,STATE,1,CASES
1928,2,DELAWARE,DE,US,STATE,2,CASES
1928,3,DELAWARE,DE,US,STATE,3,CASES
1928,4,DELAWARE,DE,US,STATE,1,CASES
1928,6,DELAWARE,DE,US,STATE,4,CASES
1928,9,DELAWARE,DE,US,STATE,2,CASES
1928,20,DELAWARE,DE,US,STATE,1,CASES
1928,50,DELAWARE,DE,US,STATE,4,CASES
1928,51,DELAWARE,DE,US,STATE,10,CASES
1928,52,DELAWARE,DE,US,STATE,16,CASES
1929,1,DELAWARE,DE,US,STATE,233,CASES
1929,2,DELAWARE,DE,US,STATE,155,CASES
1929,3,DELAWARE,DE,US,STATE,47,CASES
1929,4,DELAWARE,DE,US,STATE,27,CASES
1929,5,DELAWARE,DE,US,STATE,4,CASES
1929,6,DELAWARE,DE,US,STATE,5,CASES
1929,7,DELAWARE,DE,US,STATE,3,CASES
1929,10,DELAWARE,DE,US,STATE,1,CASES
1929,12,DELAWARE,DE,US,STATE,3,CASES
1929,16,DELAWARE,DE,US,STATE,1,CASES
1929,44,DELAWARE,DE,US,STATE,3,CASES
1929,51,DELAWARE,DE,US,STATE,3,CASES
1929,52,DELAWARE,DE,US,STATE,1,CASES
1930,5,DELAWARE,DE,US,STATE,2,CASES
1930,6,DELAWARE,DE,US,STATE,2,CASES
1930,9,DELAWARE,DE,US,STATE,2,CASES
1930,10,DELAWARE,DE,US,STATE,1,CASES
1930,11,DELAWARE,DE,US,STATE,2,CASES
1930,12,DELAWARE,DE,US,STATE,1,CASES
1930,17,DELAWARE,DE,US,STATE,0,CASES
1930,23,DELAWARE,DE,US,STATE,1,CASES
1930,39,DELAWARE,DE,US,STATE,1,CASES
1930,50,DELAWARE,DE,US,STATE,2,CASES
1930,53,DELAWARE,DE,US,STATE,4,CASES
1931,3,DELAWARE,DE,US,STATE,1,CASES
1931,4,DELAWARE,DE,US,STATE,82,CASES
1931,5,DELAWARE,DE,US,STATE,56,CASES
1931,6,DELAWARE,DE,US,STATE,29,CASES
1931,7,DELAWARE,DE,US,STATE,41,CASES
1931,8,DELAWARE,DE,US,STATE,7,CASES
1931,9,DELAWARE,DE,US,STATE,33,CASES
1931,10,DELAWARE,DE,US,STATE,6,CASES
1931,11,DELAWARE,DE,US,STATE,2,CASES
1931,12,DELAWARE,DE,US,STATE,5,CASES
1931,13,DELAWARE,DE,US,STATE,2,CASES
1931,15,DELAWARE,DE,US,STATE,1,CASES
1931,24,DELAWARE,DE,US,STATE,1,CASES
1931,39,DELAWARE,DE,US,STATE,3,CASES
1931,42,DELAWARE,DE,US,STATE,1,CASES
1931,46,DELAWARE,DE,US,STATE,4,CASES
1931,52,DELAWARE,DE,US,STATE,1,CASES
1932,1,DELAWARE,DE,US,STATE,3,CASES
1932,2,DELAWARE,DE,US,STATE,2,CASES
1932,3,DELAWARE,DE,US,STATE,1,CASES
1932,6,DELAWARE,DE,US,STATE,1,CASES
1932,7,DELAWARE,DE,US,STATE,6,CASES
1932,9,DELAWARE,DE,US,STATE,1,CASES
1932,10,DELAWARE,DE,US,STATE,3,CASES
1932,13,DELAWARE,DE,US,STATE,6,CASES
1932,14,DELAWARE,DE,US,STATE,7,CASES
1932,15,DELAWARE,DE,US,STATE,1,CASES
1932,16,DELAWARE,DE,US,STATE,1,CASES
1932,46,DELAWARE,DE,US,STATE,1,CASES
1932,49,DELAWARE,DE,US,STATE,6,CASES
1932,50,DELAWARE,DE,US,STATE,1,CASES
1932,51,DELAWARE,DE,US,STATE,3,CASES
1932,52,DELAWARE,DE,US,STATE,9,CASES
1933,1,DELAWARE,DE,US,STATE,2,CASES
1933,2,DELAWARE,DE,US,STATE,13,CASES
1933,3,DELAWARE,DE,US,STATE,49,CASES
1933,4,DELAWARE,DE,US,STATE,14,CASES
1933,5,DELAWARE,DE,US,STATE,13,CASES
1933,6,DELAWARE,DE,US,STATE,3,CASES
1933,7,DELAWARE,DE,US,STATE,5,CASES
1933,14,DELAWARE,DE,US,STATE,1,CASES
1933,15,DELAWARE,DE,US,STATE,2,CASES
1933,19,DELAWARE,DE,US,STATE,1,CASES
1933,22,DELAWARE,DE,US,STATE,2,CASES
1933,35,DELAWARE,DE,US,STATE,1,CASES
1933,49,DELAWARE,DE,US,STATE,3,CASES
1933,51,DELAWARE,DE,US,STATE,1,CASES
1933,52,DELAWARE,DE,US,STATE,2,CASES
1934,2,DELAWARE,DE,US,STATE,3,CASES
1934,7,DELAWARE,DE,US,STATE,2,CASES
1934,9,DELAWARE,DE,US,STATE,1,CASES
1934,15,DELAWARE,DE,US,STATE,1,CASES
1934,32,DELAWARE,DE,US,STATE,2,CASES
1934,35,DELAWARE,DE,US,STATE,5,CASES
1934,43,DELAWARE,DE,US,STATE,1,CASES
1934,47,DELAWARE,DE,US,STATE,1,CASES
1934,51,DELAWARE,DE,US,STATE,2,CASES
1934,52,DELAWARE,DE,US,STATE,4,CASES
1935,1,DELAWARE,DE,US,STATE,6,CASES
1935,2,DELAWARE,DE,US,STATE,11,CASES
1935,3,DELAWARE,DE,US,STATE,6,CASES
1935,4,DELAWARE,DE,US,STATE,6,CASES
1935,7,DELAWARE,DE,US,STATE,1,CASES
1935,8,DELAWARE,DE,US,STATE,7,CASES
1935,10,DELAWARE,DE,US,STATE,2,CASES
1935,12,DELAWARE,DE,US,STATE,2,CASES
1935,13,DELAWARE,DE,US,STATE,3,CASES
1935,17,DELAWARE,DE,US,STATE,3,CASES
1935,19,DELAWARE,DE,US,STATE,2,CASES
1935,38,DELAWARE,DE,US,STATE,5,CASES
1935,39,DELAWARE,DE,US,STATE,1,CASES
1935,47,DELAWARE,DE,US,STATE,1,CASES
1936,3,DELAWARE,DE,US,STATE,1,CASES
1936,12,DELAWARE,DE,US,STATE,2,CASES
1936,13,DELAWARE,DE,US,STATE,1,CASES
1936,39,DELAWARE,DE,US,STATE,0,CASES
1936,43,DELAWARE,DE,US,STATE,3,CASES
1936,44,DELAWARE,DE,US,STATE,4,CASES
1936,53,DELAWARE,DE,US,STATE,2,CASES
1937,1,DELAWARE,DE,US,STATE,8,CASES
1937,2,DELAWARE,DE,US,STATE,22,CASES
1937,3,DELAWARE,DE,US,STATE,32,CASES
1937,5,DELAWARE,DE,US,STATE,7,CASES
1937,6,DELAWARE,DE,US,STATE,6,CASES
1937,7,DELAWARE,DE,US,STATE,8,CASES
1937,8,DELAWARE,DE,US,STATE,7,CASES
1937,9,DELAWARE,DE,US,STATE,18,CASES
1937,10,DELAWARE,DE,US,STATE,1,CASES
1937,11,DELAWARE,DE,US,STATE,9,CASES
1937,14,DELAWARE,DE,US,STATE,5,CASES
1938,2,DELAWARE,DE,US,STATE,2,CASES
1939,2,DELAWARE,DE,US,STATE,2,CASES
1939,12,DELAWARE,DE,US,STATE,1,CASES
1939,47,DELAWARE,DE,US,STATE,4,CASES
1940,12,DELAWARE,DE,US,STATE,1,CASES
1941,2,DELAWARE,DE,US,STATE,19,CASES
1941,3,DELAWARE,DE,US,STATE,54,CASES
1941,4,DELAWARE,DE,US,STATE,392,CASES
1941,5,DELAWARE,DE,US,STATE,11,CASES
1941,6,DELAWARE,DE,US,STATE,10,CASES
1941,38,DELAWARE,DE,US,STATE,1,CASES
1941,48,DELAWARE,DE,US,STATE,2,CASES
1941,49,DELAWARE,DE,US,STATE,1,CASES
1942,4,DELAWARE,DE,US,STATE,11,CASES
1942,14,DELAWARE,DE,US,STATE,1,CASES
1942,19,DELAWARE,DE,US,STATE,0,CASES
1942,48,DELAWARE,DE,US,STATE,1,CASES
1943,7,DELAWARE,DE,US,STATE,6,CASES
1943,8,DELAWARE,DE,US,STATE,1,CASES
1943,50,DELAWARE,DE,US,STATE,4,CASES
1944,14,DELAWARE,DE,US,STATE,0,CASES
1944,21,DELAWARE,DE,US,STATE,0,CASES
1944,34,DELAWARE,DE,US,STATE,0,CASES
1945,48,DELAWARE,DE,US,STATE,13,CASES
1945,49,DELAWARE,DE,US,STATE,11,CASES
1945,50,DELAWARE,DE,US,STATE,17,CASES
1947,6,DELAWARE,DE,US,STATE,4,CASES
1947,14,DELAWARE,DE,US,STATE,3,CASES
1947,16,DELAWARE,DE,US,STATE,2,CASES
1947,17,DELAWARE,DE,US,STATE,2,CASES
1948,52,DELAWARE,DE,US,STATE,1,CASES
1949,13,DELAWARE,DE,US,STATE,1,CASES
