year,week,loc,state,country,loc_type,number,event
1927,47,DELAWARE,DE,US,STATE,4,CASES
1927,48,DELAWARE,DE,US,STATE,0,CASES
1927,51,DELAWARE,DE,US,STATE,2,CASES
1927,52,DELAWARE,DE,US,STATE,6,CASES
1928,1,DELAWARE,DE,US,STATE,20,CASES
1928,2,DELAWARE,DE,US,STATE,17,CASES
1928,3,DELAWARE,DE,US,STATE,37,CASES
1928,4,DELAWARE,DE,US,STATE,10,CASES
1928,5,DELAWARE,DE,US,STATE,13,CASES
1928,6,DELAWARE,DE,US,STATE,8,CASES
1928,7,DELAWARE,DE,US,STATE,10,CASES
1928,8,DELAWARE,DE,US,STATE,4,CASES
1928,9,DELAWARE,DE,US,STATE,8,CASES
1928,10,DELAWARE,DE,US,STATE,10,CASES
1928,11,DELAWARE,DE,US,STATE,15,CASES
1928,12,DELAWARE,DE,US,STATE,21,CASES
1928,13,DELAWARE,DE,US,STATE,19,CASES
1928,14,DELAWARE,DE,US,STATE,14,CASES
1928,15,DELAWARE,DE,US,STATE,27,CASES
1928,16,DELAWARE,DE,US,STATE,14,CASES
1928,17,DELAWARE,DE,US,STATE,35,CASES
1928,18,DELAWARE,DE,US,STATE,30,CASES
1928,19,DELAWARE,DE,US,STATE,43,CASES
1928,20,DELAWARE,DE,US,STATE,40,CASES
1928,21,DELAWARE,DE,US,STATE,20,CASES
1928,22,DELAWARE,DE,US,STATE,38,CASES
1928,23,DELAWARE,DE,US,STATE,10,CASES
1928,24,DELAWARE,DE,US,STATE,16,CASES
1928,25,DELAWARE,DE,US,STATE,18,CASES
1928,26,DELAWARE,DE,US,STATE,35,CASES
1928,27,DELAWARE,DE,US,STATE,6,CASES
1928,28,DELAWARE,DE,US,STATE,8,CASES
1928,34,DELAWARE,DE,US,STATE,1,CASES
1928,37,DELAWARE,DE,US,STATE,2,CASES
1928,38,DELAWARE,DE,US,STATE,1,CASES
1928,41,DELAWARE,DE,US,STATE,3,CASES
1928,42,DELAWARE,DE,US,STATE,2,CASES
1928,43,DELAWARE,DE,US,STATE,1,CASES
1928,45,DELAWARE,DE,US,STATE,5,CASES
1928,46,DELAWARE,DE,US,STATE,1,CASES
1928,48,DELAWARE,DE,US,STATE,3,CASES
1928,49,DELAWARE,DE,US,STATE,5,CASES
1928,50,DELAWARE,DE,US,STATE,10,CASES
1928,52,DELAWARE,DE,US,STATE,16,CASES
1929,1,DELAWARE,DE,US,STATE,8,CASES
1929,2,DELAWARE,DE,US,STATE,41,CASES
1929,3,DELAWARE,DE,US,STATE,4,CASES
1929,4,DELAWARE,DE,US,STATE,31,CASES
1929,5,DELAWARE,DE,US,STATE,19,CASES
1929,6,DELAWARE,DE,US,STATE,11,CASES
1929,7,DELAWARE,DE,US,STATE,23,CASES
1929,8,DELAWARE,DE,US,STATE,11,CASES
1929,9,DELAWARE,DE,US,STATE,39,CASES
1929,10,DELAWARE,DE,US,STATE,34,CASES
1929,11,DELAWARE,DE,US,STATE,62,CASES
1929,12,DELAWARE,DE,US,STATE,32,CASES
1929,13,DELAWARE,DE,US,STATE,34,CASES
1929,14,DELAWARE,DE,US,STATE,28,CASES
1929,15,DELAWARE,DE,US,STATE,18,CASES
1929,16,DELAWARE,DE,US,STATE,29,CASES
1929,17,DELAWARE,DE,US,STATE,10,CASES
1929,18,DELAWARE,DE,US,STATE,13,CASES
1929,19,DELAWARE,DE,US,STATE,26,CASES
1929,20,DELAWARE,DE,US,STATE,17,CASES
1929,21,DELAWARE,DE,US,STATE,8,CASES
1929,22,DELAWARE,DE,US,STATE,14,CASES
1929,23,DELAWARE,DE,US,STATE,6,CASES
1929,24,DELAWARE,DE,US,STATE,12,CASES
1929,25,DELAWARE,DE,US,STATE,10,CASES
1929,26,DELAWARE,DE,US,STATE,8,CASES
1929,27,DELAWARE,DE,US,STATE,2,CASES
1929,28,DELAWARE,DE,US,STATE,2,CASES
1929,29,DELAWARE,DE,US,STATE,2,CASES
1929,30,DELAWARE,DE,US,STATE,2,CASES
1929,31,DELAWARE,DE,US,STATE,3,CASES
1929,33,DELAWARE,DE,US,STATE,1,CASES
1929,38,DELAWARE,DE,US,STATE,1,CASES
1929,40,DELAWARE,DE,US,STATE,1,CASES
1929,42,DELAWARE,DE,US,STATE,1,CASES
1929,44,DELAWARE,DE,US,STATE,1,CASES
1929,50,DELAWARE,DE,US,STATE,1,CASES
1929,52,DELAWARE,DE,US,STATE,1,CASES
1930,5,DELAWARE,DE,US,STATE,5,CASES
1930,6,DELAWARE,DE,US,STATE,3,CASES
1930,7,DELAWARE,DE,US,STATE,6,CASES
1930,8,DELAWARE,DE,US,STATE,21,CASES
1930,9,DELAWARE,DE,US,STATE,4,CASES
1930,10,DELAWARE,DE,US,STATE,3,CASES
1930,11,DELAWARE,DE,US,STATE,11,CASES
1930,12,DELAWARE,DE,US,STATE,18,CASES
1930,13,DELAWARE,DE,US,STATE,8,CASES
1930,14,DELAWARE,DE,US,STATE,9,CASES
1930,15,DELAWARE,DE,US,STATE,6,CASES
1930,16,DELAWARE,DE,US,STATE,12,CASES
1930,17,DELAWARE,DE,US,STATE,16,CASES
1930,18,DELAWARE,DE,US,STATE,18,CASES
1930,19,DELAWARE,DE,US,STATE,28,CASES
1930,20,DELAWARE,DE,US,STATE,12,CASES
1930,21,DELAWARE,DE,US,STATE,7,CASES
1930,22,DELAWARE,DE,US,STATE,2,CASES
1930,23,DELAWARE,DE,US,STATE,3,CASES
1930,24,DELAWARE,DE,US,STATE,6,CASES
1930,25,DELAWARE,DE,US,STATE,6,CASES
1930,26,DELAWARE,DE,US,STATE,3,CASES
1930,27,DELAWARE,DE,US,STATE,11,CASES
1930,28,DELAWARE,DE,US,STATE,7,CASES
1930,29,DELAWARE,DE,US,STATE,1,CASES
1930,30,DELAWARE,DE,US,STATE,5,CASES
1930,31,DELAWARE,DE,US,STATE,3,CASES
1930,33,DELAWARE,DE,US,STATE,3,CASES
1930,34,DELAWARE,DE,US,STATE,6,CASES
1930,35,DELAWARE,DE,US,STATE,1,CASES
1930,36,DELAWARE,DE,US,STATE,1,CASES
1930,37,DELAWARE,DE,US,STATE,2,CASES
1930,38,DELAWARE,DE,US,STATE,1,CASES
1930,40,DELAWARE,DE,US,STATE,4,CASES
1930,41,DELAWARE,DE,US,STATE,1,CASES
1930,44,DELAWARE,DE,US,STATE,1,CASES
1930,47,DELAWARE,DE,US,STATE,1,CASES
1930,48,DELAWARE,DE,US,STATE,3,CASES
1930,49,DELAWARE,DE,US,STATE,1,CASES
1930,51,DELAWARE,DE,US,STATE,2,CASES
1930,53,DELAWARE,DE,US,STATE,3,CASES
1931,1,DELAWARE,DE,US,STATE,5,CASES
1931,2,DELAWARE,DE,US,STATE,3,CASES
1931,3,DELAWARE,DE,US,STATE,3,CASES
1931,4,DELAWARE,DE,US,STATE,8,CASES
1931,5,DELAWARE,DE,US,STATE,7,CASES
1931,6,DELAWARE,DE,US,STATE,7,CASES
1931,7,DELAWARE,DE,US,STATE,27,CASES
1931,8,DELAWARE,DE,US,STATE,24,CASES
1931,9,DELAWARE,DE,US,STATE,46,CASES
1931,10,DELAWARE,DE,US,STATE,97,CASES
1931,11,DELAWARE,DE,US,STATE,120,CASES
1931,12,DELAWARE,DE,US,STATE,126,CASES
1931,13,DELAWARE,DE,US,STATE,170,CASES
1931,14,DELAWARE,DE,US,STATE,228,CASES
1931,15,DELAWARE,DE,US,STATE,265,CASES
1931,16,DELAWARE,DE,US,STATE,168,CASES
1931,17,DELAWARE,DE,US,STATE,205,CASES
1931,18,DELAWARE,DE,US,STATE,193,CASES
1931,19,DELAWARE,DE,US,STATE,124,CASES
1931,20,DELAWARE,DE,US,STATE,131,CASES
1931,21,DELAWARE,DE,US,STATE,91,CASES
1931,22,DELAWARE,DE,US,STATE,89,CASES
1931,23,DELAWARE,DE,US,STATE,65,CASES
1931,24,DELAWARE,DE,US,STATE,53,CASES
1931,25,DELAWARE,DE,US,STATE,60,CASES
1931,26,DELAWARE,DE,US,STATE,35,CASES
1931,27,DELAWARE,DE,US,STATE,34,CASES
1931,28,DELAWARE,DE,US,STATE,17,CASES
1931,29,DELAWARE,DE,US,STATE,10,CASES
1931,30,DELAWARE,DE,US,STATE,3,CASES
1931,31,DELAWARE,DE,US,STATE,1,CASES
1931,32,DELAWARE,DE,US,STATE,1,CASES
1931,35,DELAWARE,DE,US,STATE,1,CASES
1931,41,DELAWARE,DE,US,STATE,1,CASES
1931,42,DELAWARE,DE,US,STATE,1,CASES
1931,46,DELAWARE,DE,US,STATE,2,CASES
1931,48,DELAWARE,DE,US,STATE,2,CASES
1931,49,DELAWARE,DE,US,STATE,2,CASES
1931,50,DELAWARE,DE,US,STATE,1,CASES
1931,51,DELAWARE,DE,US,STATE,1,CASES
1931,52,DELAWARE,DE,US,STATE,1,CASES
1932,2,DELAWARE,DE,US,STATE,1,CASES
1932,3,DELAWARE,DE,US,STATE,2,CASES
1932,4,DELAWARE,DE,US,STATE,1,CASES
1932,7,DELAWARE,DE,US,STATE,2,CASES
1932,8,DELAWARE,DE,US,STATE,2,CASES
1932,11,DELAWARE,DE,US,STATE,1,CASES
1932,12,DELAWARE,DE,US,STATE,3,CASES
1932,14,DELAWARE,DE,US,STATE,2,CASES
1932,15,DELAWARE,DE,US,STATE,1,CASES
1932,17,DELAWARE,DE,US,STATE,1,CASES
1932,18,DELAWARE,DE,US,STATE,1,CASES
1932,19,DELAWARE,DE,US,STATE,2,CASES
1932,21,DELAWARE,DE,US,STATE,2,CASES
1932,23,DELAWARE,DE,US,STATE,2,CASES
1932,26,DELAWARE,DE,US,STATE,1,CASES
1932,32,DELAWARE,DE,US,STATE,1,CASES
1932,33,DELAWARE,DE,US,STATE,1,CASES
1932,37,DELAWARE,DE,US,STATE,1,CASES
1932,41,DELAWARE,DE,US,STATE,2,CASES
1932,42,DELAWARE,DE,US,STATE,2,CASES
1932,43,DELAWARE,DE,US,STATE,1,CASES
1932,47,DELAWARE,DE,US,STATE,2,CASES
1932,49,DELAWARE,DE,US,STATE,1,CASES
1932,50,DELAWARE,DE,US,STATE,1,CASES
1932,51,DELAWARE,DE,US,STATE,1,CASES
1932,52,DELAWARE,DE,US,STATE,2,CASES
1933,1,DELAWARE,DE,US,STATE,1,CASES
1933,2,DELAWARE,DE,US,STATE,2,CASES
1933,3,DELAWARE,DE,US,STATE,2,CASES
1933,7,DELAWARE,DE,US,STATE,2,CASES
1933,8,DELAWARE,DE,US,STATE,6,CASES
1933,9,DELAWARE,DE,US,STATE,3,CASES
1933,10,DELAWARE,DE,US,STATE,2,CASES
1933,11,DELAWARE,DE,US,STATE,5,CASES
1933,12,DELAWARE,DE,US,STATE,7,CASES
1933,13,DELAWARE,DE,US,STATE,13,CASES
1933,14,DELAWARE,DE,US,STATE,4,CASES
1933,15,DELAWARE,DE,US,STATE,6,CASES
